WAVE,FLUX,ERR,BGFLUX
3631.0657,3.255872E-16,1.9608566E-17,9.798799E-16
3636.5876,3.4414917E-16,1.9378415E-17,9.538278E-16
3642.1094,3.3071337E-16,1.8813761E-17,9.135074E-16
3647.6313,3.1212097E-16,1.8397746E-17,9.0695E-16
3653.153,2.9615716E-16,1.7956685E-17,8.911935E-16
3658.675,3.0891768E-16,1.7843757E-17,8.914949E-16
3664.1968,2.9512454E-16,1.7426472E-17,8.7189956E-16
3669.7188,3.3490124E-16,1.73987E-17,8.4557054E-16
3675.2405,3.331011E-16,1.6990323E-17,8.0690497E-16
3680.7625,3.1489953E-16,1.6661684E-17,8.069144E-16
3686.2842,3.2589807E-16,1.65387E-17,8.0274837E-16
3691.8062,3.2108613E-16,1.631925E-17,8.028141E-16
3697.328,3.1774826E-16,1.6087968E-17,7.9507044E-16
3702.8496,3.3725016E-16,1.6021994E-17,7.8731347E-16
3708.3716,3.4737634E-16,1.5820347E-17,7.620071E-16
3713.8933,3.6133091E-16,1.5723079E-17,7.5291287E-16
3719.4153,3.7617077E-16,1.5499168E-17,7.156272E-16
3724.937,3.7803962E-16,1.539227E-17,7.2071715E-16
3730.459,3.844925E-16,1.5198201E-17,7.0194404E-16
3735.9807,3.8958515E-16,1.4970624E-17,6.7547426E-16
3741.5027,3.8308137E-16,1.4826468E-17,6.8391987E-16
3747.0244,3.7023098E-16,1.4562404E-17,6.7606427E-16
3752.5464,3.4123868E-16,1.4166474E-17,6.6638745E-16
3758.068,3.6261674E-16,1.4181067E-17,6.607767E-16
3763.59,3.7535577E-16,1.4026593E-17,6.348778E-16
3769.1118,3.5590305E-16,1.3755967E-17,6.3274605E-16
3774.6338,3.5705906E-16,1.3655946E-17,6.3379134E-16
3780.1555,3.853318E-16,1.37087534E-17,6.236163E-16
3785.6772,3.8108084E-16,1.3467055E-17,6.015813E-16
3791.1992,3.4349423E-16,1.3058797E-17,5.949478E-16
3796.721,3.5243723E-16,1.3027038E-17,5.948853E-16
3802.243,3.4593723E-16,1.2889374E-17,5.96622E-16
3807.7646,3.3597856E-16,1.26691975E-17,5.866954E-16
3813.2866,3.520855E-16,1.2649312E-17,5.7557826E-16
3818.8083,3.3838897E-16,1.244187E-17,5.7113785E-16
3824.3303,3.5861803E-16,1.2471526E-17,5.650332E-16
3829.852,3.547229E-16,1.2371505E-17,5.673321E-16
3835.374,3.5483372E-16,1.22306115E-17,5.566774E-16
3840.8958,3.484606E-16,1.2107496E-17,5.550918E-16
3846.4177,3.6992647E-16,1.2118582E-17,5.4098586E-16
3851.9395,3.5148154E-16,1.1864523E-17,5.3060764E-16
3857.4614,3.6325694E-16,1.1789928E-17,5.1408007E-16
3862.9832,3.720064E-16,1.1771223E-17,5.1188604E-16
3868.505,3.817657E-16,1.1756031E-17,5.088307E-16
3874.0269,3.622745E-16,1.14728975E-17,4.915112E-16
3879.5486,3.660913E-16,1.1465207E-17,4.9910014E-16
3885.0706,3.6645433E-16,1.1417285E-17,5.025628E-16
3890.5923,3.503922E-16,1.1251643E-17,5.0483243E-16
3896.1143,3.5639758E-16,1.1228046E-17,5.032655E-16
3901.636,3.6174045E-16,1.1162617E-17,4.9405203E-16
3907.158,3.5950963E-16,1.1079496E-17,4.9240355E-16
3912.6797,3.8343088E-16,1.10942126E-17,4.7149655E-16
3918.2017,3.5672017E-16,1.08563675E-17,4.709373E-16
3923.7234,3.3321813E-16,1.05892775E-17,4.603628E-16
3929.2454,3.4013283E-16,1.0577587E-17,4.593748E-16
3934.767,3.2308836E-16,1.0448665E-17,4.6804494E-16
3940.289,2.966425E-16,1.0204784E-17,4.6532936E-16
3945.8108,2.9644954E-16,1.0119402E-17,4.576394E-16
3951.3325,2.8417495E-16,9.937608E-18,4.483447E-16
3956.8545,2.6520056E-16,9.725283E-18,4.4448414E-16
3962.3762,2.6193515E-16,9.602444E-18,4.328943E-16
3967.8982,2.5273756E-16,9.5204816E-18,4.3945774E-16
3973.42,2.44173E-16,9.414436E-18,4.3914354E-16
3978.942,2.324865E-16,9.264976E-18,4.3479326E-16
3984.4636,2.3771315E-16,9.2895146E-18,4.4158546E-16
3989.9856,2.1858107E-16,9.112641E-18,4.4115294E-16
3995.5073,2.1794234E-16,9.057945E-18,4.3915606E-16
4001.0293,2.0154244E-16,8.864014E-18,4.318183E-16
4006.551,2.0351506E-16,8.816562E-18,4.2637487E-16
4012.073,1.9695333E-16,8.73659E-18,4.2760817E-16
4017.5947,1.9386112E-16,8.659484E-18,4.238988E-16
4023.1167,1.8967735E-16,8.6015625E-18,4.2608402E-16
4028.6384,1.8526532E-16,8.510681E-18,4.2172865E-16
4034.1602,1.9530657E-16,8.549598E-18,4.204914E-16
4039.6821,1.9504618E-16,8.518342E-18,4.2145294E-16
4045.2039,2.0457092E-16,8.5419526E-18,4.1816913E-16
4050.7258,2.2885771E-16,8.634398E-18,4.0698776E-16
4056.2476,2.1748024E-16,8.564756E-18,4.1709885E-16
4061.7695,2.3227417E-16,8.575834E-18,4.0269177E-16
4067.2913,2.3993455E-16,8.5677804E-18,3.9544196E-16
4072.8132,2.1125008E-16,8.3646795E-18,4.0337408E-16
4078.335,2.0591518E-16,8.278242E-18,3.9943297E-16
4083.857,2.0026332E-16,8.204773E-18,3.967553E-16
4089.3787,1.9891454E-16,8.140209E-18,3.9214285E-16
4094.9006,2.0329789E-16,8.115106E-18,3.8480805E-16
4100.4224,1.9852876E-16,8.042486E-18,3.8251756E-16
4105.9443,1.9132456E-16,7.970869E-18,3.8489174E-16
4111.4663,1.8184614E-16,7.860322E-18,3.8142717E-16
4116.988,1.9143494E-16,7.8643485E-18,3.7355588E-16
4122.51,1.9277174E-16,7.922737E-18,3.875172E-16
4128.0317,1.9002553E-16,7.834541E-18,3.784858E-16
4133.553,2.0421431E-16,7.889545E-18,3.7249203E-16
4139.075,2.0542056E-16,7.886912E-18,3.7559876E-16
4144.597,2.1783505E-16,7.960884E-18,3.7698244E-16
4150.119,2.2644748E-16,7.972735E-18,3.7106173E-16
4155.6406,2.4676997E-16,8.0866624E-18,3.6938972E-16
4161.1626,2.4913698E-16,8.1051995E-18,3.7464344E-16
4166.6846,2.7976818E-16,8.256476E-18,3.6604934E-16
4172.2065,2.7026664E-16,8.221058E-18,3.776715E-16
4177.728,3.026596E-16,8.381717E-18,3.6987295E-16
4183.25,3.0503218E-16,8.338683E-18,3.6138377E-16
4188.772,3.0870171E-16,8.362765E-18,3.660069E-16
4194.294,3.3003707E-16,8.459558E-18,3.612428E-16
4199.8154,3.3049248E-16,8.414892E-18,3.5514053E-16
4205.3374,3.4301314E-16,8.450263E-18,3.4929966E-16
4210.8594,3.4506206E-16,8.4562385E-18,3.5266481E-16
4216.381,3.5083686E-16,8.464929E-18,3.5084433E-16
4221.903,3.6059418E-16,8.473767E-18,3.438787E-16
4227.425,3.624364E-16,8.475858E-18,3.464042E-16
4232.947,3.8094245E-16,8.573598E-18,3.4673098E-16
4238.4683,3.7937513E-16,8.545651E-18,3.4653714E-16
4243.99,3.8384325E-16,8.568794E-18,3.5030906E-16
4249.512,3.827449E-16,8.504625E-18,3.4089693E-16
4255.034,4.183635E-16,8.68584E-18,3.3750893E-16
4260.5557,4.1076254E-16,8.644107E-18,3.4273187E-16
4266.0776,4.0168566E-16,8.577353E-18,3.4370066E-16
4271.5996,4.0337517E-16,8.500899E-18,3.2746556E-16
4277.1216,4.0997348E-16,8.5346634E-18,3.299797E-16
4282.643,3.8985917E-16,8.424205E-18,3.3462299E-16
4288.165,3.8229577E-16,8.3639565E-18,3.3505106E-16
4293.687,3.8113947E-16,8.302048E-18,3.2483322E-16
4299.2085,3.4842674E-16,8.107863E-18,3.3063833E-16
4304.7305,3.4669612E-16,8.0792815E-18,3.297277E-16
4310.2524,3.5411218E-16,8.08437E-18,3.2347365E-16
4315.7744,3.481518E-16,8.02845E-18,3.2259912E-16
4321.296,3.4281528E-16,7.981628E-18,3.2313007E-16
4326.818,3.385873E-16,7.95767E-18,3.2719903E-16
4332.34,3.4646215E-16,7.972142E-18,3.223722E-16
4337.862,3.4250105E-16,7.934722E-18,3.2331443E-16
4343.3833,3.35485E-16,7.8900275E-18,3.2497541E-16
4348.9053,3.4106348E-16,7.915817E-18,3.2648088E-16
4354.4272,3.4710013E-16,7.97351E-18,3.343697E-16
4359.949,3.537263E-16,7.980931E-18,3.2949621E-16
4365.4707,3.6337896E-16,8.012724E-18,3.2583632E-16
4370.9927,3.7162546E-16,8.048319E-18,3.2539647E-16
4376.5146,3.6638233E-16,7.9966685E-18,3.2425022E-16
4382.036,3.632702E-16,7.951297E-18,3.2023926E-16
4387.558,3.6762291E-16,7.9699696E-18,3.2065668E-16
4393.08,3.7889883E-16,7.9975685E-18,3.1427972E-16
4398.602,3.8211366E-16,8.016222E-18,3.1703398E-16
4404.1235,3.827176E-16,7.9977E-18,3.1398484E-16
4409.6455,3.7506764E-16,7.933077E-18,3.1415698E-16
4415.1675,3.6110544E-16,7.904321E-18,3.3029647E-16
4420.6895,3.7508207E-16,7.9375515E-18,3.2168458E-16
4426.211,3.5244038E-16,7.811687E-18,3.268456E-16
4431.733,3.667866E-16,7.8477206E-18,3.169173E-16
4437.255,3.479692E-16,7.715728E-18,3.15531E-16
4442.777,3.5541026E-16,7.744091E-18,3.1307902E-16
4448.2983,3.5393653E-16,7.718513E-18,3.119233E-16
4453.8203,3.3045177E-16,7.5548035E-18,3.0845568E-16
4459.3423,3.3951794E-16,7.578843E-18,3.0246676E-16
4464.864,3.3031397E-16,7.540245E-18,3.0936168E-16
4470.3857,3.2526558E-16,7.527682E-18,3.1573188E-16
4475.9077,3.2561124E-16,7.4906945E-18,3.0833609E-16
4481.4297,3.1268814E-16,7.3927315E-18,3.0645472E-16
4486.951,3.1121033E-16,7.388838E-18,3.1039972E-16
4492.473,3.1019143E-16,7.353469E-18,3.0507366E-16
4497.995,3.0876373E-16,7.331682E-18,3.041389E-16
4503.517,3.0781574E-16,7.333179E-18,3.0856502E-16
4509.0386,2.9728098E-16,7.281312E-18,3.137072E-16
4514.5605,2.9717153E-16,7.236551E-18,3.0484816E-16
4520.0825,3.100739E-16,7.297806E-18,3.0171446E-16
4525.6045,2.8332675E-16,7.138649E-18,3.058848E-16
4531.126,2.7642396E-16,7.085371E-18,3.0563135E-16
4536.648,2.8572597E-16,7.144848E-18,3.071836E-16
4542.17,2.7339029E-16,7.044277E-18,3.036288E-16
4547.6914,2.6091317E-16,6.96665E-18,3.0618386E-16
4553.2134,2.5940418E-16,6.9332877E-18,3.013394E-16
4558.7354,2.5192618E-16,6.8588787E-18,2.968065E-16
4564.2573,2.486148E-16,6.8015017E-18,2.8994594E-16
4569.779,2.3440493E-16,6.733253E-18,2.9743435E-16
4575.301,2.295872E-16,6.7044473E-18,2.997507E-16
4580.8228,2.2967073E-16,6.700006E-18,3.003169E-16
4586.3447,2.2283984E-16,6.6490337E-18,2.991721E-16
4591.866,2.244607E-16,6.6337184E-18,2.9427653E-16
4597.388,2.1040955E-16,6.5406085E-18,2.9637945E-16
4602.91,2.0441758E-16,6.526895E-18,3.039488E-16
4608.432,2.0218103E-16,6.4778003E-18,2.976363E-16
4613.9536,2.0035135E-16,6.456814E-18,2.966628E-16
4619.4756,2.0010388E-16,6.4110294E-18,2.8798485E-16
4624.9976,1.9532601E-16,6.4008137E-18,2.948924E-16
4630.519,1.9194345E-16,6.37892E-18,2.9593693E-16
4636.041,1.9261955E-16,6.370778E-18,2.942116E-16
4641.563,1.8446014E-16,6.289707E-18,2.9006162E-16
4647.085,1.8536497E-16,6.287527E-18,2.8931064E-16
4652.6064,1.9334394E-16,6.3519675E-18,2.9194137E-16
4658.1284,1.8515268E-16,6.2822573E-18,2.9043815E-16
4663.6504,2.0036992E-16,6.376598E-18,2.8865038E-16
4669.1724,1.974756E-16,6.3878688E-18,2.964833E-16
4674.694,1.9534098E-16,6.324043E-18,2.8649635E-16
4680.216,2.2282213E-16,6.4748295E-18,2.7928238E-16
4685.738,2.1973186E-16,6.4798223E-18,2.8517815E-16
4691.26,2.1984933E-16,6.481691E-18,2.8662208E-16
4696.7812,2.2239287E-16,6.513305E-18,2.9120675E-16
4702.303,2.2776597E-16,6.5382585E-18,2.8932208E-16
4707.825,2.3436256E-16,6.5560714E-18,2.8421097E-16
4713.3467,2.3879852E-16,6.5809274E-18,2.8395313E-16
4718.8687,2.415062E-16,6.5973787E-18,2.850496E-16
4724.3906,2.41509E-16,6.5792196E-18,2.818325E-16
