WAVE,FLUX,ERR,BGFLUX
3633.2573,2.285529E-16,1.2244631E-17,8.958336E-16
3638.777,2.5376406E-16,1.2424889E-17,9.23335E-16
3644.2966,2.4291703E-16,1.2414565E-17,9.659366E-16
3649.8164,2.6652426E-16,1.2532508E-17,1.0015123E-15
3655.3362,2.5894348E-16,1.2359294E-17,1.0037873E-15
3660.856,2.3765526E-16,1.191248E-17,9.589457E-16
3666.3755,2.4113326E-16,1.1652671E-17,9.289598E-16
3671.8953,2.431379E-16,1.1431568E-17,9.063928E-16
3677.415,2.5532855E-16,1.1372551E-17,9.091408E-16
3682.9348,2.4409893E-16,1.13265775E-17,9.386458E-16
3688.4546,2.5699046E-16,1.1311678E-17,9.496192E-16
3693.974,2.318047E-16,1.1036837E-17,9.391268E-16
3699.494,2.3498129E-16,1.0874706E-17,9.244344E-16
3705.0137,2.4564016E-16,1.0661834E-17,8.887699E-16
3710.5334,2.4104424E-16,1.0475117E-17,8.7404716E-16
3716.0532,2.247972E-16,1.0176765E-17,8.4481425E-16
3721.5728,2.2226862E-16,9.655289E-18,7.8673214E-16
3727.0925,2.3927363E-16,9.527858E-18,7.6148585E-16
3732.6123,2.382673E-16,9.3261016E-18,7.365794E-16
3738.132,2.413751E-16,9.262584E-18,7.3857954E-16
3743.6519,2.3956358E-16,9.298882E-18,7.682258E-16
3749.1714,2.1977961E-16,9.28501E-18,8.041148E-16
3754.6912,2.348313E-16,9.3685475E-18,8.2892635E-16
3760.211,2.385159E-16,9.3922016E-18,8.5047635E-16
3765.7307,2.2460897E-16,9.469172E-18,9.034657E-16
3771.2502,2.4620225E-16,9.664112E-18,9.5218E-16
3776.77,2.5430534E-16,9.597966E-18,9.469117E-16
3782.2898,2.2823162E-16,9.190922E-18,8.848941E-16
3787.8096,2.3079874E-16,8.921511E-18,8.3095997E-16
3793.3293,2.5389238E-16,8.9197475E-18,8.2441696E-16
3798.8489,2.644201E-16,9.030326E-18,8.595342E-16
3804.3687,3.1371856E-16,9.061657E-18,8.358311E-16
3809.8884,2.9835979E-16,8.931721E-18,7.6521756E-16
3815.4082,2.8311602E-16,8.403053E-18,6.652088E-16
3820.928,2.615221E-16,7.968459E-18,5.9646874E-16
3826.4475,2.5216208E-16,7.764521E-18,5.713688E-16
3831.9673,2.575531E-16,7.815943E-18,5.899666E-16
3837.487,2.6024566E-16,8.046631E-18,6.5503234E-16
3843.0068,2.6216178E-16,8.191098E-18,7.016732E-16
3848.5264,2.4749548E-16,8.1492105E-18,7.19259E-16
3854.0461,2.4952286E-16,8.100523E-18,7.182139E-16
3859.566,2.34091E-16,7.954003E-18,7.094632E-16
3865.0857,2.941744E-16,8.073276E-18,6.9168223E-16
3870.6055,2.5005866E-16,7.901426E-18,7.0423553E-16
3876.125,2.3975172E-16,7.728054E-18,6.826434E-16
3881.6448,2.3316866E-16,7.765325E-18,7.1001875E-16
3887.1646,2.39369E-16,7.8783246E-18,7.448645E-16
3892.6843,2.5253432E-16,8.064527E-18,7.939486E-16
3898.204,2.6831288E-16,8.231635E-18,8.367509E-16
3903.7236,2.631576E-16,8.257512E-18,8.618134E-16
3909.2434,2.556696E-16,8.166525E-18,8.555756E-16
3914.7632,2.4910368E-16,7.953201E-18,8.130153E-16
3920.283,2.4705328E-16,7.4568115E-18,6.892888E-16
3925.8027,2.457988E-16,6.7799867E-18,5.625849E-16
3931.3223,2.770803E-16,6.6807035E-18,5.1501816E-16
3936.842,2.716407E-16,6.8422924E-18,5.7035313E-16
3942.3618,2.7627277E-16,7.322592E-18,7.055693E-16
3947.8816,2.821535E-16,7.625723E-18,7.98249E-16
3953.4011,2.8018145E-16,7.521904E-18,7.8055357E-16
3958.921,2.8797513E-16,7.114648E-18,6.6580157E-16
3964.4407,2.7292532E-16,6.7447294E-18,5.879689E-16
3969.9604,2.687849E-16,6.8163777E-18,6.206298E-16
3975.4802,2.756566E-16,7.2724065E-18,7.534738E-16
3980.9998,2.7264214E-16,7.722171E-18,9.048672E-16
3986.5195,2.957787E-16,8.041743E-18,9.971704E-16
3992.0393,2.9299277E-16,8.108967E-18,1.0344963E-15
3997.559,3.0559331E-16,8.109504E-18,1.0338851E-15
4003.0789,3.161652E-16,8.142963E-18,1.0465822E-15
4008.5984,3.0361446E-16,8.129442E-18,1.066152E-15
4014.1182,3.0012251E-16,8.135289E-18,1.0833215E-15
4019.638,2.9284182E-16,8.3074E-18,1.0923538E-15
4025.1577,3.0227128E-16,8.241286E-18,1.0713073E-15
4030.6775,2.9619932E-16,8.1522024E-18,1.0582564E-15
4036.197,3.152756E-16,8.133468E-18,1.0433922E-15
4041.7168,3.0713044E-16,8.050042E-18,1.033981E-15
4047.2366,3.0795876E-16,8.0054655E-18,1.0284544E-15
4052.7563,2.9181087E-16,7.866613E-18,1.007627E-15
4058.276,2.8867185E-16,7.7922E-18,9.94997E-16
4063.7957,2.964766E-16,7.7590575E-18,9.856874E-16
4069.3154,2.788234E-16,7.686452E-18,9.880086E-16
4074.8352,2.940965E-16,7.7685974E-18,1.0101123E-15
4080.355,3.2577284E-16,7.879877E-18,1.0260599E-15
4085.8745,3.1255812E-16,7.877755E-18,1.0481297E-15
4091.3943,3.135744E-16,7.794522E-18,1.0263964E-15
4096.914,3.140781E-16,7.636354E-18,9.780682E-16
4102.4336,2.8775184E-16,7.544635E-18,9.815865E-16
4107.9536,2.9659084E-16,7.571243E-18,9.894923E-16
4113.473,2.830969E-16,7.6679006E-18,1.0458631E-15
4118.993,2.7229558E-16,7.667331E-18,1.0651863E-15
4124.5127,2.8768198E-16,7.647648E-18,1.0498302E-15
4130.032,2.9123436E-16,7.610321E-18,1.0403429E-15
4135.5522,2.8370527E-16,7.55691E-18,1.036144E-15
4141.072,2.7248814E-16,7.5232945E-18,1.043027E-15
4146.592,2.74106E-16,7.317665E-18,1.0318754E-15
4152.1113,2.7182531E-16,7.2909155E-18,1.0324243E-15
4157.631,2.7078508E-16,7.27428E-18,1.0349668E-15
4163.151,2.8081707E-16,7.3118465E-18,1.0463741E-15
4168.6704,2.6481326E-16,7.2069004E-18,1.030693E-15
4174.1904,2.6461592E-16,7.1055485E-18,1.0007144E-15
4179.71,2.7473916E-16,7.06972E-18,9.84061E-16
4185.2295,2.5653062E-16,7.002617E-18,9.845196E-16
4190.7495,2.4230894E-16,6.9199097E-18,9.751126E-16
4196.269,2.3955931E-16,6.9011286E-18,9.778225E-16
4201.7886,2.464494E-16,6.9111982E-18,9.813034E-16
4207.3086,2.505127E-16,6.942723E-18,9.954951E-16
4212.828,2.5647284E-16,7.005835E-18,1.0198395E-15
4218.348,2.6032681E-16,6.9155877E-18,9.890471E-16
4223.8677,2.5596039E-16,6.8047293E-18,9.585889E-16
4229.387,2.6492507E-16,6.7724275E-18,9.440213E-16
4234.907,2.579993E-16,6.744797E-18,9.469254E-16
4240.427,2.6244138E-16,6.7928175E-18,9.660137E-16
4245.947,2.6656955E-16,6.7584924E-18,9.549535E-16
4251.4663,2.6152386E-16,6.7316488E-18,9.556662E-16
4256.986,2.7392103E-16,6.8752866E-18,9.436257E-16
4262.506,2.6606872E-16,6.819452E-18,9.370872E-16
4268.0254,2.5850111E-16,6.755091E-18,9.266084E-16
4273.5454,2.7894423E-16,6.747206E-18,9.083287E-16
4279.065,2.711674E-16,6.7005108E-18,9.041808E-16
4284.5845,2.66107E-16,6.6465947E-18,8.948643E-16
4290.1045,2.780098E-16,6.588911E-18,8.669109E-16
4295.624,2.7328856E-16,6.3917834E-18,8.0655975E-16
4301.144,2.7847926E-16,6.1930007E-18,7.37282E-16
4306.6636,2.6404772E-16,6.1014848E-18,7.253814E-16
4312.183,2.5875435E-16,6.2502466E-18,7.8655347E-16
4317.703,2.6089928E-16,6.4516754E-18,8.604122E-16
