WAVE,FLUX,ERR,BGFLUX
3311.7354,1.641042E-15,3.567013E-16,2.1527376E-15
3315.8093,-5.5483824E-16,3.4428716E-16,3.1043823E-15
3319.8833,1.833294E-15,3.4539124E-16,1.6308123E-15
3323.9575,1.1263257E-16,3.2487411E-16,2.5913194E-15
3328.0315,-1.5206276E-16,3.1452247E-16,2.5624538E-15
3332.1057,-8.6552434E-17,3.1023206E-16,3.1649481E-15
3336.1797,3.262092E-16,2.9944401E-16,2.6658846E-15
3340.254,8.366955E-16,2.9862406E-16,3.0234418E-15
3344.328,5.397346E-16,2.9181937E-16,3.632899E-15
3348.402,5.137412E-16,2.8162758E-16,3.3585708E-15
3352.476,-1.1200677E-16,2.7171253E-16,3.4700198E-15
3356.5503,-5.1590114E-16,2.6646262E-16,3.6886603E-15
3360.6243,-1.5509875E-16,2.601733E-16,3.7450626E-15
3364.6985,-4.3777498E-16,2.4892403E-16,3.1773125E-15
3368.7725,4.4663084E-16,2.4388583E-16,2.7320641E-15
3372.8467,1.0429323E-15,2.360439E-16,1.999981E-15
3376.9207,5.814559E-16,2.2416547E-16,1.794905E-15
3380.9949,4.5754915E-16,2.2018742E-16,2.0416452E-15
3385.0688,4.8272926E-16,2.1148347E-16,1.6546724E-15
3389.143,1.894892E-17,2.0935486E-16,2.3936003E-15
3393.217,9.161657E-17,2.0653136E-16,2.3670376E-15
3397.2913,-8.579643E-20,2.003411E-16,2.1989833E-15
3401.3652,-2.6644967E-16,1.9823708E-16,2.452358E-15
3405.4395,1.5018768E-17,1.9119075E-16,2.1202029E-15
3409.5134,3.897974E-16,1.9267734E-16,2.3648232E-15
3413.5876,5.01048E-16,1.8715256E-16,2.0265399E-15
3417.6616,8.569529E-16,1.8493683E-16,1.8052915E-15
3421.7358,4.2704196E-16,1.8012234E-16,2.1441953E-15
3425.8098,1.2391978E-16,1.7575825E-16,2.3461335E-15
3429.884,1.1945245E-16,1.7145679E-16,2.2153471E-15
3433.958,8.1719203E-16,1.7215393E-16,1.857673E-15
3438.0322,6.195577E-16,1.716836E-16,2.419529E-15
3442.1062,5.030171E-16,1.6529282E-16,2.075418E-15
3446.1804,4.1405255E-16,1.6129696E-16,2.0202263E-15
3450.2544,7.737513E-16,1.5942813E-16,1.6856827E-15
3454.3286,6.467478E-16,1.571702E-16,1.870387E-15
3458.4026,7.526038E-16,1.56785E-16,1.995676E-15
3462.4768,4.042865E-16,1.564842E-16,2.6691994E-15
3466.5508,6.609319E-16,1.5509077E-16,2.4339144E-15
3470.625,7.492836E-16,1.5375321E-16,2.4079487E-15
3474.699,-4.4475166E-17,1.4831976E-16,2.8103448E-15
3478.7732,2.4029618E-16,1.4457262E-16,2.3765602E-15
3482.8472,3.6938194E-16,1.4257973E-16,2.2109644E-15
3486.9214,2.8099585E-16,1.3803974E-16,1.9701444E-15
3490.9954,6.4888595E-16,1.3832249E-16,1.7791222E-15
3495.0696,8.39268E-16,1.3710589E-16,1.633831E-15
3499.1436,6.692888E-16,1.3253174E-16,1.4975714E-15
3503.2178,4.3494827E-16,1.3070261E-16,1.7304066E-15
3507.2917,5.3479405E-16,1.2944862E-16,1.6474531E-15
3511.366,8.03024E-16,1.2766641E-16,1.2840345E-15
3515.44,5.877269E-16,1.258077E-16,1.4726021E-15
3519.5142,4.788834E-16,1.245469E-16,1.653581E-15
3523.5881,7.36751E-16,1.2564449E-16,1.6939881E-15
3527.662,5.946681E-16,1.2719235E-16,2.2168601E-15
3531.7363,5.494586E-16,1.2648803E-16,2.3021746E-15
3535.8103,1.5958188E-16,1.2484372E-16,2.742321E-15
3539.8845,4.3660927E-16,1.2492782E-16,2.6047025E-15
3543.9585,7.87485E-16,1.2742048E-16,2.6932586E-15
3548.0327,5.0900084E-16,1.1966756E-16,2.1547963E-15
3552.1067,5.258736E-16,1.1846058E-16,2.153053E-15
3556.181,5.4048087E-16,1.1553506E-16,1.9308876E-15
3560.255,7.949299E-16,1.135933E-16,1.5501302E-15
3564.329,5.034483E-16,1.08670635E-16,1.4205127E-15
3568.403,5.3657303E-16,1.0499815E-16,1.0803056E-15
3572.4773,3.2734314E-16,1.0434287E-16,1.4088339E-15
3576.5513,5.0761716E-16,1.0368737E-16,1.2509348E-15
3580.6255,5.134592E-16,1.02493064E-16,1.2408613E-15
3584.6995,4.611818E-16,1.02436115E-16,1.3945779E-15
3588.7737,2.9899027E-16,9.876034E-17,1.2902664E-15
3592.8477,3.4556967E-16,9.889365E-17,1.3865051E-15
3596.9219,6.0781766E-16,9.764755E-17,1.0488491E-15
3600.9958,4.1717056E-16,9.761261E-17,1.3911563E-15
