WAVE,FLUX,ERR,BGFLUX
5984.869,4.0282034E-14,5.7736644E-17,2.7460075E-16
5989.0825,3.991849E-14,6.3012124E-17,2.760026E-16
5993.2964,3.9451488E-14,5.689933E-17,2.8551397E-16
5997.5103,3.927677E-14,5.669284E-17,2.7924924E-16
6001.724,3.914608E-14,5.662971E-17,2.9500096E-16
6005.9375,3.8711408E-14,5.6303637E-17,2.725487E-16
6010.1514,3.865939E-14,5.620726E-17,2.6390256E-16
6014.365,3.829661E-14,5.596247E-17,2.6695816E-16
6018.5786,3.797679E-14,5.1336066E-17,2.588648E-16
6022.7925,3.7648033E-14,5.108988E-17,2.733017E-16
6027.0063,3.7454784E-14,5.092888E-17,2.8130157E-16
6031.22,3.7216913E-14,5.0733753E-17,2.8493127E-16
6035.4336,3.7029584E-14,5.0559625E-17,2.715189E-16
6039.6475,3.6752112E-14,5.0326082E-17,2.6220752E-16
6043.8613,3.6573365E-14,5.0165202E-17,2.6145795E-16
6048.075,3.6353573E-14,4.9965114E-17,2.4663987E-16
6052.2886,3.6090512E-14,4.9758438E-17,2.6334056E-16
6056.5024,3.579858E-14,4.9516183E-17,2.5976393E-16
6060.7163,3.5444222E-14,4.9228162E-17,2.5241934E-16
6064.9297,3.510502E-14,4.8645185E-17,2.531795E-16
6069.1436,3.468313E-14,4.8309376E-17,2.4843397E-16
6073.3574,3.4339163E-14,4.8032644E-17,2.5404114E-16
6077.5713,3.378149E-14,4.7601316E-17,2.5253745E-16
6081.7847,3.3204698E-14,4.7148097E-17,2.4406992E-16
6085.9985,3.278216E-14,4.6806766E-17,2.430724E-16
6090.2124,3.2363794E-14,4.647531E-17,2.5226656E-16
6094.4263,3.1869245E-14,4.607628E-17,2.4542867E-16
6098.6396,3.1553034E-14,4.5803095E-17,2.3750534E-16
6102.8535,3.1038784E-14,4.5403355E-17,2.4984597E-16
6107.0674,3.0636785E-14,4.8980732E-17,2.3398523E-16
6111.281,3.0201475E-14,4.471243E-17,2.4439375E-16
6115.4946,2.9479582E-14,4.4130046E-17,2.2635299E-16
6119.7085,2.878004E-14,4.3570194E-17,2.2407436E-16
6123.9224,2.8225552E-14,4.3116184E-17,2.241104E-16
6128.1357,2.7660154E-14,4.2643626E-17,2.1508841E-16
6132.3496,2.7028535E-14,4.2126886E-17,2.1876383E-16
6136.5635,2.6574329E-14,4.174276E-17,2.2150806E-16
6140.777,2.604963E-14,4.1296754E-17,2.203289E-16
6144.9907,2.562913E-14,4.0920837E-17,2.0785156E-16
6149.2046,2.528065E-14,4.0614988E-17,2.1259537E-16
6153.4185,2.4838631E-14,4.0234217E-17,2.1883995E-16
6157.632,2.4609746E-14,4.0003222E-17,2.0295767E-16
6161.8457,2.4461715E-14,3.985774E-17,2.1145562E-16
6166.0596,2.4448783E-14,3.980705E-17,2.0387657E-16
6170.2734,2.4481126E-14,3.9808494E-17,2.1560365E-16
6174.487,2.4616544E-14,3.9883238E-17,2.1757907E-16
6178.7007,2.4680622E-14,4.3365413E-17,2.0970654E-16
6182.9146,2.5058265E-14,4.0158636E-17,2.132328E-16
6187.128,2.5369457E-14,4.0365008E-17,2.0974284E-16
6191.342,2.5866972E-14,4.0717493E-17,2.0764098E-16
6195.5557,2.6276868E-14,4.4568485E-17,2.074095E-16
6199.7695,2.678724E-14,4.4984692E-17,2.1384787E-16
6203.983,2.7438104E-14,4.544702E-17,2.0936779E-16
6208.197,2.8086886E-14,4.226948E-17,2.1665046E-16
6212.4106,2.8650778E-14,4.2646382E-17,2.1211398E-16
6216.6245,2.9218212E-14,4.3026964E-17,2.1188058E-16
6220.838,2.950092E-14,4.6968142E-17,2.0960366E-16
6225.052,2.9946155E-14,4.7260524E-17,2.2865136E-16
6229.2656,3.036381E-14,4.7554693E-17,2.3364117E-16
6233.479,3.0699093E-14,4.7769975E-17,2.3233063E-16
6237.693,3.1026417E-14,4.80051E-17,2.3214674E-16
6241.9067,3.1231104E-14,4.8139758E-17,2.2401523E-16
6246.1206,3.1747483E-14,4.847547E-17,2.2989996E-16
6250.334,3.2202366E-14,4.88115E-17,2.3649951E-16
6254.548,3.253799E-14,4.9017194E-17,2.4740882E-16
6258.7617,3.3084826E-14,4.9050232E-17,2.4107918E-16
6262.975,3.3399424E-14,4.918066E-17,2.2673285E-16
6267.189,3.3763987E-14,4.56466E-17,2.1419935E-16
6271.403,3.3919455E-14,4.5623626E-17,2.1877745E-16
6275.6167,3.3908965E-14,4.5499715E-17,2.1916185E-16
6279.83,3.4011886E-14,4.550055E-17,2.2456543E-16
6284.044,3.4686274E-14,4.97401E-17,2.5833015E-16
6288.258,3.5225847E-14,5.022812E-17,4.9546695E-16
6292.4717,3.5493584E-14,5.5602326E-17,6.7904736E-16
6296.685,3.576182E-14,6.248556E-17,6.764912E-16
6300.899,3.6008133E-14,6.252821E-17,5.99391E-16
6305.113,3.622303E-14,6.239095E-17,3.1368653E-16
6309.326,3.6532382E-14,6.2530957E-17,2.26166E-16
6313.54,3.660846E-14,6.257598E-17,2.2979157E-16
6317.754,3.6800092E-14,6.269461E-17,2.3046496E-16
6321.968,3.7022882E-14,6.277531E-17,2.3379253E-16
6326.181,3.710242E-14,6.284161E-17,2.4032162E-16
6330.395,3.7169896E-14,6.281954E-17,2.3428847E-16
6334.609,3.716834E-14,6.2786383E-17,2.3500437E-16
6338.8228,3.6987262E-14,6.2586034E-17,2.1714138E-16
6343.036,3.7006527E-14,6.255497E-17,2.1814869E-16
6347.25,3.7083726E-14,6.259995E-17,2.3377405E-16
6351.464,3.6715693E-14,6.235914E-17,2.8763203E-16
6355.6772,3.6583217E-14,6.232892E-17,3.5798217E-16
6359.891,3.6362935E-14,6.2142116E-17,3.6438052E-16
6364.105,3.5956254E-14,6.179574E-17,3.4591401E-16
6368.319,3.588106E-14,6.1589936E-17,2.5833128E-16
6372.532,3.590502E-14,6.148494E-17,2.1982498E-16
6376.746,3.5751706E-14,6.135795E-17,2.3015264E-16
6380.96,3.5775646E-14,6.135267E-17,2.1532005E-16
6385.174,3.5721555E-14,6.128018E-17,2.1872653E-16
6389.387,3.5636025E-14,6.117167E-17,2.1706494E-16
6393.601,3.5784953E-14,6.1200155E-17,2.0162232E-16
6397.815,3.5631583E-14,6.1072234E-17,2.1359124E-16
6402.0283,3.5642947E-14,6.10218E-17,2.1486849E-16
6406.242,3.5553835E-14,6.0934174E-17,2.2119118E-16
6410.456,3.5302944E-14,6.076699E-17,2.159074E-16
6414.67,3.5071792E-14,6.054171E-17,2.1659802E-16
6418.8833,3.4814413E-14,6.032159E-17,2.133756E-16
6423.097,3.4791255E-14,6.026347E-17,2.1228997E-16
6427.311,3.4658555E-14,6.015258E-17,2.1760165E-16
6431.5244,3.427357E-14,5.991153E-17,2.389461E-16
6435.7383,3.4180957E-14,5.9747196E-17,2.011651E-16
6439.952,3.400159E-14,5.953426E-17,1.9612984E-16
6444.166,3.371516E-14,5.934125E-17,2.0862652E-16
6448.3794,3.3395666E-14,5.269934E-17,2.1167377E-16
6452.5933,3.3263943E-14,5.2586155E-17,2.1212021E-16
