WAVE,FLUX,ERR,BGFLUX
3631.8298,3.2258474E-16,2.5074098E-17,2.0171681E-16
3637.3494,3.2753462E-16,2.452528E-17,1.7501305E-16
3642.8687,3.6334447E-16,2.4678417E-17,2.0179701E-16
3648.3882,4.0666669E-16,2.4484869E-17,1.6655325E-16
3653.9075,3.2809144E-16,2.3117556E-17,1.432716E-16
3659.427,3.3597906E-16,2.2819028E-17,1.4031884E-16
3664.9463,3.2693044E-16,2.2236327E-17,1.2189873E-16
3670.4658,3.2776774E-16,2.1826694E-17,1.1420033E-16
3675.985,3.1228225E-16,2.131671E-17,1.1513191E-16
3681.5046,3.2725316E-16,2.124391E-17,1.3167533E-16
3687.024,3.7574472E-16,2.1390497E-17,1.3008209E-16
3692.5435,3.480041E-16,2.0856955E-17,1.3983259E-16
3698.063,3.5861324E-16,2.0591826E-17,1.3315228E-16
3703.5823,3.6897608E-16,2.0434845E-17,1.4396216E-16
3709.1018,3.407396E-16,1.9917512E-17,1.4654315E-16
3714.621,3.134198E-16,1.9367534E-17,1.4958571E-16
3720.1406,3.1775393E-16,1.9305381E-17,1.8158921E-16
3725.66,3.2949407E-16,1.9230247E-17,1.8784094E-16
3731.1794,3.1402492E-16,1.8913983E-17,2.0442707E-16
3736.6987,3.384816E-16,1.8829954E-17,1.9535657E-16
3742.2183,3.3531472E-16,1.8431996E-17,1.7341175E-16
3747.7375,3.4375932E-16,1.8214739E-17,1.6068055E-16
3753.257,3.7037982E-16,1.812824E-17,1.4031023E-16
3758.7764,3.394774E-16,1.7681249E-17,1.4806731E-16
3764.296,4.0780428E-16,1.7808079E-17,1.0549551E-16
3769.8152,3.930941E-16,1.7682468E-17,1.3895965E-16
3775.3347,3.9706202E-16,1.7374714E-17,1.0562412E-16
3780.854,3.5108658E-16,1.6758798E-17,1.0583953E-16
3786.3735,3.5987984E-16,1.667035E-17,1.0864662E-16
3791.8928,3.3406754E-16,1.6455192E-17,1.4205562E-16
3797.4124,3.3364151E-16,1.6172461E-17,1.2476742E-16
3802.9316,3.410881E-16,1.6189935E-17,1.4625505E-16
3808.4512,3.41041E-16,1.60293E-17,1.4585467E-16
3813.9705,3.4141826E-16,1.5809865E-17,1.3946019E-16
3819.49,3.1461824E-16,1.5997648E-17,1.6572499E-16
3825.0093,3.39711E-16,1.5661638E-17,1.6263134E-16
3830.5288,3.5321967E-16,1.5641502E-17,1.6288233E-16
3836.048,3.1873725E-16,1.51083E-17,1.5129509E-16
3841.5676,2.947887E-16,1.489147E-17,1.7489151E-16
3847.087,3.341642E-16,1.488182E-17,1.3071577E-16
3852.6064,3.2521592E-16,1.4588733E-17,1.2007347E-16
3858.1257,3.3239534E-16,1.4532273E-17,1.202958E-16
3863.6453,3.08348E-16,1.4165746E-17,1.2085004E-16
3869.1646,3.3340908E-16,1.4164366E-17,9.719237E-17
3874.684,3.117239E-16,1.3834294E-17,9.238603E-17
3880.2034,3.106519E-16,1.3761538E-17,9.9599044E-17
3885.723,2.9444943E-16,1.3599694E-17,1.1676684E-16
3891.2422,2.928938E-16,1.3486535E-17,1.1756391E-16
3896.7617,2.9133182E-16,1.3322403E-17,1.0918933E-16
3902.281,2.4421935E-16,1.2958786E-17,1.4230311E-16
3907.8005,2.3807237E-16,1.2850567E-17,1.5198488E-16
3913.3198,2.3365287E-16,1.2544414E-17,1.1950735E-16
3918.8394,2.3523868E-16,1.2523654E-17,1.3152943E-16
3924.359,2.1561334E-16,1.2131922E-17,1.1194721E-16
3929.8782,2.1328749E-16,1.2017683E-17,1.0795898E-16
3935.3977,2.0467339E-16,1.1888277E-17,1.1850835E-16
3940.917,2.3471315E-16,1.2113733E-17,1.1977045E-16
3946.4365,2.5425782E-16,1.2242878E-17,1.2431261E-16
3951.9558,2.370003E-16,1.2047085E-17,1.347735E-16
3957.4753,2.4534505E-16,1.1906073E-17,1.08289E-16
3962.9946,2.4840596E-16,1.17791495E-17,9.666753E-17
3968.5142,2.4138962E-16,1.1658934E-17,1.0214729E-16
3974.0334,2.6564846E-16,1.1783934E-17,9.838734E-17
3979.553,2.5550728E-16,1.16247406E-17,9.934602E-17
3985.0723,2.497778E-16,1.16219075E-17,1.217748E-16
3990.5918,2.5440132E-16,1.167366E-17,1.3673338E-16
3996.111,2.4369786E-16,1.1450613E-17,1.2702044E-16
4001.6306,2.424201E-16,1.1479828E-17,1.449577E-16
4007.15,2.329249E-16,1.1346343E-17,1.5499418E-16
4012.6694,2.355306E-16,1.1301353E-17,1.5086779E-16
4018.1887,2.3693722E-16,1.1320792E-17,1.4562348E-16
4023.7083,2.5249359E-16,1.134841E-17,1.3924105E-16
4029.2275,2.4119877E-16,1.1354696E-17,1.5341249E-16
4034.747,2.5302224E-16,1.1301771E-17,1.4825557E-16
4040.2664,2.4699907E-16,1.109404E-17,1.5703911E-16
4045.786,2.4052633E-16,1.0906382E-17,1.4421118E-16
4051.3052,2.701609E-16,1.1148736E-17,1.5586902E-16
4056.8247,2.7157255E-16,1.1130565E-17,1.588935E-16
4062.344,2.8215176E-16,1.1156224E-17,1.5928522E-16
4067.8635,2.9685598E-16,1.1190048E-17,1.5309079E-16
4073.3828,3.1334144E-16,1.1237969E-17,1.5032389E-16
4078.9023,3.2672475E-16,1.1331772E-17,1.5994956E-16
4084.4216,3.302529E-16,1.1247658E-17,1.4857432E-16
4089.9412,3.297959E-16,1.11554E-17,1.4450262E-16
4095.4604,3.4245238E-16,1.1178916E-17,1.3613553E-16
4100.98,3.5875008E-16,1.124312E-17,1.3366028E-16
4106.4995,3.3539567E-16,1.1024986E-17,1.3739932E-16
4112.0186,3.6402448E-16,1.1162066E-17,1.3032695E-16
4117.538,3.9166126E-16,1.1323723E-17,1.29943E-16
4123.0576,3.72895E-16,1.1178803E-17,1.4095445E-16
4128.577,3.9727677E-16,1.1297259E-17,1.384302E-16
4134.096,3.860171E-16,1.1190834E-17,1.4331318E-16
4139.6157,3.975211E-16,1.1251866E-17,1.470996E-16
