WAVE,FLUX,ERR,BGFLUX
3632.5833,5.7589145E-16,4.0278048E-17,1.3359619E-17
3638.1035,6.5223623E-16,3.9858178E-17,-5.027998E-17
3643.6235,6.1377924E-16,3.8807602E-17,-3.9267488E-17
3649.1438,6.91775E-16,3.9024796E-17,-3.77269E-17
3654.664,7.1242083E-16,3.8807896E-17,-9.6012855E-18
3660.1843,6.60456E-16,3.6440598E-17,-1.3407571E-16
3665.7046,6.3437114E-16,3.664969E-17,-8.096002E-18
3671.2249,5.597785E-16,3.4693143E-17,-6.21062E-17
3676.745,6.1979465E-16,3.5161827E-17,-2.7049225E-17
3682.2654,6.502494E-16,3.4984486E-17,-2.1887505E-17
3687.7856,6.672211E-16,3.4736864E-17,-1.1472446E-17
3693.306,6.9629825E-16,3.4576454E-17,-6.242408E-18
3698.826,6.9840323E-16,3.4095975E-17,8.829709E-19
3704.3462,7.329872E-16,3.3484427E-17,-6.604517E-17
3709.8665,6.381674E-16,3.234593E-17,-2.085656E-17
3715.3867,6.615147E-16,3.195084E-17,-4.8260387E-17
3720.907,7.0043944E-16,3.239558E-17,8.053766E-18
3726.4272,6.5041527E-16,3.1670492E-17,3.8742562E-17
3731.9475,6.360085E-16,3.1043963E-17,2.7385042E-17
3737.4678,7.2553094E-16,3.153188E-17,2.5288857E-17
3742.988,6.277869E-16,3.0030772E-17,1.7111404E-17
3748.5083,5.863003E-16,2.9169436E-17,1.8283846E-17
3754.0283,5.6477595E-16,2.8496686E-17,-1.2589964E-19
3759.5486,5.692553E-16,2.8031093E-17,-1.8862625E-17
3765.0688,5.3954564E-16,2.7570959E-17,9.886143E-18
3770.589,5.272853E-16,2.7070432E-17,3.0146277E-18
3776.1094,4.8976737E-16,2.6540472E-17,2.7437182E-17
3781.6296,4.46667E-16,2.5440567E-17,-9.96662E-18
3787.15,4.2818026E-16,2.4963302E-17,-1.855367E-18
3792.6702,3.6987705E-16,2.4056715E-17,4.9047207E-18
3798.1904,3.59481E-16,2.3591414E-17,-6.6870323E-18
3803.7107,3.7345333E-16,2.3644284E-17,1.574674E-17
3809.2307,3.2102157E-16,2.2617102E-17,-4.4972912E-18
3814.751,3.2626256E-16,2.2214809E-17,-3.1580412E-17
3820.2712,2.9774524E-16,2.2230227E-17,3.8804707E-17
3825.7915,2.7234822E-16,2.1683016E-17,4.0146328E-17
3831.3118,2.805584E-16,2.1325394E-17,1.1026081E-17
3836.832,2.5136619E-16,2.0743804E-17,1.2352396E-17
3842.3523,3.0353045E-16,2.1163191E-17,1.00490425E-17
3847.8726,2.6340297E-16,2.0272675E-17,-1.1658249E-17
3853.3928,2.4662632E-16,2.0036945E-17,9.698385E-18
3858.913,2.1034652E-16,1.9739163E-17,5.072563E-17
3864.433,2.887546E-16,1.9775703E-17,-3.508228E-17
3869.9534,2.5534158E-16,1.9408647E-17,-4.625022E-18
3875.4736,2.3444834E-16,1.9240921E-17,2.3386753E-17
3880.994,2.8913528E-16,1.9636429E-17,7.069514E-18
3886.5142,3.146902E-16,1.9564499E-17,-7.493882E-18
3892.0344,3.3137313E-16,1.9793727E-17,9.156197E-18
3897.5547,3.27308E-16,1.9710842E-17,2.1755553E-17
3903.075,3.923045E-16,2.0321028E-17,2.6217246E-17
3908.5952,4.1890141E-16,2.0529569E-17,3.8051106E-17
3914.1155,4.1650635E-16,2.0376575E-17,3.9300327E-17
3919.6355,3.7581595E-16,1.9836613E-17,4.9125764E-17
3925.1558,4.450372E-16,1.9813743E-17,-3.865908E-17
3930.676,3.8594394E-16,1.9509892E-17,2.5514447E-17
3936.1963,3.5379942E-16,1.9030834E-17,2.2822123E-17
3941.7166,4.059066E-16,1.9336407E-17,1.1618174E-17
3947.2368,3.6661389E-16,1.8885041E-17,2.3650277E-17
3952.757,3.5621076E-16,1.8784345E-17,4.3501872E-17
3958.2773,3.8025149E-16,1.8775169E-17,2.2112794E-17
3963.7976,3.8470212E-16,1.8600678E-17,5.6531455E-18
3969.3179,4.136856E-16,1.8738607E-17,-1.7790666E-19
3974.838,3.6517255E-16,1.833365E-17,3.456389E-17
3980.3582,4.235498E-16,1.8629525E-17,2.5428111E-18
3985.8784,3.771745E-16,1.8020555E-17,1.0360917E-18
3991.3987,4.1134448E-16,1.8394512E-17,1.9681317E-17
3996.919,4.551514E-16,1.8895935E-17,3.797643E-17
4002.4392,5.161749E-16,1.9405753E-17,3.9560386E-17
4007.9595,5.017436E-16,1.9342743E-17,6.339865E-17
4013.4797,5.044785E-16,1.9304066E-17,6.812982E-17
4019.0,6.090199E-16,1.998755E-17,3.5559704E-17
4024.5203,6.189638E-16,2.0034382E-17,4.326887E-17
4030.0403,6.33471E-16,2.0192597E-17,6.200129E-17
4035.5605,6.584107E-16,2.0214651E-17,4.8843033E-17
4041.0808,6.357158E-16,1.9918517E-17,5.0473562E-17
4046.601,6.864591E-16,2.0358908E-17,6.213635E-17
4052.1213,6.739751E-16,2.0099548E-17,5.4942124E-17
4057.6416,6.8932886E-16,2.0078342E-17,4.938964E-17
4063.1619,7.0600916E-16,2.017377E-17,5.1844197E-17
4068.6821,7.015964E-16,1.9995774E-17,4.563062E-17
4074.2024,7.272362E-16,2.017129E-17,5.3782066E-17
4079.7227,7.30304E-16,2.0101682E-17,5.1054868E-17
4085.2427,6.9697153E-16,1.9825188E-17,6.635172E-17
4090.763,7.7106013E-16,2.0279808E-17,5.1727558E-17
4096.283,7.7105404E-16,2.0159962E-17,4.551711E-17
4101.8037,7.613831E-16,1.9922688E-17,3.5130738E-17
4107.3237,7.59825E-16,1.9893108E-17,4.5717674E-17
4112.8438,7.8535243E-16,1.9992262E-17,3.9740744E-17
4118.3643,8.109208E-16,2.0234234E-17,5.593474E-17
4123.8843,7.8274246E-16,1.9932702E-17,5.757466E-17
4129.405,8.101174E-16,2.0013038E-17,4.607198E-17
4134.925,7.778082E-16,1.951095E-17,2.0323702E-17
4140.4453,8.137521E-16,1.9703659E-17,1.8132304E-17
4145.9653,7.7118056E-16,1.9463475E-17,4.5229137E-17
4151.486,7.1164066E-16,1.878818E-17,2.9595685E-17
4157.006,7.0487864E-16,1.8818812E-17,5.1535175E-17
4162.5264,6.8530503E-16,1.8603352E-17,5.3321105E-17
4168.0464,6.995292E-16,1.8759007E-17,7.1597935E-17
4173.5664,6.902093E-16,1.8565991E-17,6.331247E-17
4179.087,6.981885E-16,1.8470434E-17,4.648807E-17
4184.607,6.977401E-16,1.8441176E-17,5.1272804E-17
4190.1274,7.445939E-16,1.8851143E-17,6.874291E-17
4195.6475,7.189202E-16,1.8435756E-17,4.0370712E-17
4201.168,7.342253E-16,1.8444625E-17,3.193339E-17
4206.688,7.8462414E-16,1.8850645E-17,4.2335325E-17
4212.2085,7.5143977E-16,1.8568438E-17,4.763136E-17
4217.7285,7.425298E-16,1.8328435E-17,3.2946203E-17
4223.2485,7.5368044E-16,1.8470577E-17,5.0226705E-17
4228.769,7.915488E-16,1.8584618E-17,2.6164618E-17
4234.289,7.701409E-16,1.8398237E-17,3.4957516E-17
4239.8096,7.9624056E-16,1.8573603E-17,4.4544745E-17
4245.3296,7.888162E-16,1.8445097E-17,3.5198808E-17
4250.85,7.8198743E-16,1.8288508E-17,2.9624772E-17
4256.37,7.7535326E-16,1.8132042E-17,1.8399271E-17
4261.8906,7.693771E-16,1.8152177E-17,3.7378505E-17
4267.4106,7.9999504E-16,1.8283843E-17,3.193765E-17
4272.931,7.260079E-16,1.7806571E-17,5.71204E-17
4278.451,7.6521777E-16,1.7823451E-17,1.0575383E-17
4283.971,7.519855E-16,1.7849242E-17,4.1460294E-17
4289.4917,7.352785E-16,1.771563E-17,4.667469E-17
4295.0117,7.3157394E-16,1.747737E-17,1.970093E-17
4300.532,7.069863E-16,1.7243056E-17,2.2078844E-17
4306.0522,6.7282305E-16,1.7050631E-17,4.1712118E-17
4311.5728,6.514405E-16,1.6834429E-17,4.340964E-17
4317.093,6.4613653E-16,1.6806446E-17,5.3917955E-17
4322.6133,6.240687E-16,1.6463212E-17,3.8831302E-17
4328.1333,6.36772E-16,1.6531779E-17,3.6577867E-17
4333.6533,6.1776024E-16,1.6424523E-17,5.182908E-17
4339.174,6.4397273E-16,1.6499077E-17,3.195287E-17
4344.694,6.264804E-16,1.6272891E-17,2.5897179E-17
4350.2144,6.248982E-16,1.6346343E-17,4.4230456E-17
4355.7344,6.354629E-16,1.6336863E-17,3.6037748E-17
4361.255,5.975274E-16,1.601508E-17,4.1164858E-17
4366.775,5.7807225E-16,1.5883241E-17,5.139664E-17
4372.2954,5.5466253E-16,1.5622826E-17,4.7816797E-17
4377.8154,5.450064E-16,1.5452935E-17,3.9398943E-17
4383.336,5.3252183E-16,1.5364074E-17,4.7743697E-17
4388.856,5.224137E-16,1.526127E-17,5.136499E-17
4394.376,4.916975E-16,1.4955935E-17,5.121652E-17
4399.8965,4.868364E-16,1.4787974E-17,3.5174664E-17
4405.4165,4.974424E-16,1.4901765E-17,4.4929456E-17
