WAVE,FLUX,ERR,BGFLUX
3625.761,0.0,8.899524E-18,1.17343E-16
3631.2805,0.0,9.458016E-18,1.00030144E-16
3636.8003,-7.607401E-19,9.680806E-18,8.6411654E-17
3642.3198,2.88557E-17,1.0526566E-17,8.3070764E-17
3647.8394,8.5478975E-18,1.063E-17,1.0487097E-16
3653.359,-8.244796E-18,1.08023485E-17,1.1205351E-16
3658.8787,5.3310828E-17,1.0992864E-17,4.033107E-17
3664.3982,1.466246E-17,1.0470448E-17,5.386602E-17
3669.9177,-1.9795066E-17,1.0606852E-17,8.782434E-17
3675.4373,4.7953844E-18,1.0273755E-17,6.5156196E-17
3680.957,-3.2986075E-18,1.0018076E-17,5.962429E-17
3686.4766,1.6467935E-17,9.962683E-18,5.177273E-17
3691.996,-7.1557285E-19,1.0041219E-17,8.996845E-17
3697.5159,3.0030223E-17,9.98705E-18,6.7402746E-17
3703.0354,2.1041147E-17,9.692502E-18,6.766741E-17
3708.555,6.8041007E-18,9.331877E-18,6.445749E-17
3714.0745,2.1869468E-17,9.4354E-18,6.469551E-17
3719.5942,4.441604E-17,9.484923E-18,5.3389674E-17
3725.1138,9.713158E-18,9.403872E-18,9.3877575E-17
3730.6333,-2.8917304E-18,9.4042586E-18,1.080749E-16
3736.1528,2.918296E-17,9.3361E-18,7.8716995E-17
3741.6726,2.4327867E-17,9.216279E-18,7.891948E-17
3747.1921,2.6519776E-17,9.102778E-18,7.1937006E-17
3752.7117,1.1144059E-17,8.852117E-18,6.946802E-17
3758.2314,2.4822062E-17,8.676443E-18,4.3875006E-17
3763.751,-8.431731E-18,8.778933E-18,7.8599694E-17
3769.2705,-1.3031984E-17,8.777187E-18,8.1584916E-17
3774.79,2.5240176E-17,8.753884E-18,4.1104087E-17
3780.3098,2.1874902E-17,8.75465E-18,4.9915966E-17
3785.8293,7.510798E-18,8.682181E-18,6.5225944E-17
3791.3489,1.827606E-17,8.688177E-18,6.117874E-17
3796.8684,7.8696235E-18,8.460535E-18,6.1176114E-17
3802.3882,-7.148706E-18,8.55492E-18,8.3588255E-17
3807.9077,8.551589E-18,8.321491E-18,6.7878706E-17
3813.4272,2.1164493E-17,8.267587E-18,6.049072E-17
3818.947,2.1694684E-17,8.258209E-18,6.770377E-17
3824.4666,9.908413E-18,8.196688E-18,8.593869E-17
3829.986,1.3453698E-18,7.985008E-18,8.723633E-17
3835.5056,1.14776984E-17,7.879167E-18,7.897438E-17
3841.0254,4.2817224E-17,7.8504536E-18,5.68421E-17
3846.545,5.7739295E-18,7.3792385E-18,6.5717786E-17
3852.0645,2.3639765E-17,7.355937E-18,5.503013E-17
3857.584,1.0613033E-17,6.876471E-18,3.8993E-17
3863.1038,3.374419E-17,7.0889395E-18,4.0652787E-17
3868.6233,9.458638E-18,6.752922E-18,4.8736304E-17
3874.1428,2.3550818E-17,6.68311E-18,3.7487905E-17
3879.6626,1.3718188E-17,6.5163527E-18,4.1711264E-17
3885.1821,2.1943687E-17,6.474384E-18,3.7000057E-17
3890.7017,1.7452144E-17,6.446288E-18,4.7992738E-17
3896.2212,3.0141608E-17,6.427793E-18,4.2512438E-17
3901.741,1.8329312E-17,6.3606558E-18,5.741301E-17
3907.2605,2.0078837E-17,6.3635182E-18,6.218014E-17
3912.78,2.6996828E-17,6.347533E-18,5.980619E-17
3918.2996,1.4705958E-17,6.185204E-18,6.680766E-17
3923.8193,7.653131E-18,5.972197E-18,6.3034114E-17
3929.3389,2.2539194E-17,5.8909156E-18,4.4573544E-17
3934.8584,1.1423761E-17,5.8612674E-18,6.139224E-17
3940.3782,2.873225E-17,5.8944642E-18,5.1439232E-17
3945.8977,1.4941364E-18,5.6385854E-18,6.653781E-17
3951.4172,1.3547044E-17,5.5896515E-18,5.319467E-17
3956.9368,1.7486749E-17,5.4979895E-18,5.0224385E-17
3962.4565,8.235824E-18,5.2500645E-18,4.198202E-17
3967.976,6.879065E-18,5.2539096E-18,4.9600198E-17
3973.4956,7.551668E-18,5.2500376E-18,5.2606493E-17
