WAVE,FLUX,ERR,BGFLUX
3631.761,0.0,1.9102294E-17,8.693573E-17
3637.2805,2.488963E-16,1.919822E-17,8.150264E-17
3642.8003,2.444791E-16,1.8724987E-17,6.504433E-17
3648.3198,1.7448581E-16,1.7566573E-17,8.361381E-17
3653.8394,2.4328597E-16,1.7944565E-17,5.342813E-17
3659.359,2.1937583E-16,1.7367785E-17,5.63416E-17
3664.8787,2.2279283E-16,1.700494E-17,4.080845E-17
3670.3982,2.2328021E-16,1.672963E-17,3.6680735E-17
3675.9177,2.0982412E-16,1.647141E-17,6.523535E-17
3681.4373,2.7751145E-16,1.6873972E-17,3.0397356E-17
3686.957,2.588541E-16,1.6448766E-17,3.8700274E-17
3692.4766,2.6687104E-16,1.6539657E-17,7.636244E-17
3697.996,2.963572E-16,1.6704337E-17,7.5938754E-17
3703.5159,2.6426644E-16,1.5950959E-17,5.790929E-17
3709.0354,2.866439E-16,1.6057907E-17,6.756448E-17
3714.555,2.6811438E-16,1.5489708E-17,4.8624624E-17
3720.0745,2.7194347E-16,1.5621397E-17,8.905686E-17
3725.5942,3.002468E-16,1.574283E-17,8.5299116E-17
3731.1138,2.9028126E-16,1.5447032E-17,9.076063E-17
3736.6333,3.0549074E-16,1.5243814E-17,5.8596786E-17
3742.1528,3.0696384E-16,1.5161708E-17,7.605978E-17
3747.6726,2.8586925E-16,1.4725006E-17,7.381832E-17
3753.1921,2.507276E-16,1.4081374E-17,7.015309E-17
3758.7117,3.329369E-16,1.470859E-17,3.8150917E-17
3764.2314,3.0919445E-16,1.44063E-17,5.9605616E-17
3769.751,3.0157052E-16,1.4119598E-17,5.5277817E-17
3775.2705,3.2053442E-16,1.412263E-17,4.5088252E-17
3780.79,2.8883426E-16,1.3670642E-17,5.5252922E-17
3786.3098,3.0354024E-16,1.36566436E-17,4.7914993E-17
3791.8293,2.705529E-16,1.3194518E-17,5.9468105E-17
3797.3489,2.8860464E-16,1.3139985E-17,3.859691E-17
3802.8684,2.7555816E-16,1.2913291E-17,4.8340782E-17
3808.3882,2.6780397E-16,1.28596625E-17,7.508262E-17
3813.9077,2.9897124E-16,1.30079396E-17,6.1947814E-17
3819.4272,2.7167065E-16,1.2709588E-17,8.016548E-17
3824.947,2.8433398E-16,1.2697739E-17,7.5346254E-17
3830.4666,2.8771338E-16,1.2687982E-17,8.479527E-17
3835.986,3.0630922E-16,1.2662264E-17,6.5164356E-17
3841.5056,2.97713E-16,1.2314628E-17,4.613792E-17
3847.0254,3.0692305E-16,1.2354052E-17,4.9876688E-17
3852.545,2.7091144E-16,1.1768776E-17,3.896093E-17
3858.0645,2.9022231E-16,1.18214E-17,3.1724468E-17
3863.584,2.6749846E-16,1.15775995E-17,4.856099E-17
3869.1038,2.875697E-16,1.16669425E-17,4.2444904E-17
3874.6233,2.7541732E-16,1.1343926E-17,2.5355586E-17
3880.1428,2.524628E-16,1.0996503E-17,3.0155885E-17
3885.6626,2.3325972E-16,1.0785908E-17,4.177368E-17
3891.1821,2.4114716E-16,1.0722694E-17,3.1548817E-17
3896.7017,2.2173486E-16,1.0521468E-17,4.8458305E-17
3902.2212,2.1157386E-16,1.0364926E-17,5.636717E-17
3907.741,1.7075573E-16,9.883214E-18,6.9835934E-17
3913.2605,1.5689651E-16,9.577208E-18,5.950347E-17
3918.78,1.7555847E-16,9.754684E-18,6.161104E-17
3924.2996,1.5188198E-16,9.349082E-18,6.047494E-17
3929.8193,1.5075228E-16,9.2929945E-18,5.989431E-17
3935.3389,1.4461687E-16,9.152113E-18,6.328695E-17
3940.8584,1.4200053E-16,9.024416E-18,5.949627E-17
3946.3782,1.5784119E-16,9.141131E-18,5.182236E-17
3951.8977,1.5868388E-16,9.083178E-18,5.173378E-17
3957.4172,1.5019428E-16,8.865954E-18,4.4490234E-17
3962.9368,1.5474753E-16,8.815714E-18,3.714526E-17
3968.4565,1.5171459E-16,8.685732E-18,3.504383E-17
3973.976,1.5128404E-16,8.674258E-18,3.874944E-17
3979.4956,1.5079659E-16,8.67906E-18,4.9652443E-17
3985.0151,1.5417171E-16,8.645673E-18,4.7121776E-17
3990.535,1.6356913E-16,8.639724E-18,3.349315E-17
3996.0544,1.3890804E-16,8.469417E-18,6.3804894E-17
4001.574,1.4470588E-16,8.410829E-18,4.912545E-17
4007.0938,1.4185369E-16,8.354958E-18,5.493891E-17
4012.6133,1.5391489E-16,8.5393445E-18,6.519876E-17
4018.1328,1.475762E-16,8.391209E-18,6.2154424E-17
4023.6523,1.5233614E-16,8.339461E-18,5.642981E-17
4029.172,1.5644921E-16,8.411684E-18,6.6689326E-17
4034.6917,1.5826866E-16,8.345422E-18,5.716294E-17
4040.2112,1.6181981E-16,8.4813E-18,7.715117E-17
4045.7307,1.9047215E-16,8.725547E-18,7.017476E-17
4051.2505,2.0500558E-16,8.8316155E-18,6.5827344E-17
4056.77,2.389768E-16,9.098091E-18,5.616364E-17
4062.2896,2.2065548E-16,8.987629E-18,7.660254E-17
4067.8093,2.158028E-16,8.9151235E-18,7.9745055E-17
4073.3289,2.5520992E-16,9.2549955E-18,7.3389357E-17
4078.8484,2.907026E-16,9.523129E-18,6.435527E-17
4084.368,3.0345921E-16,9.612138E-18,6.491044E-17
4089.8877,3.1302658E-16,9.653793E-18,6.287279E-17
4095.4072,3.342899E-16,9.696292E-18,3.8931163E-17
4100.927,3.458233E-16,9.851743E-18,5.4728466E-17
4106.4463,3.4887606E-16,9.8314204E-18,5.1962725E-17
4111.966,3.4185067E-16,9.719859E-18,5.0494827E-17
4117.4854,3.5916537E-16,9.836359E-18,4.668521E-17
4123.0054,3.761856E-16,9.9931185E-18,5.319314E-17
4128.525,3.502595E-16,9.795945E-18,6.744635E-17
4134.0444,3.5580892E-16,9.7897165E-18,6.249808E-17
4139.564,3.7281305E-16,9.90655E-18,6.206132E-17
4145.0835,3.6429434E-16,9.822277E-18,6.739123E-17
4150.603,3.8192364E-16,9.872094E-18,5.112967E-17
4156.1226,3.8556495E-16,9.976229E-18,7.0443905E-17
4161.6426,4.0435214E-16,1.0127519E-17,7.6113514E-17
4167.162,3.9102895E-16,9.962574E-18,7.179259E-17
4172.6816,3.8947136E-16,9.9416365E-18,7.535354E-17
4178.201,3.4426953E-16,9.466952E-18,6.538638E-17
4183.7207,3.6317747E-16,9.58139E-18,5.81465E-17
4189.24,3.290222E-16,9.267345E-18,6.461359E-17
4194.76,3.3000705E-16,9.254406E-18,6.2198496E-17
4200.28,3.2368205E-16,9.088504E-18,4.7363283E-17
4205.7993,3.1107682E-16,8.988865E-18,5.569068E-17
4211.319,3.0796315E-16,8.8756116E-18,4.652198E-17
4216.8384,3.077618E-16,8.88464E-18,5.0151223E-17
4222.358,3.0175967E-16,8.8047685E-18,5.0589486E-17
