WAVE,FLUX,ERR,BGFLUX
5982.771,1.7942815E-15,1.30756914E-17,5.5946304E-16
5986.9854,1.806382E-15,1.3090437E-17,5.5188426E-16
5991.1997,1.7798212E-15,1.3034499E-17,5.693606E-16
5995.4136,1.7535584E-15,1.2936181E-17,5.642456E-16
5999.628,1.7135024E-15,1.279515E-17,5.55922E-16
6003.8423,1.7133954E-15,1.2761562E-17,5.447739E-16
6008.0566,1.7406609E-15,1.2814446E-17,5.3759916E-16
6012.2705,1.7517904E-15,1.2828011E-17,5.359031E-16
6016.485,1.7316408E-15,1.2766792E-17,5.413088E-16
6020.699,1.7303848E-15,1.27434486E-17,5.367848E-16
6024.913,1.697889E-15,1.2654299E-17,5.4480143E-16
6029.1274,1.6522373E-15,1.2435893E-17,5.0462904E-16
6033.342,1.5277459E-15,1.2020789E-17,4.846251E-16
6037.556,1.4542556E-15,1.17865826E-17,4.8371193E-16
6041.77,1.5029691E-15,1.1910435E-17,4.7778773E-16
6045.9844,1.5718175E-15,1.2154557E-17,5.047542E-16
6050.1987,1.6778299E-15,1.24818775E-17,5.2153904E-16
6054.4126,1.7618476E-15,1.2645337E-17,4.886045E-16
6058.627,1.71442E-15,1.2525586E-17,5.016383E-16
6062.8413,1.7453748E-15,1.2600547E-17,5.0134594E-16
6067.0557,1.7204703E-15,1.2552284E-17,5.1958616E-16
6071.2695,1.7418947E-15,1.2610437E-17,5.252944E-16
6075.484,1.7556421E-15,1.2589026E-17,4.990033E-16
6079.698,1.7372046E-15,1.251669E-17,4.9300843E-16
6083.9126,1.7308454E-15,1.2500461E-17,5.006858E-16
6088.1265,1.7371117E-15,1.2508542E-17,5.0189783E-16
6092.341,1.7560827E-15,1.2554805E-17,5.042777E-16
6096.555,1.7457336E-15,1.2483345E-17,4.8788267E-16
6100.769,1.7389799E-15,1.2437261E-17,4.8084033E-16
6104.9834,1.7574384E-15,1.2485035E-17,4.8330504E-16
6109.1978,1.7608225E-15,1.2499016E-17,4.893488E-16
6113.412,1.7917068E-15,1.2543685E-17,4.725887E-16
6117.626,1.7124897E-15,1.2367813E-17,5.005889E-16
6121.8403,1.7448529E-15,1.2444491E-17,4.995355E-16
6126.0547,1.7386196E-15,1.2444273E-17,5.1542516E-16
6130.2686,1.7342068E-15,1.235783E-17,4.7671655E-16
6134.483,1.7161043E-15,1.2351925E-17,5.085484E-16
6138.6973,1.6976867E-15,1.2288806E-17,5.0522254E-16
6142.9116,1.7215901E-15,1.2319727E-17,4.904731E-16
6147.1255,1.7102419E-15,1.2281917E-17,4.9236E-16
6151.34,1.7091344E-15,1.2265542E-17,4.8894125E-16
6155.554,1.7020941E-15,1.2216622E-17,4.777305E-16
6159.7686,1.7135642E-15,1.225683E-17,4.8731076E-16
6163.9824,1.6756968E-15,1.21505114E-17,4.910028E-16
6168.197,1.7142029E-15,1.2249384E-17,4.9111833E-16
6172.411,1.6911355E-15,1.218577E-17,4.952068E-16
6176.625,1.6944601E-15,1.2144219E-17,4.717149E-16
6180.8394,1.7218641E-15,1.2192408E-17,4.6446586E-16
6185.0537,1.6990738E-15,1.2154449E-17,4.803008E-16
6189.268,1.6424027E-15,1.2007828E-17,4.9164254E-16
6193.482,1.6528222E-15,1.20394335E-17,4.9593536E-16
6197.6963,1.6726216E-15,1.2071264E-17,4.891076E-16
6201.9106,1.6413361E-15,1.19810445E-17,4.91442E-16
6206.1245,1.6011951E-15,1.18503954E-17,4.8654054E-16
6210.339,1.58204E-15,1.1821791E-17,5.051106E-16
6214.553,1.5756704E-15,1.1793055E-17,5.0365474E-16
6218.7676,1.5806304E-15,1.1804326E-17,5.075012E-16
6222.9814,1.5456315E-15,1.17851755E-17,5.5772853E-16
6227.196,1.5226965E-15,1.1751333E-17,5.7658253E-16
6231.41,1.4951739E-15,1.169466E-17,5.9427556E-16
6235.6245,1.462393E-15,1.1539283E-17,5.6643587E-16
6239.8384,1.4171069E-15,1.1342112E-17,5.365394E-16
6244.0527,1.3711109E-15,1.1214119E-17,5.4503563E-16
6248.267,1.3792203E-15,1.122216E-17,5.438413E-16
6252.481,1.3379498E-15,1.1124281E-17,5.6167904E-16
6256.6953,1.3304776E-15,1.1607806E-17,5.300475E-16
6260.9097,1.2151113E-15,1.23861256E-17,5.194555E-16
6265.124,1.3953511E-15,1.6391515E-17,4.9411545E-16
6269.338,1.2328818E-15,1.18185126E-17,4.7626476E-16
6273.5522,1.2715366E-15,1.4316313E-17,4.958608E-16
6277.7666,1.3640605E-15,1.627582E-17,5.176837E-16
6281.9805,1.3589462E-15,1.568672E-17,5.1747016E-16
6286.195,1.2069252E-15,1.1101168E-17,6.1341994E-16
6290.409,1.2832458E-15,1.2761716E-17,6.931244E-16
6294.6235,1.2197902E-15,1.1616119E-17,7.6049143E-16
6298.8374,1.3894133E-15,1.5149773E-17,7.3198766E-16
6303.052,1.3356897E-15,1.2587726E-17,5.79148E-16
6307.266,1.268115E-15,1.1277477E-17,5.3034443E-16
6311.4805,1.295088E-15,1.0705002E-17,4.7938894E-16
6315.6943,1.3051052E-15,1.0789631E-17,5.080296E-16
6319.9087,1.3177668E-15,1.087502E-17,5.3269134E-16
6324.123,1.3417659E-15,1.0913503E-17,5.1880567E-16
6328.337,1.3815661E-15,1.0994255E-17,5.043335E-16
6332.5513,1.3989522E-15,1.1015598E-17,4.9243113E-16
6336.7656,1.4173129E-15,1.1053309E-17,4.869187E-16
6340.98,1.4406219E-15,1.107164E-17,4.6581513E-16
6345.194,1.4526684E-15,1.1147291E-17,4.9177224E-16
6349.408,1.4439497E-15,1.1217274E-17,5.447758E-16
6353.6226,1.4614793E-15,1.1301221E-17,5.6834667E-16
6357.8364,1.4799422E-15,1.1311361E-17,5.5080287E-16
6362.051,1.4970618E-15,1.1300676E-17,5.2353465E-16
6366.265,1.5083557E-15,1.1219948E-17,4.695177E-16
6370.4795,1.4771403E-15,1.1105346E-17,4.6177E-16
6374.6934,1.4549443E-15,1.1072123E-17,4.8097845E-16
6378.9077,1.4925371E-15,1.1136779E-17,4.656357E-16
6383.122,1.5146831E-15,1.11593E-17,4.496893E-16
6387.3364,1.5150217E-15,1.1154788E-17,4.5206185E-16
6391.5503,1.4885595E-15,1.10393895E-17,4.3639977E-16
6395.7646,1.5154362E-15,1.10658485E-17,4.146657E-16
6399.979,1.5413128E-15,1.1107483E-17,4.0301055E-16
6404.193,1.4968623E-15,1.10467175E-17,4.44397E-16
6408.407,1.4677223E-15,1.0947086E-17,4.3650713E-16
6412.6216,1.515779E-15,1.1048573E-17,4.2441457E-16
6416.836,1.5282221E-15,1.1089459E-17,4.310444E-16
6421.05,1.5384092E-15,1.1082524E-17,4.183174E-16
6425.264,1.5525609E-15,1.1093816E-17,4.092709E-16
6429.4785,1.5255492E-15,1.1022543E-17,4.141914E-16
6433.693,1.5350379E-15,1.1063561E-17,4.2682268E-16
6437.9067,1.5460752E-15,1.1062584E-17,4.1500046E-16
6442.121,1.5361925E-15,1.1029758E-17,4.1592812E-16
6446.3354,1.5261399E-15,1.10276146E-17,4.340598E-16
6450.5493,1.5270538E-15,1.10649585E-17,4.579659E-16
6454.7637,1.5252282E-15,1.1068422E-17,4.700743E-16
6458.978,1.5256807E-15,1.1148427E-17,5.168685E-16
6463.1924,1.5304715E-15,1.1119703E-17,5.024345E-16
6467.4062,1.5062503E-15,1.100603E-17,4.827271E-16
6471.6206,1.5055239E-15,1.0911641E-17,4.4156386E-16
6475.835,1.5144964E-15,1.0862804E-17,4.0871447E-16
6480.049,1.4967427E-15,1.0816313E-17,4.1378497E-16
6484.263,1.5229485E-15,1.0902575E-17,4.2409227E-16
6488.4775,1.5024574E-15,1.09513915E-17,4.806204E-16
6492.692,1.466312E-15,1.0896183E-17,5.079146E-16
6496.906,1.5059391E-15,1.0961647E-17,4.871919E-16
6501.12,1.5065839E-15,1.0928524E-17,4.724297E-16
6505.3345,1.5128782E-15,1.0818778E-17,4.104183E-16
6509.549,1.5199446E-15,1.0839654E-17,4.1658594E-16
6513.7627,1.4917014E-15,1.07345685E-17,4.07678E-16
6517.977,1.4758565E-15,1.0714243E-17,4.2406194E-16
6522.1914,1.4696917E-15,1.0750052E-17,4.547757E-16
6526.4053,1.4957604E-15,1.0826148E-17,4.585263E-16
6530.6196,1.4798387E-15,1.0821357E-17,4.8120085E-16
6534.834,1.4928512E-15,1.08198045E-17,4.6659096E-16
6539.0483,1.474732E-15,1.0784078E-17,4.7757777E-16
6543.262,1.4900261E-15,1.0834024E-17,4.85435E-16
6547.4766,1.5090383E-15,1.0862232E-17,4.7667107E-16
6551.691,1.4857669E-15,1.0842496E-17,5.0375527E-16
6555.905,1.4624313E-15,1.0714537E-17,4.728055E-16
6560.119,1.4581291E-15,1.0655771E-17,4.512831E-16
6564.3335,1.4898439E-15,1.0746773E-17,4.505479E-16
6568.548,1.4733391E-15,1.0770071E-17,4.958796E-16
6572.7617,1.4765368E-15,1.0701028E-17,4.568919E-16
6576.976,1.4642106E-15,1.0682258E-17,4.6765457E-16
6581.1904,1.4591236E-15,1.05901295E-17,4.2947935E-16
6585.405,1.4595981E-15,1.05416915E-17,4.0601524E-16
6589.6187,1.4583922E-15,1.0568588E-17,4.242143E-16
6593.833,1.4772484E-15,1.0644846E-17,4.3931814E-16
6598.0474,1.4655953E-15,1.06086005E-17,4.4089132E-16
6602.261,1.4650215E-15,1.0618627E-17,4.4954823E-16
6606.4756,1.4562074E-15,1.0543653E-17,4.2494894E-16
6610.69,1.4593104E-15,1.0511229E-17,4.0639725E-16
