WAVE,FLUX,ERR,BGFLUX
3637.1897,7.4668846E-17,7.6868984E-18,6.9208336E-17
3642.709,6.533263E-17,7.5042876E-18,7.490853E-17
3648.228,6.143254E-17,7.190759E-18,6.2369054E-17
3653.7473,5.6805973E-17,7.076383E-18,6.935029E-17
3659.2666,6.4252994E-17,6.947454E-18,5.988967E-17
3664.786,4.6736922E-17,6.684931E-18,6.58375E-17
3670.3052,5.339176E-17,6.484603E-18,5.0510636E-17
3675.8245,5.9511516E-17,6.536932E-18,5.718282E-17
3681.3435,5.7225334E-17,6.399119E-18,5.705601E-17
3686.8628,5.8355164E-17,6.2934523E-18,5.557973E-17
3692.382,5.507664E-17,6.1718456E-18,5.7620257E-17
3697.9014,6.161162E-17,6.233474E-18,6.37756E-17
3703.4207,5.695843E-17,6.0276163E-18,5.9370855E-17
3708.94,4.52205E-17,5.8274126E-18,6.344477E-17
3714.459,6.5521406E-17,5.9215246E-18,5.429899E-17
3719.9783,6.426126E-17,5.937159E-18,6.676013E-17
3725.4976,6.751709E-17,5.828282E-18,5.9052854E-17
3731.0168,8.251638E-17,5.9399228E-18,6.0190624E-17
3736.5361,7.9117126E-17,5.86108E-18,6.3880684E-17
3742.0554,8.026403E-17,5.7516093E-18,5.951307E-17
3747.5745,8.188964E-17,5.659056E-18,5.5095328E-17
3753.0938,7.707827E-17,5.5035883E-18,5.2080496E-17
3758.613,7.801532E-17,5.4849226E-18,5.588924E-17
3764.1323,8.9005607E-17,5.559478E-18,5.713646E-17
3769.6516,9.657297E-17,5.5091246E-18,5.017024E-17
3775.171,9.1263525E-17,5.456202E-18,5.7079704E-17
3780.69,9.0634385E-17,5.3630234E-18,5.257433E-17
3786.2092,9.134816E-17,5.2789207E-18,4.865732E-17
3791.7285,9.3151615E-17,5.216745E-18,4.5774832E-17
3797.2478,7.963509E-17,5.0343974E-18,4.9272886E-17
3802.767,9.052178E-17,5.130542E-18,5.198468E-17
3808.2864,7.83252E-17,4.9207734E-18,4.9234336E-17
3813.8057,7.636882E-17,4.8480357E-18,4.8940306E-17
3819.3247,7.151386E-17,4.8107753E-18,5.601846E-17
3824.844,7.645499E-17,4.768272E-18,5.2106367E-17
3830.3633,6.9164356E-17,4.695159E-18,5.628208E-17
3835.8826,7.1614114E-17,4.6350425E-18,5.1157346E-17
3841.4019,6.095629E-17,4.4876562E-18,5.2240095E-17
3846.9211,5.359268E-17,4.344316E-18,5.021239E-17
3852.4402,5.957176E-17,4.3013524E-18,4.33345E-17
3857.9595,5.8070594E-17,4.184861E-18,3.6375304E-17
3863.4788,5.096313E-17,4.1260195E-18,4.451585E-17
3868.998,5.220448E-17,4.067627E-18,3.9115247E-17
3874.5173,4.9807933E-17,4.0049666E-18,3.901711E-17
3880.0366,4.4760225E-17,3.8734047E-18,3.5676396E-17
3885.5557,4.382779E-17,3.857106E-18,3.821548E-17
3891.075,4.5445286E-17,3.8898086E-18,4.2302695E-17
3896.5942,5.0362812E-17,3.897258E-18,3.9780115E-17
3902.1135,5.05699E-17,3.935644E-18,4.7990845E-17
3907.6328,4.0120374E-17,3.7900357E-18,4.9086042E-17
3913.152,5.6014686E-17,3.9848227E-18,5.1899396E-17
3918.6711,5.814732E-17,3.8686948E-18,4.0258464E-17
3924.1904,6.650216E-17,3.9472794E-18,4.0799092E-17
3929.7097,6.696822E-17,3.8715345E-18,3.4329213E-17
3935.229,7.7105694E-17,3.969253E-18,3.5360833E-17
3940.7483,6.6449946E-17,3.877714E-18,4.114592E-17
3946.2676,7.972534E-17,3.999776E-18,4.140993E-17
3951.7866,8.530696E-17,4.0231732E-18,4.0162742E-17
3957.306,9.090345E-17,4.021978E-18,3.5634226E-17
3962.8252,9.105523E-17,4.02823E-18,3.9686375E-17
3968.3445,9.2280944E-17,3.9937637E-18,3.6360937E-17
3973.8638,9.319593E-17,3.980468E-18,3.6668582E-17
3979.383,1.0947738E-16,4.1656E-18,4.222531E-17
3984.902,1.1942818E-16,4.21657E-18,3.907186E-17
3990.4214,1.1976511E-16,4.2569924E-18,4.681242E-17
3995.9407,1.3212524E-16,4.333361E-18,4.459829E-17
4001.46,1.3720004E-16,4.3533478E-18,4.3900474E-17
4006.9792,1.4020771E-16,4.3869975E-18,4.7560877E-17
4012.4985,1.501192E-16,4.4569844E-18,4.828E-17
4018.0176,1.5550273E-16,4.4623735E-18,4.6096244E-17
4023.5369,1.66963E-16,4.5406037E-18,4.550918E-17
4029.0562,1.8137641E-16,4.61735E-18,4.2798163E-17
4034.5754,1.8142469E-16,4.632399E-18,4.7628388E-17
4040.0947,1.9677105E-16,4.740167E-18,4.8690094E-17
4045.614,1.9127263E-16,4.670103E-18,4.8432236E-17
