WAVE,FLUX,ERR,BGFLUX
5976.957,1.8509857E-15,1.7981222E-17,3.948802E-16
5981.1694,1.3848164E-15,1.36321805E-17,3.010397E-16
5985.382,1.4227E-15,1.4064122E-17,3.0037673E-16
5989.5947,1.4007746E-15,1.3917173E-17,3.0510865E-16
5993.807,1.3242823E-15,1.3447998E-17,3.0481066E-16
5998.0195,1.3031057E-15,1.3122307E-17,2.7715773E-16
6002.2324,1.2321856E-15,1.2692002E-17,2.6807034E-16
6006.445,1.1977749E-15,1.2377312E-17,2.5885152E-16
6010.657,1.1587201E-15,1.2020219E-17,2.4890418E-16
6014.87,1.0883517E-15,1.1567942E-17,2.4438372E-16
6019.0825,1.046504E-15,1.1244555E-17,2.4143703E-16
6023.295,1.0241372E-15,1.0973828E-17,2.2914698E-16
6027.5073,1.0114078E-15,1.0785916E-17,2.2751694E-16
6031.72,9.396424E-16,1.042921E-17,2.4003198E-16
6035.9326,9.213607E-16,1.0196909E-17,2.2548552E-16
6040.145,8.791928E-16,9.9195E-18,2.2350203E-16
6044.358,8.718912E-16,9.74318E-18,2.0888435E-16
6048.5703,8.4219115E-16,9.514586E-18,2.021229E-16
6052.7827,8.225695E-16,9.335504E-18,1.9513347E-16
6056.9956,7.982785E-16,9.185621E-18,1.96465E-16
6061.208,8.0374427E-16,9.119692E-18,1.834242E-16
6065.4204,7.735436E-16,8.973103E-18,1.9122047E-16
6069.633,7.627779E-16,8.857994E-18,1.8844403E-16
6073.8457,7.541013E-16,8.751643E-18,1.846451E-16
6078.058,7.3034654E-16,8.586963E-18,1.8008843E-16
6082.2705,7.1129835E-16,8.468471E-18,1.8294235E-16
6086.4834,7.026261E-16,8.399176E-18,1.862506E-16
6090.696,6.983387E-16,8.331022E-18,1.8256347E-16
6094.908,6.88877E-16,8.213373E-18,1.7000902E-16
6099.1206,6.7762673E-16,8.204334E-18,1.9045905E-16
6103.3335,6.747443E-16,8.125349E-18,1.7802457E-16
6107.546,6.376036E-16,7.919578E-18,1.7007743E-16
6111.7583,6.3150896E-16,7.8979205E-18,1.7639535E-16
6115.971,6.322838E-16,7.856337E-18,1.6808098E-16
6120.1836,6.400509E-16,7.852448E-18,1.6255252E-16
6124.396,6.164478E-16,7.7721866E-18,1.7119805E-16
6128.609,6.1478816E-16,7.758335E-18,1.7123458E-16
6132.8213,6.118414E-16,7.722133E-18,1.6612435E-16
6137.0337,5.881273E-16,7.651593E-18,1.7588937E-16
6141.246,5.764797E-16,7.575447E-18,1.6879436E-16
6145.459,5.7220564E-16,7.579552E-18,1.7513346E-16
6149.6714,5.657331E-16,7.519155E-18,1.6591029E-16
6153.884,5.5897054E-16,7.532711E-18,1.7671725E-16
6158.0967,5.45694E-16,7.496269E-18,1.819081E-16
6162.309,5.543283E-16,7.494208E-18,1.6903843E-16
6166.5215,5.310634E-16,7.4031416E-18,1.7073225E-16
6170.734,4.9914005E-16,7.3080845E-18,1.8161092E-16
6174.947,5.1165634E-16,7.3540765E-18,1.759256E-16
6179.159,5.0105133E-16,7.270397E-18,1.6428846E-16
6183.3716,4.7868336E-16,7.21738E-18,1.7559288E-16
6187.5845,4.785287E-16,7.216768E-18,1.7193445E-16
6191.797,4.5705305E-16,7.123017E-18,1.713441E-16
6196.0093,4.6781243E-16,7.1682066E-18,1.6766362E-16
6200.222,4.5106167E-16,7.144227E-18,1.7857555E-16
6204.4346,4.471748E-16,7.14796E-18,1.801981E-16
6208.647,4.3713835E-16,7.1096786E-18,1.8129094E-16
6212.8594,4.3830196E-16,7.063001E-18,1.6504719E-16
6217.0723,4.5209754E-16,7.245227E-18,1.911707E-16
6221.2847,4.444298E-16,7.329751E-18,2.203456E-16
6225.497,4.456752E-16,7.387112E-18,2.3060234E-16
6229.71,4.6414383E-16,7.47228E-18,2.2796722E-16
6233.9224,4.7708845E-16,7.532684E-18,2.278522E-16
6238.135,4.578584E-16,7.520747E-18,2.4733119E-16
6242.347,4.7840087E-16,7.588338E-18,2.4050103E-16
6246.56,4.908693E-16,7.557775E-18,2.1738344E-16
6250.7725,5.0320824E-16,7.594446E-18,2.116329E-16
6254.985,5.1314865E-16,7.698578E-18,2.2809843E-16
6259.1978,5.225625E-16,7.753242E-18,2.328314E-16
6263.41,5.345708E-16,7.714504E-18,2.0943958E-16
6267.6226,5.3711074E-16,7.690817E-18,2.0384817E-16
6271.8354,5.563755E-16,7.784962E-18,2.102389E-16
6276.048,5.7577843E-16,7.8119764E-18,1.9793396E-16
6280.2603,5.639695E-16,7.956251E-18,2.538915E-16
6284.4727,6.0449666E-16,8.380987E-18,3.2899972E-16
6288.6855,6.273246E-16,8.5786025E-18,3.616272E-16
6292.898,6.324601E-16,8.646559E-18,3.7663566E-16
6297.1104,6.329203E-16,8.642438E-18,3.7695012E-16
6301.323,6.427471E-16,8.620522E-18,3.5867684E-16
6305.5356,6.440851E-16,8.420912E-18,2.9622137E-16
6309.748,6.555265E-16,8.23651E-18,2.2853245E-16
6313.961,6.817168E-16,8.317834E-18,2.2234223E-16
6318.1733,6.788226E-16,8.2973E-18,2.2141779E-16
6322.3857,7.0020603E-16,8.319545E-18,2.0443443E-16
6326.598,7.077971E-16,8.371247E-18,2.116324E-16
6330.811,7.2244536E-16,8.394004E-18,2.0224177E-16
6335.0234,7.370621E-16,8.8365596E-18,2.0443892E-16
6339.236,7.4832814E-16,8.841109E-18,2.0063357E-16
6343.4487,7.449262E-16,8.478497E-18,2.0830581E-16
6347.661,7.616089E-16,8.598471E-18,2.279468E-16
6351.8735,7.6845767E-16,8.690375E-18,2.512237E-16
6356.086,7.666547E-16,8.639573E-18,2.4018858E-16
6360.299,7.967797E-16,8.692324E-18,2.241856E-16
6364.511,8.0879004E-16,8.716725E-18,2.2081626E-16
6368.7236,8.322561E-16,8.774337E-18,2.1601296E-16
6372.9365,8.475016E-16,8.7345616E-18,1.888347E-16
6377.149,8.6293885E-16,8.777851E-18,1.8825972E-16
6381.3613,8.658642E-16,8.753704E-18,1.8056506E-16
6385.574,9.00251E-16,8.899542E-18,1.9004587E-16
6389.7866,9.250809E-16,8.943042E-18,1.7936557E-16
6393.999,9.489124E-16,8.987678E-18,1.7034191E-16
6398.2114,9.620521E-16,9.03386E-18,1.7274569E-16
6402.4243,9.707447E-16,9.049467E-18,1.7128915E-16
6406.6367,1.0010235E-15,9.16285E-18,1.7777076E-16
6410.849,1.0161857E-15,9.199913E-18,1.765247E-16
6415.062,1.0402237E-15,9.255771E-18,1.7139153E-16
6419.2744,1.0628709E-15,9.341697E-18,1.776528E-16
6423.487,1.0761817E-15,9.374314E-18,1.7712792E-16
6427.699,1.1055949E-15,9.4171154E-18,1.6344141E-16
6431.912,1.1228236E-15,9.491399E-18,1.7450161E-16
6436.1245,1.144139E-15,9.574621E-18,1.8393097E-16
6440.337,1.1543381E-15,9.573726E-18,1.7756485E-16
6444.55,1.181545E-15,9.64414E-18,1.7678456E-16
6448.762,1.1872109E-15,9.6892736E-18,1.9139347E-16
6452.9746,1.213248E-15,9.802237E-18,2.0806643E-16
6457.1875,1.2530957E-15,9.949674E-18,2.2297676E-16
6461.4,1.2698985E-15,9.9920895E-18,2.2628946E-16
6465.6123,1.2753182E-15,1.0011226E-17,2.3269821E-16
6469.8247,1.3157173E-15,1.0104472E-17,2.2784665E-16
6474.0376,1.3563036E-15,1.01129505E-17,1.9238344E-16
6478.25,1.3871755E-15,1.01839615E-17,1.8940968E-16
6482.4624,1.39591E-15,1.0229073E-17,2.0002136E-16
6486.6753,1.4461408E-15,1.0399919E-17,2.1266045E-16
6490.8877,1.4416327E-15,1.0426163E-17,2.3112345E-16
6495.1,1.4556381E-15,1.0472864E-17,2.3708142E-16
6499.313,1.5038671E-15,1.0602952E-17,2.3690805E-16
6503.5254,1.5277005E-15,1.0625061E-17,2.2321248E-16
6507.738,1.533347E-15,1.0590113E-17,2.07872E-16
6511.95,1.55467E-15,1.06208485E-17,2.0145882E-16
6516.163,1.5814173E-15,1.0728078E-17,2.1781688E-16
6520.3755,1.5953538E-15,1.07720844E-17,2.2272056E-16
6524.588,1.6128122E-15,1.0820693E-17,2.2473674E-16
6528.801,1.6322962E-15,1.0879058E-17,2.293948E-16
6533.013,1.6331826E-15,1.08754746E-17,2.2932517E-16
6537.2256,1.6442155E-15,1.09607734E-17,2.545946E-16
6541.438,1.6664825E-15,1.09794975E-17,2.4010012E-16
6545.651,1.6611003E-15,1.0945034E-17,2.3516507E-16
6549.8633,1.6944446E-15,1.10390735E-17,2.3933596E-16
6554.0757,1.7022482E-15,1.1037536E-17,2.31753E-16
6558.2886,1.6813304E-15,1.1006357E-17,2.4379556E-16
6562.501,1.700433E-15,1.1018077E-17,2.2892873E-16
6566.7134,1.7015969E-15,1.1010593E-17,2.2616817E-16
6570.9263,1.6845511E-15,1.0980696E-17,2.336688E-16
6575.1387,1.6896972E-15,1.0955019E-17,2.1891297E-16
6579.351,1.7243228E-15,1.10192576E-17,2.0736235E-16
6583.5635,1.7144007E-15,1.1004319E-17,2.1328549E-16
6587.7764,1.7138632E-15,1.0961089E-17,1.9655013E-16
6591.989,1.7213857E-15,1.0996178E-17,2.0333931E-16
6596.201,1.7076728E-15,1.09268714E-17,1.9078681E-16
6600.414,1.7230168E-15,1.096082E-17,1.8840068E-16
6604.6265,1.7024607E-15,1.09207114E-17,1.9497648E-16
6608.839,1.7092267E-15,1.0914723E-17,1.8659598E-16
6613.0513,1.7260522E-15,1.0955325E-17,1.8508486E-16
6617.264,1.7280322E-15,1.0937982E-17,1.7676872E-16
6621.4766,1.7096011E-15,1.0893917E-17,1.7898419E-16
6625.689,1.7028065E-15,1.08913134E-17,1.8599738E-16
6629.902,1.6795895E-15,1.08291764E-17,1.8637566E-16
6634.1143,1.6728178E-15,1.0791313E-17,1.7905914E-16
6638.3267,1.6930367E-15,1.0799466E-17,1.6112822E-16
6642.5396,1.6649565E-15,1.0736932E-17,1.666071E-16
6646.752,1.6480288E-15,1.0695403E-17,1.694929E-16
6650.9644,1.6729074E-15,1.0774875E-17,1.7410581E-16
6655.177,1.6198243E-15,1.0657955E-17,1.8587487E-16
6659.3896,1.6235024E-15,1.0633343E-17,1.7277904E-16
6663.602,1.6166208E-15,1.0620638E-17,1.7521117E-16
6667.8145,1.5962795E-15,1.0590571E-17,1.8682426E-16
6672.0273,1.5959948E-15,1.0526771E-17,1.6137909E-16
6676.2397,1.5699298E-15,1.0448706E-17,1.5964132E-16
6680.452,1.541931E-15,1.0374956E-17,1.6288604E-16
6684.6646,1.5396233E-15,1.0370325E-17,1.6371968E-16
6688.8774,1.5007024E-15,1.0267324E-17,1.6688258E-16
6693.09,1.4935726E-15,1.0247257E-17,1.6740876E-16
6697.3022,1.4418661E-15,1.0105035E-17,1.696568E-16
6701.515,1.4412486E-15,1.01068195E-17,1.7213855E-16
6705.7275,1.4016678E-15,9.99065E-18,1.7167197E-16
6709.94,1.3901647E-15,9.950843E-18,1.6972754E-16
6714.153,1.3623484E-15,9.874076E-18,1.7354765E-16
6718.365,1.3249455E-15,9.73887E-18,1.6499045E-16
6722.5776,1.3351093E-15,9.724675E-18,1.5066853E-16
6726.79,1.2742978E-15,9.594366E-18,1.7082937E-16
6731.003,1.2469591E-15,9.491979E-18,1.6547337E-16
6735.2153,1.225967E-15,9.402805E-18,1.5836165E-16
6739.4277,1.1915044E-15,9.288847E-18,1.5737341E-16
6743.6406,1.1610241E-15,9.206802E-18,1.6299702E-16
6747.853,1.1368282E-15,9.109051E-18,1.5735732E-16
6752.0654,1.1234421E-15,9.0543115E-18,1.5441584E-16
6756.2783,1.0990508E-15,8.967226E-18,1.5258743E-16
6760.4907,1.0450037E-15,8.774116E-18,1.4893742E-16
6764.703,1.0347034E-15,8.759939E-18,1.5804515E-16
6768.9155,1.0211359E-15,8.708792E-18,1.5568114E-16
6773.1284,1.0183467E-15,8.693248E-18,1.5545136E-16
6777.341,9.889783E-16,8.581209E-18,1.5345112E-16
6781.553,9.660961E-16,8.505754E-18,1.5445578E-16
6785.766,9.654004E-16,8.492589E-18,1.5164518E-16
6789.9785,9.456627E-16,8.445802E-18,1.598292E-16
6794.191,9.436132E-16,8.391564E-18,1.4589711E-16
6798.4033,9.266061E-16,8.343524E-18,1.5147748E-16
6802.616,9.318549E-16,8.350665E-18,1.4915058E-16
6806.8286,9.312484E-16,8.34595E-18,1.4939139E-16
6811.041,9.20953E-16,8.377035E-18,1.7325658E-16
6815.254,9.332362E-16,8.5591314E-18,2.2217902E-16
6819.4663,9.274671E-16,8.6553425E-18,2.628647E-16
6823.6787,9.085165E-16,8.650449E-18,2.8486443E-16
6827.8916,9.350747E-16,8.744838E-18,2.8949844E-16
6832.104,9.446408E-16,8.716949E-18,2.7031842E-16
6836.3164,9.320053E-16,8.613147E-18,2.5028765E-16
6840.529,9.423513E-16,8.489682E-18,1.9685939E-16
6844.7417,9.598207E-16,8.4888716E-18,1.7945853E-16
6848.954,9.60129E-16,8.636047E-18,2.364263E-16
6853.1665,9.471701E-16,8.585279E-18,2.4955864E-16
6857.3794,9.370663E-16,8.486999E-18,2.5724457E-16
6861.592,9.45347E-16,8.346178E-18,2.4607024E-16
6865.804,9.647173E-16,8.311808E-18,2.6328182E-16
6870.0166,9.683351E-16,8.093747E-18,2.1985217E-16
6874.2295,9.739048E-16,7.945634E-18,1.7149617E-16
6878.442,9.875899E-16,8.036305E-18,1.7364224E-16
6882.6543,1.023066E-15,8.193902E-18,1.7206494E-16
6886.867,1.0224577E-15,8.257243E-18,1.8143882E-16
6891.0796,9.876337E-16,8.184598E-18,1.865901E-16
6895.292,9.810778E-16,8.170729E-18,1.8172154E-16
6899.505,9.964221E-16,8.239731E-18,1.7811957E-16
6903.7173,9.985393E-16,8.337825E-18,1.9488764E-16
6907.9297,9.855506E-16,8.411169E-18,2.1977828E-16
6912.142,9.70687E-16,8.419576E-18,2.2622265E-16
6916.355,9.711422E-16,8.450795E-18,2.2644703E-16
6920.5674,9.631058E-16,8.396578E-18,2.0907738E-16
6924.78,9.592658E-16,8.450944E-18,2.2659293E-16
6928.9927,9.599502E-16,8.43372E-18,2.1613505E-16
6933.205,9.564926E-16,8.4325166E-18,2.1739964E-16
6937.4175,9.176482E-16,8.385799E-18,2.4444415E-16
6941.6304,9.426553E-16,8.425338E-18,2.289263E-16
6945.843,9.172525E-16,8.338433E-18,2.2696417E-16
6950.055,8.880813E-16,8.208987E-18,2.1640804E-16
6954.2676,9.099298E-16,8.268232E-18,2.1050821E-16
6958.4805,9.115477E-16,8.148355E-18,1.6731268E-16
6962.693,8.839092E-16,8.13257E-18,1.917004E-16
6966.9053,8.855643E-16,8.174418E-18,2.0273415E-16
6971.118,8.603671E-16,8.112197E-18,2.1044072E-16
6975.3306,8.5787317E-16,8.043909E-18,1.9236474E-16
6979.543,8.5936363E-16,8.003326E-18,1.7837991E-16
6983.7554,8.819876E-16,8.056393E-18,1.7208065E-16
6987.9683,8.72578E-16,7.9591194E-18,1.5298304E-16
6992.1807,8.481024E-16,7.883049E-18,1.5717371E-16
6996.393,8.5803596E-16,7.935925E-18,1.6373654E-16
7000.606,8.4640837E-16,7.898477E-18,1.6493689E-16
7004.8184,8.296779E-16,7.848732E-18,1.6813629E-16
7009.031,8.4445447E-16,7.8596435E-18,1.553869E-16
7013.2437,8.563837E-16,7.877893E-18,1.4857992E-16
7017.456,8.453289E-16,7.839898E-18,1.4788119E-16
7021.6685,8.406498E-16,7.8089175E-18,1.4327933E-16
7025.881,8.3127644E-16,7.802819E-18,1.5230628E-16
7030.0938,8.379994E-16,7.830107E-18,1.5271968E-16
7034.306,8.2262696E-16,7.790576E-18,1.5678363E-16
7038.5186,8.302314E-16,7.816538E-18,1.5664604E-16
7042.7314,8.303477E-16,7.8298675E-18,1.6033456E-16
7046.944,8.231666E-16,7.813906E-18,1.6342742E-16
7051.1562,8.2073093E-16,7.7920935E-18,1.6002219E-16
7055.3687,8.105697E-16,7.740326E-18,1.5462387E-16
7059.5815,8.2654814E-16,7.766627E-18,1.440005E-16
7063.794,8.1236654E-16,7.727125E-18,1.4694877E-16
7068.0063,8.029769E-16,7.7116535E-18,1.5270129E-16
7072.219,8.055309E-16,7.726694E-18,1.5369132E-16
7076.4316,7.975129E-16,7.686332E-18,1.5009288E-16
7080.644,8.0487786E-16,7.7130605E-18,1.4987834E-16
7084.857,7.9107006E-16,7.64828E-18,1.4432148E-16
7089.0693,7.817295E-16,7.627561E-18,1.492385E-16
7093.2817,7.863319E-16,7.631732E-18,1.4459207E-16
7097.494,7.655524E-16,7.534254E-18,1.3729433E-16
7101.707,7.6185055E-16,7.500393E-18,1.3076521E-16
7105.9194,7.454493E-16,7.464486E-18,1.3815528E-16
7110.132,7.423597E-16,7.458072E-18,1.3983257E-16
7114.3447,7.2591925E-16,7.419198E-18,1.4637598E-16
7118.557,7.1436895E-16,7.368378E-18,1.4356851E-16
7122.7695,7.1276277E-16,7.3534876E-18,1.4071967E-16
7126.982,7.062838E-16,7.343867E-18,1.4503855E-16
7131.195,7.2006043E-16,7.391903E-18,1.4372266E-16
7135.407,6.8817176E-16,7.278158E-18,1.4626542E-16
7139.6196,6.8025317E-16,7.249601E-18,1.4771222E-16
7143.8325,6.6521124E-16,7.185401E-18,1.4544472E-16
7148.045,6.518279E-16,7.14643E-18,1.498752E-16
7152.2573,6.574375E-16,7.146179E-18,1.4421586E-16
7156.47,6.441108E-16,7.089941E-18,1.4511461E-16
7160.6826,6.5703255E-16,7.1240186E-18,1.4446864E-16
7164.895,6.4731407E-16,7.047874E-18,1.386912E-16
7169.1074,6.496802E-16,7.030439E-18,1.3703209E-16
7173.3203,6.441009E-16,6.979742E-18,1.3551028E-16
7177.5327,6.483977E-16,6.962238E-18,1.3036636E-16
7181.745,6.4849753E-16,6.957841E-18,1.3408465E-16
7185.958,6.5725304E-16,6.9507946E-18,1.2445075E-16
7190.1704,6.508088E-16,6.9419545E-18,1.3000849E-16
7194.383,6.5000784E-16,6.943456E-18,1.3022236E-16
7198.5957,6.5736316E-16,6.9753535E-18,1.2765569E-16
7202.808,6.4448244E-16,6.961859E-18,1.3258351E-16
7207.0205,6.542923E-16,7.0259265E-18,1.3274175E-16
7211.233,6.4607586E-16,7.008891E-18,1.300946E-16
7215.446,6.594398E-16,7.092548E-18,1.3402589E-16
7219.658,6.553816E-16,7.132974E-18,1.4975265E-16
7223.8706,6.637169E-16,7.414958E-18,2.297823E-16
7228.0835,6.5152107E-16,7.707485E-18,3.430449E-16
7232.296,6.651006E-16,7.969127E-18,4.213678E-16
7236.5083,6.8243533E-16,8.007638E-18,4.1717455E-16
7240.7207,6.818933E-16,8.097333E-18,4.5102567E-16
7244.9336,6.877957E-16,8.066352E-18,4.3190522E-16
7249.146,7.1650464E-16,7.83616E-18,3.1774816E-16
7253.3584,6.970398E-16,7.490964E-18,2.256479E-16
7257.5713,7.1273487E-16,7.530665E-18,2.1748078E-16
7261.7837,7.1163357E-16,7.91644E-18,3.4621307E-16
7265.996,7.2860107E-16,8.013687E-18,3.6019282E-16
7270.209,7.2823044E-16,8.166532E-18,4.1378446E-16
7274.4214,7.3489087E-16,8.2503855E-18,4.354131E-16
7278.634,7.567772E-16,8.289652E-18,4.2100838E-16
7282.846,7.464485E-16,8.11507E-18,3.701207E-16
7287.059,7.5201486E-16,7.825405E-18,2.63065E-16
7291.2715,7.590981E-16,7.829939E-18,2.5515293E-16
7295.484,7.583364E-16,7.727331E-18,2.2135486E-16
7299.697,7.633152E-16,7.94645E-18,2.8738872E-16
7303.909,7.530963E-16,8.114818E-18,3.5320009E-16
7308.1216,7.673895E-16,8.125564E-18,3.3864954E-16
7312.334,7.7439934E-16,8.167251E-18,3.424516E-16
7316.547,7.8532967E-16,8.23077E-18,3.4894703E-16
7320.7593,7.713987E-16,8.201703E-18,3.5141478E-16
7324.9717,7.705649E-16,8.231318E-18,3.603303E-16
7329.1846,7.6534546E-16,8.333513E-18,4.0112582E-16
7333.397,7.696199E-16,8.3123545E-18,3.861702E-16
7337.6094,7.7175544E-16,8.254166E-18,3.622097E-16
7341.8223,7.7705807E-16,8.262598E-18,3.5784908E-16
7346.0347,7.6920184E-16,8.249247E-18,3.626138E-16
7350.247,7.7746645E-16,8.00022E-18,2.6675762E-16
7354.4595,7.718636E-16,8.1188025E-18,3.1388394E-16
7358.6724,7.67882E-16,8.1778095E-18,3.3981286E-16
7362.885,7.7477235E-16,8.194889E-18,3.3723174E-16
7367.097,7.911261E-16,8.153618E-18,3.0219039E-16
7371.31,7.7914696E-16,8.081883E-18,2.914947E-16
7375.5225,7.828218E-16,8.0129615E-18,2.6591686E-16
7379.735,7.8492955E-16,7.8041356E-18,1.9350691E-16
7383.9478,7.682954E-16,7.8127225E-18,2.151189E-16
7388.16,7.7939927E-16,8.028489E-18,2.7427943E-16
7392.3726,7.981366E-16,8.075876E-18,2.6781914E-16
7396.585,7.8854347E-16,8.047789E-18,2.6876268E-16
7400.798,7.9433167E-16,7.9946866E-18,2.4316945E-16
7405.0103,8.002897E-16,7.949707E-18,2.2072159E-16
7409.2227,7.8699456E-16,7.846136E-18,2.0211649E-16
7413.4355,8.0034555E-16,7.754728E-18,1.5552028E-16
7417.648,8.1401984E-16,7.8295664E-18,1.6419724E-16
7421.8604,8.3594296E-16,7.955898E-18,1.7952486E-16
7426.0728,8.3472296E-16,8.031327E-18,2.0549141E-16
7430.2856,8.308352E-16,8.0005356E-18,1.9985983E-16
7434.498,8.3260993E-16,7.9910494E-18,1.9377908E-16
7438.7104,8.4128233E-16,8.017204E-18,1.9184849E-16
7442.9233,8.4285263E-16,7.980866E-18,1.7817852E-16
7447.1357,8.5233934E-16,7.980983E-18,1.6670058E-16
7451.348,8.7139144E-16,8.033159E-18,1.6074679E-16
7455.561,8.6808516E-16,8.0965456E-18,1.855918E-16
7459.7734,8.6500233E-16,8.1743676E-18,2.1450126E-16
7463.986,8.699947E-16,8.290028E-18,2.4780687E-16
7468.198,8.588772E-16,8.364311E-18,2.8690345E-16
7472.411,8.6649125E-16,8.3767075E-18,2.8174428E-16
7476.6235,8.7425844E-16,8.3763775E-18,2.7195626E-16
7480.836,8.6554295E-16,8.322003E-18,2.6276754E-16
7485.049,8.806061E-16,8.283022E-18,2.3093964E-16
7489.261,8.882838E-16,8.2060254E-18,1.9417026E-16
7493.4736,8.849998E-16,8.072221E-18,1.530012E-16
7497.686,8.669946E-16,8.0110995E-18,1.5292963E-16
7501.899,8.853598E-16,8.06349E-18,1.4849681E-16
7506.1113,8.950884E-16,8.210835E-18,1.8526813E-16
7510.3237,8.871824E-16,8.413321E-18,2.6412544E-16
7514.5366,8.910274E-16,8.533791E-18,3.015462E-16
7518.749,8.967426E-16,8.591063E-18,3.1524282E-16
7522.9614,9.087041E-16,8.661758E-18,3.2480699E-16
7527.1743,8.879227E-16,8.5889166E-18,3.2306644E-16
7531.3867,8.959567E-16,8.438336E-18,2.5838518E-16
7535.599,9.055895E-16,8.274628E-18,1.8941637E-16
7539.8115,8.990663E-16,8.2063985E-18,1.7297343E-16
7544.0244,8.951899E-16,8.218484E-18,1.803885E-16
7548.237,8.94587E-16,8.212833E-18,1.7768333E-16
7552.449,8.975122E-16,8.2716796E-18,1.9386473E-16
7556.662,9.049396E-16,8.451668E-18,2.4551253E-16
7560.8745,8.756743E-16,8.439838E-18,2.7522898E-16
7565.087,8.583883E-16,8.336335E-18,2.5891534E-16
7569.2993,8.4264383E-16,8.286089E-18,2.5943979E-16
7573.512,8.408952E-16,8.308121E-18,2.714513E-16
7577.7246,8.398275E-16,8.178817E-18,2.3913482E-16
7581.937,8.378697E-16,7.93331E-18,1.9136723E-16
7586.15,7.9984866E-16,7.5804246E-18,1.8640118E-16
7590.3623,7.771114E-16,7.127261E-18,1.7683449E-16
7594.5747,7.7126553E-16,6.5574607E-18,1.5209508E-16
7598.7876,7.957978E-16,5.99838E-18,1.1552901E-16
7603.0,8.7075183E-16,5.882414E-18,1.2839018E-16
7607.2124,9.524815E-16,6.0187403E-18,1.319916E-16
7611.425,9.356663E-16,6.2563843E-18,1.4589943E-16
7615.6377,9.287546E-16,6.5775206E-18,1.6042063E-16
7619.85,8.980306E-16,6.6868987E-18,1.610591E-16
7624.0625,8.5826783E-16,6.6517282E-18,1.6565184E-16
7628.2754,8.4545995E-16,6.5105533E-18,1.3895057E-16
7632.488,8.6143844E-16,6.565891E-18,1.3927878E-16
7636.7,8.594381E-16,6.636449E-18,1.3668265E-16
7640.913,8.683667E-16,6.739611E-18,1.1737092E-16
7645.1255,8.794463E-16,7.017692E-18,1.3540588E-16
7649.338,8.6873314E-16,7.266912E-18,1.6228495E-16
7653.5503,8.728577E-16,7.470991E-18,1.6673654E-16
7657.763,8.7399125E-16,7.6216215E-18,1.6426634E-16
7661.9756,8.723902E-16,7.724523E-18,1.5579125E-16
7666.188,8.668712E-16,7.844819E-18,1.6372943E-16
7670.401,8.678946E-16,7.90343E-18,1.5411641E-16
7674.6133,8.7652097E-16,7.985851E-18,1.4706668E-16
7678.8257,8.778679E-16,8.067005E-18,1.5339689E-16
7683.038,8.938736E-16,8.204219E-18,1.6441604E-16
7687.251,9.131731E-16,8.316072E-18,1.6761722E-16
7691.4634,9.365628E-16,8.436428E-18,1.6977349E-16
7695.676,9.40736E-16,8.681471E-18,2.3949473E-16
7699.8887,9.588022E-16,9.194284E-18,3.9659364E-16
7704.101,9.59637E-16,9.4922995E-18,5.0375437E-16
7708.3135,9.649874E-16,9.559298E-18,5.1814244E-16
7712.5264,9.87493E-16,9.698003E-18,5.408503E-16
7716.739,1.0015362E-15,9.761911E-18,5.4527063E-16
7720.951,1.0099584E-15,9.601578E-18,4.6889573E-16
7725.1636,1.0546825E-15,9.3292606E-18,3.065929E-16
7729.3765,1.0901577E-15,9.225027E-18,2.2408884E-16
7733.589,1.0910949E-15,9.4387164E-18,2.9843064E-16
7737.8013,1.0868127E-15,9.764712E-18,4.2585905E-16
7742.014,1.1170444E-15,9.8670595E-18,4.250548E-16
7746.2266,1.1386806E-15,1.0055623E-17,4.7110485E-16
7750.439,1.1248365E-15,1.0117688E-17,5.0974E-16
7754.6514,1.123665E-15,1.0077542E-17,4.918467E-16
7758.8643,1.1549509E-15,9.932147E-18,3.9166152E-16
7763.0767,1.1947125E-15,9.79312E-18,2.8822803E-16
7767.289,1.1885158E-15,9.8283996E-18,3.05447E-16
7771.502,1.208857E-15,9.7508E-18,2.4957548E-16
7775.7144,1.2053508E-15,9.826533E-18,2.7836862E-16
7779.927,1.2036072E-15,1.0150005E-17,4.0280197E-16
7784.1396,1.2470089E-15,1.0250044E-17,3.8715496E-16
7788.352,1.2284418E-15,1.0186878E-17,3.8100813E-16
7792.5645,1.2453303E-15,1.0259818E-17,3.8607232E-16
7796.777,1.2449096E-15,1.0330061E-17,4.1075203E-16
7800.9897,1.2552475E-15,1.0252546E-17,3.6415736E-16
7805.202,1.2556481E-15,1.0226107E-17,3.495188E-16
7809.4146,1.2586023E-15,1.05156055E-17,4.588133E-16
7813.6274,1.2361266E-15,1.0458481E-17,4.585371E-16
7817.84,1.2306986E-15,1.0350253E-17,4.1735508E-16
7822.0522,1.2548681E-15,1.03679215E-17,3.9269107E-16
7826.2646,1.2461163E-15,1.0416069E-17,4.1825815E-16
7830.4775,1.2455209E-15,1.0111563E-17,2.9631036E-16
7834.69,1.2472878E-15,1.009867E-17,2.855631E-16
7838.9023,1.2516373E-15,1.0514544E-17,4.4085704E-16
7843.115,1.242874E-15,1.0712954E-17,5.271691E-16
7847.3276,1.2139676E-15,1.0793219E-17,5.92086E-16
7851.54,1.2429669E-15,1.0842448E-17,5.734814E-16
