WAVE,FLUX,ERR,BGFLUX
9372.865,1.9003081E-16,3.553221E-18,1.5647317E-17
9379.806,2.1725471E-16,3.9805867E-18,1.47646E-17
9386.745,1.6413302E-16,2.9311027E-18,1.3222999E-17
9393.686,1.7577536E-16,2.8181595E-18,1.3358845E-17
9400.626,1.5998543E-16,2.7135892E-18,1.3311619E-17
9407.565,1.7660486E-16,2.9352382E-18,1.3106588E-17
9414.506,1.6463183E-16,3.0616624E-18,1.3609408E-17
9421.446,1.5157456E-16,2.8051448E-18,1.5293721E-17
9428.386,1.5988092E-16,2.8097462E-18,1.4556033E-17
9435.326,1.4235236E-16,2.7824565E-18,1.4645883E-17
9442.267,1.6020117E-16,2.4996916E-18,1.4823948E-17
9449.206,1.4985429E-16,2.3913607E-18,1.471131E-17
9456.146,1.4798006E-16,2.375063E-18,1.4546696E-17
9463.087,1.627422E-16,2.5549986E-18,1.4466587E-17
9470.026,1.4167077E-16,2.405356E-18,1.3587889E-17
9476.967,1.6312667E-16,2.7727334E-18,1.42496E-17
9483.907,1.2353238E-16,2.3635799E-18,1.4118448E-17
9490.847,1.4861016E-16,2.5025932E-18,1.2883527E-17
9497.787,1.4910796E-16,2.425265E-18,1.3679081E-17
9504.728,1.3026959E-16,2.461097E-18,1.2792832E-17
9511.667,1.4301185E-16,2.2316915E-18,1.3697046E-17
9518.607,1.4494458E-16,2.3839035E-18,1.27421185E-17
9525.548,1.342764E-16,2.533636E-18,1.2648143E-17
9532.487,1.3991281E-16,2.260133E-18,1.33801E-17
9539.428,1.2728927E-16,2.479395E-18,1.2904637E-17
9546.368,1.2491977E-16,2.1940844E-18,1.3496409E-17
9553.308,1.2263798E-16,2.0568326E-18,1.2888677E-17
9560.248,1.3867037E-16,2.2747992E-18,1.1824259E-17
9567.188,1.3302565E-16,2.2173035E-18,1.1108134E-17
9574.128,1.2794372E-16,2.0753157E-18,1.233545E-17
9581.068,1.2253704E-16,2.1993982E-18,1.23580875E-17
9588.009,1.2029367E-16,2.1123755E-18,1.1102545E-17
9594.948,1.2819126E-16,2.5821005E-18,1.0596518E-17
9601.889,1.2006774E-16,1.9842305E-18,1.0924642E-17
9608.829,1.285814E-16,2.1306868E-18,1.0914112E-17
9615.769,1.3539434E-16,2.1184813E-18,1.1115268E-17
9622.709,1.1722257E-16,2.0205398E-18,1.14760275E-17
9629.649,1.2857194E-16,2.1421997E-18,1.130281E-17
9636.589,1.4512271E-16,2.2980643E-18,1.08155445E-17
9643.529,1.2872364E-16,2.003387E-18,9.72491E-18
9650.47,1.1340671E-16,2.2765578E-18,1.04790855E-17
9657.409,1.2846595E-16,2.036329E-18,9.723692E-18
9664.35,1.2424274E-16,1.9620856E-18,1.0558403E-17
9671.29,1.189347E-16,1.9955463E-18,1.0458622E-17
9678.2295,1.119815E-16,1.9631635E-18,9.952744E-18
9685.17,1.0326249E-16,2.021247E-18,1.0625122E-17
9692.11,1.005659E-16,2.0194637E-18,1.1010536E-17
9699.05,1.2302199E-16,1.9275748E-18,1.0993137E-17
9705.99,1.1583689E-16,1.853875E-18,1.1180228E-17
9712.931,1.1326372E-16,1.9168192E-18,1.0086133E-17
9719.87,1.0376866E-16,1.7275192E-18,9.599478E-18
9726.811,1.2214607E-16,2.0953186E-18,9.972211E-18
9733.751,1.0810254E-16,1.8036003E-18,9.597946E-18
9740.69,9.819785E-17,1.7713756E-18,1.001343E-17
9747.631,1.0715973E-16,1.6890636E-18,9.772776E-18
9754.571,9.70048E-17,1.7692938E-18,9.581789E-18
9761.511,8.747093E-17,1.5737081E-18,9.6658975E-18
9768.451,9.38214E-17,1.9900659E-18,1.0510153E-17
9775.392,1.0249142E-16,1.5432939E-18,1.11940524E-17
9782.331,1.1226012E-16,2.1818386E-18,1.2305063E-17
9789.271,1.3123507E-17,1.8628143E-18,1.063293E-17
9796.212,8.5258584E-17,1.4779836E-18,1.02512535E-17
9803.151,8.274198E-17,1.6303085E-18,9.501999E-18
9810.092,8.258083E-17,1.5340688E-18,9.193323E-18
9817.032,8.706502E-17,1.5448324E-18,9.041929E-18
