WAVE,FLUX,ERR,BGFLUX
3637.805,3.1874416E-17,2.1433115E-17,9.997974E-17
3643.3245,2.959983E-17,2.0955165E-17,9.718889E-17
3648.8442,9.487578E-17,2.0856936E-17,4.669811E-17
3654.3638,3.376774E-17,2.0221266E-17,9.6913685E-17
3659.8835,8.812373E-17,2.009774E-17,5.2662374E-17
3665.403,7.934481E-17,1.9390662E-17,3.769322E-17
3670.9229,3.90011E-17,1.8685223E-17,5.342878E-17
3676.4424,6.2589667E-17,1.8686018E-17,5.531265E-17
3681.9622,8.223845E-17,1.856247E-17,5.376511E-17
3687.4817,6.6917965E-17,1.840982E-17,8.364837E-17
3693.0015,5.0397554E-17,1.8018528E-17,1.0297974E-16
3698.521,4.0723514E-17,1.7372434E-17,8.404672E-17
3704.0408,5.8033946E-17,1.7325017E-17,8.606602E-17
3709.5603,4.6089564E-17,1.6739528E-17,6.930254E-17
3715.0798,8.67336E-17,1.6915901E-17,6.0123404E-17
3720.5996,6.848448E-17,1.6505388E-17,7.030774E-17
3726.1191,5.4544902E-17,1.6374178E-17,1.0131687E-16
3731.639,6.431893E-17,1.6036739E-17,8.260097E-17
3737.1584,7.461301E-17,1.5866219E-17,7.849981E-17
3742.6782,4.3993207E-17,1.5113028E-17,7.5058276E-17
3748.1978,5.028754E-17,1.5029761E-17,7.914227E-17
3753.7175,1.2131804E-16,1.5281535E-17,3.053199E-17
3759.237,3.4704925E-17,1.424619E-17,6.890007E-17
3764.7568,5.755714E-17,1.4491086E-17,8.3050144E-17
3770.2764,6.903745E-17,1.4296867E-17,6.656596E-17
3775.7961,6.696726E-17,1.4156649E-17,7.469226E-17
3781.3157,6.0389704E-17,1.3731106E-17,6.1520744E-17
3786.8354,8.040395E-17,1.3865503E-17,6.309092E-17
3792.355,8.684038E-17,1.3668941E-17,5.192846E-17
3797.8748,1.1277632E-16,1.3699959E-17,3.8058514E-17
3803.3943,6.433895E-17,1.3147914E-17,6.940497E-17
3808.9138,7.751969E-17,1.31025186E-17,6.2255254E-17
3814.4336,8.0197735E-17,1.2948521E-17,5.8318794E-17
3819.9531,5.532876E-17,1.2677303E-17,8.684391E-17
3825.473,7.3940524E-17,1.2634732E-17,6.287502E-17
3830.9924,7.4687865E-17,1.25453644E-17,6.8743414E-17
3836.5122,8.2258255E-17,1.24574434E-17,6.414006E-17
3842.0317,8.6609476E-17,1.2296148E-17,5.3110418E-17
3847.5515,5.186988E-17,1.1888823E-17,7.876281E-17
3853.071,8.250067E-17,1.1857819E-17,4.455809E-17
3858.5908,7.154946E-17,1.1577253E-17,4.3987645E-17
3864.1104,9.0910207E-17,1.1740222E-17,4.313459E-17
3869.6301,8.328597E-17,1.1492078E-17,4.18399E-17
3875.1497,7.6710626E-17,1.13062495E-17,4.2320287E-17
3880.6694,7.2132664E-17,1.1113532E-17,4.1734283E-17
3886.189,9.5668474E-17,1.1366631E-17,4.2442306E-17
3891.7087,9.734651E-17,1.139385E-17,5.688137E-17
3897.2283,7.327941E-17,1.1110413E-17,7.331558E-17
3902.7478,8.127522E-17,1.1149913E-17,7.351211E-17
3908.2676,1.0883174E-16,1.1305565E-17,6.0077466E-17
3913.787,7.9541926E-17,1.0950095E-17,7.707871E-17
3919.307,8.206495E-17,1.0723578E-17,5.766073E-17
3924.8264,8.489778E-17,1.0672094E-17,5.665498E-17
3930.3462,1.3904976E-16,1.1029034E-17,2.5965512E-17
3935.8657,8.785904E-17,1.06155695E-17,6.3608594E-17
3941.3855,9.8166864E-17,1.0776187E-17,7.403142E-17
3946.905,1.0774538E-16,1.0711729E-17,6.221908E-17
3952.4248,1.1814994E-16,1.0589848E-17,4.50227E-17
3957.9443,1.1105833E-16,1.0403194E-17,4.070501E-17
3963.464,1.2511706E-16,1.0527755E-17,4.5416682E-17
3968.9836,1.4234553E-16,1.0717046E-17,4.8546823E-17
3974.5034,1.195354E-16,1.04552015E-17,5.712393E-17
3980.023,1.3286254E-16,1.0570048E-17,5.956102E-17
3985.5425,1.2313973E-16,1.03918915E-17,5.957647E-17
3991.0623,1.2869644E-16,1.0500659E-17,7.075016E-17
3996.5818,1.083782E-16,1.0266928E-17,8.116844E-17
4002.1016,1.1674105E-16,1.0196938E-17,6.99045E-17
4007.621,1.3126264E-16,1.0259014E-17,6.156168E-17
4013.1409,1.2490602E-16,1.0185934E-17,6.879216E-17
4018.6604,1.2938096E-16,1.0057838E-17,5.418423E-17
4024.1802,1.07719324E-16,9.794903E-18,6.392169E-17
4029.6997,1.0343571E-16,9.706077E-18,6.4985135E-17
4035.2195,1.2140664E-16,9.856523E-18,6.328266E-17
4040.739,1.174364E-16,9.804892E-18,6.850587E-17
4046.2588,9.515167E-17,9.664357E-18,9.0726195E-17
4051.7783,1.2599741E-16,9.757169E-18,6.232751E-17
4057.298,1.1676521E-16,9.656519E-18,7.1118964E-17
4062.8176,1.1357396E-16,9.677883E-18,8.218002E-17
4068.3374,1.1710432E-16,9.596819E-18,7.4271396E-17
4073.857,1.1133772E-16,9.503983E-18,7.682808E-17
4079.3765,1.03161235E-16,9.417563E-18,8.206379E-17
4084.8962,1.1579862E-16,9.548702E-18,8.563691E-17
4090.4158,1.0773813E-16,9.2898454E-18,7.362023E-17
4095.9355,1.2322929E-16,9.306315E-18,5.537657E-17
4101.455,1.0420735E-16,9.059566E-18,6.1732635E-17
4106.9746,1.02836186E-16,9.064558E-18,6.653369E-17
4112.4946,1.10342605E-16,9.1014914E-18,6.5785E-17
4118.014,1.0009094E-16,9.006319E-18,7.368658E-17
4123.5337,8.982008E-17,8.73714E-18,6.3106575E-17
4129.053,7.7418216E-17,8.671033E-18,7.700631E-17
4134.573,5.9974095E-17,8.431966E-18,8.070219E-17
4140.093,6.842994E-17,8.304552E-18,5.6257453E-17
4145.6123,7.5959427E-17,8.366301E-18,5.55171E-17
4151.132,8.596312E-17,8.463391E-18,5.7242745E-17
4156.652,5.904121E-17,8.22885E-18,7.296869E-17
4162.1714,8.094961E-17,8.533811E-18,7.9663965E-17
4167.691,6.3500505E-17,8.347707E-18,8.563918E-17
4173.2104,8.6647943E-17,8.421956E-18,6.564054E-17
4178.73,6.939877E-17,8.073226E-18,5.377015E-17
4184.25,5.8968356E-17,7.987252E-18,6.277072E-17
4189.7695,6.5621886E-17,7.9610575E-18,5.6720794E-17
4195.289,5.2426783E-17,7.8653775E-18,6.552471E-17
4200.8086,6.499633E-17,7.993699E-18,6.254861E-17
4206.3286,5.1414734E-17,7.6768945E-18,5.31365E-17
4211.848,5.8981306E-17,7.821262E-18,6.0736445E-17
4217.3677,6.328996E-17,7.8534695E-18,5.8618684E-17
4222.887,6.1914674E-17,7.809164E-18,5.8663894E-17
4228.407,7.620071E-17,7.9031805E-18,5.251936E-17
4233.927,7.323972E-17,7.849649E-18,5.1467095E-17
4239.4463,7.3811344E-17,7.770872E-18,4.672565E-17
4244.966,8.1224014E-17,7.884618E-18,4.932639E-17
4250.486,7.8390795E-17,7.925617E-18,6.0177806E-17
4256.0054,6.4467135E-17,7.81588E-18,7.094152E-17
4261.525,7.1745094E-17,7.801689E-18,6.216354E-17
4267.0444,7.5352594E-17,7.881518E-18,6.948623E-17
4272.564,8.924002E-17,8.021412E-18,6.4884034E-17
4278.084,1.0179554E-16,8.145816E-18,6.329369E-17
4283.6035,8.075239E-17,7.903469E-18,6.8308654E-17
4289.123,9.0058416E-17,7.92957E-18,5.927306E-17
4294.6426,1.0851671E-16,8.1099575E-18,5.708204E-17
4300.1626,1.1980527E-16,8.185842E-18,5.207572E-17
4305.682,1.3039604E-16,8.222904E-18,4.204937E-17
4311.2017,1.3434812E-16,8.35396E-18,5.6969676E-17
4316.721,1.2830395E-16,8.319521E-18,6.128863E-17
4322.241,1.4862686E-16,8.547796E-18,6.243087E-17
4327.7607,1.544288E-16,8.592877E-18,6.425564E-17
4333.2803,1.7134878E-16,8.672024E-18,5.0528387E-17
4338.8,1.7321621E-16,8.760846E-18,6.0805385E-17
4344.32,1.8319675E-16,8.8114364E-18,5.636445E-17
4349.8394,1.8128583E-16,8.753788E-18,5.5255248E-17
4355.359,1.7940419E-16,8.766793E-18,6.0735154E-17
4360.8784,1.8604941E-16,8.839473E-18,6.3312933E-17
4366.398,2.064315E-16,9.030889E-18,6.079884E-17
4371.918,1.973939E-16,8.921334E-18,6.2871206E-17
4377.4375,2.0528847E-16,8.954998E-18,5.863859E-17
4382.957,1.9150617E-16,8.767606E-18,5.551646E-17
4388.4766,1.9196167E-16,8.7981345E-18,6.103478E-17
4393.9966,1.9292789E-16,8.754505E-18,5.532353E-17
4399.516,1.7915987E-16,8.65892E-18,6.469237E-17
4405.0356,1.7044844E-16,8.633344E-18,7.722421E-17
4410.555,1.8012434E-16,8.629975E-18,6.405263E-17
4416.075,1.8906728E-16,8.7653716E-18,7.143347E-17
4421.5947,1.7699021E-16,8.591623E-18,6.800266E-17
4427.1143,1.7770701E-16,8.5822114E-18,6.8372645E-17
4432.634,1.6380717E-16,8.428328E-18,6.832055E-17
4438.154,1.5763643E-16,8.4132085E-18,7.742728E-17
4443.6733,1.5221031E-16,8.2433106E-18,6.698295E-17
4449.193,1.5564965E-16,8.2515005E-18,6.2689147E-17
4454.7124,1.474068E-16,8.1148296E-18,5.811193E-17
4460.232,1.4784134E-16,8.135691E-18,6.292447E-17
4465.752,1.6121065E-16,8.209417E-18,5.553709E-17
4471.2715,1.5497237E-16,8.206926E-18,6.438839E-17
4476.791,1.4175799E-16,8.025713E-18,6.192942E-17
4482.3105,1.4348951E-16,7.971496E-18,5.4728367E-17
4487.8306,1.3659253E-16,7.98485E-18,6.7909106E-17
4493.35,1.5698854E-16,8.174299E-18,6.525752E-17
4498.8696,1.555328E-16,8.13554E-18,6.454255E-17
4504.389,1.8592003E-16,8.433733E-18,6.108041E-17
4509.909,1.6996077E-16,8.297498E-18,6.908224E-17
4515.4287,1.6857321E-16,8.269638E-18,6.869033E-17
4520.948,1.7150863E-16,8.243599E-18,6.1423554E-17
4526.468,1.7122358E-16,8.25529E-18,6.728166E-17
4531.9873,1.6409776E-16,8.251072E-18,7.66093E-17
4537.5073,1.7667518E-16,8.193624E-18,5.4996602E-17
4543.027,1.7969173E-16,8.30768E-18,6.455371E-17
4548.5464,1.7801086E-16,8.305066E-18,6.85971E-17
4554.066,1.5049743E-16,8.01031E-18,7.146638E-17
4559.586,1.7235317E-16,8.177638E-18,6.2363694E-17
4565.1055,1.6535227E-16,8.179379E-18,7.3792994E-17
4570.625,1.7185964E-16,8.150839E-18,6.211683E-17
4576.1445,1.8130818E-16,8.155842E-18,5.070554E-17
4581.6646,1.8356837E-16,8.196771E-18,5.4713474E-17
4587.184,1.8461094E-16,8.21914E-18,5.7577574E-17
4592.7036,1.7381657E-16,8.169021E-18,6.746113E-17
4598.223,1.7048652E-16,8.103423E-18,6.5403226E-17
4603.743,1.6822837E-16,8.0684595E-18,6.4344984E-17
4609.2627,1.753056E-16,8.150641E-18,6.6989996E-17
4614.782,1.7083659E-16,8.0849725E-18,6.554837E-17
4620.302,1.7493812E-16,8.034617E-18,5.4607893E-17
4625.8213,1.7465125E-16,8.016098E-18,5.4291192E-17
4631.3413,1.6526407E-16,8.003588E-18,6.732675E-17
4636.861,1.6317922E-16,7.940344E-18,6.353147E-17
4642.3804,1.6513319E-16,7.9302905E-18,6.0123656E-17
4647.9,1.8090224E-16,8.057331E-18,5.563729E-17
4653.42,1.5955009E-16,7.843538E-18,5.997585E-17
4658.9395,1.806318E-16,8.038406E-18,5.647662E-17
4664.459,1.6911926E-16,7.940109E-18,5.979653E-17
4669.9785,1.7418888E-16,8.008983E-18,6.320334E-17
4675.4985,1.5984608E-16,7.949358E-18,7.617134E-17
4681.018,1.582405E-16,7.838189E-18,6.500956E-17
4686.5376,1.7626172E-16,7.996678E-18,6.181308E-17
4692.057,1.7207992E-16,7.8753E-18,5.3459892E-17
4697.577,1.5682545E-16,7.752064E-18,5.8934144E-17
4703.0967,1.5374253E-16,7.688267E-18,5.8273154E-17
4708.616,1.5413484E-16,7.734035E-18,6.209593E-17
4714.1357,1.507387E-16,7.6852755E-18,6.1207845E-17
4719.6553,1.6851916E-16,7.790926E-18,5.2269606E-17
4725.1753,1.5037162E-16,7.642615E-18,5.809141E-17
4730.695,1.5420871E-16,7.6839214E-18,5.9492166E-17
4736.2144,1.4610704E-16,7.585502E-18,5.938217E-17
4741.734,1.5827527E-16,7.6471954E-18,5.1560527E-17
4747.254,1.4765658E-16,7.582995E-18,6.067611E-17
4752.7734,1.5302346E-16,7.695492E-18,6.5569396E-17
