WAVE,FLUX,ERR,BGFLUX
3629.3318,4.5720536E-16,3.2473523E-17,9.159147E-16
3634.8435,4.0999153E-16,3.190334E-17,9.573561E-16
3640.3552,3.8916476E-16,3.1396788E-17,9.781266E-16
3645.867,4.1186236E-16,3.1189196E-17,9.969831E-16
3651.3787,4.436846E-16,3.092859E-17,9.773428E-16
3656.8904,3.1972894E-16,3.0299788E-17,1.086518E-15
3662.402,3.702638E-16,2.998849E-17,1.050574E-15
3667.9138,4.625427E-16,2.9729894E-17,9.608337E-16
3673.4255,3.7536837E-16,2.886124E-17,9.889548E-16
3678.9373,4.1875562E-16,2.8726553E-17,9.744173E-16
3684.449,4.2662193E-16,2.8576274E-17,1.001634E-15
3689.9607,3.742581E-16,2.8118003E-17,1.0428874E-15
3695.4724,3.6788084E-16,2.7732615E-17,1.0287461E-15
3700.9841,4.2099809E-16,2.7778545E-17,1.0310945E-15
3706.4958,4.1980808E-16,2.724042E-17,9.924728E-16
3712.0076,4.1685316E-16,2.6582911E-17,9.42502E-16
3717.5193,4.473836E-16,2.6077193E-17,8.6906295E-16
3723.031,5.195298E-16,2.6063111E-17,8.304766E-16
3728.5427,4.3981392E-16,2.509884E-17,8.1419253E-16
3734.0544,5.3326415E-16,2.5270541E-17,7.824347E-16
3739.5662,5.0055465E-16,2.4822856E-17,7.994742E-16
3745.078,4.941091E-16,2.459945E-17,8.1509716E-16
3750.5896,5.0544844E-16,2.4385549E-17,8.080563E-16
3756.1013,5.069279E-16,2.4380692E-17,8.515721E-16
3761.613,4.3265956E-16,2.3911841E-17,8.956036E-16
3767.1248,4.0822425E-16,2.4065065E-17,9.87848E-16
3772.6365,4.7566506E-16,2.4196919E-17,9.737637E-16
3778.1482,4.2788084E-16,2.3562134E-17,9.571715E-16
3783.66,4.3279495E-16,2.3261904E-17,9.375625E-16
3789.1716,4.6139976E-16,2.2932355E-17,8.8204463E-16
3794.6833,4.523997E-16,2.2672374E-17,8.8141793E-16
3800.195,4.3804682E-16,2.2237134E-17,8.5811023E-16
3805.7068,4.1129395E-16,2.1483106E-17,7.9196167E-16
3811.2185,4.1347834E-16,2.1161527E-17,7.67467E-16
3816.7302,4.0446972E-16,2.0488114E-17,6.888136E-16
3822.242,4.3433396E-16,2.0113256E-17,6.22272E-16
3827.7537,4.103423E-16,1.9782268E-17,6.2146093E-16
3833.2654,4.1139824E-16,1.9631787E-17,6.2406534E-16
3838.777,4.1826161E-16,1.9626045E-17,6.396279E-16
3844.2888,3.7512564E-16,1.9454805E-17,6.8708375E-16
3849.8005,3.645045E-16,1.920981E-17,6.838775E-16
3855.3123,3.94474E-16,1.9399764E-17,7.066419E-16
3860.824,3.4933235E-16,1.8961177E-17,7.080632E-16
3866.3357,3.546926E-16,1.874919E-17,6.892798E-16
3871.8474,3.742399E-16,1.8629586E-17,6.704895E-16
3877.3591,3.0207315E-16,1.8137301E-17,6.928901E-16
3882.8708,2.874823E-16,1.7985297E-17,7.061559E-16
3888.3826,2.6589397E-16,1.789608E-17,7.3561275E-16
3893.8943,2.0193938E-16,1.7697415E-17,7.9589286E-16
