WAVE,FLUX,ERR,BGFLUX
3639.798,1.7343601E-15,4.9693057E-16,2.357387E-14
3645.3176,1.4977946E-15,4.883408E-16,2.3524533E-14
3650.8372,1.6626492E-15,4.79108E-16,2.2816049E-14
3656.357,1.7413494E-15,4.7665646E-16,2.2988608E-14
3661.8765,1.8994862E-15,4.6688943E-16,2.2092649E-14
3667.396,1.1763365E-15,4.49593E-16,2.1587765E-14
3672.9155,1.6934775E-15,4.4937517E-16,2.1363838E-14
3678.4353,2.5071004E-15,4.4807884E-16,2.0559392E-14
3683.9548,1.5942341E-15,4.3355156E-16,2.0603602E-14
3689.4744,1.6340048E-15,4.3007711E-16,2.0614453E-14
3694.994,1.6686025E-15,4.2469666E-16,2.0424468E-14
3700.5137,2.060444E-15,4.188786E-16,1.9619497E-14
3706.0332,1.8478233E-15,4.118484E-16,1.9472313E-14
3711.5527,2.5682892E-15,4.1156714E-16,1.8900024E-14
3717.0723,2.3885004E-15,4.0442917E-16,1.8677608E-14
3722.592,3.1421727E-15,4.04456E-16,1.807077E-14
3728.1116,2.5288884E-15,3.944095E-16,1.8008417E-14
3733.631,2.6901476E-15,3.902031E-16,1.7656276E-14
3739.1506,2.0021155E-15,3.7866174E-16,1.7570838E-14
3744.6702,2.0532678E-15,3.7480575E-16,1.740164E-14
3750.19,2.872198E-15,3.7954146E-16,1.722452E-14
3755.7095,2.8423734E-15,3.74607E-16,1.7000263E-14
3761.229,2.5122762E-15,3.6853512E-16,1.7068724E-14
3766.7485,2.7201828E-15,3.6956317E-16,1.7275096E-14
3772.2683,2.4197656E-15,3.6141938E-16,1.6987593E-14
3777.7878,2.2721326E-15,3.565817E-16,1.689663E-14
3783.3074,2.386316E-15,3.509848E-16,1.633427E-14
3788.827,2.2980753E-15,3.4388516E-16,1.585058E-14
3794.3467,1.9651353E-15,3.3860028E-16,1.594656E-14
3799.8662,2.7283564E-15,3.4033397E-16,1.5399486E-14
3805.3857,2.3981722E-15,3.3485356E-16,1.5450355E-14
3810.9053,2.5012324E-15,3.3021087E-16,1.4971084E-14
3816.4248,2.4307404E-15,3.2409246E-16,1.4560608E-14
3821.9446,2.3711017E-15,3.1923854E-16,1.4298875E-14
3827.464,2.6550097E-15,3.1890817E-16,1.4108593E-14
3832.9836,2.5386865E-15,3.156724E-16,1.4082193E-14
3838.5032,2.8153188E-15,3.1601193E-16,1.4008527E-14
3844.023,2.9491688E-15,3.171467E-16,1.4230931E-14
3849.5425,2.7184356E-15,3.1041171E-16,1.38789E-14
3855.062,2.9109386E-15,3.104254E-16,1.3887937E-14
3860.5815,2.6966848E-15,3.0468728E-16,1.3663798E-14
3866.1013,2.5424007E-15,3.0091105E-16,1.3581857E-14
3871.6208,2.3030987E-15,2.9520438E-16,1.3386349E-14
3877.1404,2.7028944E-15,2.9530883E-16,1.30648335E-14
3882.66,2.0711512E-15,2.9057013E-16,1.3516187E-14
3888.1797,2.3894132E-15,2.9155425E-16,1.3402716E-14
3893.6992,2.280702E-15,2.8843063E-16,1.3331399E-14
3899.2188,2.057711E-15,2.8728464E-16,1.3686273E-14
3904.7383,1.8370853E-15,2.8331884E-16,1.3668256E-14
3910.2578,1.5227271E-15,2.7853437E-16,1.3654368E-14
3915.7776,1.7457024E-15,2.7604666E-16,1.32041594E-14
3921.297,1.803273E-15,2.6867184E-16,1.23108285E-14
3926.8167,2.304395E-15,2.6848025E-16,1.17561685E-14
3932.3362,1.5027863E-15,2.5960056E-16,1.1872663E-14
3937.856,1.5728229E-15,2.62036E-16,1.22425865E-14
3943.3755,1.3987244E-15,2.6320773E-16,1.2797163E-14
3948.895,1.6203868E-15,2.6343675E-16,1.264893E-14
3954.4146,1.5572873E-15,2.5784297E-16,1.2141639E-14
3959.9343,1.5915025E-15,2.5499313E-16,1.1889736E-14
3965.4539,1.4680874E-15,2.49679E-16,1.1506667E-14
3970.9734,1.5673988E-15,2.5229903E-16,1.1843857E-14
3976.493,1.5068129E-15,2.5353118E-16,1.2215225E-14
3982.0125,1.2510717E-15,2.5536595E-16,1.2960976E-14
3987.5322,1.4078364E-15,2.5603395E-16,1.2960026E-14
3993.0518,1.4218233E-15,2.5525706E-16,1.2970549E-14
3998.5713,1.5197447E-15,2.5771602E-16,1.3300021E-14
