WAVE,FLUX,ERR,BGFLUX
3638.6238,8.073988E-16,5.71164E-17,6.896001E-16
3644.1433,8.91678E-16,5.7557894E-17,7.1234656E-16
3649.663,7.558321E-16,5.568586E-17,8.0859777E-16
3655.1826,9.020198E-16,5.643094E-17,7.775464E-16
3660.7024,9.450555E-16,5.561149E-17,6.9473637E-16
3666.222,8.2349697E-16,5.381624E-17,7.457666E-16
3671.7417,8.014832E-16,5.224465E-17,6.684922E-16
3677.2612,8.7099895E-16,5.281999E-17,7.3822643E-16
3682.7808,8.0296315E-16,5.1876976E-17,8.0153526E-16
3688.3005,8.5156E-16,5.1866895E-17,8.073184E-16
3693.82,8.7843495E-16,5.117938E-17,7.6028714E-16
3699.3398,1.0401219E-15,5.179799E-17,6.8346956E-16
3704.8594,1.024746E-15,5.088749E-17,6.6074896E-16
3710.3792,9.176797E-16,4.9570886E-17,7.2809195E-16
3715.8987,8.517869E-16,4.7969875E-17,6.8544384E-16
3721.4182,9.999873E-16,4.8217642E-17,5.6040954E-16
3726.938,1.004417E-15,4.7230365E-17,4.963794E-16
3732.4575,9.932787E-16,4.739574E-17,6.103535E-16
3737.9773,9.897651E-16,4.6626328E-17,5.7957134E-16
3743.4968,1.0760878E-15,4.698027E-17,5.6490237E-16
3749.0166,1.2368787E-15,4.8059167E-17,5.5365054E-16
3754.5361,1.0271232E-15,4.61724E-17,6.7708653E-16
3760.0557,1.1197542E-15,4.6595593E-17,6.665391E-16
3765.5754,1.105061E-15,4.6705436E-17,7.7419637E-16
3771.095,1.1090087E-15,4.637864E-17,7.921855E-16
3776.6147,1.0820631E-15,4.5865418E-17,8.2209444E-16
3782.1343,1.0453288E-15,4.442744E-17,7.1281417E-16
3787.654,1.0132322E-15,4.330895E-17,6.5099146E-16
3793.1736,9.952584E-16,4.272609E-17,6.5329486E-16
3798.693,8.929877E-16,4.1596832E-17,7.045564E-16
3804.213,9.545891E-16,4.1847696E-17,7.0397025E-16
3809.7324,9.689782E-16,4.117111E-17,6.2246535E-16
3815.2522,9.879282E-16,4.0301457E-17,5.164951E-16
3820.7717,1.0214182E-15,3.9690882E-17,4.148341E-16
3826.2915,9.057502E-16,3.7885967E-17,3.9127316E-16
3831.811,9.866941E-16,3.8527658E-17,3.934897E-16
3837.3306,1.0539312E-15,3.963095E-17,5.3137214E-16
3842.8503,1.175861E-15,4.0526774E-17,5.248455E-16
3848.3699,1.2248557E-15,4.0917065E-17,5.552379E-16
