WAVE,FLUX,ERR,BGFLUX
5983.385,1.892042E-15,1.2753247E-17,2.0039734E-16
5987.599,2.0310963E-15,1.3276989E-17,2.126403E-16
5991.814,2.1232012E-15,1.3529842E-17,2.0885617E-16
5996.029,2.1312584E-15,1.35584795E-17,2.1392958E-16
6000.243,2.127667E-15,1.3528661E-17,2.0831183E-16
6004.458,2.1087936E-15,1.3471114E-17,2.1014472E-16
6008.673,2.0868988E-15,1.3389431E-17,2.045439E-16
6012.887,2.0671771E-15,1.33251054E-17,2.0376799E-16
6017.102,2.0701727E-15,1.33292165E-17,2.0541555E-16
6021.3164,2.0647178E-15,1.3308677E-17,2.0682749E-16
6025.5312,2.03897E-15,1.322878E-17,2.0783011E-16
6029.746,2.007817E-15,1.3162127E-17,2.2027703E-16
6033.9604,1.9971908E-15,1.3095841E-17,2.0970296E-16
6038.1753,1.9562942E-15,1.2957273E-17,2.0477673E-16
6042.39,1.9561476E-15,1.29312856E-17,1.9869346E-16
6046.6045,1.9245762E-15,1.2845512E-17,2.0452794E-16
6050.8193,1.9037275E-15,1.2780143E-17,2.0772325E-16
6055.034,1.9253523E-15,1.28242434E-17,2.0372438E-16
6059.2485,1.9075893E-15,1.27549555E-17,2.00394E-16
6063.4634,1.91828E-15,1.27819075E-17,2.0283247E-16
6067.6777,1.8919281E-15,1.2709115E-17,2.0835774E-16
6071.8926,1.8875303E-15,1.2676932E-17,2.0461212E-16
6076.1074,1.8688636E-15,1.2598223E-17,1.999285E-16
6080.322,1.869185E-15,1.2589678E-17,2.0092876E-16
6084.5366,1.8502842E-15,1.2526276E-17,2.0172193E-16
6088.7515,1.8466642E-15,1.2479692E-17,1.9149133E-16
6092.966,1.8004708E-15,1.2348859E-17,1.9774868E-16
6097.1807,1.7559373E-15,1.2199637E-17,1.9531346E-16
6101.3955,1.7089375E-15,1.2041538E-17,1.9350367E-16
6105.61,1.6398107E-15,1.1835761E-17,1.9965191E-16
6109.8247,1.5860695E-15,1.1636993E-17,1.9089457E-16
6114.0396,1.511587E-15,1.1412447E-17,1.9873382E-16
6118.254,1.4497332E-15,1.120083E-17,1.9720706E-16
6122.4688,1.3612008E-15,1.0913565E-17,2.025167E-16
6126.683,1.3072189E-15,1.0704294E-17,1.9553814E-16
6130.898,1.2278835E-15,1.0462829E-17,2.0954454E-16
6135.113,1.1695627E-15,1.02307725E-17,2.0382425E-16
6139.327,1.1017966E-15,9.964463E-18,1.9909467E-16
6143.542,1.050841E-15,9.768144E-18,1.9825416E-16
6147.757,9.974828E-16,9.543216E-18,1.939062E-16
6151.971,9.438867E-16,9.311662E-18,1.8851936E-16
6156.186,8.7308355E-16,9.044198E-18,1.9430365E-16
6160.401,8.1860806E-16,8.84295E-18,2.028995E-16
6164.615,7.940727E-16,8.721487E-18,1.9968462E-16
6168.83,7.7707094E-16,8.628384E-18,1.9557971E-16
6173.0444,7.2671504E-16,8.396337E-18,1.9245964E-16
6177.2593,7.0120855E-16,8.230911E-18,1.848458E-16
6181.474,6.53148E-16,8.069641E-18,1.9263702E-16
6185.6885,6.575163E-16,8.039808E-18,1.881277E-16
6189.9033,6.4385796E-16,7.985488E-18,1.9384988E-16
6194.118,6.1638355E-16,7.8665166E-18,1.9623359E-16
6198.3325,6.099374E-16,7.843908E-18,1.9998735E-16
6202.5474,6.0321107E-16,7.786538E-18,1.9599149E-16
6206.762,6.0230935E-16,7.769033E-18,1.9344086E-16
6210.9766,6.018781E-16,7.747241E-18,1.9051585E-16
6215.1914,6.142135E-16,7.837837E-18,1.9356004E-16
6219.406,6.180122E-16,7.834416E-18,1.9731096E-16
6223.6206,6.3337243E-16,7.915829E-18,2.0425847E-16
6227.8354,6.3090656E-16,7.954526E-18,2.1863481E-16
6232.05,6.467109E-16,8.047515E-18,2.2696542E-16
6236.2646,6.6055647E-16,8.041969E-18,2.107362E-16
6240.4795,6.727886E-16,8.12782E-18,1.9873503E-16
6244.694,7.066743E-16,8.1962796E-18,1.9999577E-16
6248.9087,7.500604E-16,8.363273E-18,1.9770793E-16
6253.1235,7.826401E-16,8.518598E-18,2.0552688E-16
6257.338,8.10309E-16,8.684123E-18,2.0450482E-16
6261.5527,8.680264E-16,8.81351E-18,1.9788843E-16
6265.7676,9.286175E-16,9.012184E-18,1.9260601E-16
6269.982,9.828134E-16,9.2165365E-18,1.8281643E-16
6274.197,1.024225E-15,9.3248095E-18,1.920012E-16
6278.411,1.0825134E-15,9.536401E-18,1.9803011E-16
6282.626,1.1683064E-15,9.8606025E-18,2.0985129E-16
6286.841,1.230248E-15,1.0517974E-17,3.7409417E-16
6291.055,1.2565847E-15,1.0968085E-17,5.192416E-16
6295.27,1.2973441E-15,1.11289095E-17,5.346337E-16
6299.485,1.3558931E-15,1.1191817E-17,4.8635107E-16
6303.699,1.3599405E-15,1.0675541E-17,2.7848892E-16
6307.914,1.3866215E-15,1.05284905E-17,1.9286547E-16
