WAVE,FLUX,ERR,BGFLUX
3337.6697,8.617248E-15,3.0191327E-16,-4.1966414E-16
3341.7493,9.002375E-15,2.4651912E-16,-3.3286825E-16
3345.829,7.859648E-15,2.3492602E-16,1.8206094E-16
3349.9087,8.791699E-15,2.3792788E-16,-1.3451236E-17
3353.9883,8.552186E-15,2.301182E-16,-1.4012676E-16
3358.068,8.34181E-15,2.233567E-16,-1.9851959E-16
3362.1477,8.44343E-15,2.2169273E-16,-1.3366596E-17
3366.2273,8.680891E-15,2.189365E-16,-1.1752396E-16
3370.307,8.643073E-15,2.163802E-16,9.3560295E-17
3374.3867,9.173504E-15,2.1487818E-16,-2.0369447E-16
3378.4663,9.1801465E-15,2.1256958E-16,-1.4812065E-17
3382.546,9.380519E-15,2.1073206E-16,-2.6531272E-17
3386.6257,9.450396E-15,2.0606787E-16,-2.2906598E-16
3390.7053,1.0269123E-14,2.101818E-16,-1.5763257E-16
3394.785,9.500249E-15,2.0286827E-16,8.8199906E-17
3398.8645,1.0262527E-14,2.0396702E-16,-1.3451348E-16
3402.9443,1.0202694E-14,2.0110034E-16,-5.3805286E-17
3407.024,9.9133E-15,1.9678853E-16,4.4905247E-17
3411.1035,1.0312717E-14,1.9659545E-16,-1.4202547E-17
3415.1833,9.833429E-15,1.8968462E-16,-1.0277956E-16
3419.263,1.042647E-14,1.9146403E-16,-1.1431812E-16
3423.3425,9.9102E-15,1.857396E-16,-3.4688947E-17
3427.422,1.031647E-14,1.8532008E-16,-1.499078E-16
3431.502,1.0227045E-14,1.8392495E-16,7.320975E-17
3435.5815,1.0575923E-14,1.8396738E-16,5.247029E-17
3439.6611,1.002007E-14,1.776756E-16,3.868185E-17
3443.741,1.0739525E-14,1.9083483E-16,-1.1939587E-16
3447.8206,1.0531669E-14,1.7579974E-16,-1.1262695E-16
3451.9001,1.0912833E-14,1.7682939E-16,-5.4784023E-17
3455.9797,1.0858186E-14,1.7502009E-16,5.2073044E-17
3460.0596,1.1492445E-14,1.7668009E-16,-2.9504093E-17
3464.1392,1.13153065E-14,1.7392776E-16,2.236516E-17
3468.2188,1.1079439E-14,1.7080753E-16,6.2337456E-17
3472.2986,1.1356369E-14,1.7007207E-16,-4.3501534E-17
3476.3782,1.1468874E-14,1.6950388E-16,1.1495167E-17
3480.4578,1.11421365E-14,1.6546462E-16,-1.661786E-17
3484.5374,1.1594242E-14,1.6648744E-16,-3.8583476E-17
3488.6172,1.1817812E-14,1.6630867E-16,-2.89889E-17
3492.6968,1.2016504E-14,1.6621882E-16,3.477673E-17
3496.7764,1.2479533E-14,1.6720739E-16,1.7637946E-17
3500.856,1.2797482E-14,1.6756288E-16,3.190502E-17
3504.9358,1.36633945E-14,1.7011239E-16,-8.789167E-17
3509.0154,1.4410372E-14,1.7303835E-16,1.7979482E-17
3513.095,1.4923674E-14,1.7526278E-16,1.6145991E-17
3517.1748,1.5480957E-14,1.7663779E-16,3.035688E-17
3521.2544,1.5755616E-14,1.7634601E-16,1.7213831E-18
3525.334,1.634046E-14,1.7806705E-16,7.1197745E-17
3529.4136,1.6930991E-14,1.7940187E-16,6.82314E-17
3533.4934,1.7137077E-14,1.7893948E-16,7.479937E-17
3537.573,1.7559669E-14,1.7979217E-16,1.4710924E-16
3541.6526,1.7779259E-14,1.7901672E-16,7.159254E-17
3545.7324,1.7789767E-14,1.7768713E-16,8.4651004E-17
3549.812,1.824752E-14,1.784758E-16,1.0884658E-16
3553.8916,1.8514156E-14,1.7788843E-16,2.8938533E-17
3557.9712,1.9098572E-14,1.7871781E-16,-5.1610432E-17
3562.051,1.9178796E-14,1.7823544E-16,7.280624E-17
3566.1306,1.9660133E-14,1.7893019E-16,7.748108E-17
3570.2102,1.9945447E-14,1.7842226E-16,-1.06882265E-17
3574.29,2.0113541E-14,1.7788272E-16,1.0370896E-17
3578.3696,2.0843209E-14,1.7962893E-16,3.4658074E-17
3582.4492,2.0714914E-14,1.7805337E-16,1.01896886E-16
3586.5288,2.090374E-14,1.7745696E-16,8.754142E-17
3590.6086,2.1103577E-14,1.7699104E-16,1.09976025E-16
3594.6882,2.1452231E-14,1.7676335E-16,2.8041787E-17
3598.7678,2.1247539E-14,1.7462284E-16,6.0419712E-18
3602.8477,2.1229717E-14,1.7359325E-16,8.308116E-17
3606.9272,2.0798535E-14,1.7060322E-16,4.0139336E-17
3611.0068,2.0337932E-14,1.6758154E-16,2.7033113E-17
3615.0864,1.9786981E-14,1.6431016E-16,2.9462572E-17
3619.1663,1.9717282E-14,1.6296103E-16,5.560651E-17
3623.2458,1.930227E-14,1.6025844E-16,4.9104257E-17
3627.3254,1.9223243E-14,1.5897956E-16,8.683352E-17
3631.4053,1.9373295E-14,1.5861536E-16,1.2806179E-16
3635.4849,1.9720823E-14,1.5849387E-16,4.2636383E-17
3639.5645,1.9977504E-14,1.5848713E-16,7.3411585E-17
3643.644,2.0497757E-14,1.5902445E-16,-3.4299393E-19
3647.7239,2.1670616E-14,1.6251569E-16,1.00053166E-16
3651.8035,2.195434E-14,1.6231354E-16,8.3076733E-17
3655.883,2.2990858E-14,1.6483147E-16,9.436483E-17
3659.963,2.3821074E-14,1.6633028E-16,4.1077505E-17
3664.0425,2.4645984E-14,1.6798201E-16,6.727497E-17
