WAVE,FLUX,ERR,BGFLUX
3637.1252,1.7617525E-15,6.861414E-17,3.639175E-16
3642.6448,1.6560297E-15,6.7294643E-17,4.560782E-16
3648.164,1.6974983E-15,6.6278694E-17,4.2896107E-16
3653.6836,1.5446324E-15,6.359858E-17,4.0434433E-16
3659.203,1.723303E-15,6.4771855E-17,4.285228E-16
3664.7224,1.7763478E-15,6.364994E-17,3.2199108E-16
3670.2417,1.7189204E-15,6.1958673E-17,2.9959624E-16
3675.7612,1.7711078E-15,6.1827655E-17,3.0856587E-16
3681.2805,1.8269215E-15,6.156309E-17,3.1768778E-16
3686.8,1.7504411E-15,6.041915E-17,3.859663E-16
3692.3193,1.8305727E-15,6.0679184E-17,4.4087313E-16
3697.8389,1.8558615E-15,5.9708934E-17,3.6934252E-16
3703.3582,1.8587823E-15,5.8962625E-17,3.6785288E-16
3708.8777,1.7616678E-15,5.68077E-17,2.9802055E-16
3714.397,1.8379387E-15,5.734713E-17,3.6791953E-16
3719.9165,1.6686981E-15,5.493418E-17,3.4228601E-16
3725.4358,1.82678E-15,5.574013E-17,3.5274888E-16
3730.9553,1.7415407E-15,5.4431012E-17,3.5785549E-16
3736.4746,1.7056264E-15,5.357423E-17,3.8454353E-16
3741.9941,1.7108101E-15,5.304752E-17,3.7722906E-16
3747.5134,1.7249342E-15,5.1904088E-17,2.6555994E-16
3753.033,1.7089972E-15,5.1948845E-17,3.988805E-16
3758.5522,1.6882776E-15,5.1041865E-17,3.698553E-16
3764.0718,1.6175995E-15,5.0209254E-17,4.294525E-16
3769.591,1.6045846E-15,4.9416362E-17,3.9987811E-16
3775.1106,1.5724185E-15,4.8467632E-17,3.792307E-16
3780.63,1.5287877E-15,4.7410294E-17,3.4252853E-16
3786.1494,1.4994211E-15,4.665112E-17,3.3378278E-16
3791.6687,1.5007165E-15,4.5953053E-17,2.9065954E-16
3797.188,1.5053386E-15,4.6002194E-17,3.763162E-16
3802.7075,1.3862059E-15,4.417842E-17,3.2234114E-16
3808.2268,1.3350312E-15,4.3471008E-17,3.520366E-16
3813.7463,1.2886136E-15,4.2246754E-17,2.7761372E-16
3819.2656,1.173678E-15,4.1146568E-17,3.44979E-16
3824.7852,1.0711368E-15,3.981369E-17,3.508837E-16
3830.3044,1.0140292E-15,3.8216485E-17,2.4108792E-16
3835.824,9.942708E-16,3.8186244E-17,3.300774E-16
3841.3433,1.0379218E-15,3.8352213E-17,3.4166363E-16
3846.8628,9.581675E-16,3.7182543E-17,3.3633307E-16
3852.382,9.921292E-16,3.69893E-17,2.9455243E-16
3857.9016,1.1549504E-15,3.808868E-17,2.607225E-16
3863.421,1.0681887E-15,3.6963174E-17,2.741007E-16
3868.9404,1.1036744E-15,3.702762E-17,2.6845714E-16
3874.4597,1.0782494E-15,3.651772E-17,2.7195107E-16
3879.9792,1.0526603E-15,3.591299E-17,2.6101535E-16
3885.4985,9.949381E-16,3.515899E-17,2.7829204E-16
3891.018,9.6933E-16,3.48008E-17,3.0024748E-16
3896.5374,9.737226E-16,3.4556125E-17,3.058315E-16
3902.057,8.464673E-16,3.3352495E-17,3.48707E-16
3907.5762,8.921607E-16,3.3807844E-17,3.886512E-16
3913.0957,9.418642E-16,3.3396494E-17,2.798546E-16
3918.615,8.2177834E-16,3.2234587E-17,3.16853E-16
3924.1345,7.977144E-16,3.1134334E-17,2.1884621E-16
3929.6538,8.2576575E-16,3.122582E-17,2.1688852E-16
3935.1733,8.716179E-16,3.1674956E-17,2.5100723E-16
3940.6926,8.2457016E-16,3.1589293E-17,3.5000775E-16
3946.2122,9.341528E-16,3.2498133E-17,3.6173823E-16
3951.7314,1.0774023E-15,3.3262507E-17,2.9330922E-16
3957.251,1.103269E-15,3.2871982E-17,2.1418492E-16
3962.7703,1.1302288E-15,3.2892572E-17,2.1096937E-16
3968.2898,1.2076065E-15,3.368528E-17,2.6693897E-16
3973.809,1.2662887E-15,3.425055E-17,3.1387338E-16
3979.3286,1.3368087E-15,3.5044377E-17,3.8800838E-16
3984.848,1.4768891E-15,3.593164E-17,3.773484E-16
3990.3674,1.6049093E-15,3.6875702E-17,4.0183783E-16
3995.8867,1.6718858E-15,3.737892E-17,4.4312605E-16
4001.406,1.6663068E-15,3.7162942E-17,4.4417624E-16
4006.9255,1.7238762E-15,3.7295605E-17,4.2015058E-16
4012.4448,1.8059928E-15,3.784905E-17,4.5656865E-16
4017.9644,1.879961E-15,3.8100644E-17,4.2853064E-16
4023.4836,1.8815806E-15,3.8047615E-17,4.506425E-16
4029.0032,1.885252E-15,3.7755597E-17,4.198876E-16
4034.5225,1.9995627E-15,3.8563772E-17,4.6235436E-16
4040.042,1.9755227E-15,3.804219E-17,4.2249265E-16
4045.5613,1.9789853E-15,3.8105365E-17,4.6740046E-16
4051.0808,2.1340324E-15,3.87102E-17,4.1023087E-16
4056.6,2.0960762E-15,3.832746E-17,4.1885785E-16
4062.1196,2.1917435E-15,3.8904988E-17,4.4620616E-16
4067.639,2.2302234E-15,3.8843624E-17,4.0928312E-16
4073.1584,2.188057E-15,3.8634407E-17,4.624252E-16
4078.6777,2.1437288E-15,3.8276393E-17,4.8606663E-16
4084.1973,2.2272198E-15,3.846609E-17,4.3019832E-16
4089.7166,2.1311207E-15,3.7584993E-17,4.0168984E-16
4095.236,2.0655978E-15,3.6956994E-17,3.9336586E-16
4100.7554,2.057655E-15,3.6752065E-17,3.8477223E-16
4106.275,1.957643E-15,3.589936E-17,3.7152424E-16
4111.7944,1.840247E-15,3.5032614E-17,3.8794948E-16
4117.3135,1.7841409E-15,3.4625456E-17,4.0683628E-16
4122.833,1.7240648E-15,3.4209533E-17,4.3547134E-16
4128.3525,1.7452475E-15,3.4285852E-17,4.442281E-16
4133.872,1.7236193E-15,3.383257E-17,3.9976855E-16
4139.391,1.7277057E-15,3.3719022E-17,3.9277648E-16
4144.9106,1.7297767E-15,3.382703E-17,4.3764684E-16
4150.43,1.7173917E-15,3.356349E-17,4.2032337E-16
4155.9497,1.7289346E-15,3.3718393E-17,4.675696E-16
4161.4688,1.8682533E-15,3.4370132E-17,4.2242518E-16
4166.9883,1.8792622E-15,3.4426357E-17,4.4281742E-16
4172.508,1.9393294E-15,3.4768016E-17,4.5410754E-16
4178.0273,1.973807E-15,3.4668883E-17,4.103307E-16
4183.5464,1.9306979E-15,3.4293118E-17,3.9912642E-16
4189.066,2.0159806E-15,3.4682227E-17,3.8743843E-16
4194.5854,2.10909E-15,3.5200423E-17,3.9161737E-16
4200.1045,2.0735953E-15,3.4788123E-17,3.7057151E-16
4205.624,2.1471457E-15,3.5210686E-17,3.8116242E-16
4211.1436,2.0622042E-15,3.461299E-17,3.8737117E-16
4216.663,2.0448142E-15,3.449687E-17,4.099323E-16
4222.182,2.0695452E-15,3.4474466E-17,3.8906404E-16
4227.7017,2.0916011E-15,3.4460235E-17,3.7578558E-16
4233.221,2.0786053E-15,3.426556E-17,3.6612377E-16
4238.7407,2.0918396E-15,3.421967E-17,3.5689694E-16
4244.26,1.983697E-15,3.3439646E-17,3.4823764E-16
4249.7793,1.9411695E-15,3.3083833E-17,3.4794512E-16
4255.299,2.096895E-15,3.4001127E-17,3.4962018E-16
4260.8184,1.895991E-15,3.2690813E-17,3.6235837E-16
4266.3374,1.8484756E-15,3.2266678E-17,3.5132137E-16
4271.857,1.8373894E-15,3.22116E-17,3.6625506E-16
4277.3765,1.800504E-15,3.186258E-17,3.588735E-16
4282.896,1.8513017E-15,3.2064465E-17,3.423923E-16
4288.415,1.7392953E-15,3.132781E-17,3.5677443E-16
4293.9346,1.7806773E-15,3.1321224E-17,3.0314184E-16
4299.454,1.7820137E-15,3.1173995E-17,2.8222227E-16
4304.9736,1.7318751E-15,3.0809907E-17,2.9173284E-16
4310.4927,1.726329E-15,3.0804368E-17,3.1568275E-16
4316.012,1.6937795E-15,3.0518028E-17,3.1135258E-16
4321.5317,1.6714312E-15,3.0448836E-17,3.4427067E-16
4327.0513,1.5843026E-15,2.9970497E-17,3.8481676E-16
4332.5703,1.734839E-15,3.0575712E-17,3.0581463E-16
4338.09,1.5213692E-15,2.9305113E-17,3.5563618E-16
4343.6094,1.5668112E-15,2.9480313E-17,3.4272568E-16
4349.129,1.5241425E-15,2.9154907E-17,3.4318935E-16
4354.648,1.447493E-15,2.8764332E-17,3.8832077E-16
4360.1675,1.4640618E-15,2.860824E-17,3.389561E-16
4365.687,1.4220991E-15,2.835124E-17,3.5756651E-16
4371.2065,1.4230687E-15,2.8272067E-17,3.4982815E-16
4376.7256,1.3857016E-15,2.8064528E-17,3.7415626E-16
4382.245,1.3280133E-15,2.7472179E-17,3.450628E-16
4387.7646,1.3348189E-15,2.744446E-17,3.3728751E-16
4393.284,1.3167089E-15,2.7247083E-17,3.3542155E-16
4398.803,1.2871839E-15,2.7100458E-17,3.6105854E-16
4404.3228,1.3263271E-15,2.7308329E-17,3.5593306E-16
4409.8423,1.2865244E-15,2.696388E-17,3.5315061E-16
4415.3613,1.1919033E-15,2.651976E-17,4.1819046E-16
4420.881,1.2346535E-15,2.667723E-17,3.9240175E-16
4426.4004,1.154226E-15,2.5992139E-17,3.859809E-16
4431.92,1.1405301E-15,2.5860104E-17,3.879161E-16
4437.439,1.1391456E-15,2.5791491E-17,3.8357805E-16
4442.9585,1.1584812E-15,2.5675749E-17,3.423936E-16
4448.478,1.1218627E-15,2.5451924E-17,3.5683807E-16
4453.9976,1.1332414E-15,2.5468496E-17,3.5113584E-16
4459.5166,1.150848E-15,2.5567483E-17,3.5380614E-16
4465.036,1.2200943E-15,2.5963894E-17,3.3374533E-16
4470.5557,1.1736149E-15,2.5678075E-17,3.560203E-16
4476.075,1.1701314E-15,2.5540288E-17,3.4499835E-16
4481.594,1.1860929E-15,2.5683695E-17,3.579424E-16
