WAVE,FLUX,ERR,BGFLUX
3637.354,5.112097E-17,1.474476E-17,4.6244237E-17
3642.8735,8.449338E-18,1.4353915E-17,7.790691E-17
3648.3928,-1.6499755E-17,1.4296406E-17,6.983403E-17
3653.912,-3.8806835E-18,1.4552703E-17,9.329474E-17
3659.4316,6.400382E-17,1.4838887E-17,-3.1239687E-17
3664.951,2.8190458E-17,1.4868585E-17,6.1334595E-17
3670.4702,-1.9554492E-17,1.4297398E-17,4.3637553E-17
3675.9895,-5.1556377E-18,1.4355284E-17,5.5121963E-17
3681.509,-2.9861045E-17,1.4394384E-17,6.663616E-17
3687.0283,-8.984392E-18,1.4359139E-17,7.033816E-17
3692.5476,3.8084826E-18,1.4287528E-17,6.8164255E-17
3698.0671,-9.387409E-18,1.4428712E-17,1.0005903E-16
3703.5864,-2.0438626E-18,1.3871911E-17,4.089455E-17
3709.1057,-1.0990092E-18,1.4011507E-17,7.093112E-17
3714.625,3.3891813E-17,1.4618033E-17,5.3412766E-17
3720.1445,1.0709996E-17,1.4459157E-17,9.697218E-17
3725.6638,3.695071E-17,1.4762919E-17,9.56823E-17
3731.183,4.029214E-17,1.4677714E-17,9.2179294E-17
3736.7026,1.9654409E-17,1.4278868E-17,9.730826E-17
3742.222,-5.040121E-19,1.38380765E-17,9.2524016E-17
3747.7412,7.29643E-18,1.3542598E-17,6.234187E-17
3753.2605,2.5160564E-17,1.3809442E-17,6.9672927E-17
3758.78,1.12356935E-17,1.34900775E-17,7.6838164E-17
3764.2993,3.3066783E-17,1.3587972E-17,5.934532E-17
3769.8186,1.3697248E-17,1.3033108E-17,4.626979E-17
3775.3381,9.124224E-20,1.3002124E-17,7.0112127E-17
3780.8574,-2.9841004E-17,1.2945712E-17,7.451614E-17
3786.3767,-1.9038922E-17,1.2848325E-17,7.421759E-17
3791.896,-5.3485064E-18,1.2690756E-17,6.7254734E-17
3797.4155,8.937357E-18,1.2402402E-17,4.4796452E-17
3802.9348,6.5161992E-18,1.2534275E-17,7.673336E-17
3808.454,3.6761273E-17,1.2722887E-17,5.92409E-17
3813.9736,-7.158345E-18,1.23085195E-17,7.6431905E-17
3819.493,4.3925673E-18,1.2472162E-17,1.03301796E-16
3825.0122,2.4530986E-17,1.2358829E-17,6.9785556E-17
3830.5315,2.0393124E-17,1.2301393E-17,7.99817E-17
