WAVE,FLUX,ERR,BGFLUX
3639.4731,3.719481E-17,1.985591E-17,2.6976256E-17
3644.9917,8.0921114E-17,2.032005E-17,3.9328147E-17
3650.5105,-2.7296834E-18,1.8499762E-17,2.2038034E-17
3656.029,4.7224287E-17,1.894344E-17,3.0860547E-17
3661.5479,4.555219E-18,1.7645342E-17,1.0857736E-17
3667.0664,2.943107E-17,1.755693E-17,8.5147234E-18
3672.585,4.121194E-17,1.7294128E-17,-9.587068E-19
3678.1038,4.6066234E-17,1.7076729E-17,-2.6024666E-19
3683.6223,5.306575E-17,1.7105925E-17,2.0378822E-17
3689.141,5.378882E-17,1.6973228E-17,3.540879E-17
3694.6597,3.165796E-17,1.6162653E-17,2.7740329E-17
3700.1785,1.9749018E-17,1.595815E-17,4.544778E-17
3705.697,3.7694204E-17,1.5796744E-17,3.4466925E-17
3711.2156,2.757334E-17,1.5261401E-17,3.349544E-17
3716.7344,5.4792924E-17,1.5067583E-17,1.7671674E-18
3722.253,5.688448E-17,1.5500274E-17,5.566884E-17
3727.7717,7.382516E-17,1.5330974E-17,4.5664105E-17
3733.2903,6.140803E-17,1.5077231E-17,5.8269964E-17
3738.8088,5.8625863E-17,1.4609318E-17,4.208147E-17
3744.3276,5.4016608E-17,1.427678E-17,4.041573E-17
3749.8462,3.3448702E-17,1.3679264E-17,3.5239707E-17
3755.365,4.1181144E-17,1.3417127E-17,2.2399879E-17
3760.8835,3.4040034E-17,1.30374244E-17,2.105976E-17
3766.4023,4.3692643E-17,1.2964093E-17,1.7681383E-17
3771.921,1.890204E-17,1.2734356E-17,4.580861E-17
3777.4395,3.7290407E-17,1.2457188E-17,1.573738E-17
3782.9583,4.357254E-17,1.2504168E-17,2.639353E-17
3788.4768,3.5541132E-17,1.2038694E-17,1.178752E-17
3793.9956,3.1791913E-17,1.1819514E-17,1.4115849E-17
3799.5142,5.984178E-17,1.1904212E-17,3.886847E-18
3805.0327,4.4122555E-17,1.1737653E-17,1.8677158E-17
3810.5515,6.287026E-17,1.2014012E-17,3.2765868E-17
3816.07,3.0535372E-17,1.15572476E-17,4.5807443E-17
3821.5889,4.775002E-17,1.16056145E-17,4.3732318E-17
3827.1074,7.055294E-17,1.1701687E-17,3.062709E-17
