WAVE,FLUX,ERR,BGFLUX
3627.459,2.1507267E-18,1.9508434E-17,3.3584145E-15
3632.975,4.556303E-17,2.2909746E-17,3.3196568E-15
3638.4915,1.7355256E-16,2.5784894E-17,3.0882E-15
3644.0078,3.5996955E-17,2.6767255E-17,3.2714877E-15
3649.524,-3.339872E-17,2.6548363E-17,3.3026128E-15
3655.0403,5.4613846E-17,2.5398377E-17,3.122538E-15
3660.5564,-1.6420882E-17,2.4096264E-17,3.1396278E-15
3666.0728,1.09840685E-17,2.2627645E-17,2.8785786E-15
3671.589,3.7826556E-17,2.2209535E-17,2.853205E-15
3677.1052,6.9556135E-17,2.2059373E-17,2.8159183E-15
3682.6216,-1.009924E-18,2.2125733E-17,2.9892616E-15
3688.1377,-1.580456E-17,2.2560617E-17,3.0768614E-15
3693.654,1.9697059E-16,2.3420559E-17,2.8743049E-15
3699.1704,7.679393E-17,2.3365513E-17,2.9606847E-15
3704.6865,8.773396E-17,2.339874E-17,2.8177601E-15
3710.203,7.897108E-17,2.3427472E-17,2.7777715E-15
3715.719,3.3151602E-17,2.311761E-17,2.7552713E-15
3721.2354,-6.9230504E-19,2.2903941E-17,2.8174092E-15
3726.7517,1.07168574E-16,2.2658752E-17,2.7153784E-15
3732.2678,5.1814855E-17,2.2133785E-17,2.8483622E-15
3737.7842,9.3595195E-17,2.1516402E-17,2.7695345E-15
3743.3003,1.271849E-17,2.007831E-17,2.7773747E-15
3748.8167,-2.9298846E-17,1.9506186E-17,2.7252813E-15
3754.333,4.3976606E-18,1.9185323E-17,2.7135355E-15
3759.849,3.7099725E-17,1.9137957E-17,2.7097783E-15
3765.3655,4.830162E-17,1.9168779E-17,2.74544E-15
3770.8816,1.06683575E-16,1.9273773E-17,2.6891075E-15
3776.398,1.2632925E-16,1.9386311E-17,2.6838385E-15
3781.9143,2.7743932E-17,1.9097928E-17,2.7129548E-15
3787.4304,1.8779208E-17,1.9135402E-17,2.645545E-15
3792.9468,1.2729059E-16,1.929917E-17,2.4673847E-15
3798.463,1.2679572E-17,1.912406E-17,2.5448823E-15
3803.9792,5.750396E-17,1.9090303E-17,2.4154178E-15
3809.4956,2.3088828E-17,1.899536E-17,2.4058393E-15
3815.0117,-1.7417533E-18,1.8918572E-17,2.390211E-15
3820.528,1.2626637E-18,1.8610512E-17,2.2813081E-15
3826.0442,6.468216E-17,1.8795476E-17,2.2676296E-15
3831.5605,7.202464E-18,1.8641592E-17,2.3335262E-15
3837.077,1.2432308E-16,1.8751584E-17,2.2300738E-15
3842.593,1.4317685E-16,1.8608947E-17,2.197621E-15
3848.1094,7.88296E-17,1.831499E-17,2.2338211E-15
3853.6255,1.7987476E-17,1.8045822E-17,2.2772455E-15
3859.1418,3.5721616E-17,1.7554015E-17,2.1126196E-15
3864.6582,5.6727514E-19,1.7196144E-17,2.0704981E-15
3870.1743,3.9335906E-17,1.7075688E-17,2.004999E-15
3875.6907,6.666454E-17,1.7011883E-17,1.9686399E-15
3881.2068,3.2183947E-17,1.6939809E-17,2.0224006E-15
3886.7231,-1.1118134E-17,1.6999261E-17,2.1085615E-15
3892.2395,1.9484893E-17,1.7357341E-17,2.2412377E-15
3897.7556,9.5300226E-17,1.7770205E-17,2.317479E-15
3903.272,5.3480585E-17,1.7860262E-17,2.4604698E-15
3908.788,5.527004E-17,1.7632041E-17,2.4253476E-15
3914.3044,8.018637E-17,1.6928155E-17,2.1901113E-15
3919.8208,6.2000754E-17,1.6182624E-17,2.010822E-15
3925.337,1.8772259E-17,1.5342658E-17,1.8443772E-15
3930.8533,5.4042826E-17,1.5286639E-17,1.8327112E-15
3936.3694,3.405826E-17,1.5189084E-17,1.8827018E-15
3941.8857,3.4152504E-17,1.5305849E-17,1.9830161E-15
3947.402,3.1683287E-17,1.5414486E-17,2.0760238E-15
3952.9182,3.5355675E-17,1.5146721E-17,2.0154901E-15
3958.4346,4.2491884E-17,1.4607508E-17,1.8481543E-15
3963.9507,9.850859E-17,1.4660107E-17,1.8035705E-15
3969.467,2.9606624E-17,1.4514692E-17,1.885508E-15
3974.9834,2.6816674E-17,1.483531E-17,2.0265676E-15
