WAVE,FLUX,ERR,BGFLUX
3337.373,1.3296047E-15,6.0696085E-17,2.8977902E-16
3341.4524,1.425988E-15,5.994833E-17,2.4144857E-16
3345.5315,1.3731416E-15,5.7972775E-17,2.266425E-16
3349.6108,1.3686493E-15,5.6815794E-17,2.3500506E-16
3353.6902,1.4647354E-15,5.655147E-17,2.1060762E-16
3357.7693,1.4976104E-15,5.597328E-17,2.2821738E-16
3361.8486,1.4299312E-15,5.4632067E-17,2.8137468E-16
3365.928,1.5858453E-15,5.482886E-17,2.3417142E-16
3370.007,1.6672579E-15,5.4307484E-17,1.8265651E-16
3374.0864,1.5430613E-15,5.188851E-17,1.6683951E-16
3378.1658,1.6633909E-15,5.265395E-17,2.1723088E-16
3382.2449,1.7828557E-15,5.2779278E-17,1.9385981E-16
3386.3242,1.6794822E-15,5.106975E-17,2.1129692E-16
3390.4036,1.7901277E-15,5.086076E-17,1.5672551E-16
3394.4827,1.8202378E-15,5.065691E-17,1.8544808E-16
3398.562,1.9759898E-15,5.1206427E-17,1.758339E-16
3402.6414,1.8050393E-15,4.9494124E-17,2.5229104E-16
3406.7205,1.8918803E-15,4.9195048E-17,2.0319869E-16
3410.7998,1.9267179E-15,4.852084E-17,1.7039342E-16
3414.8792,1.921384E-15,4.8020094E-17,1.914615E-16
3418.9583,1.9408259E-15,4.736437E-17,1.6917221E-16
3423.0376,1.8574662E-15,4.6219153E-17,1.9500312E-16
3427.117,1.943476E-15,4.6264066E-17,1.8721081E-16
3431.196,1.865322E-15,4.5303124E-17,2.2294715E-16
3435.2754,1.989438E-15,4.5632613E-17,2.0514564E-16
3439.3547,1.9998223E-15,4.5066408E-17,1.8645814E-16
3443.4338,2.0077057E-15,4.4634054E-17,1.9386844E-16
3447.5132,2.0237625E-15,4.4193107E-17,1.8965575E-16
3451.5925,1.9641803E-15,4.310661E-17,1.7335645E-16
3455.6716,1.9957504E-15,4.298381E-17,1.8900693E-16
3459.751,2.153857E-15,4.3675368E-17,1.7772067E-16
3463.8303,2.0929363E-15,4.2964565E-17,2.1470841E-16
3467.9094,2.1356797E-15,4.279963E-17,2.1190308E-16
3471.9888,2.1744907E-15,4.2457474E-17,1.7639456E-16
3476.068,2.1568883E-15,4.185469E-17,1.7159798E-16
3480.1472,2.3118614E-15,4.242763E-17,1.4797619E-16
3484.2266,2.28196E-15,4.203359E-17,1.8364185E-16
3488.306,2.356203E-15,4.2213095E-17,1.926353E-16
3492.3853,2.4638249E-15,4.245668E-17,1.731055E-16
3496.4644,2.4857294E-15,4.2350906E-17,1.9815624E-16
3500.5437,2.587435E-15,4.241617E-17,1.5638671E-16
3504.623,2.6618538E-15,4.257159E-17,1.6519559E-16
3508.7021,2.7812174E-15,4.291077E-17,1.5948188E-16
3512.7815,2.825614E-15,4.279213E-17,1.5073444E-16
3516.8608,2.9053046E-15,4.2775187E-17,1.2922721E-16
3520.94,2.940503E-15,4.2894083E-17,1.7040353E-16
3525.0193,3.0446023E-15,4.3335602E-17,2.015962E-16
3529.0986,3.009557E-15,4.264948E-17,1.8479014E-16
3533.1777,3.12369E-15,4.3173498E-17,2.1647044E-16
3537.257,3.185849E-15,4.3050145E-17,1.9030222E-16
3541.3364,3.1953492E-15,4.274623E-17,1.8077122E-16
3545.4155,3.2312596E-15,4.2644516E-17,1.8709691E-16
3549.4949,3.3116792E-15,4.273342E-17,1.806384E-16
3553.5742,3.354669E-15,4.2502565E-17,1.5271952E-16
3557.6533,3.3864233E-15,4.2293715E-17,1.4326394E-16
3561.7327,3.3338374E-15,4.1754678E-17,1.4834309E-16
3565.812,3.3403305E-15,4.1419094E-17,1.3710623E-16
3569.891,3.3657364E-15,4.116294E-17,1.1786285E-16
3573.9705,3.3556527E-15,4.0715037E-17,9.901933E-17
3578.0498,3.3444467E-15,4.0419764E-17,1.1058677E-16
3582.129,3.2892464E-15,4.0064407E-17,1.5548285E-16
3586.2083,3.3597348E-15,4.0226806E-17,1.697947E-16
3590.2876,3.3325675E-15,3.9737168E-17,1.5674153E-16
3594.3667,3.3255634E-15,3.937526E-17,1.4675542E-16
3598.446,3.4284544E-15,3.966441E-17,1.5889588E-16
3602.5254,3.3590875E-15,3.8991236E-17,1.4638992E-16
3606.6045,3.4115196E-15,3.9192516E-17,1.5421722E-16
3610.6838,3.3591302E-15,3.8588402E-17,1.4043142E-16
3614.7632,3.3411024E-15,3.8290462E-17,1.528877E-16
3618.8423,3.394186E-15,3.8364293E-17,1.6938539E-16
3622.9216,3.4891106E-15,3.8532525E-17,1.5993967E-16
3627.001,3.4042961E-15,3.7759213E-17,1.7681475E-16
3631.08,3.5051922E-15,3.791828E-17,1.630116E-16
3635.1594,3.5788446E-15,3.7985672E-17,1.558394E-16
3639.2388,3.720185E-15,3.832663E-17,1.4729301E-16
3643.3179,3.654813E-15,3.7869338E-17,1.6975234E-16
3647.3972,3.802132E-15,3.8353314E-17,1.8646229E-16
3651.4766,3.74352E-15,3.778937E-17,1.7655504E-16
3655.5557,3.7524385E-15,3.756767E-17,1.7621595E-16
3659.635,3.7543334E-15,3.7308466E-17,1.6905514E-16
3663.7144,3.7848117E-15,3.718632E-17,1.6728067E-16
3667.7935,3.77299E-15,3.6875563E-17,1.6577468E-16
3671.8728,3.7651406E-15,3.6600065E-17,1.6582065E-16
3675.9521,3.831384E-15,3.6545736E-17,1.4198959E-16
3680.0312,3.7952603E-15,3.6167394E-17,1.4607929E-16
3684.1106,3.8564063E-15,3.61696E-17,1.4067188E-16
3688.19,3.855982E-15,3.6018958E-17,1.6111725E-16
3692.2693,3.8487945E-15,3.575663E-17,1.613803E-16
3696.3484,3.7684153E-15,3.5196856E-17,1.6194332E-16
3700.4277,3.731862E-15,3.4792408E-17,1.5475876E-16
3704.507,3.710222E-15,3.446119E-17,1.4971968E-16
3708.5862,3.6656172E-15,3.4113868E-17,1.6311959E-16
3712.6655,3.6160684E-15,3.3602237E-17,1.4162518E-16
3716.7449,3.4779234E-15,3.2812194E-17,1.3848205E-16
3720.824,3.40922E-15,3.2370287E-17,1.5288055E-16
3724.9033,3.264117E-15,3.1502793E-17,1.3896542E-16
3728.9827,3.1531576E-15,3.080093E-17,1.3425317E-16
3733.0618,3.0367963E-15,3.019809E-17,1.541449E-16
3737.141,2.878362E-15,2.9299548E-17,1.508359E-16
3741.2205,2.7039083E-15,2.825001E-17,1.3335069E-16
3745.2996,2.6218846E-15,2.772052E-17,1.3767648E-16
3749.379,2.435954E-15,2.6700148E-17,1.3981785E-16
3753.4583,2.3466222E-15,2.6154869E-17,1.4747966E-16
3757.5374,2.314911E-15,2.5794835E-17,1.3746856E-16
3761.6167,2.1993026E-15,2.5070762E-17,1.3460062E-16
3765.696,2.0931554E-15,2.4450403E-17,1.4323432E-16
3769.7751,2.075947E-15,2.4282616E-17,1.5620583E-16
3773.8545,2.0131195E-15,2.384388E-17,1.5802588E-16
3777.9338,1.9774941E-15,2.3469882E-17,1.4731756E-16
3782.013,1.9172544E-15,2.3076152E-17,1.5349355E-16
3786.0923,1.8580902E-15,2.260458E-17,1.440922E-16
3790.1716,1.8263832E-15,2.2211995E-17,1.2151879E-16
3794.2507,1.8149206E-15,2.2116801E-17,1.3918032E-16
3798.33,1.7823248E-15,2.1790512E-17,1.2927766E-16
3802.4094,1.8156664E-15,2.1872945E-17,1.3457822E-16
3806.4885,1.8327212E-15,2.189498E-17,1.4423333E-16
3810.5679,1.8306284E-15,2.1733755E-17,1.3513515E-16
3814.6472,1.8902955E-15,2.1909023E-17,1.3212561E-16
3818.7263,1.9461063E-15,2.2009278E-17,1.1959891E-16
3822.8057,2.0105576E-15,2.221635E-17,1.1820104E-16
3826.885,2.0880633E-15,2.2423561E-17,1.0450589E-16
3830.964,2.1242938E-15,2.2508656E-17,1.09623983E-16
3835.0435,2.232188E-15,2.2864245E-17,1.0117079E-16
3839.1228,2.2374812E-15,2.2891494E-17,1.243725E-16
3843.202,2.2841203E-15,2.302023E-17,1.3023848E-16
3847.2812,2.328946E-15,2.3096145E-17,1.2355725E-16
3851.3606,2.249585E-15,2.2622516E-17,1.1756758E-16
3855.4397,2.35413E-15,2.2984955E-17,1.1871613E-16
3859.519,2.3486862E-15,2.284093E-17,1.10729E-16
3863.5984,2.3611113E-15,2.2799604E-17,1.0919434E-16
3867.6775,2.3186716E-15,2.2551536E-17,1.1449732E-16
3871.7568,2.3659561E-15,2.2645322E-17,1.0983303E-16
3875.8362,2.3907757E-15,2.2677499E-17,1.1276368E-16
3879.9153,2.3605491E-15,2.2467018E-17,1.1248823E-16
3883.9946,2.4124623E-15,2.2631941E-17,1.19003E-16
3888.074,2.4240001E-15,2.256819E-17,1.10587675E-16
3892.1533,2.4156973E-15,2.251925E-17,1.2544877E-16
3896.2324,2.4656966E-15,2.2647196E-17,1.2398359E-16
3900.3118,2.4861383E-15,2.2709792E-17,1.369769E-16
3904.391,2.4667097E-15,2.2560066E-17,1.376707E-16
3908.4702,2.5142242E-15,2.2687189E-17,1.376722E-16
3912.5496,2.5130197E-15,2.2684328E-17,1.5565922E-16
3916.629,2.6124072E-15,2.2912436E-17,1.323024E-16
3920.708,2.6164414E-15,2.2836854E-17,1.2432096E-16
3924.7874,2.7200216E-15,2.3057782E-17,9.361088E-17
3928.8667,2.7521032E-15,2.3105029E-17,8.94163E-17
3932.9458,2.7958406E-15,2.3149364E-17,7.3848706E-17
3937.0251,2.7930397E-15,2.3116763E-17,8.3466805E-17
3941.1045,2.8590413E-15,2.3398521E-17,1.0658032E-16
3945.1836,2.8939944E-15,2.3556597E-17,1.294872E-16
3949.263,2.9548698E-15,2.3762507E-17,1.4038852E-16
3953.3423,2.9665777E-15,2.3701395E-17,1.2727688E-16
3957.4214,2.9757163E-15,2.3663078E-17,1.2302889E-16
3961.5007,3.0633503E-15,2.3836235E-17,9.93387E-17
3965.58,3.048845E-15,2.3654523E-17,7.9219445E-17
3969.6592,3.0653256E-15,2.3683415E-17,8.502491E-17
3973.7385,3.0394545E-15,2.3603888E-17,1.0212268E-16
3977.8179,3.0700284E-15,2.377366E-17,1.3271757E-16
3981.897,3.074423E-15,2.379642E-17,1.4786253E-16
3985.9763,3.12194E-15,2.3914644E-17,1.4933017E-16
3990.0557,3.1708545E-15,2.4068454E-17,1.5630474E-16
3994.1348,3.177547E-15,2.4059182E-17,1.60004E-16
3998.214,3.220048E-15,2.4171872E-17,1.6280395E-16
4002.2935,3.2758006E-15,2.431614E-17,1.6183471E-16
4006.3726,3.3658065E-15,2.4543147E-17,1.5251596E-16
4010.452,3.4298062E-15,2.4755995E-17,1.6398906E-16
4014.5312,3.4734106E-15,2.4882463E-17,1.7095232E-16
4018.6104,3.4963064E-15,2.4902454E-17,1.6639199E-16
4022.6897,3.4535613E-15,2.4715182E-17,1.6536116E-16
4026.769,3.343607E-15,2.4268847E-17,1.5257493E-16
4030.8481,3.3491789E-15,2.4249379E-17,1.5232319E-16
