WAVE,FLUX,ERR,BGFLUX
3637.8833,5.1718487E-16,1.7224008E-17,3.410467E-17
3643.4026,5.641718E-16,1.7349531E-17,1.4731728E-17
3648.9219,5.619339E-16,1.7148567E-17,2.2800314E-17
3654.4412,5.4974365E-16,1.6791138E-17,2.1352002E-17
3659.9604,5.8043584E-16,1.6753759E-17,2.8358735E-18
3665.48,5.2142115E-16,1.6060148E-17,1.3459039E-17
3670.9993,5.349659E-16,1.604574E-17,2.0665859E-17
3676.5186,5.433695E-16,1.5975296E-17,2.689417E-17
3682.0378,5.6294503E-16,1.6052037E-17,3.6508195E-17
3687.5571,5.6941573E-16,1.5881517E-17,3.1266507E-17
3693.0767,5.469856E-16,1.5509431E-17,3.3018688E-17
3698.596,5.9738015E-16,1.5789038E-17,2.89894E-17
3704.1152,5.4832143E-16,1.5200792E-17,3.516365E-17
3709.6345,5.8170443E-16,1.5283508E-17,2.580583E-17
3715.1538,5.6192303E-16,1.5037447E-17,4.4335488E-17
3720.6733,5.789641E-16,1.4931568E-17,2.817331E-17
3726.1926,5.9634566E-16,1.5039637E-17,3.8806096E-17
3731.712,5.8945033E-16,1.4836929E-17,3.821471E-17
3737.2312,6.1590153E-16,1.4872358E-17,2.991546E-17
3742.7505,6.2495753E-16,1.4847508E-17,3.5418736E-17
3748.27,6.1915647E-16,1.4659649E-17,3.59255E-17
3753.7893,6.258738E-16,1.4560276E-17,3.1010416E-17
3759.3086,6.2169794E-16,1.4353812E-17,2.6002825E-17
3764.828,5.858015E-16,1.3854584E-17,1.9295897E-17
3770.3472,6.096117E-16,1.3982443E-17,2.3710945E-17
3775.8667,5.925885E-16,1.3702227E-17,1.9639445E-17
3781.386,5.9118373E-16,1.3619494E-17,2.6556802E-17
3786.9053,5.746216E-16,1.3385086E-17,2.8940995E-17
3792.4246,5.467031E-16,1.3014407E-17,2.5706494E-17
3797.9438,5.4414344E-16,1.2866461E-17,2.1540324E-17
3803.4634,5.289586E-16,1.25787925E-17,1.3929925E-17
3808.9827,4.8539705E-16,1.20804E-17,1.2748532E-17
3814.502,4.2733762E-16,1.156338E-17,2.7280872E-17
3820.0212,4.0720646E-16,1.1304251E-17,2.8531464E-17
3825.5405,3.3664022E-16,1.0558719E-17,3.3584764E-17
3831.06,3.1853786E-16,1.0343664E-17,4.5024354E-17
3836.5793,2.9293822E-16,9.951933E-18,3.3722744E-17
3842.0986,2.5985023E-16,9.537427E-18,3.5163828E-17
3847.618,2.4265848E-16,9.22042E-18,2.6703873E-17
3853.1372,1.9718758E-16,8.607317E-18,2.4881614E-17
3858.6567,1.9499396E-16,8.53429E-18,2.9093107E-17
3864.176,1.8437918E-16,8.279148E-18,1.7451013E-17
3869.6953,1.8538596E-16,8.2462305E-18,2.2331441E-17
3875.2146,1.714625E-16,8.002571E-18,1.9288902E-17
3880.734,1.7160907E-16,7.883881E-18,1.2164075E-17
3886.2534,1.5084463E-16,7.693672E-18,2.7272578E-17
3891.7727,1.5759707E-16,7.666683E-18,2.3933761E-17
3897.292,1.6291773E-16,7.734962E-18,2.875205E-17
3902.8113,1.6246822E-16,7.666065E-18,2.7235466E-17
3908.3306,1.6116844E-16,7.637268E-18,3.3261118E-17
3913.85,1.6266917E-16,7.628975E-18,3.5232216E-17
3919.3694,1.7681741E-16,7.672229E-18,2.774293E-17
3924.8887,1.590924E-16,7.409071E-18,2.4021866E-17
3930.408,1.9313811E-16,7.69729E-18,1.5367045E-17
3935.9272,1.914983E-16,7.651859E-18,1.8290932E-17
3941.4468,1.96287E-16,7.685434E-18,2.2761749E-17
3946.966,2.1162622E-16,7.845588E-18,2.6979913E-17
3952.4854,2.251787E-16,7.980302E-18,3.113759E-17
3958.0046,2.5240674E-16,8.165879E-18,2.4809066E-17
3963.524,2.6708436E-16,8.192532E-18,1.3704655E-17
3969.0435,2.9797192E-16,8.52355E-18,2.273779E-17
3974.5627,3.1111578E-16,8.64616E-18,2.9857786E-17
3980.082,3.2847316E-16,8.726605E-18,2.5288152E-17
3985.6013,3.364322E-16,8.770312E-18,2.5675011E-17
3991.1208,3.3873208E-16,8.795056E-18,3.53885E-17
3996.6401,3.3969674E-16,8.699283E-18,2.4151694E-17
4002.1594,3.5600324E-16,8.867225E-18,3.2775278E-17
4007.6787,3.6111503E-16,8.896145E-18,3.7532338E-17
