WAVE,FLUX,ERR,BGFLUX
3636.7698,0.0,1.8326383E-17,1.01682494E-16
3642.2893,2.3419357E-16,1.7767773E-17,8.172409E-17
3647.809,2.1629443E-16,1.7359894E-17,9.725707E-17
3653.3286,2.4534222E-16,1.738677E-17,9.0841E-17
3658.8484,2.4120878E-16,1.7076396E-17,9.819637E-17
3664.3682,2.0921959E-16,1.6443575E-17,1.0591704E-16
3669.8877,2.240953E-16,1.6171298E-17,8.2758725E-17
3675.4075,1.9566965E-16,1.5432396E-17,7.0218396E-17
3680.927,2.417954E-16,1.577439E-17,6.7088325E-17
3686.4468,2.23072E-16,1.5458136E-17,8.791443E-17
3691.9663,2.0254167E-16,1.5073874E-17,1.0550407E-16
3697.486,2.0691957E-16,1.5037766E-17,1.196397E-16
3703.0056,2.2765964E-16,1.4766651E-17,8.2385277E-17
3708.5254,2.3988746E-16,1.4867589E-17,9.910316E-17
3714.045,2.1226062E-16,1.422442E-17,9.090667E-17
3719.5647,2.3971474E-16,1.4451247E-17,1.0042486E-16
3725.0842,2.291213E-16,1.4254188E-17,1.1370614E-16
3730.604,2.2474762E-16,1.4098938E-17,1.2753497E-16
3736.1235,2.5940752E-16,1.4174603E-17,1.07581244E-16
3741.6433,2.2376178E-16,1.3604281E-17,1.07243205E-16
3747.163,2.240044E-16,1.3360212E-17,1.0088012E-16
3752.6826,2.0925004E-16,1.2982109E-17,9.2611254E-17
3758.2024,2.3543013E-16,1.3048258E-17,8.3649685E-17
3763.722,1.9180647E-16,1.2452877E-17,9.431699E-17
3769.2417,2.1561966E-16,1.2654674E-17,9.824452E-17
3774.7612,2.0211985E-16,1.2458683E-17,1.1322525E-16
3780.281,2.1458149E-16,1.22298745E-17,8.0953235E-17
3785.8005,2.0074212E-16,1.2027704E-17,9.390397E-17
3791.3203,1.8073469E-16,1.16902475E-17,9.8646575E-17
3796.8398,2.1492055E-16,1.1734223E-17,6.52591E-17
3802.3596,2.2590758E-16,1.1845138E-17,7.7451574E-17
3807.8792,1.8089973E-16,1.121479E-17,8.147441E-17
3813.399,2.0761569E-16,1.149707E-17,8.879787E-17
3818.9185,1.9941668E-16,1.1334495E-17,9.632369E-17
3824.4382,1.7796707E-16,1.09184904E-17,8.911405E-17
3829.9578,1.7964024E-16,1.0831936E-17,8.8122396E-17
3835.4775,1.7468922E-16,1.0803831E-17,1.04054206E-16
3840.9973,1.6609507E-16,1.05292225E-17,9.65865E-17
3846.5168,1.5350978E-16,1.0115042E-17,7.478254E-17
3852.0366,1.1513516E-16,9.618103E-18,9.023497E-17
3857.5562,1.3230247E-16,9.646842E-18,7.330458E-17
3863.076,1.1927852E-16,9.2697904E-18,5.724579E-17
3868.5955,9.5641084E-17,8.941767E-18,6.727822E-17
3874.1152,8.693729E-17,8.696841E-18,6.048817E-17
3879.6348,9.44164E-17,8.717193E-18,5.844076E-17
3885.1545,9.824664E-17,8.6095274E-18,4.9705306E-17
3890.674,9.3352315E-17,8.529004E-18,5.5999386E-17
3896.1938,8.0282226E-17,8.4067085E-18,7.12855E-17
3901.7134,7.262715E-17,8.296436E-18,7.994574E-17
3907.2332,9.286251E-17,8.599281E-18,9.2833064E-17
3912.7527,7.881745E-17,8.405774E-18,1.00369665E-16
3918.2725,8.475569E-17,8.211417E-18,7.291728E-17
3923.7922,8.454102E-17,8.049964E-18,6.142153E-17
3929.3118,9.305056E-17,8.028957E-18,5.3651163E-17
3934.8315,9.351324E-17,8.129968E-18,7.00163E-17
3940.351,9.703E-17,8.1345884E-18,7.240496E-17
3945.8708,1.1359494E-16,8.2305836E-18,6.522327E-17
3951.3904,1.10193514E-16,8.120714E-18,6.304198E-17
3956.9102,1.1815218E-16,8.031066E-18,4.794325E-17
3962.4297,1.06691E-16,7.872141E-18,5.3360998E-17
3967.9495,1.1704227E-16,8.013742E-18,5.956219E-17
3973.469,1.1159839E-16,7.962506E-18,7.100406E-17
3978.9888,1.0959867E-16,7.908201E-18,7.106149E-17
3984.5083,1.224161E-16,8.020671E-18,7.1940295E-17
3990.028,1.3890794E-16,8.214294E-18,7.820504E-17
3995.5476,1.2046713E-16,7.906555E-18,7.290481E-17
4001.0674,1.3734691E-16,8.187486E-18,9.007795E-17
4006.5872,1.3299092E-16,8.061589E-18,8.6595666E-17
4012.1067,1.5040678E-16,8.248836E-18,9.2064666E-17
4017.6265,1.599719E-16,8.300213E-18,8.9268875E-17
4023.146,1.6818907E-16,8.267462E-18,8.0948484E-17
4028.6658,1.6583526E-16,8.227102E-18,8.209604E-17
4034.1853,1.9970467E-16,8.503615E-18,7.432111E-17
4039.705,2.0572403E-16,8.568358E-18,8.05458E-17
4045.2246,2.2798167E-16,8.847763E-18,9.577343E-17
4050.7444,2.2664042E-16,8.681169E-18,7.802322E-17
4056.264,2.201988E-16,8.6552755E-18,9.138039E-17
4061.7837,2.28373E-16,8.738506E-18,9.679778E-17
4067.3032,2.440385E-16,8.846478E-18,9.5168354E-17
4072.823,2.309661E-16,8.73303E-18,1.0489619E-16
4078.3425,2.5484058E-16,8.830795E-18,9.035491E-17
4083.8623,2.6888839E-16,8.881036E-18,8.1443905E-17
4089.382,2.6090812E-16,8.852564E-18,9.3775726E-17
4094.9016,2.7488784E-16,8.844873E-18,7.66203E-17
4100.4214,2.6750065E-16,8.711262E-18,7.221577E-17
4105.941,2.9139845E-16,8.926904E-18,7.600422E-17
4111.4604,2.9639038E-16,8.902906E-18,7.279802E-17
4116.9805,3.22496E-16,9.091186E-18,7.098155E-17
4122.5,2.9305868E-16,8.839643E-18,7.6596104E-17
4128.0195,2.8719496E-16,8.792485E-18,8.256094E-17
4133.539,2.9308436E-16,8.834334E-18,8.5423623E-17
4139.059,3.0111277E-16,8.8397715E-18,8.019939E-17
4144.5786,2.941476E-16,8.755523E-18,8.018466E-17
4150.098,2.8607103E-16,8.666343E-18,8.2081853E-17
4155.6177,2.8089487E-16,8.619389E-18,8.7323816E-17
4161.1377,2.6119902E-16,8.40034E-18,8.5103266E-17
4166.657,2.5195156E-16,8.35506E-18,9.8982775E-17
4172.177,2.249529E-16,8.138515E-18,1.0837334E-16
4177.697,2.5371538E-16,8.277485E-18,8.8627506E-17
4183.2163,2.3692938E-16,8.0353954E-18,7.981936E-17
4188.736,2.4234846E-16,7.997199E-18,6.8633717E-17
4194.2554,2.2673005E-16,7.84863E-18,7.221679E-17
4199.7754,2.4101348E-16,7.933134E-18,6.692796E-17
4205.295,2.2738115E-16,7.797333E-18,6.992684E-17
4210.8145,2.1970198E-16,7.678024E-18,6.612506E-17
4216.334,2.2701783E-16,7.760059E-18,7.1633954E-17
4221.854,2.3659478E-16,7.78811E-18,6.400593E-17
4227.3735,2.4895013E-16,7.820907E-18,5.458681E-17
4232.893,2.5448194E-16,7.894873E-18,6.1642015E-17
4238.4126,2.776209E-16,8.07393E-18,5.87907E-17
4243.9326,2.7168005E-16,8.047832E-18,6.745343E-17
4249.452,2.6979958E-16,7.996279E-18,6.653814E-17
4254.9717,2.5823486E-16,7.924042E-18,7.4565396E-17
4260.4917,2.7682842E-16,8.1106705E-18,8.011624E-17
4266.011,2.8024323E-16,8.020727E-18,6.315988E-17
4271.531,2.964643E-16,8.13635E-18,6.0078115E-17
4277.0503,2.8722533E-16,8.083416E-18,6.9046413E-17
4282.5703,2.881619E-16,8.061057E-18,6.705558E-17
4288.09,2.9049694E-16,8.057358E-18,6.4638686E-17
4293.6094,2.998396E-16,8.092202E-18,5.9840694E-17
4299.129,2.999184E-16,8.04287E-18,5.3650256E-17
4304.649,2.7512512E-16,7.8586244E-18,6.315672E-17
4310.1685,2.88461E-16,7.957774E-18,6.244114E-17
4315.688,2.9621375E-16,7.98618E-18,5.904567E-17
4321.2075,2.7720643E-16,7.838365E-18,6.496896E-17
4326.7275,2.7226045E-16,7.779551E-18,6.664372E-17
4332.247,2.5991375E-16,7.675969E-18,6.997918E-17
4337.7666,2.5405525E-16,7.639719E-18,7.5590616E-17
4343.286,2.6501218E-16,7.633938E-18,5.991079E-17
4348.806,2.469628E-16,7.5160765E-18,7.004194E-17
4354.3257,2.50924E-16,7.537592E-18,7.056665E-17
4359.845,2.4170525E-16,7.444456E-18,7.132184E-17
4365.365,2.501009E-16,7.499016E-18,7.0000616E-17
4370.885,2.44895E-16,7.444613E-18,7.223999E-17
4376.4043,2.4554628E-16,7.419031E-18,6.87272E-17
4381.924,2.341453E-16,7.335814E-18,7.4848066E-17
4387.444,2.4567513E-16,7.3504005E-18,6.262854E-17
4392.9634,2.4844225E-16,7.316758E-18,5.558605E-17
4398.483,2.2697905E-16,7.203434E-18,7.002259E-17
4404.0024,2.3167436E-16,7.2753504E-18,7.774897E-17
4409.5225,2.1614604E-16,7.195369E-18,9.2383005E-17
4415.042,2.1628899E-16,7.173131E-18,9.0407684E-17
4420.5615,2.1458054E-16,7.1213005E-18,8.744149E-17
4426.081,2.0042466E-16,6.9674374E-18,8.606903E-17
4431.601,2.0436598E-16,6.97935E-18,8.463896E-17
4437.1206,1.8972376E-16,6.7771722E-18,7.5394674E-17
4442.64,1.8915543E-16,6.7615414E-18,7.557875E-17
4448.16,1.7984499E-16,6.687933E-18,7.937376E-17
4453.6797,1.8238701E-16,6.682423E-18,7.7117393E-17
4459.199,1.7181842E-16,6.522765E-18,6.924336E-17
4464.7188,1.7381937E-16,6.53957E-18,7.0462606E-17
4470.239,1.6993842E-16,6.4674295E-18,6.76619E-17
4475.7583,1.6811346E-16,6.453294E-18,7.02109E-17
4481.278,1.5713574E-16,6.334829E-18,7.025455E-17
4486.7974,1.5565911E-16,6.2984497E-18,6.890443E-17
4492.3174,1.4725357E-16,6.184843E-18,6.6929294E-17
4497.837,1.3608774E-16,6.089796E-18,7.2555135E-17
4503.3564,1.315035E-16,6.0352363E-18,7.308308E-17
4508.876,1.2721748E-16,5.9759105E-18,7.301519E-17
4514.396,1.3496365E-16,6.0731563E-18,7.5648645E-17
4519.9155,1.395597E-16,6.0979283E-18,7.464913E-17
4525.435,1.4763018E-16,6.219166E-18,8.1040916E-17
4530.955,1.5006367E-16,6.213283E-18,7.7546144E-17
4536.4746,1.5010039E-16,6.2447157E-18,8.434167E-17
4541.994,1.63227E-16,6.3402335E-18,8.011784E-17
4547.5137,1.66292E-16,6.287653E-18,6.833284E-17
4553.0337,1.7090175E-16,6.396881E-18,7.994965E-17
4558.553,1.7410556E-16,6.417565E-18,7.853709E-17
4564.0728,1.7273646E-16,6.386375E-18,7.6592034E-17
4569.5923,1.7512231E-16,6.3366543E-18,6.5799286E-17
4575.1123,1.8205026E-16,6.400454E-18,6.747807E-17
4580.632,1.8394171E-16,6.489676E-18,8.034186E-17
4586.1514,1.9496769E-16,6.5790153E-18,7.8427475E-17
4591.671,1.9813155E-16,6.5619787E-18,7.203845E-17
4597.191,1.9785149E-16,6.5615564E-18,7.399542E-17
4602.7104,1.8928477E-16,6.4399237E-18,6.837818E-17
4608.23,1.8608423E-16,6.413241E-18,7.1227E-17
4613.75,1.9282178E-16,6.4561075E-18,6.801356E-17
4619.2695,1.9232156E-16,6.427213E-18,6.4642994E-17
4624.789,1.862139E-16,6.4041626E-18,7.201564E-17
4630.3086,1.8092911E-16,6.330008E-18,6.930924E-17
4635.8286,1.8139756E-16,6.2713674E-18,6.021477E-17
4641.348,1.7341926E-16,6.220536E-18,6.5117365E-17
4646.8677,1.7630473E-16,6.1943255E-18,5.78411E-17
4652.387,1.6595711E-16,6.1582645E-18,6.974049E-17
4657.907,1.894244E-16,6.3299736E-18,6.223869E-17
4663.427,2.0313614E-16,6.436497E-18,5.915534E-17
4668.9463,1.8934596E-16,6.4039335E-18,7.748867E-17
4674.466,1.9469114E-16,6.3833085E-18,6.629909E-17
4679.986,2.0640937E-16,6.49844E-18,6.8087354E-17
4685.5054,2.069107E-16,6.4993355E-18,6.8369674E-17
4691.025,2.1411356E-16,6.548646E-18,6.654938E-17
4696.545,2.1535986E-16,6.5988764E-18,7.407231E-17
4702.0645,2.0929426E-16,6.498301E-18,6.750532E-17
4707.584,2.0971E-16,6.5224775E-18,7.211926E-17
4713.1035,2.301507E-16,6.666921E-18,6.6129755E-17
4718.6235,2.3323375E-16,6.648996E-18,5.9731275E-17
4724.143,2.3237147E-16,6.702649E-18,7.212858E-17
4729.6626,2.3791115E-16,6.6958178E-18,6.226911E-17
4735.182,2.2974292E-16,6.6089187E-18,6.072313E-17
4740.702,2.3454708E-16,6.6847075E-18,6.749248E-17
4746.2217,2.418993E-16,6.7064897E-18,6.095111E-17
4751.741,2.2520306E-16,6.5446638E-18,6.0098324E-17
4757.2607,2.2757838E-16,6.528059E-18,5.3580588E-17
4762.781,2.1914747E-16,6.457258E-18,5.590707E-17
4768.3003,2.2992596E-16,6.5545374E-18,5.7089154E-17
4773.82,2.1381892E-16,6.436087E-18,6.256736E-17
4779.34,2.23202E-16,6.5132532E-18,6.1711757E-17
4784.8594,2.1870375E-16,6.4528285E-18,5.8811754E-17
4790.379,2.173577E-16,6.4677653E-18,6.4465606E-17
4795.8984,2.3115423E-16,6.5820126E-18,6.387389E-17
4801.4185,2.1780626E-16,6.4373846E-18,6.048498E-17
4806.938,2.2481345E-16,6.496184E-18,5.9735305E-17
4812.4575,2.1924867E-16,6.5012856E-18,7.0498546E-17
4817.977,2.1476973E-16,6.4605395E-18,7.212325E-17
4823.497,2.109459E-16,6.440569E-18,7.523351E-17
4829.0166,2.21762E-16,6.5291272E-18,7.4514415E-17
4834.536,2.1635151E-16,6.4959027E-18,7.7719905E-17
4840.0557,2.229483E-16,6.533113E-18,7.5208505E-17
4845.5757,2.1125014E-16,6.4407637E-18,7.755277E-17
4851.095,2.1601374E-16,6.43189E-18,6.912331E-17
4856.6147,2.0429168E-16,6.2946153E-18,6.501962E-17
4862.135,2.023344E-16,6.2620927E-18,6.298854E-17
4867.6543,1.8866621E-16,6.1185843E-18,6.0188335E-17
4873.174,1.9352556E-16,6.1254747E-18,5.456754E-17
4878.6934,1.8032146E-16,6.047537E-18,6.28755E-17
