WAVE,FLUX,ERR,BGFLUX
3636.6687,1.1312436E-15,6.533363E-17,7.064691E-16
3642.1892,1.0096378E-15,6.358544E-17,7.613333E-16
3647.7097,9.452983E-16,6.282476E-17,8.718548E-16
3653.2302,1.0788661E-15,6.254349E-17,8.031441E-16
3658.7507,1.0952827E-15,6.123328E-17,7.4416916E-16
3664.2712,9.326861E-16,5.836587E-17,6.681539E-16
3669.7917,9.237664E-16,5.818574E-17,7.8164566E-16
3675.3123,1.0085722E-15,5.816902E-17,7.8178923E-16
3680.8328,1.1101855E-15,5.8053236E-17,7.3665217E-16
3686.3533,1.0389592E-15,5.676329E-17,7.736669E-16
3691.8738,1.0688551E-15,5.6498725E-17,7.903204E-16
3697.3943,1.0404002E-15,5.5402744E-17,7.8432763E-16
3702.9148,1.0308801E-15,5.4251213E-17,7.3769163E-16
3708.4353,9.611381E-16,5.3122694E-17,7.51264E-16
3713.9558,9.99734E-16,5.313875E-17,7.964194E-16
3719.4763,9.669205E-16,5.1791896E-17,7.383233E-16
3724.9968,1.0301897E-15,5.2020945E-17,7.8866253E-16
3730.5173,1.0370129E-15,5.1158844E-17,7.3294E-16
3736.0378,1.0200718E-15,4.9818253E-17,6.533287E-16
3741.5583,1.0549989E-15,4.9537087E-17,6.524432E-16
3747.0789,1.1596451E-15,4.9828136E-17,6.445708E-16
3752.5994,1.208299E-15,4.9771024E-17,6.554682E-16
3758.1199,1.1737429E-15,4.9234286E-17,6.914897E-16
3763.6404,1.2640562E-15,4.8999076E-17,6.2696495E-16
3769.161,1.1213602E-15,4.8115872E-17,7.43387E-16
3774.6814,1.0216138E-15,4.719955E-17,8.0847913E-16
3780.202,9.885052E-16,4.644311E-17,8.0121593E-16
3785.7222,9.682728E-16,4.5750185E-17,7.901395E-16
3791.2427,1.0240184E-15,4.482037E-17,6.488489E-16
3796.7632,1.0641839E-15,4.4734255E-17,6.4887075E-16
3802.2837,1.0469517E-15,4.4669487E-17,7.200686E-16
3807.8042,1.0714745E-15,4.365235E-17,6.026718E-16
3813.3247,9.783868E-16,4.2701548E-17,6.358041E-16
3818.8452,9.430596E-16,4.1274264E-17,5.196035E-16
3824.3657,1.0751479E-15,4.117996E-17,3.989404E-16
3829.8862,1.0311099E-15,4.112352E-17,4.968099E-16
3835.4067,9.841204E-16,4.0569847E-17,5.284587E-16
3840.9272,1.0370588E-15,4.1162337E-17,5.9472656E-16
3846.4478,9.901573E-16,4.053273E-17,6.214326E-16
3851.9683,9.366271E-16,3.9874152E-17,6.313785E-16
3857.4888,9.498338E-16,3.9586124E-17,6.1767707E-16
3863.0093,9.19138E-16,3.847623E-17,5.3203685E-16
3868.5298,8.7855904E-16,3.807608E-17,5.6390906E-16
3874.0503,8.765963E-16,3.7223644E-17,4.875116E-16
3879.5708,7.684391E-16,3.6413606E-17,5.4587425E-16
3885.0913,7.2056267E-16,3.569881E-17,5.376015E-16
3890.6118,6.395996E-16,3.5216176E-17,6.0482345E-16
3896.1323,6.1692485E-16,3.5177116E-17,6.7102035E-16
3901.6528,5.677714E-16,3.497731E-17,7.355907E-16
3907.1733,5.012578E-16,3.4418605E-17,7.744884E-16
3912.6938,6.910867E-16,3.5342102E-17,7.0414103E-16
3918.2144,6.445575E-16,3.3880428E-17,5.776761E-16
3923.7349,6.774588E-16,3.307792E-17,4.6228824E-16
3929.2554,6.8980643E-16,3.2540792E-17,3.9280843E-16
3934.776,7.934979E-16,3.3301696E-17,4.019309E-16
3940.2964,7.682544E-16,3.3705737E-17,5.21712E-16
3945.817,7.7035164E-16,3.396384E-17,5.8303263E-16
3951.3374,7.495906E-16,3.3961912E-17,6.4316403E-16
3956.858,7.559887E-16,3.3081358E-17,5.2979004E-16
3962.3784,6.331015E-16,3.1545198E-17,4.9013154E-16
3967.899,6.8073793E-16,3.1308932E-17,4.18886E-16
3973.4194,6.4093077E-16,3.128651E-17,4.9589745E-16
3978.94,5.9825143E-16,3.198929E-17,6.764246E-16
3984.4604,7.110801E-16,3.2961738E-17,7.0428127E-16
3989.981,5.990889E-16,3.2386586E-17,7.9238466E-16
3995.5015,6.4270917E-16,3.2620552E-17,7.9112676E-16
