# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = ATLAS18swv
# CHANNEL = B+R
# EXPNUM = 18_224_033
# EXPTIME = 1200.1s
# wl fl err
# [A] [erg/s/cm2/A]
3351.760000 -4.775026e-17 4.037898e-17
3354.760000 -2.225489e-18 3.830744e-17
3357.760000 -2.832631e-17 4.164735e-17
3360.760000 -2.487008e-17 4.207054e-17
3363.760000 1.641576e-17 3.734521e-17
3366.760000 -9.058567e-20 3.596377e-17
3369.760000 -4.062268e-17 4.104276e-17
3372.760000 -1.577884e-18 4.103826e-17
3375.760000 -5.755782e-17 3.480817e-17
3378.760000 -7.503706e-17 3.434047e-17
3381.760000 -1.642427e-17 3.826498e-17
3384.760000 4.121849e-17 3.746045e-17
3387.760000 -6.200727e-18 3.206828e-17
3390.760000 8.467282e-18 3.281384e-17
3393.760000 1.637687e-17 3.563628e-17
3396.760000 -2.132702e-17 3.339449e-17
3399.760000 2.626476e-17 3.169997e-17
3402.760000 8.027976e-18 3.292874e-17
3405.760000 7.998935e-18 3.461769e-17
3408.760000 -8.568198e-18 3.173174e-17
3411.760000 -1.166631e-17 2.881337e-17
3414.760000 -6.493167e-18 3.078605e-17
3417.760000 -7.917963e-18 3.150821e-17
3420.760000 1.230029e-18 2.895839e-17
3423.760000 1.776600e-17 2.725246e-17
3426.760000 -2.255124e-17 2.941416e-17
3429.760000 3.331597e-17 3.042927e-17
3432.760000 3.294343e-17 2.688151e-17
3435.760000 1.792594e-17 2.577813e-17
3438.760000 2.510243e-17 2.894117e-17
3441.760000 -8.883625e-18 2.833380e-17
3444.760000 -1.385292e-17 2.460287e-17
3447.760000 1.062074e-17 2.449278e-17
3450.760000 1.204343e-17 2.802444e-17
3453.760000 -6.569840e-18 2.697237e-17
3456.760000 5.967222e-18 2.368779e-17
3459.760000 1.687306e-17 2.434635e-17
3462.760000 -3.395864e-18 2.621007e-17
3465.760000 -1.837804e-17 2.477870e-17
3468.760000 2.084676e-17 2.279788e-17
3471.760000 1.005005e-17 2.370676e-17
3474.760000 2.312712e-17 2.540609e-17
3477.760000 2.031468e-17 2.364976e-17
3480.760000 1.826698e-17 2.184305e-17
3483.760000 3.839141e-17 2.376198e-17
3486.760000 4.297804e-17 2.486282e-17
3489.760000 1.696636e-17 2.221356e-17
3492.760000 1.162709e-17 2.055023e-17
3495.760000 3.250349e-17 2.261461e-17
3498.760000 3.344989e-17 2.302490e-17
3501.760000 8.439835e-18 2.029346e-17
3504.760000 -2.275942e-18 1.949633e-17
3507.760000 7.232499e-18 2.210237e-17
3510.760000 1.041107e-17 2.214353e-17
3513.760000 1.230582e-17 1.948153e-17
3516.760000 2.909995e-18 1.923793e-17
3519.760000 -3.046473e-18 2.151330e-17
