WAVE,FLUX,ERR,BGFLUX
9388.317,4.1453974E-17,2.1391672E-18,2.3237381E-17
9395.254,5.5435454E-17,2.2455848E-18,2.3317373E-17
9402.19,4.8528797E-17,1.9317167E-18,2.2674071E-17
9409.127,6.808489E-17,2.34752E-18,2.3300465E-17
9416.063,5.584208E-17,2.1652261E-18,2.374886E-17
9423.0,2.933171E-17,1.8876845E-18,2.4415622E-17
9429.937,5.1742566E-17,2.1635366E-18,2.5205543E-17
9436.873,6.2301265E-17,2.7404533E-18,2.5024525E-17
9443.81,6.70125E-17,2.210899E-18,2.3940905E-17
9450.746,7.820014E-17,3.043612E-18,2.3543089E-17
9457.683,3.4419372E-17,2.4296005E-18,2.5278486E-17
9464.618,4.551549E-17,2.7258844E-18,2.3025045E-17
9471.555,4.7054202E-17,2.257249E-18,2.3619585E-17
9478.491,5.332085E-17,1.9848492E-18,2.3046857E-17
9485.428,2.6961438E-17,2.3710102E-18,2.2698895E-17
9492.364,2.9677864E-17,2.6839327E-18,2.3867693E-17
9499.301,5.3601062E-17,2.362112E-18,2.307424E-17
9506.237,5.5861704E-17,2.4795227E-18,2.1481467E-17
9513.174,4.745865E-17,2.0483221E-18,2.2539264E-17
9520.11,4.4040237E-17,1.9572568E-18,2.1948525E-17
9527.047,4.1585814E-17,2.0376064E-18,2.2134008E-17
9533.983,5.52646E-17,2.0664171E-18,2.2201935E-17
9540.92,4.6645228E-17,2.2356514E-18,2.2797936E-17
9547.856,5.1248087E-17,1.9947882E-18,2.2462675E-17
9554.793,4.3797314E-17,2.0220705E-18,2.1728809E-17
9561.7295,2.746727E-17,2.2091527E-18,2.1660846E-17
9568.666,5.743267E-17,2.2526492E-18,2.0328165E-17
9575.603,5.3054074E-17,2.1069752E-18,1.8548112E-17
9582.539,4.2783965E-17,1.959669E-18,1.922132E-17
9589.476,5.880565E-17,1.9867288E-18,2.0063663E-17
9596.412,7.4411864E-17,2.3356007E-18,1.9751773E-17
9603.349,4.7822425E-17,1.8614267E-18,1.8984053E-17
9610.285,5.898831E-17,2.3156102E-18,2.012663E-17
9617.222,4.3705878E-17,1.905979E-18,1.8815452E-17
9624.157,4.8683057E-17,1.8291102E-18,1.7565458E-17
9631.094,5.436934E-17,1.8788562E-18,2.0274442E-17
9638.03,5.9447916E-17,2.0574865E-18,1.852899E-17
9644.967,5.5178277E-17,1.7889505E-18,1.9037454E-17
9651.903,5.5651104E-17,1.8288982E-18,1.8711093E-17
9658.84,4.704624E-17,1.7952334E-18,1.7657821E-17
9665.776,4.923669E-17,1.7430693E-18,1.8186323E-17
9672.713,3.2855773E-17,1.7931117E-18,1.8151512E-17
9679.649,3.4673115E-17,1.6246365E-18,1.9099708E-17
9686.586,4.482237E-17,1.9060543E-18,1.8202943E-17
9693.522,5.222774E-17,1.8224286E-18,1.751181E-17
9700.459,5.3148895E-17,1.7901105E-18,1.8655413E-17
9707.3955,4.7951935E-17,1.7050077E-18,1.9347415E-17
9714.332,4.0415443E-17,1.8072066E-18,1.976958E-17
9721.269,6.068835E-17,1.9277448E-18,1.9913407E-17
9728.205,3.606229E-17,2.3753273E-18,1.8111518E-17
9735.142,3.149724E-17,1.9364844E-18,1.7429873E-17
9742.078,3.4229157E-17,1.6456861E-18,1.7860413E-17
9749.015,3.6729744E-17,1.5668933E-18,1.6953914E-17
9755.951,5.481993E-17,1.7859837E-18,1.7345448E-17
9762.888,3.3094E-17,1.7893401E-18,1.6385063E-17
9769.824,4.9009515E-17,1.6547679E-18,1.890822E-17
9776.76,3.4367998E-17,1.7428305E-18,2.0703522E-17
9783.696,4.600406E-17,1.6516657E-18,2.0619687E-17
9790.633,5.1069502E-17,1.7294653E-18,1.9650028E-17
9797.569,5.0758767E-17,1.7725107E-18,1.9519967E-17
9804.506,5.8005974E-17,1.780265E-18,1.6529075E-17
9811.442,4.767699E-17,1.6113826E-18,1.6657439E-17
9818.379,4.4308426E-17,1.626115E-18,1.629847E-17
9825.315,6.2424905E-17,1.9728276E-18,1.6149404E-17
9832.252,3.7620803E-17,1.6709925E-18,1.6334374E-17
9839.188,5.96473E-17,2.2806102E-18,1.586618E-17
9846.125,5.868182E-17,2.2657573E-18,1.6954595E-17
9853.062,5.2849026E-17,1.7142491E-18,1.713032E-17
9859.998,5.0676284E-17,1.6243777E-18,1.948886E-17
9866.935,2.6515638E-17,1.3884021E-18,1.598137E-17
9873.871,2.8846246E-17,1.8662078E-18,1.701036E-17
9880.808,3.6569413E-17,1.958534E-18,1.7324812E-17
9887.744,5.7483745E-17,1.9509148E-18,1.6938816E-17
9894.681,4.8689532E-17,1.5348325E-18,1.7507362E-17
9901.617,5.625772E-17,2.127927E-18,1.694526E-17
9908.554,4.96302E-17,1.6938517E-18,1.6704084E-17
9915.49,5.0510844E-17,1.8976667E-18,1.6422003E-17
9922.427,4.3674842E-17,1.5594771E-18,1.5813544E-17
9929.362,4.8765788E-17,1.7527968E-18,1.8105703E-17
9936.299,4.600551E-17,1.5346603E-18,1.8787055E-17
9943.235,3.78786E-17,1.5308457E-18,2.006565E-17
9950.172,4.878269E-17,1.7193402E-18,1.7848923E-17
9957.108,5.2629145E-17,1.8137389E-18,1.7925254E-17
9964.045,6.0115126E-17,1.8039235E-18,1.7657739E-17
9970.981,5.032628E-17,1.5862042E-18,1.4629298E-17
9977.918,6.161241E-17,2.0779954E-18,1.4638008E-17
9984.8545,4.4518133E-17,1.7303005E-18,1.4437668E-17
9991.791,4.9584677E-17,1.5234754E-18,1.4851522E-17
9998.728,3.2858268E-17,1.7839014E-18,1.7585994E-17
10005.664,4.454288E-17,1.7043384E-18,1.8744703E-17
10012.601,4.5964097E-17,1.5768591E-18,1.6902705E-17
10019.537,4.681738E-17,1.5273845E-18,1.672429E-17
10026.474,4.2320903E-17,1.5983552E-18,1.6475469E-17
10033.41,4.408889E-17,1.5207376E-18,1.4091212E-17
10040.347,4.3888532E-17,1.5948024E-18,1.457893E-17
10047.283,3.8760502E-17,1.6981238E-18,1.5786626E-17
10054.22,3.9876025E-17,1.7061434E-18,1.5784072E-17
10061.156,4.1889598E-17,1.5509447E-18,1.524409E-17
10068.093,1.7512808E-17,1.4460849E-18,1.5706479E-17
10075.029,3.9929735E-17,1.7114668E-18,1.7123324E-17
10081.965,4.3636173E-17,1.5143425E-18,1.6045003E-17
10088.901,4.1567338E-17,1.6357165E-18,1.3925721E-17
10095.838,5.3937513E-17,1.521597E-18,1.337322E-17
10102.774,4.7164687E-17,1.6040974E-18,1.4144954E-17
10109.711,3.1639103E-17,1.5828327E-18,1.4731084E-17
10116.647,3.3483265E-17,1.6591235E-18,1.5749706E-17
10123.584,3.6538576E-17,1.7674316E-18,1.5676763E-17
10130.5205,3.5210872E-17,1.6224967E-18,1.5122701E-17
10137.457,4.3067195E-17,1.5684684E-18,1.391436E-17
10144.394,5.4529053E-17,1.7128423E-18,1.5196656E-17
10151.33,4.7958215E-17,1.4800482E-18,1.5712006E-17
10158.267,3.5078268E-17,1.4096042E-18,1.6778975E-17
10165.203,4.361027E-17,1.4134071E-18,1.7565554E-17
10172.14,3.2935536E-17,1.5322944E-18,1.7248216E-17
10179.076,2.992626E-17,1.651603E-18,1.7675812E-17
10186.013,4.1916554E-17,1.486928E-18,1.755242E-17
10192.949,3.6757465E-17,1.3181592E-18,1.6581403E-17
10199.886,3.3145977E-17,1.6164649E-18,1.6359924E-17
10206.822,3.4505985E-17,1.5048457E-18,1.6447787E-17
10213.759,4.163507E-17,1.3533264E-18,1.6426801E-17
10220.695,3.6969908E-17,1.3872331E-18,1.3804711E-17
10227.632,3.247251E-17,1.503996E-18,1.3135785E-17
10234.568,4.644689E-17,1.6257867E-18,1.1773487E-17
10241.504,4.5821693E-17,1.4122098E-18,1.19330994E-17
10248.44,4.230012E-17,1.5832897E-18,1.2691228E-17
10255.377,4.57513E-17,1.6385223E-18,1.2544901E-17
10262.313,4.4615525E-17,1.3882346E-18,1.4559957E-17
10269.25,5.647332E-17,1.6799398E-18,1.8745787E-17
10276.187,4.092378E-17,1.6714854E-18,2.3643957E-17
10283.123,3.5353623E-17,1.3259455E-18,2.212644E-17
10290.06,4.4448216E-17,1.7132178E-18,1.9163025E-17
10296.996,4.4242768E-17,1.4391473E-18,1.6917696E-17
10303.933,4.63808E-17,1.4003099E-18,1.4746582E-17
10310.869,5.914158E-17,1.9006995E-18,1.2377397E-17
10317.806,3.607476E-17,1.3029055E-18,1.2342642E-17
10324.742,3.5384963E-17,1.300406E-18,1.2100287E-17
10331.679,3.1511075E-17,1.5882404E-18,1.2185323E-17
10338.615,3.809001E-17,1.2729307E-18,1.36756265E-17
10345.552,3.9473797E-17,1.3142008E-18,1.4431104E-17
10352.488,3.1366725E-17,1.416958E-18,1.4748164E-17
10359.425,6.2390065E-17,1.9911867E-18,1.7319539E-17
10366.361,2.882363E-17,1.4616988E-18,1.6814074E-17
10373.298,3.5572565E-17,1.4078352E-18,1.6308963E-17
10380.234,4.0209286E-17,1.3864223E-18,1.4875935E-17
10387.171,3.668623E-17,1.3072427E-18,1.4287608E-17
10394.106,3.2010133E-17,1.3221002E-18,1.5444456E-17
10401.043,2.7934667E-17,1.3792372E-18,1.6014956E-17
10407.9795,3.1999896E-17,1.2324632E-18,1.7925897E-17
10414.916,6.4037094E-17,1.878893E-18,1.7601528E-17
10421.853,3.6645345E-17,1.4038804E-18,1.3999794E-17
10428.789,3.6231996E-17,1.2952612E-18,1.426193E-17
10435.726,4.0186052E-17,1.4128724E-18,1.3240337E-17
10442.662,4.2807245E-17,1.3273E-18,1.2772996E-17
10449.599,4.534854E-17,1.501537E-18,1.4120435E-17
10456.535,2.791794E-17,1.2557233E-18,1.4904271E-17
10463.472,3.0643475E-17,1.3040931E-18,1.4827662E-17
10470.408,1.9589702E-17,1.50821E-18,1.2878223E-17
10477.345,3.6962417E-17,1.2878432E-18,1.2108159E-17
10484.281,3.9280974E-17,1.4483149E-18,1.0881055E-17
10491.218,4.1706863E-17,1.3605256E-18,1.0650217E-17
10498.154,3.508674E-17,1.4456262E-18,1.1782434E-17
10505.091,3.8389876E-17,1.317617E-18,1.2424804E-17
10512.027,3.578387E-17,1.2642547E-18,1.2368751E-17
10518.964,4.3006046E-17,1.4695096E-18,1.2589362E-17
10525.9,3.9295887E-17,1.3101289E-18,1.0761669E-17
10532.837,3.8289923E-17,1.4185075E-18,9.931296E-18
10539.773,3.7841786E-17,1.529713E-18,9.725465E-18
10546.709,4.29497E-17,1.7970062E-18,9.638016E-18
10553.6455,3.533828E-17,1.3361993E-18,9.9223474E-18
10560.582,3.498901E-17,1.3519342E-18,1.0298295E-17
10567.519,3.7014622E-17,1.2698197E-18,1.0643318E-17
10574.455,2.458774E-17,1.4875754E-18,1.0951551E-17
10581.392,4.0551577E-17,1.3398545E-18,1.09728685E-17
10588.328,3.9666232E-17,1.3993806E-18,1.09339786E-17
10595.265,3.5735294E-17,1.3720225E-18,9.67375E-18
10602.201,4.6204102E-17,1.7319457E-18,9.051937E-18
10609.138,3.5107087E-17,1.3045178E-18,9.537208E-18
10616.074,3.261725E-17,1.2251199E-18,9.461863E-18
10623.011,4.1511662E-17,1.2877583E-18,9.531073E-18
10629.947,3.5016832E-17,1.3427745E-18,9.77167E-18
10636.884,3.2971297E-17,1.2115982E-18,9.5330175E-18
10643.82,3.2598205E-17,1.2700548E-18,1.10551316E-17
10650.757,4.0995875E-17,1.4057457E-18,9.7503865E-18
10657.693,4.663843E-17,1.3490378E-18,9.113824E-18
10664.63,4.1069845E-17,1.2459325E-18,9.227402E-18
10671.566,3.2079573E-17,1.1704622E-18,9.413646E-18
10678.503,4.4561725E-17,1.4689341E-18,1.011256E-17
10685.439,3.6642225E-17,1.2911948E-18,1.2145787E-17
10692.376,2.3556871E-17,1.1648571E-18,1.2170364E-17
10699.312,3.277724E-17,1.3197021E-18,1.2098038E-17
10706.248,3.804413E-17,1.2128069E-18,1.3359484E-17
10713.185,3.3289814E-17,1.2101947E-18,1.4054834E-17
10720.121,3.746664E-17,1.3590208E-18,1.553805E-17
10727.058,3.3083433E-17,1.3964455E-18,1.5014888E-17
10733.994,2.99387E-17,1.1858656E-18,1.4378422E-17
10740.931,3.506408E-17,1.1964794E-18,1.4574042E-17
10747.867,3.7767E-17,1.5466071E-18,1.3834067E-17
10754.804,2.9396894E-17,1.1410902E-18,1.35222325E-17
10761.74,3.112339E-17,1.3198106E-18,1.0920379E-17
10768.677,3.4954234E-17,1.1902058E-18,1.0706547E-17
10775.613,3.476727E-17,1.1908219E-18,9.398445E-18
10782.55,4.0143995E-17,1.237179E-18,9.504317E-18
10789.486,2.9148485E-17,1.1379127E-18,9.059517E-18
10796.423,3.6360795E-17,1.1789554E-18,9.141486E-18
10803.359,3.0258366E-17,1.1522639E-18,1.02618836E-17
10810.296,2.7642593E-17,1.1192031E-18,1.3056434E-17
10817.232,3.6962744E-17,1.225233E-18,1.8435967E-17
10824.169,3.2442212E-17,1.3467492E-18,2.294289E-17
10831.105,2.520829E-17,1.3439617E-18,2.1076718E-17
10838.042,3.5259603E-17,1.1418857E-18,1.6745997E-17
10844.979,3.0028972E-17,1.1318973E-18,1.29586164E-17
10851.915,4.2660216E-17,1.3314668E-18,1.0740232E-17
10858.851,3.142736E-17,1.51052E-18,9.242955E-18
10865.787,2.6262587E-17,1.1045746E-18,8.2723934E-18
10872.724,3.7406077E-17,1.1566932E-18,9.011379E-18
10879.66,2.9413156E-17,1.2226474E-18,9.9934825E-18
10886.597,2.8659128E-17,1.19443E-18,1.0357303E-17
10893.533,3.462621E-17,1.3081762E-18,1.0409509E-17
10900.47,3.292122E-17,1.1750343E-18,1.0807261E-17
10907.406,3.168714E-17,1.2278033E-18,1.38170785E-17
10914.343,3.368095E-17,1.3287905E-18,1.5361513E-17
10921.279,3.1412405E-17,1.1329252E-18,1.6982506E-17
10928.216,2.6967744E-17,1.3361112E-18,1.4605409E-17
10935.152,3.0593546E-17,1.1343714E-18,1.3234293E-17
10942.089,2.7676631E-17,1.112022E-18,1.1940019E-17
10949.025,4.0526493E-17,1.1829905E-18,1.2384516E-17
10955.962,3.0595978E-17,1.1858728E-18,1.570201E-17
10962.898,3.979921E-17,1.4448475E-18,1.4657826E-17
10969.835,2.9342737E-17,1.2044762E-18,1.5087068E-17
10976.771,3.0775963E-17,1.1483107E-18,1.26088936E-17
10983.708,3.1171746E-17,1.1415788E-18,1.0634758E-17
10990.645,3.3770383E-17,1.1189993E-18,9.98652E-18
10997.581,3.5767E-17,1.2464144E-18,1.07169016E-17
11004.518,3.8745262E-17,1.1939932E-18,1.2257546E-17
11011.453,3.2941743E-17,1.4007063E-18,1.3166207E-17
11018.39,3.5327197E-17,1.1673881E-18,1.30519456E-17
11025.326,3.6875768E-17,1.189178E-18,1.264721E-17
11032.263,4.7589262E-17,1.4557818E-18,1.1038613E-17
11039.199,2.9232014E-17,1.1330895E-18,9.203739E-18
11046.136,2.3270768E-17,1.1091874E-18,7.849067E-18
11053.072,3.671506E-17,1.1492556E-18,8.823225E-18
11060.009,5.3278875E-17,1.6560346E-18,8.843241E-18
11066.945,2.984264E-17,1.1263411E-18,1.0514181E-17
11073.882,3.294514E-17,1.1535785E-18,1.0959049E-17
11080.818,4.2470073E-17,1.3879927E-18,1.1161297E-17
11087.755,3.4571064E-17,1.3477105E-18,9.937017E-18
11094.691,2.3767958E-17,1.1291578E-18,8.928113E-18
11101.628,3.1288907E-17,1.2750466E-18,8.568752E-18
11108.564,2.8530157E-17,1.1057696E-18,7.4690315E-18
11115.501,3.733508E-17,1.2102228E-18,7.650498E-18
11122.4375,3.274122E-17,1.3947805E-18,8.62303E-18
11129.374,4.242732E-17,1.4602164E-18,8.963412E-18
11136.311,4.2725047E-17,1.2866625E-18,9.442375E-18
11143.247,3.8999693E-17,1.2979274E-18,9.492587E-18
11150.184,2.4717053E-17,1.3326021E-18,1.0452986E-17
11157.12,3.6896295E-17,1.3053804E-18,9.6283004E-18
11164.056,2.847094E-17,1.2524293E-18,9.0063905E-18
11170.992,3.0541993E-17,1.3331896E-18,8.188775E-18
11177.929,3.4421996E-17,1.3042139E-18,8.824922E-18
11184.865,3.293689E-17,1.3918296E-18,8.893914E-18
11191.802,3.323937E-17,1.3198261E-18,8.892147E-18
11198.738,3.4389852E-17,1.2879081E-18,9.567426E-18
11205.675,3.6189155E-17,1.3459125E-18,9.7872415E-18
11212.611,3.155964E-17,1.4016107E-18,1.0277532E-17
11219.548,3.342496E-17,1.4509763E-18,1.0373151E-17
11226.484,2.5024975E-17,1.4931359E-18,9.023859E-18
11233.421,2.7145101E-17,1.3239292E-18,8.650343E-18
11240.357,3.164184E-17,1.3412461E-18,9.435188E-18
11247.294,3.290975E-17,1.3946427E-18,9.936566E-18
11254.23,2.9612848E-17,1.3148248E-18,9.483619E-18
11261.167,4.1027427E-17,1.4525358E-18,9.209426E-18
11268.104,2.9625977E-17,1.3601337E-18,9.794912E-18
11275.04,4.176364E-17,1.5524572E-18,1.1374509E-17
