WAVE,FLUX,ERR,BGFLUX
3638.1008,7.208211E-17,2.1844351E-17,6.378604E-17
3643.6213,1.1714987E-16,2.1806157E-17,3.3941603E-17
3649.1418,7.500269E-17,2.0791537E-17,3.485475E-17
3654.662,1.1325176E-16,2.0701128E-17,1.2035573E-17
3660.1826,9.273072E-17,2.0087977E-17,1.63058E-17
3665.7031,1.246053E-16,1.9953059E-17,-4.9851653E-18
3671.2234,1.4207624E-16,2.0367835E-17,4.3394917E-17
3676.744,1.3003175E-16,1.9673786E-17,2.4912347E-17
3682.2644,1.194404E-16,1.9040867E-17,1.142365E-17
3687.785,1.0237453E-16,1.8890656E-17,5.1057862E-17
3693.3052,1.4582073E-16,1.8654265E-17,2.1755235E-18
3698.8257,1.4431959E-16,1.8540714E-17,2.3161314E-17
3704.3462,1.4940682E-16,1.8136665E-17,3.2301608E-18
3709.8665,8.564188E-17,1.7463594E-17,5.4084162E-17
3715.387,1.2781419E-16,1.7662844E-17,4.260779E-17
3720.9075,1.2662122E-16,1.739569E-17,4.395426E-17
3726.4277,9.569571E-17,1.7085816E-17,8.5766056E-17
3731.9482,8.299342E-17,1.647205E-17,6.357721E-17
3737.4688,1.5059452E-16,1.6583901E-17,4.8120728E-18
3742.9893,1.0813125E-16,1.6076412E-17,3.7976646E-17
3748.5095,1.2998951E-16,1.5808793E-17,4.7912017E-18
3754.03,1.2806388E-16,1.581213E-17,3.0291132E-17
3759.5505,1.4999007E-16,1.5676131E-17,3.7571817E-18
3765.0708,1.5547605E-16,1.5562659E-17,9.621069E-18
3770.5913,1.1803505E-16,1.5301872E-17,5.423565E-17
3776.1118,1.1307308E-16,1.5062676E-17,5.6306475E-17
3781.632,1.3488605E-16,1.494996E-17,3.4030617E-17
3787.1526,1.3197237E-16,1.4592811E-17,2.1387041E-17
3792.673,1.1832521E-16,1.449574E-17,4.6071336E-17
3798.1936,1.1324334E-16,1.4112548E-17,3.9546615E-17
3803.7139,1.8490368E-16,1.4895357E-17,3.1649522E-17
3809.2344,1.7724608E-16,1.4676386E-17,3.7669094E-17
3814.755,1.9927832E-16,1.4661118E-17,2.3199056E-17
3820.2751,1.6138836E-16,1.4267251E-17,5.2063168E-17
3825.7957,2.0045932E-16,1.443827E-17,2.7737743E-17
3831.3162,1.795161E-16,1.4212E-17,4.741484E-17
3836.8364,2.0585804E-16,1.4557689E-17,6.508008E-17
3842.357,2.4032016E-16,1.4621733E-17,4.2805435E-17
3847.8774,2.0671531E-16,1.4044155E-17,3.888431E-17
3853.3977,2.31775E-16,1.4232167E-17,3.8463247E-17
3858.9182,2.3982152E-16,1.4112204E-17,3.144234E-17
3864.4387,2.489212E-16,1.4099588E-17,3.034439E-17
3869.9592,2.1686378E-16,1.3651999E-17,4.1069822E-17
3875.4795,2.3666982E-16,1.3683755E-17,3.1216837E-17
3881.0,2.4711474E-16,1.3715204E-17,2.991344E-17
3886.5205,2.243856E-16,1.3502404E-17,5.221665E-17
3892.0408,2.2069233E-16,1.3402064E-17,5.613661E-17
3897.5613,2.4451562E-16,1.3523678E-17,5.1547265E-17
3903.0818,2.6252598E-16,1.3762506E-17,6.732053E-17
3908.602,2.3492573E-16,1.3336453E-17,6.4217796E-17
3914.1226,2.1692241E-16,1.3090373E-17,7.503366E-17
3919.643,2.2945778E-16,1.2921902E-17,5.2445193E-17
3925.1636,1.9655202E-16,1.2354745E-17,3.7811035E-17
3930.6838,2.1222761E-16,1.2332753E-17,2.2812425E-17
3936.2043,2.0848635E-16,1.2406356E-17,3.8782532E-17
3941.7249,2.1195319E-16,1.2117798E-17,2.139301E-17
3947.245,2.3340715E-16,1.2353327E-17,2.4890541E-17
