WAVE,FLUX,ERR,BGFLUX
3639.302,4.8584836E-16,2.776252E-17,2.0124009E-17
3644.822,4.2066777E-16,2.6827264E-17,4.9011212E-17
3650.342,4.6510717E-16,2.6734446E-17,3.534649E-17
3655.8623,5.195377E-16,2.6929905E-17,2.8724634E-17
3661.3823,4.932608E-16,2.5861684E-17,-8.327921E-18
3666.9023,5.249221E-16,2.6031859E-17,1.3399303E-17
3672.4224,4.669184E-16,2.4597471E-17,-3.1771736E-17
3677.9426,4.7914944E-16,2.4337463E-17,-3.060563E-17
3683.4626,4.763808E-16,2.4399744E-17,1.4961452E-17
3688.9827,4.5998823E-16,2.4035073E-17,2.9546554E-17
3694.5027,4.5193665E-16,2.3447204E-17,1.5026158E-17
3700.0227,4.4953786E-16,2.3168533E-17,2.0816313E-17
3705.543,4.448703E-16,2.2860374E-17,2.1336015E-17
3711.063,4.73881E-16,2.298351E-17,3.4696352E-17
3716.583,4.5442905E-16,2.2656991E-17,5.4180813E-17
3722.103,5.177537E-16,2.2795528E-17,1.8917174E-17
3727.6233,4.566467E-16,2.1853298E-17,2.29044E-17
3733.1433,4.960771E-16,2.2210287E-17,3.9819724E-17
3738.6633,5.1029203E-16,2.1892925E-17,1.9811394E-17
3744.1833,4.94782E-16,2.1464513E-17,1.7301498E-17
3749.7034,4.8928604E-16,2.1195444E-17,2.3348541E-17
3755.2236,4.3195475E-16,2.067234E-17,5.624302E-17
3760.7437,4.983798E-16,2.084132E-17,1.895246E-17
3766.2637,4.5139646E-16,1.998263E-17,1.3154767E-17
3771.7837,5.009302E-16,2.0525264E-17,2.7638397E-17
3777.3037,4.9114046E-16,2.0158565E-17,2.1621004E-17
3782.824,4.7501587E-16,1.9963366E-17,4.5295133E-17
3788.344,4.7182065E-16,1.9775538E-17,4.517722E-17
3793.864,5.2669843E-16,1.9889925E-17,1.7350014E-17
3799.384,5.257784E-16,1.9725937E-17,1.6654256E-17
3804.9043,5.0172334E-16,1.9320297E-17,1.801745E-17
3810.4243,5.164587E-16,1.9386238E-17,2.7165376E-17
3815.9443,4.645787E-16,1.8767112E-17,3.640867E-17
3821.4644,5.0347596E-16,1.893184E-17,2.6463662E-17
3826.9844,5.096007E-16,1.9083963E-17,5.6925E-17
3832.5046,4.5998373E-16,1.8460878E-17,5.7322994E-17
3838.0247,4.959382E-16,1.8506272E-17,3.8441674E-17
3843.5447,4.904308E-16,1.835421E-17,4.4366633E-17
3849.0647,4.852515E-16,1.8011577E-17,2.4740112E-17
3854.585,4.6600476E-16,1.7586665E-17,1.1871545E-17
3860.105,4.2434053E-16,1.7220724E-17,3.504435E-17
3865.625,4.0540286E-16,1.6935324E-17,4.0784762E-17
3871.145,3.880273E-16,1.6444528E-17,2.0289227E-17
3876.665,3.7030584E-16,1.6068526E-17,8.562761E-18
3882.1853,3.2589984E-16,1.5654135E-17,2.9742602E-17
3887.7053,3.1521267E-16,1.5423175E-17,2.8385623E-17
3893.2253,3.1940106E-16,1.5398798E-17,3.4335778E-17
3898.7454,3.192235E-16,1.5201356E-17,2.4609735E-17
3904.2654,2.7618796E-16,1.4882713E-17,5.1824606E-17
3909.7856,2.8967775E-16,1.4939625E-17,5.3309802E-17
3915.3057,2.976657E-16,1.4742757E-17,3.209987E-17
3920.8257,3.0297606E-16,1.4525733E-17,1.04923005E-17
3926.3457,2.958254E-16,1.4463098E-17,2.1512438E-17
3931.866,2.8512712E-16,1.4010671E-17,-1.6305677E-18
3937.386,2.505911E-16,1.3981895E-17,4.493635E-17
3942.906,2.3721428E-16,1.3855091E-17,5.5188366E-17
3948.426,2.2575014E-16,1.3470125E-17,3.5760123E-17
3953.946,2.5057662E-16,1.35422345E-17,2.2716213E-17
3959.4663,2.5246913E-16,1.3635324E-17,3.8516477E-17
3964.9863,2.87474E-16,1.3853705E-17,2.879155E-17
3970.5063,2.6734626E-16,1.37087485E-17,4.5396843E-17
3976.0264,3.1897183E-16,1.4118747E-17,3.8094744E-17
3981.5466,3.4717866E-16,1.4282324E-17,2.985981E-17
3987.0667,3.445389E-16,1.4215559E-17,3.7100407E-17
3992.5867,3.3785622E-16,1.408269E-17,3.7463483E-17
3998.1067,3.5884654E-16,1.4430933E-17,6.0214136E-17
4003.6267,3.3759623E-16,1.4089925E-17,5.3187485E-17
4009.147,3.292464E-16,1.3996116E-17,5.8592776E-17
4014.667,3.1691574E-16,1.3745118E-17,5.1087853E-17
4020.187,3.3359363E-16,1.3732455E-17,3.7367494E-17
4025.707,2.7769133E-16,1.33954646E-17,7.4099276E-17
4031.227,2.7109679E-16,1.3113865E-17,5.6634886E-17
4036.7473,2.95286E-16,1.3319336E-17,5.764444E-17
4042.2673,3.1588434E-16,1.34610865E-17,5.7399644E-17
4047.7874,2.74086E-16,1.2927243E-17,5.4312437E-17
4053.3074,2.9746807E-16,1.3135152E-17,5.409504E-17
4058.8276,3.2496827E-16,1.3277271E-17,4.560893E-17
4064.3477,3.3213043E-16,1.3341299E-17,5.0466154E-17
4069.8677,2.9755042E-16,1.3028968E-17,6.381166E-17
4075.3877,3.1042948E-16,1.3124486E-17,6.4347253E-17
4080.9077,3.5263617E-16,1.3399071E-17,5.2615397E-17
4086.428,3.3319306E-16,1.3183714E-17,5.99799E-17
4091.948,3.7436045E-16,1.3472749E-17,5.047332E-17
4097.4683,3.9027032E-16,1.360576E-17,5.165855E-17
4102.9883,3.9926957E-16,1.3592229E-17,4.4829103E-17
4108.5083,3.7987022E-16,1.34827636E-17,5.789912E-17
4114.0283,4.2394078E-16,1.3833587E-17,5.623632E-17
4119.5483,4.3814113E-16,1.3796729E-17,4.162364E-17
4125.0684,4.43923E-16,1.3896307E-17,5.2727573E-17
4130.5884,4.5264334E-16,1.4011713E-17,6.205353E-17
4136.1084,4.823829E-16,1.4205791E-17,5.841661E-17
4141.6284,4.726042E-16,1.3974057E-17,4.597069E-17
4147.149,4.7330237E-16,1.388579E-17,3.883131E-17
4152.669,4.980085E-16,1.4123614E-17,4.8270555E-17
4158.189,5.008877E-16,1.4144798E-17,5.2289326E-17
4163.709,5.281253E-16,1.431164E-17,4.9556493E-17
4169.229,5.6539603E-16,1.4595666E-17,4.938523E-17
4174.749,5.6644995E-16,1.4674512E-17,6.598436E-17
4180.269,5.7636267E-16,1.4650712E-17,5.5337192E-17
4185.789,5.690455E-16,1.4460497E-17,4.5051598E-17
4191.309,6.006448E-16,1.4671211E-17,4.1680913E-17
4196.829,5.8036633E-16,1.4548117E-17,5.3790175E-17
4202.3496,5.429135E-16,1.4265514E-17,6.1056166E-17
4207.8696,5.385999E-16,1.419719E-17,6.219862E-17
4213.3896,5.390763E-16,1.4040534E-17,4.4877076E-17
4218.9097,5.4407854E-16,1.4057777E-17,4.550266E-17
4224.4297,5.2763747E-16,1.3886346E-17,4.7611163E-17
4229.9497,4.9912983E-16,1.3629315E-17,4.8773742E-17
4235.4697,4.5913744E-16,1.3272586E-17,5.217856E-17
4240.9897,4.790303E-16,1.3384352E-17,4.9341333E-17
4246.51,4.4623686E-16,1.3116607E-17,5.553161E-17
4252.0303,4.6254246E-16,1.330159E-17,6.521567E-17
4257.5503,4.9009596E-16,1.3418754E-17,5.1340596E-17
4263.0703,4.7092485E-16,1.3325378E-17,6.4382035E-17
4268.5903,4.6178505E-16,1.314394E-17,5.682905E-17
4274.1104,4.8683584E-16,1.3171279E-17,3.343599E-17
4279.6304,4.834077E-16,1.3311738E-17,6.2020434E-17
4285.1504,4.975063E-16,1.3305388E-17,4.5306257E-17
4290.6704,5.0858627E-16,1.3372048E-17,4.523241E-17
4296.1904,5.1686205E-16,1.3346847E-17,3.6354016E-17
4301.711,5.1115744E-16,1.3355391E-17,4.7803155E-17
4307.231,5.23864E-16,1.34099485E-17,4.427729E-17
4312.751,5.1080534E-16,1.3226746E-17,3.936881E-17
4318.271,5.302298E-16,1.35659804E-17,6.540162E-17
4323.791,5.2261075E-16,1.3399278E-17,5.743153E-17
4329.311,5.1527756E-16,1.3245504E-17,4.438615E-17
4334.831,5.4255017E-16,1.34425006E-17,4.613933E-17
4340.351,5.3402224E-16,1.3482456E-17,6.370894E-17
4345.871,5.5998116E-16,1.35180445E-17,4.163596E-17
4351.3916,5.175051E-16,1.3184875E-17,4.7237178E-17
4356.9116,5.386796E-16,1.3321805E-17,4.4650002E-17
4362.4316,5.4003904E-16,1.32780504E-17,4.1681648E-17
4367.9517,5.200516E-16,1.319057E-17,5.3764768E-17
4373.4717,4.8098655E-16,1.2773297E-17,4.3977967E-17
4378.9917,4.684794E-16,1.27057465E-17,5.1864443E-17
4384.5117,4.828473E-16,1.27768725E-17,4.704069E-17
4390.0317,4.7583526E-16,1.2669673E-17,4.2857266E-17
4395.552,4.629512E-16,1.2547883E-17,4.4719578E-17
4401.0723,4.3743804E-16,1.2463946E-17,6.4967546E-17
4406.5923,4.5151705E-16,1.25397115E-17,6.280768E-17
4412.1123,4.739466E-16,1.2738396E-17,6.613801E-17
4417.6323,4.5648644E-16,1.2526283E-17,6.4009175E-17
4423.1523,4.6066464E-16,1.2547211E-17,5.982373E-17
4428.6724,4.3549757E-16,1.2312838E-17,6.037589E-17
4434.1924,4.496378E-16,1.2446835E-17,6.54275E-17
4439.7124,4.2028324E-16,1.2155442E-17,6.242691E-17
4445.2324,4.3131031E-16,1.2235289E-17,6.1823684E-17
4450.7524,4.1437701E-16,1.20705644E-17,6.1145694E-17
4456.273,3.860527E-16,1.1717475E-17,4.8590624E-17
4461.793,4.030005E-16,1.18603985E-17,5.2772383E-17
4467.313,3.6727007E-16,1.1575289E-17,5.5535616E-17
4472.833,3.522024E-16,1.1417256E-17,5.6396645E-17
4478.353,3.506207E-16,1.1393138E-17,5.68495E-17
4483.873,3.447492E-16,1.1287112E-17,5.1088392E-17
4489.393,3.4664387E-16,1.1253708E-17,4.6470735E-17
4494.913,3.2490286E-16,1.11254246E-17,5.838239E-17
4500.433,3.2947123E-16,1.1193638E-17,6.364266E-17
4505.9536,3.3175676E-16,1.10899054E-17,4.9238412E-17
4511.4736,3.395764E-16,1.1161071E-17,5.034567E-17
4516.9937,3.3918047E-16,1.1147807E-17,5.0469217E-17
4522.5137,3.1192282E-16,1.0899601E-17,5.3830247E-17
4528.0337,3.2685098E-16,1.1027559E-17,5.4299203E-17
4533.5537,2.954423E-16,1.0707634E-17,5.3500857E-17
4539.0737,2.8446267E-16,1.0630871E-17,6.071335E-17
4544.5938,2.7624905E-16,1.0538424E-17,5.969844E-17
4550.114,2.8885057E-16,1.0654612E-17,5.8830065E-17
4555.6343,2.6659976E-16,1.0543089E-17,7.4480355E-17
4561.1543,2.7506495E-16,1.0526544E-17,6.234715E-17
4566.6743,2.8693114E-16,1.06946975E-17,6.996514E-17
4572.1943,3.0245736E-16,1.0721127E-17,5.5257826E-17
4577.7144,2.9425795E-16,1.06304546E-17,5.5139082E-17
4583.2344,2.7683858E-16,1.0511335E-17,6.262679E-17
4588.7544,2.8212568E-16,1.0512906E-17,5.700084E-17
4594.2744,2.991922E-16,1.05754165E-17,4.7234382E-17
4599.7944,3.0878332E-16,1.0631881E-17,4.347666E-17
4605.315,3.3097286E-16,1.0876097E-17,4.7797685E-17
4610.835,3.44816E-16,1.0996407E-17,4.762451E-17
4616.355,3.3852233E-16,1.0977715E-17,5.469227E-17
4621.875,3.2373104E-16,1.077494E-17,4.7050682E-17
4627.395,3.469065E-16,1.1006174E-17,5.0722967E-17
4632.915,3.409433E-16,1.0918677E-17,4.985285E-17
4638.435,3.685814E-16,1.1150851E-17,4.6683043E-17
4643.955,3.5730682E-16,1.1119642E-17,5.938184E-17
4649.475,3.6169755E-16,1.1092853E-17,5.1829632E-17
4654.9956,3.610692E-16,1.1031684E-17,4.603059E-17
4660.5156,3.5463E-16,1.1013026E-17,5.22395E-17
4666.0356,3.617424E-16,1.0993765E-17,4.1697453E-17
4671.5557,3.0448428E-16,1.05492494E-17,5.3707176E-17
4677.0757,2.9039196E-16,1.0421085E-17,5.605809E-17
4682.5957,2.9395746E-16,1.0404375E-17,5.0825745E-17
4688.1157,2.6965802E-16,1.0290869E-17,6.8022695E-17
4693.6357,2.8886656E-16,1.0358891E-17,5.291904E-17
4699.156,2.8896304E-16,1.03995215E-17,5.8634625E-17
4704.6763,2.7078955E-16,1.0249536E-17,6.482446E-17
4710.1963,2.8625156E-16,1.0281828E-17,5.0748427E-17
4715.7163,3.0493983E-16,1.0550504E-17,6.12289E-17
4721.2363,3.1727461E-16,1.0625413E-17,5.710991E-17
4726.7563,2.880694E-16,1.0359262E-17,5.933423E-17
4732.2764,3.3062854E-16,1.0772748E-17,6.17058E-17
4737.7964,3.4193767E-16,1.0789498E-17,5.252701E-17
4743.3164,3.114531E-16,1.0487069E-17,5.090988E-17
4748.8364,3.3381894E-16,1.0702421E-17,5.2142538E-17
4754.3564,3.6398875E-16,1.0950153E-17,5.0113973E-17
4759.877,3.5582398E-16,1.0876826E-17,5.0307113E-17
4765.397,3.3610535E-16,1.0705754E-17,5.1475774E-17
4770.917,3.8090542E-16,1.10174676E-17,4.0240057E-17
4776.437,3.6218374E-16,1.0926048E-17,5.2013732E-17
4781.957,3.4972754E-16,1.0849375E-17,5.6944477E-17
4787.477,3.6187204E-16,1.0969233E-17,5.886397E-17
4792.997,3.7270146E-16,1.10606935E-17,6.008514E-17
4798.517,3.617781E-16,1.0997114E-17,6.576173E-17
4804.037,3.7234862E-16,1.1071666E-17,6.4277995E-17
4809.5576,3.6647627E-16,1.0969729E-17,5.6695515E-17
4815.0776,3.6400333E-16,1.092789E-17,5.4653534E-17
4820.5977,3.4894883E-16,1.0769633E-17,5.296905E-17
4826.1177,3.3414306E-16,1.0769296E-17,7.2195086E-17
4831.6377,3.4741408E-16,1.074033E-17,5.2322218E-17
4837.1577,3.4966378E-16,1.0808218E-17,5.9969086E-17
4842.6777,3.4646517E-16,1.074739E-17,5.47537E-17
4848.1978,3.656686E-16,1.0873777E-17,5.0415494E-17
4853.718,3.6904278E-16,1.0985331E-17,6.1701414E-17
4859.2383,3.7109096E-16,1.0922219E-17,5.1707242E-17
4864.7583,3.7510722E-16,1.08819415E-17,4.1545778E-17
4870.2783,3.5954563E-16,1.0802503E-17,5.0565184E-17
4875.7983,3.6256245E-16,1.08396055E-17,5.294214E-17
4881.3184,3.6915864E-16,1.089014E-17,5.297382E-17
4886.8384,3.7603284E-16,1.0994253E-17,5.8506445E-17
4892.3584,3.685197E-16,1.08495946E-17,4.9009445E-17
4897.8784,3.5813315E-16,1.07300455E-17,4.439649E-17
4903.3984,3.5762787E-16,1.0788224E-17,5.531183E-17
4908.919,3.611879E-16,1.08739484E-17,6.3927575E-17
4914.439,3.4965282E-16,1.0698337E-17,5.361528E-17
4919.959,3.530806E-16,1.0699612E-17,5.157771E-17
4925.479,3.4531522E-16,1.0630639E-17,5.1148746E-17
4930.999,3.4887408E-16,1.0659697E-17,5.026113E-17
4936.519,3.2590143E-16,1.0423899E-17,4.7578532E-17
4942.039,3.0136506E-16,1.0289344E-17,5.995523E-17
4947.559,3.089789E-16,1.0222087E-17,4.4079393E-17
4953.079,2.98455E-16,1.0233215E-17,5.711236E-17
4958.5996,2.8530746E-16,1.01322E-17,6.076262E-17
4964.1196,2.9408545E-16,1.0072101E-17,4.262611E-17
4969.6396,2.8044422E-16,1.01159896E-17,6.604911E-17
4975.1597,2.785373E-16,1.0099018E-17,6.677046E-17
4980.6797,2.867403E-16,1.0043468E-17,4.9864982E-17
4986.1997,3.1754175E-16,1.0313117E-17,4.7748567E-17
4991.7197,2.9321485E-16,1.0197038E-17,6.283232E-17
4997.2397,2.830398E-16,1.00110965E-17,5.114672E-17
5002.76,2.986814E-16,1.01920215E-17,5.650446E-17
5008.28,3.0646533E-16,1.0201177E-17,4.9314927E-17
5013.8003,2.9892814E-16,1.016262E-17,5.168275E-17
5019.3203,2.8872288E-16,1.0040337E-17,4.9841328E-17
5024.8403,2.9469933E-16,1.0057272E-17,4.5220773E-17
5030.3604,2.9114918E-16,1.0082959E-17,5.317583E-17
5035.8804,2.7032675E-16,9.942374E-18,6.1587865E-17
5041.4004,2.9264912E-16,1.0021317E-17,4.5012304E-17
5046.9204,2.6097959E-16,9.80681E-18,5.612618E-17
5052.4404,2.8042249E-16,9.960613E-18,5.2491264E-17
5057.9604,2.872168E-16,9.997324E-18,4.8690984E-17
5063.481,2.9692012E-16,1.0025973E-17,4.236876E-17
5069.001,2.9251417E-16,1.0030635E-17,4.7238584E-17
5074.521,2.7788692E-16,9.92552E-18,5.1356673E-17
5080.041,2.8617768E-16,9.956461E-18,4.5605323E-17
5085.561,2.912458E-16,1.0034308E-17,5.09488E-17
5091.081,2.940511E-16,1.0056989E-17,4.9269293E-17
5096.601,2.847012E-16,1.0016735E-17,5.568574E-17
5102.121,2.7815784E-16,9.994663E-18,6.301646E-17
5107.641,2.8816712E-16,9.927361E-18,4.2160982E-17
5113.1616,2.818698E-16,9.884472E-18,4.3741357E-17
5118.6816,2.84815E-16,9.892114E-18,4.1959752E-17
5124.2017,2.7622298E-16,9.93332E-18,5.758321E-17
5129.7217,2.5596602E-16,9.718684E-18,5.769431E-17
5135.2417,2.4565517E-16,9.637241E-18,5.986534E-17
5140.7617,2.4559032E-16,9.57634E-18,5.175329E-17
5146.2817,2.2822956E-16,9.377296E-18,4.831387E-17
5151.802,2.3366002E-16,9.497102E-18,5.743622E-17
5157.322,2.2895502E-16,9.437313E-18,5.6189605E-17
5162.8423,2.0598735E-16,9.188088E-18,5.392868E-17
5168.3623,2.2021507E-16,9.252536E-18,4.4381952E-17
5173.8823,2.2131559E-16,9.265937E-18,4.529613E-17
5179.4023,2.3722704E-16,9.390336E-18,4.126372E-17
5184.9224,2.2469825E-16,9.3445394E-18,5.240601E-17
5190.4424,2.1804838E-16,9.242909E-18,4.7538705E-17
5195.9624,1.9083349E-16,9.059009E-18,5.9934225E-17
5201.4824,2.191626E-16,9.252334E-18,4.8895476E-17
5207.0024,2.1066862E-16,9.228478E-18,5.551947E-17
5212.523,2.062354E-16,9.121299E-18,4.786553E-17
5218.043,2.0653538E-16,9.119837E-18,4.8271035E-17
5223.563,2.0777115E-16,9.1223835E-18,4.6080194E-17
5229.083,2.2614284E-16,9.373562E-18,5.5022635E-17
5234.603,2.0558203E-16,9.205879E-18,6.012342E-17
5240.123,2.2173688E-16,9.295502E-18,5.1570443E-17
5245.643,2.1261948E-16,9.275053E-18,5.933124E-17
5251.163,2.0793154E-16,9.255474E-18,6.3946335E-17
5256.683,2.2403892E-16,9.2680145E-18,4.4714783E-17
5262.203,2.0178404E-16,9.104326E-18,5.1957094E-17
5267.7236,1.9693699E-16,9.126426E-18,6.0439646E-17
5273.2437,2.2072483E-16,9.217844E-18,4.1656654E-17
5278.7637,1.8909224E-16,9.034001E-18,5.976324E-17
5284.2837,2.090927E-16,9.206603E-18,5.4351977E-17
5289.8037,1.9249311E-16,9.03407E-18,5.758351E-17
5295.3237,2.0535959E-16,9.118772E-18,4.9483476E-17
5300.8438,2.285693E-16,9.4259224E-18,5.666793E-17
5306.364,2.0466798E-16,9.226198E-18,6.2760906E-17
5311.884,2.2667653E-16,9.337689E-18,5.1127425E-17
5317.4043,2.1688891E-16,9.21137E-18,4.7202258E-17
5322.9243,2.3094832E-16,9.391233E-18,5.0873987E-17
5328.4443,2.2828697E-16,9.4887675E-18,6.6780746E-17
5333.9644,2.1510149E-16,9.310939E-18,5.925762E-17
5339.4844,2.1569939E-16,9.340896E-18,6.453666E-17
5345.0044,2.194395E-16,9.3070665E-18,5.5469008E-17
5350.5244,2.4201624E-16,9.486174E-18,5.0180237E-17
5356.0444,2.310724E-16,9.4421004E-18,5.79749E-17
5361.5645,2.239096E-16,9.44402E-18,6.632912E-17
5367.085,2.1301809E-16,9.2638215E-18,5.637268E-17
5372.605,2.2529644E-16,9.318828E-18,4.8792962E-17
5378.125,2.2822612E-16,9.4052785E-18,5.4863293E-17
5383.645,2.331244E-16,9.503006E-18,6.14216E-17
5389.165,2.4442565E-16,9.596494E-18,5.885254E-17
5394.685,2.3198054E-16,9.467886E-18,5.7426306E-17
5400.205,2.448484E-16,9.610811E-18,5.945236E-17
5405.725,2.5423215E-16,9.675046E-18,5.5659475E-17
5411.245,2.8384074E-16,9.8365415E-18,3.9758367E-17
5416.7656,2.4338399E-16,9.619901E-18,6.289078E-17
5422.2856,2.562655E-16,9.7445E-18,6.122865E-17
5427.8057,2.5108952E-16,9.693429E-18,6.231859E-17
5433.3257,2.6193186E-16,9.73281E-18,5.2997528E-17
5438.8457,2.4840342E-16,9.591723E-18,5.1799777E-17
5444.3657,2.4189845E-16,9.571429E-18,5.6531475E-17
5449.8857,2.5701036E-16,9.736433E-18,5.917438E-17
5455.406,2.770028E-16,9.873947E-18,5.140172E-17
