WAVE,FLUX,ERR,BGFLUX
3636.675,2.3327228E-15,7.1872857E-17,-3.2392634E-17
3642.196,2.130724E-15,6.914488E-17,3.8179675E-18
3647.7173,2.176595E-15,6.8674725E-17,2.844022E-17
3653.2383,2.088572E-15,6.6134916E-17,-7.843711E-17
3658.7593,2.0803426E-15,6.514715E-17,-6.6560815E-17
3664.2803,1.910389E-15,6.291745E-17,-2.5061541E-17
3669.8015,1.788446E-15,6.0532104E-17,-5.9503323E-17
3675.3225,1.7738832E-15,5.9664286E-17,-4.5460298E-17
3680.8435,1.5822149E-15,5.7333735E-17,-4.614511E-19
3686.3647,1.4142056E-15,5.5036264E-17,2.6776685E-17
3691.8857,1.353858E-15,5.3520548E-17,7.526279E-18
3697.4067,1.3793286E-15,5.2521224E-17,-6.534706E-17
3702.928,1.1715094E-15,5.0004537E-17,-7.494501E-18
3708.449,1.1096237E-15,4.8429602E-17,-4.6392756E-17
3713.97,1.0898222E-15,4.774931E-17,-1.7054654E-17
3719.491,1.0348539E-15,4.6553076E-17,-8.699282E-18
3725.0122,1.0124062E-15,4.5287563E-17,-6.7313186E-17
3730.5332,9.01123E-16,4.401691E-17,-1.9122627E-18
3736.0542,1.0305209E-15,4.4371672E-17,-7.2609133E-17
3741.5754,9.023032E-16,4.2956594E-17,2.9268574E-18
3747.0964,9.477933E-16,4.2784035E-17,-1.5627533E-17
3752.6174,9.364344E-16,4.2430273E-17,2.443933E-17
3758.1384,9.415014E-16,4.1484868E-17,-4.3046866E-17
3763.6597,9.584309E-16,4.1511884E-17,-1.6474756E-18
3769.1807,9.841458E-16,4.092402E-17,-4.5882054E-17
3774.7017,1.070505E-15,4.182485E-17,8.63236E-18
3780.223,9.807674E-16,4.0575998E-17,3.755689E-17
3785.744,1.0816053E-15,4.130096E-17,4.3776248E-17
3791.265,1.2543564E-15,4.1828062E-17,-6.315371E-17
3796.7861,1.2549372E-15,4.1512787E-17,-5.524562E-17
3802.3071,1.3778083E-15,4.2442263E-17,-1.590828E-17
3807.8281,1.3915426E-15,4.2336517E-17,-6.7407664E-18
3813.349,1.4175432E-15,4.2270415E-17,1.2381973E-17
3818.8704,1.4330947E-15,4.216679E-17,2.7107701E-17
3824.3914,1.4977447E-15,4.2165955E-17,-9.7308295E-18
3829.9124,1.4200465E-15,4.0921432E-17,-3.0614666E-17
3835.4336,1.3748918E-15,4.0279537E-17,-1.6839687E-17
3840.9546,1.4388877E-15,4.053489E-17,-1.3459305E-17
3846.4756,1.4300143E-15,4.024592E-17,4.939514E-18
3851.9968,1.5229121E-15,4.0625755E-17,-1.4284102E-17
3857.5178,1.474375E-15,3.9927568E-17,-1.0302443E-18
3863.0388,1.586363E-15,4.0717737E-17,2.0998377E-17
3868.5598,1.6582487E-15,4.0740872E-17,-2.9499567E-17
3874.081,1.6671972E-15,4.0673407E-17,-1.1906544E-18
3879.602,1.7446518E-15,4.0910408E-17,-1.6781064E-17
3885.123,1.755663E-15,4.0828057E-17,9.7333706E-18
3890.6443,1.9265E-15,4.1737648E-17,-2.4408328E-17
3896.1653,1.9398331E-15,4.1853324E-17,2.570357E-17
3901.6863,1.9526293E-15,4.1713047E-17,2.8706397E-17
3907.2073,2.129859E-15,4.2657387E-17,1.13663285E-17
3912.7285,2.1355304E-15,4.2343634E-17,-3.0497924E-18
3918.2495,2.201566E-15,4.2611217E-17,3.1441904E-18
3923.7705,2.2118086E-15,4.2389185E-17,-2.9283765E-18
