WAVE,FLUX,ERR,BGFLUX
5998.6494,6.4124567E-18,3.1009702E-18,1.3145647E-16
6002.8706,1.5450796E-17,3.046721E-18,1.1746314E-16
6007.0913,5.983814E-18,2.9836535E-18,1.2022888E-16
6011.3125,9.337585E-18,3.021022E-18,1.187682E-16
6015.533,1.03928585E-17,3.0315406E-18,1.1764532E-16
6019.7544,1.8259383E-17,3.1303062E-18,1.196721E-16
6023.975,2.128119E-17,3.1125034E-18,1.1216173E-16
6028.1963,1.1473652E-17,3.044434E-18,1.1465606E-16
6032.417,7.730023E-18,3.036582E-18,1.1744848E-16
6036.6377,8.984163E-18,3.0105954E-18,1.1210666E-16
6040.859,8.283289E-18,2.9959948E-18,1.10778867E-16
6045.0796,7.982279E-18,2.9932517E-18,1.1010429E-16
6049.301,1.343171E-17,3.0040106E-18,1.0489269E-16
6053.5215,6.02569E-18,2.9873622E-18,1.1158783E-16
6057.7427,4.3933506E-18,2.960879E-18,1.0986037E-16
6061.9634,6.326222E-18,2.9640607E-18,1.08610733E-16
6066.1846,7.989718E-18,2.9496942E-18,1.0445404E-16
6070.4053,1.03350675E-17,2.9192376E-18,9.840965E-17
6074.6265,1.1549262E-17,2.95497E-18,1.0172689E-16
6078.847,6.6199786E-18,2.8856237E-18,9.941319E-17
6083.068,1.1001528E-17,2.9295021E-18,9.994745E-17
6087.289,7.851153E-18,2.928657E-18,1.03724095E-16
6091.51,2.9542148E-18,2.86915E-18,1.023517E-16
6095.731,5.667002E-18,2.886617E-18,1.0197459E-16
6099.9517,7.115653E-18,2.889087E-18,1.0192612E-16
6104.173,9.6562955E-18,2.8824372E-18,9.83445E-17
6108.3936,1.0253592E-17,2.8739884E-18,9.675976E-17
6112.6147,2.3620587E-18,2.8348942E-18,1.0161634E-16
6116.8354,7.683966E-18,2.8351698E-18,9.6230606E-17
6121.0566,1.1128049E-17,2.8258276E-18,9.189861E-17
6125.2773,2.1881787E-18,2.7796517E-18,9.658942E-17
6129.4985,6.7466753E-18,2.7988855E-18,9.4715595E-17
6133.719,7.843562E-18,2.8562137E-18,1.01090543E-16
6137.94,1.3239049E-17,2.8969584E-18,1.0067572E-16
6142.161,3.4497268E-18,2.854557E-18,1.0672671E-16
6146.382,5.872536E-18,2.8769799E-18,1.0792992E-16
6150.603,7.150609E-18,2.9164602E-18,1.1193237E-16
6154.8237,4.217761E-18,2.917937E-18,1.1625145E-16
6159.045,1.4690765E-18,2.8604445E-18,1.1245307E-16
6163.2656,2.1464214E-18,2.8085336E-18,1.05822526E-16
6167.487,8.606392E-18,2.7910461E-18,9.695124E-17
6171.7075,8.484665E-18,2.7584277E-18,9.423847E-17
6175.9287,5.063958E-18,2.7124923E-18,9.2857674E-17
6180.1494,9.2554165E-18,2.7240331E-18,8.998487E-17
6184.3706,4.1769643E-18,2.704698E-18,9.3751546E-17
6188.5913,2.4785596E-18,2.6957727E-18,9.5416475E-17
6192.812,5.2529083E-18,2.7066073E-18,9.4291814E-17
6197.033,1.1820125E-17,2.7491676E-18,9.315234E-17
6201.254,8.688419E-18,2.7244492E-18,9.3872294E-17
6205.475,8.114613E-18,2.6842555E-18,9.008267E-17
6209.696,1.22857216E-17,2.7337413E-18,9.211192E-17
6213.917,1.195833E-17,2.733871E-18,9.3151224E-17
6218.1377,1.03819364E-17,2.7233983E-18,9.4297524E-17
6222.359,3.80489E-18,2.7473747E-18,1.0577505E-16
6226.5796,6.487792E-18,2.8433329E-18,1.1623522E-16
6230.801,7.610452E-18,2.9187397E-18,1.209477E-16
6235.0215,-2.630678E-19,2.8740417E-18,1.2401014E-16
6239.242,9.101633E-18,2.7579498E-18,9.954748E-17
6243.4634,2.7795882E-18,2.7230868E-18,1.03290903E-16
6247.684,8.9405395E-18,2.8203784E-18,1.0884138E-16
6251.9053,6.0386054E-18,2.857557E-18,1.1774275E-16
6256.126,9.1925905E-18,2.8726227E-18,1.1702965E-16
6260.347,1.06037656E-17,2.7565287E-18,1.0067046E-16
6264.568,5.175075E-18,2.683403E-18,9.824144E-17
6268.789,1.5608255E-17,2.7061071E-18,8.962467E-17
6273.01,3.6401514E-18,2.6427753E-18,9.621351E-17
6277.231,9.875247E-18,2.7658295E-18,1.0516206E-16
6281.4517,2.6523546E-18,2.734434E-18,1.1062732E-16
6285.673,6.217252E-18,3.4044519E-18,2.0498234E-16
6289.8936,4.8429564E-18,4.274607E-18,3.6774968E-16
6294.1143,5.51804E-18,4.426582E-18,3.998618E-16
6298.3354,8.368835E-18,4.3779274E-18,3.8734605E-16
6302.556,6.851549E-18,3.4880742E-18,2.2161729E-16
6306.7773,6.5916464E-18,2.7090825E-18,1.05984124E-16
6310.998,1.1358062E-17,2.642861E-18,9.222952E-17
6315.219,4.3850288E-18,2.6398712E-18,1.0091906E-16
6319.44,1.1680575E-17,2.7333244E-18,1.04610395E-16
6323.661,5.4514466E-18,2.6906587E-18,1.0755812E-16
6327.882,8.388887E-18,2.6628836E-18,1.0054589E-16
6332.103,9.059769E-18,2.5983989E-18,9.1802185E-17
6336.3237,7.9007304E-18,2.5297015E-18,8.523501E-17
6340.5444,6.6479563E-18,2.5491175E-18,8.9274725E-17
6344.7656,3.329836E-18,2.5902594E-18,9.948723E-17
6348.9863,3.1475877E-18,2.7756025E-18,1.2468529E-16
6353.2075,5.133393E-18,3.1789436E-18,1.8231108E-16
6357.428,2.243151E-18,3.2045252E-18,1.9104585E-16
6361.6494,5.461529E-18,3.126949E-18,1.7504613E-16
6365.87,7.43191E-18,2.810589E-18,1.26249E-16
6370.0913,4.337812E-18,2.4753032E-18,8.596339E-17
6374.312,2.2871263E-18,2.4731962E-18,8.8965703E-17
6378.533,2.4960498E-18,2.458169E-18,8.74564E-17
6382.754,1.3387605E-17,2.5159538E-18,8.112762E-17
6386.975,4.811925E-18,2.438512E-18,8.301979E-17
6391.196,2.5523005E-18,2.3768532E-18,7.820307E-17
6395.4165,2.8666887E-18,2.3638888E-18,7.751061E-17
6399.6377,1.2517863E-17,2.4306766E-18,7.2904834E-17
6403.8584,6.8246214E-18,2.4156865E-18,7.8572967E-17
6408.0796,6.3832606E-18,2.4156739E-18,7.958952E-17
6412.3003,8.081536E-18,2.4069078E-18,7.6617644E-17
6416.5215,5.6795395E-18,2.4055862E-18,7.9823975E-17
6420.742,1.1899133E-17,2.4415266E-18,7.7013215E-17
6424.9634,2.9913428E-18,2.3447367E-18,7.680418E-17
6429.184,2.806946E-18,2.313001E-18,7.32198E-17
6433.4053,-1.4446431E-18,2.3214299E-18,7.78694E-17
6437.626,4.1489853E-18,2.3320234E-18,7.4553524E-17
6441.8467,4.3990354E-18,2.3399157E-18,7.5531046E-17
6446.068,3.0688132E-18,2.3376294E-18,7.721328E-17
6450.2886,1.03672134E-17,2.4177135E-18,7.810584E-17
6454.51,5.288265E-18,2.4397897E-18,8.775688E-17
6458.7305,1.1976359E-17,2.5489085E-18,9.388945E-17
6462.9517,7.450099E-18,2.5415569E-18,9.8868736E-17
6467.1724,6.752675E-18,2.4861722E-18,9.2819465E-17
6471.3936,4.9626395E-18,2.3976415E-18,8.447739E-17
6475.6143,4.2688235E-18,2.3173754E-18,7.5964065E-17
6479.8354,7.164452E-18,2.3056857E-18,7.05157E-17
6484.056,1.0930833E-17,2.3935182E-18,7.684674E-17
6488.2773,-1.9631589E-19,2.4411715E-18,9.693372E-17
6492.498,6.262268E-18,2.530099E-18,1.01892915E-16
6496.7188,5.7254845E-18,2.5338705E-18,1.0299387E-16
6500.94,7.849676E-18,2.4535734E-18,9.017246E-17
6505.1606,7.885422E-18,2.361634E-18,7.8540104E-17
6509.382,8.482781E-18,2.3184131E-18,7.268171E-17
6513.6025,6.237753E-18,2.3157463E-18,7.54827E-17
6517.8237,8.8265275E-18,2.3826495E-18,8.1100665E-17
6522.0444,6.3268737E-18,2.430084E-18,9.078313E-17
6526.2656,7.8852655E-18,2.4544188E-18,9.2464625E-17
6530.4863,8.380009E-18,2.4825597E-18,9.547129E-17
6534.7075,6.173398E-18,2.41065E-18,8.9206373E-17
6538.928,9.589019E-19,2.3397966E-18,8.735948E-17
6543.1494,3.030005E-18,2.4432692E-18,9.817186E-17
6547.37,9.107939E-18,2.487161E-18,9.709538E-17
6551.591,1.0423704E-17,2.5033068E-18,9.755068E-17
6555.812,4.219913E-18,2.437883E-18,9.713459E-17
6560.0327,5.774409E-18,2.3879652E-18,8.912532E-17
6564.254,6.3042495E-18,2.3996187E-18,9.044592E-17
6568.4746,1.0206038E-17,2.453234E-18,9.2761907E-17
6572.696,8.687482E-18,2.4258066E-18,9.125077E-17
6576.9165,6.0450632E-18,2.3770664E-18,8.8889973E-17
6581.1377,1.0623181E-17,2.3244294E-18,7.64729E-17
6585.3584,8.5581306E-18,2.289583E-18,7.458592E-17
6589.5796,9.558868E-18,2.302469E-18,7.549053E-17
6593.8003,8.352009E-18,2.3462023E-18,8.323118E-17
6598.021,6.161485E-18,2.2983912E-18,8.004002E-17
6602.242,8.151415E-18,2.2905407E-18,7.7077894E-17
6606.463,1.17408296E-17,2.3000375E-18,7.3163854E-17
6610.684,1.4066787E-17,2.2769567E-18,6.78838E-17
6614.905,7.969679E-18,2.2511702E-18,7.24926E-17
6619.126,9.640248E-18,2.2577458E-18,7.152785E-17
6623.3467,9.713234E-18,2.2826936E-18,7.4555046E-17
6627.568,6.3821645E-18,2.2407634E-18,7.3846404E-17
6631.7886,8.422112E-18,2.25318E-18,7.3061224E-17
6636.01,1.3834962E-18,2.187438E-18,7.4202204E-17
6640.2305,2.7618959E-18,2.1665029E-18,7.036845E-17
6644.4517,9.506828E-18,2.2255714E-18,6.946058E-17
6648.6724,5.0722608E-18,2.2050247E-18,7.209021E-17
6652.893,4.9507686E-18,2.2120805E-18,7.3195273E-17
6657.1143,7.160021E-18,2.2211375E-18,7.156023E-17
6661.335,4.6762915E-18,2.190431E-18,7.153885E-17
6665.556,3.108205E-18,2.180918E-18,7.2234864E-17
6669.777,8.643818E-19,2.1424722E-18,7.061371E-17
6673.998,6.6830734E-18,2.1779794E-18,6.750629E-17
6678.2188,7.5224285E-18,2.178833E-18,6.665917E-17
6682.44,2.8433914E-18,2.1652085E-18,7.095487E-17
6686.6606,7.600885E-18,2.1950838E-18,6.853124E-17
6690.882,2.1149968E-18,2.1613706E-18,7.154596E-17
6695.1025,6.323324E-18,2.1875056E-18,6.979361E-17
6699.323,4.9520565E-18,2.217855E-18,7.502107E-17
6703.5444,1.0898186E-18,2.1823363E-18,7.554221E-17
6707.765,5.4819745E-18,2.2077918E-18,7.301295E-17
6711.9863,1.5278067E-18,2.178799E-18,7.436168E-17
6716.207,4.7823894E-18,2.1878028E-18,7.142252E-17
6720.428,9.679433E-18,2.2034642E-18,6.7401105E-17
6724.649,1.6462137E-18,2.120601E-18,6.749853E-17
6728.87,4.85689E-18,2.1563635E-18,6.76135E-17
6733.091,5.8022663E-18,2.1825225E-18,6.939635E-17
6737.312,1.0054592E-18,2.137562E-18,7.0201575E-17
6741.5327,2.0576697E-18,2.1374355E-18,6.8715634E-17
6745.754,2.8904249E-18,2.1487015E-18,6.903837E-17
6749.9746,3.7109907E-18,2.1602893E-18,6.922756E-17
6754.1953,3.9636994E-18,2.1641313E-18,6.945939E-17
6758.4165,1.11327095E-17,2.1837301E-18,6.3051286E-17
6762.637,6.250293E-18,2.1661825E-18,6.668188E-17
6766.8584,3.1449688E-18,2.1323564E-18,6.6333274E-17
6771.079,7.3542155E-18,2.1469148E-18,6.3240333E-17
6775.3003,4.5600147E-18,2.1358023E-18,6.502706E-17
6779.521,4.3340434E-18,2.1394028E-18,6.583306E-17
6783.742,8.4364445E-19,2.1312437E-18,6.893943E-17
6787.963,4.1556797E-18,2.1164737E-18,6.329752E-17
6792.184,8.441013E-18,2.1580588E-18,6.311476E-17
6796.405,5.201963E-18,2.1268274E-18,6.314392E-17
6800.6255,6.2085406E-19,2.1249937E-18,6.8404204E-17
6804.8467,5.379952E-18,2.118377E-18,6.238123E-17
6809.0674,3.9507097E-18,2.1251643E-18,6.455858E-17
6813.2886,3.1161486E-18,2.134009E-18,6.691986E-17
6817.5093,2.0410464E-18,2.3188447E-18,9.0201214E-17
6821.7305,8.897291E-18,2.5466027E-18,1.1262052E-16
6825.951,-3.796549E-19,2.5956096E-18,1.2970651E-16
6830.1724,6.11476E-18,2.647906E-18,1.3044465E-16
6834.393,4.0001437E-18,2.4439264E-18,1.04585454E-16
6838.6143,1.799887E-18,2.2263562E-18,7.9333715E-17
6842.835,1.0846478E-18,2.1688483E-18,7.3081903E-17
6847.056,4.024227E-18,2.1638627E-18,6.938214E-17
6851.277,-7.0234665E-19,2.3153675E-18,9.223293E-17
6855.4976,1.6930514E-18,2.5521235E-18,1.2244625E-16
6859.7188,6.743141E-18,2.556375E-18,1.1784221E-16
6863.9395,3.54713E-18,2.4666075E-18,1.09119516E-16
6868.1606,2.6749625E-18,2.2314475E-18,7.985439E-17
6872.3813,7.6949684E-18,2.1037449E-18,5.9813285E-17
6876.6025,-7.0226554E-19,2.1328097E-18,7.05004E-17
6880.823,6.9087774E-19,2.1765343E-18,7.523038E-17
6885.0444,3.1942589E-18,2.1663937E-18,7.1554935E-17
6889.265,2.1354466E-18,2.1650836E-18,7.2732694E-17
6893.4863,-4.3999215E-19,2.154039E-18,7.3498134E-17
6897.707,7.5040285E-19,2.1385756E-18,7.121604E-17
6901.928,-2.1119187E-18,2.2034944E-18,7.9730576E-17
6906.149,-3.9395686E-19,2.1924534E-18,7.852961E-17
6910.3696,2.6370727E-18,2.3017878E-18,8.950338E-17
6914.591,2.4177445E-18,2.3633847E-18,9.795111E-17
6918.8115,1.0062713E-17,2.3625153E-18,8.972512E-17
6923.0327,1.7535145E-18,2.270999E-18,8.705286E-17
6927.2534,1.5782036E-18,2.2005922E-18,7.8694595E-17
