WAVE,FLUX,ERR,BGFLUX
3642.189,6.082251E-16,3.0478035E-17,3.0454744E-16
3647.71,5.8936113E-16,2.9677245E-17,2.8457567E-16
3653.231,6.03185E-16,2.9297E-17,2.8327588E-16
3658.752,7.081633E-16,2.9420846E-17,2.2259039E-16
3664.273,5.898917E-16,2.814974E-17,2.644831E-16
3669.794,6.950058E-16,2.8137128E-17,1.7571852E-16
3675.315,6.7504127E-16,2.7535617E-17,1.7617225E-16
3680.836,6.0899133E-16,2.6686883E-17,2.0552298E-16
3686.357,6.3848825E-16,2.6660445E-17,2.1852915E-16
3691.8777,6.435419E-16,2.6511527E-17,2.5584252E-16
3697.3987,5.895879E-16,2.5736858E-17,2.662297E-16
3702.9197,6.1036495E-16,2.5354183E-17,2.307316E-16
3708.4407,6.1333105E-16,2.5379683E-17,2.882749E-16
3713.9617,6.50723E-16,2.5156382E-17,2.5890592E-16
3719.4827,6.823085E-16,2.476324E-17,1.9298746E-16
3725.0037,6.3270725E-16,2.4528054E-17,2.8137275E-16
3730.5247,6.594944E-16,2.4275035E-17,2.5141375E-16
3736.0457,6.405386E-16,2.4020379E-17,2.9290992E-16
3741.5667,5.864408E-16,2.3299861E-17,2.943631E-16
3747.0876,5.863655E-16,2.2776546E-17,2.4793136E-16
3752.6086,6.046113E-16,2.2486589E-17,2.1901348E-16
3758.1296,5.6237297E-16,2.1850078E-17,2.134537E-16
3763.6504,5.8459366E-16,2.1813375E-17,2.1617729E-16
3769.1714,5.589881E-16,2.1232724E-17,1.9805142E-16
3774.6924,5.408901E-16,2.1025735E-17,2.3108141E-16
3780.2134,5.3390085E-16,2.0731724E-17,2.2693453E-16
3785.7344,5.352644E-16,2.0396542E-17,2.0157143E-16
3791.2554,5.1699646E-16,2.0015958E-17,2.0543469E-16
3796.7764,5.1195677E-16,1.9813408E-17,2.106785E-16
3802.2974,4.387559E-16,1.9042674E-17,2.25503E-16
3807.8184,4.2270097E-16,1.874242E-17,2.3090113E-16
3813.3394,3.9860158E-16,1.8165363E-17,2.0397817E-16
3818.8604,3.6927738E-16,1.7897682E-17,2.3668872E-16
3824.3813,3.2211877E-16,1.732793E-17,2.3836569E-16
3829.9023,3.0314264E-16,1.7081384E-17,2.6001643E-16
3835.423,2.8679178E-16,1.663882E-17,2.3569602E-16
3840.944,2.911638E-16,1.6372498E-17,2.0580195E-16
3846.465,2.515319E-16,1.5761516E-17,1.9911166E-16
3851.986,1.934915E-16,1.5236243E-17,2.318942E-16
3857.507,1.6783569E-16,1.456338E-17,1.874776E-16
3863.028,2.1581562E-16,1.4809612E-17,1.6886326E-16
3868.549,1.8677717E-16,1.4185046E-17,1.3895994E-16
3874.07,1.4911606E-16,1.387837E-17,1.7671266E-16
3879.591,1.5229969E-16,1.37232845E-17,1.6206987E-16
3885.112,1.4296419E-16,1.3499457E-17,1.6283764E-16
3890.633,1.1385494E-16,1.3215589E-17,1.877488E-16
3896.154,1.539986E-16,1.35720776E-17,1.9370789E-16
3901.675,1.3359646E-16,1.3200429E-17,1.8501214E-16
3907.1958,1.1310836E-16,1.3106246E-17,2.3125559E-16
3912.7168,1.09787E-16,1.3043878E-17,2.3731603E-16
3918.2378,1.293599E-16,1.29599896E-17,2.0669068E-16
3923.7588,1.3808605E-16,1.2717351E-17,1.6808816E-16
3929.2798,1.5586432E-16,1.2767359E-17,1.5959632E-16
3934.8008,1.4893517E-16,1.267108E-17,1.7218216E-16
3940.3218,1.3837542E-16,1.258433E-17,1.9083996E-16
3945.8428,1.4624375E-16,1.2630942E-17,1.9884259E-16
3951.3638,1.6925293E-16,1.26520385E-17,1.8156409E-16
3956.8848,1.829153E-16,1.2724615E-17,1.8293401E-16
3962.4058,1.9036928E-16,1.2683435E-17,1.7557448E-16
3967.9268,2.4013935E-16,1.2916231E-17,1.4693792E-16
3973.4478,1.7755378E-16,1.251119E-17,2.020118E-16
3978.9685,2.6106604E-16,1.3158524E-17,1.8705884E-16
3984.4895,2.4308014E-16,1.2997492E-17,2.0285779E-16
3990.0105,2.7690338E-16,1.3275842E-17,2.0796682E-16
3995.5315,3.0004046E-16,1.3408898E-17,2.0719404E-16
4001.0525,3.1887074E-16,1.3528895E-17,2.1101196E-16
4006.5735,3.2986616E-16,1.3504398E-17,1.9997592E-16
4012.0945,3.2285195E-16,1.3477884E-17,2.2212806E-16
4017.6155,3.4690698E-16,1.3646732E-17,2.2802913E-16
4023.1365,3.2849767E-16,1.3397434E-17,2.234619E-16
4028.6575,3.1206038E-16,1.33302604E-17,2.525446E-16
4034.1785,3.7277684E-16,1.3558094E-17,2.1142662E-16
4039.6995,3.509761E-16,1.3452973E-17,2.3584947E-16
4045.2205,3.8216123E-16,1.3494474E-17,2.0807877E-16
4050.7412,3.8295535E-16,1.3657511E-17,2.524083E-16
4056.2622,4.004321E-16,1.3680529E-17,2.3923906E-16
4061.7832,4.0950443E-16,1.3742586E-17,2.5114612E-16
4067.3042,4.3493125E-16,1.3946484E-17,2.6487837E-16
4072.8252,4.709932E-16,1.4079888E-17,2.4683972E-16
4078.3462,4.6445193E-16,1.392604E-17,2.3460338E-16
4083.8672,5.0734235E-16,1.4134632E-17,2.2096147E-16
4089.3882,5.327888E-16,1.4203166E-17,2.0886794E-16
4094.9092,5.795974E-16,1.4475363E-17,2.0740367E-16
4100.43,5.5078E-16,1.4363351E-17,2.4157626E-16
4105.951,6.195462E-16,1.4631629E-17,2.0045062E-16
4111.472,5.974434E-16,1.4563932E-17,2.322355E-16
4116.993,6.723051E-16,1.4981353E-17,2.2178527E-16
4122.514,6.5194517E-16,1.4835345E-17,2.3211143E-16
4128.035,7.1276695E-16,1.5066337E-17,2.0171768E-16
4133.556,7.2198997E-16,1.5170719E-17,2.2333035E-16
4139.077,7.1330333E-16,1.5045176E-17,2.1820365E-16
4144.598,7.2374614E-16,1.5067004E-17,2.1902585E-16
4150.119,7.4334087E-16,1.5122662E-17,2.1261007E-16
4155.6396,7.6024675E-16,1.523774E-17,2.259291E-16
4161.1606,7.84098E-16,1.5514403E-17,2.6806806E-16
