WAVE,FLUX,ERR,BGFLUX
3636.3564,5.885067E-17,1.2362072E-17,8.386849E-17
3641.8767,7.2683063E-17,1.2205075E-17,6.284108E-17
3647.3967,7.031564E-17,1.1922687E-17,5.630819E-17
3652.917,4.9457698E-17,1.16061215E-17,8.2823166E-17
3658.4373,5.287146E-17,1.1397081E-17,7.177595E-17
3663.9575,4.583136E-17,1.095422E-17,5.4812958E-17
3669.4778,5.848191E-17,1.0943489E-17,4.6497933E-17
3674.9978,3.378292E-17,1.0500101E-17,6.071655E-17
3680.518,4.6327044E-17,1.048294E-17,5.517133E-17
3686.0383,4.2330657E-17,1.0455467E-17,7.960585E-17
3691.5586,5.288429E-17,1.037079E-17,7.0927396E-17
3697.0789,5.603494E-17,1.021968E-17,6.575092E-17
3702.5989,5.238654E-17,1.0092497E-17,7.74443E-17
3708.1191,8.67322E-17,1.0104736E-17,3.4157566E-17
3713.6394,5.3215715E-17,9.801745E-18,7.717499E-17
3719.1597,6.4071994E-17,9.695752E-18,6.3185826E-17
3724.68,6.18559E-17,9.618517E-18,7.279325E-17
3730.2002,6.608914E-17,9.6526055E-18,8.619863E-17
3735.7202,5.634071E-17,9.440788E-18,9.242463E-17
3741.2405,8.829375E-17,9.624235E-18,7.520488E-17
3746.7607,7.656901E-17,9.304043E-18,7.0685455E-17
3752.281,7.296159E-17,9.188363E-18,7.657654E-17
3757.8013,6.321996E-17,8.877322E-18,7.199029E-17
3763.3213,8.063425E-17,8.892419E-18,5.439166E-17
3768.8416,7.3719534E-17,8.828756E-18,7.289888E-17
3774.3618,6.5679636E-17,8.693208E-18,8.411528E-17
3779.882,8.1670434E-17,8.675209E-18,6.766072E-17
3785.4023,8.1914214E-17,8.606676E-18,6.7586175E-17
3790.9224,7.2101456E-17,8.33995E-18,6.341387E-17
3796.4426,7.529907E-17,8.2946115E-18,6.461825E-17
3801.963,7.599717E-17,8.172647E-18,5.7963034E-17
3807.4832,9.5231E-17,8.293688E-18,4.778738E-17
3813.0034,7.3057644E-17,7.921119E-18,5.295602E-17
3818.5237,7.041403E-17,7.936391E-18,7.219642E-17
3824.0437,7.575517E-17,7.866138E-18,5.955784E-17
3829.564,7.943731E-17,7.8812685E-18,6.29046E-17
3835.0842,6.974343E-17,7.668672E-18,6.315013E-17
3840.6045,6.340987E-17,7.462798E-18,5.612625E-17
3846.1248,7.899189E-17,7.663018E-18,6.189526E-17
3851.6448,8.2434404E-17,7.555792E-18,4.9426252E-17
