WAVE,FLUX,ERR,BGFLUX
3633.2627,1.909061E-15,5.3767696E-17,9.698562E-17
3638.7827,1.8074802E-15,5.248441E-17,1.5697387E-16
3644.303,1.9647986E-15,5.226371E-17,1.915675E-17
3649.823,1.887277E-15,5.1359753E-17,9.2270634E-17
3655.3433,1.838692E-15,5.0109516E-17,7.113954E-17
3660.8633,1.8337704E-15,5.025643E-17,2.0756188E-16
3666.3835,1.9211431E-15,4.998381E-17,1.4806193E-16
3671.9036,1.966616E-15,4.93457E-17,7.766858E-17
3677.4238,1.9459428E-15,4.8608273E-17,7.743957E-17
3682.9438,1.8934915E-15,4.8142686E-17,1.7071498E-16
3688.464,1.9188591E-15,4.7958407E-17,2.1503498E-16
3693.9841,1.8853003E-15,4.7078263E-17,1.9494629E-16
3699.5044,1.9524865E-15,4.663731E-17,1.1555014E-16
3705.0244,1.8662325E-15,4.5714742E-17,1.6073378E-16
3710.5444,1.8163425E-15,4.4938986E-17,1.82222E-16
3716.0647,1.797785E-15,4.42881E-17,1.6842528E-16
3721.5847,1.7807332E-15,4.3620705E-17,1.541395E-16
3727.105,1.831383E-15,4.3365367E-17,1.1642531E-16
3732.625,1.7262993E-15,4.2412214E-17,1.6206554E-16
3738.1453,1.7644809E-15,4.2384566E-17,1.7954465E-16
3743.6653,1.6879955E-15,4.1156722E-17,1.4704206E-16
3749.1855,1.6199185E-15,4.0453298E-17,1.6840496E-16
3754.7056,1.5820308E-15,3.9595998E-17,1.3974872E-16
3760.2258,1.5115935E-15,3.8742787E-17,1.5701765E-16
3765.7458,1.4721916E-15,3.832346E-17,1.890592E-16
3771.266,1.4149137E-15,3.7334618E-17,1.5261979E-16
3776.7861,1.3167572E-15,3.6361745E-17,1.7598365E-16
3782.3064,1.3019059E-15,3.544785E-17,9.385875E-17
3787.8264,1.2653681E-15,3.524764E-17,1.6145912E-16
3793.3464,1.1575864E-15,3.423947E-17,1.946898E-16
3798.8667,1.1823499E-15,3.3752532E-17,1.2605043E-16
3804.3867,1.1061043E-15,3.3057482E-17,1.6133561E-16
3809.907,1.0788524E-15,3.2298326E-17,1.136714E-16
3815.427,1.0353134E-15,3.1659656E-17,1.0949809E-16
3820.9473,1.0630063E-15,3.1543176E-17,8.803515E-17
3826.4673,1.1456283E-15,3.193349E-17,7.8782594E-17
3831.9875,1.1818478E-15,3.2277345E-17,1.3449963E-16
3837.5076,1.2174923E-15,3.2300443E-17,1.2325338E-16
