WAVE,FLUX,ERR,BGFLUX
9366.949,5.033859E-16,1.07829925E-17,1.0493181E-16
9373.888,7.0287953E-16,8.285599E-18,7.782834E-17
9380.826,6.321851E-16,8.688962E-18,5.930972E-17
9387.765,5.328837E-16,8.216533E-18,5.3673404E-17
9394.702,5.171982E-16,7.289477E-18,5.774235E-17
9401.641,5.8637285E-16,8.976575E-18,5.764728E-17
9408.579,5.6364743E-16,8.729003E-18,6.2516775E-17
9415.518,5.483622E-16,9.165738E-18,6.79771E-17
9422.456,5.7264E-16,9.464583E-18,7.226647E-17
9429.395,4.410488E-16,8.937173E-18,7.5059606E-17
9436.333,5.0291057E-16,9.071702E-18,7.577192E-17
9443.271,5.1564936E-16,8.39094E-18,6.9481815E-17
9450.209,4.662885E-16,8.825049E-18,7.226856E-17
9457.147,5.213931E-16,8.8207505E-18,7.056176E-17
9464.086,4.7833343E-16,7.681641E-18,6.677226E-17
9471.024,4.7524546E-16,8.252997E-18,6.5212656E-17
9477.963,4.4694826E-16,7.529835E-18,6.736179E-17
9484.901,4.995108E-16,9.825615E-18,6.2993715E-17
9491.84,4.2554766E-16,7.919221E-18,6.6165185E-17
9498.777,4.4676615E-16,7.9006055E-18,5.555998E-17
9505.716,4.311879E-16,7.2552566E-18,5.7957614E-17
9512.654,4.3869255E-16,7.667678E-18,6.317456E-17
9519.593,4.5576106E-16,7.316955E-18,6.062985E-17
9526.531,4.2498036E-16,7.11433E-18,5.601832E-17
9533.47,4.728612E-16,7.0403005E-18,5.0116382E-17
9540.408,4.0884896E-16,7.269583E-18,5.698458E-17
9547.346,4.103852E-16,7.713256E-18,5.8053593E-17
9554.284,4.1336372E-16,6.811516E-18,5.512549E-17
9561.223,4.2297562E-16,6.7593E-18,5.2232224E-17
9568.161,3.8917297E-16,6.5312713E-18,5.026321E-17
9575.1,4.0606053E-16,6.631605E-18,5.405519E-17
9582.038,3.9389361E-16,6.5397817E-18,5.1723385E-17
9588.977,3.691964E-16,6.0040516E-18,5.0819892E-17
