WAVE,FLUX,ERR,BGFLUX
5990.79,1.3067425E-16,3.330749E-18,4.0615316E-17
5995.0034,1.3295859E-16,3.4021078E-18,4.2552063E-17
5999.2173,1.2751214E-16,3.3729201E-18,4.3080364E-17
6003.431,1.297079E-16,3.3730103E-18,4.1504025E-17
6007.6445,1.3230415E-16,3.3895649E-18,4.145488E-17
6011.8584,1.363265E-16,3.3995154E-18,3.8299515E-17
6016.0723,1.3647404E-16,3.4001073E-18,3.8318973E-17
6020.2856,1.33036E-16,3.3899491E-18,4.1219455E-17
6024.4995,1.2621868E-16,3.3478282E-18,4.3168938E-17
6028.7134,1.3292717E-16,3.3590889E-18,3.7420347E-17
6032.927,1.3817146E-16,3.3922662E-18,3.644493E-17
6037.1406,1.3150709E-16,3.3558765E-18,3.94009E-17
6041.354,1.2975489E-16,3.3287617E-18,3.7900926E-17
6045.568,1.3613713E-16,3.3720659E-18,3.7061695E-17
6049.7817,1.4013178E-16,3.40849E-18,3.8349986E-17
6053.995,1.3235557E-16,3.3187686E-18,3.532401E-17
6058.209,1.2738559E-16,3.2977317E-18,3.9405488E-17
6062.423,1.2972936E-16,3.3046531E-18,3.85298E-17
6066.636,1.3328717E-16,3.3307077E-18,3.8509685E-17
6070.85,1.2823602E-16,3.2864043E-18,3.83731E-17
6075.064,1.2328211E-16,3.2403442E-18,3.7721934E-17
6079.2773,1.2189683E-16,3.2178916E-18,3.661739E-17
6083.491,1.1719205E-16,3.187901E-18,3.9016343E-17
6087.705,1.1666127E-16,3.1792526E-18,3.8287345E-17
6091.9185,1.2414615E-16,3.2395503E-18,3.8709617E-17
6096.1323,1.2315647E-16,3.2190912E-18,3.7728793E-17
6100.3457,1.1841286E-16,3.1681514E-18,3.610555E-17
6104.5596,1.1687435E-16,3.1767845E-18,3.9773928E-17
6108.7734,1.1991389E-16,3.1790534E-18,3.7281675E-17
6112.987,1.249026E-16,3.2020478E-18,3.5080822E-17
6117.2007,1.2312373E-16,3.1876828E-18,3.6106113E-17
6121.4146,1.2491E-16,3.1950017E-18,3.5117854E-17
6125.628,1.2905915E-16,3.258342E-18,4.0110802E-17
6129.842,1.2282883E-16,3.2103589E-18,4.0818395E-17
6134.0557,1.3418863E-16,3.2995577E-18,4.1675854E-17
6138.269,1.3004891E-16,3.2592568E-18,4.0867325E-17
6142.483,1.3164707E-16,3.2569852E-18,3.9194292E-17
6146.697,1.3698765E-16,3.281721E-18,3.7396505E-17
6150.91,1.4084927E-16,3.3100383E-18,3.7744887E-17
6155.124,1.3567747E-16,3.292608E-18,4.021404E-17
6159.3374,1.3803282E-16,3.3222605E-18,4.2429958E-17
6163.5513,1.4998227E-16,3.3792073E-18,3.8024067E-17
6167.765,1.4069049E-16,3.3260897E-18,4.1334612E-17
6171.9785,1.4228849E-16,3.318202E-18,3.903909E-17
6176.1924,1.5038419E-16,3.3628196E-18,3.685781E-17
6180.4062,1.4357608E-16,3.2974066E-18,3.548419E-17
6184.6196,1.4912014E-16,3.3524367E-18,3.809366E-17
6188.8335,1.42717E-16,3.2978047E-18,3.7745787E-17
6193.0474,1.434241E-16,3.2991718E-18,3.7909234E-17
6197.2607,1.3824008E-16,3.2720463E-18,4.009039E-17
6201.4746,1.5096738E-16,3.3594441E-18,3.960464E-17
6205.6885,1.444517E-16,3.300209E-18,3.8509956E-17
6209.902,1.4483035E-16,3.3005267E-18,3.8831603E-17
6214.1157,1.4322607E-16,3.2797368E-18,3.8022075E-17
6218.3296,1.4733545E-16,3.3328292E-18,4.2167815E-17
6222.543,1.4282929E-16,3.3380549E-18,4.9223794E-17
6226.757,1.3472412E-16,3.302215E-18,5.358306E-17
6230.97,1.3774344E-16,3.3553304E-18,5.911483E-17
6235.184,1.3644466E-16,3.3115555E-18,5.4259392E-17
6239.398,1.2750421E-16,3.1649301E-18,4.238659E-17
6243.6113,1.3119724E-16,3.2011294E-18,4.4144833E-17
6247.825,1.3235086E-16,3.2540849E-18,5.1765962E-17
6252.039,1.2561341E-16,3.2170115E-18,5.4755512E-17
6256.2524,1.2121964E-16,3.1988174E-18,5.7585846E-17
6260.4663,1.2485762E-16,3.1432166E-18,4.5637933E-17
6264.68,1.1950014E-16,3.0919958E-18,4.4362477E-17
6268.8936,1.09331095E-16,2.9883085E-18,4.178532E-17
6273.1074,1.2007137E-16,3.0627107E-18,4.1642962E-17
6277.3213,1.1582102E-16,3.082109E-18,5.0145806E-17
6281.5347,1.2029549E-16,3.1132156E-18,5.012775E-17
6285.7485,1.2061225E-16,3.1679907E-18,5.887373E-17
6289.962,1.1767974E-16,3.2229033E-18,7.158707E-17
6294.176,1.161824E-16,3.2317893E-18,7.520318E-17
6298.3896,1.2145296E-16,3.2863096E-18,7.806381E-17
6302.603,1.2301387E-16,3.1779613E-18,5.860798E-17
6306.817,1.2213436E-16,3.0911098E-18,4.6225235E-17
6311.031,1.234542E-16,3.0575848E-18,3.9549464E-17
6315.244,1.2378377E-16,3.0821345E-18,4.3201264E-17
6319.458,1.248765E-16,3.12077E-18,4.8172713E-17
6323.672,1.3144902E-16,3.1702466E-18,4.8511076E-17
6327.8853,1.2388145E-16,3.099424E-18,4.6821834E-17
6332.099,1.2252853E-16,3.0476163E-18,4.045219E-17
6336.313,1.2753731E-16,3.0488413E-18,3.5249183E-17
6340.5264,1.3011587E-16,3.089933E-18,3.8876645E-17
6344.74,1.1896422E-16,3.0546496E-18,4.6961644E-17
6348.9536,1.2676236E-16,3.0902339E-18,4.368014E-17
6353.1675,1.2573041E-16,3.1170622E-18,4.9471843E-17
6357.3813,1.2317741E-16,3.0745704E-18,4.6489595E-17
6361.5947,1.2331808E-16,3.0563567E-18,4.3641642E-17
6365.8086,1.2411392E-16,3.0157107E-18,3.674244E-17
6370.0225,1.1436049E-16,2.9456683E-18,3.8246803E-17
6374.236,1.2019698E-16,2.99782E-18,3.9870546E-17
6378.4497,1.2541012E-16,3.035041E-18,3.9597437E-17
6382.6636,1.1913488E-16,2.9746418E-18,3.7924074E-17
6386.877,1.1733722E-16,2.9458646E-18,3.63924E-17
6391.091,1.1986973E-16,2.9454934E-18,3.343567E-17
6395.3047,1.1824113E-16,2.9302662E-18,3.3305216E-17
6399.518,1.1859639E-16,2.9225362E-18,3.2117193E-17
6403.732,1.1663486E-16,2.914374E-18,3.3497066E-17
6407.946,1.1609071E-16,2.9081027E-18,3.4026548E-17
6412.159,1.1182129E-16,2.8672475E-18,3.3379272E-17
6416.373,1.1048958E-16,2.8617424E-18,3.4005848E-17
6420.5864,1.01055385E-16,2.789962E-18,3.520088E-17
6424.8003,1.03302246E-16,2.7874535E-18,3.2912984E-17
6429.014,9.947323E-17,2.7388159E-18,3.0662073E-17
6433.2275,9.899185E-17,2.7393647E-18,3.1725378E-17
6437.4414,9.912277E-17,2.7493101E-18,3.277827E-17
6441.6553,9.472808E-17,2.7152133E-18,3.3844737E-17
6445.8687,9.5811735E-17,2.7250076E-18,3.399812E-17
6450.0825,9.0926366E-17,2.7051951E-18,3.738057E-17
6454.2964,8.783532E-17,2.695645E-18,4.0271308E-17
6458.51,9.0769004E-17,2.7514132E-18,4.5080695E-17
6462.7236,9.332672E-17,2.7863513E-18,4.7953728E-17
6466.9375,8.8594035E-17,2.727765E-18,4.5143316E-17
6471.151,8.6039244E-17,2.6800044E-18,4.2016424E-17
6475.3647,9.003837E-17,2.661069E-18,3.48302E-17
6479.578,9.5702E-17,2.6894404E-18,3.222235E-17
6483.792,9.412466E-17,2.6942613E-18,3.5251612E-17
6488.006,9.625343E-17,2.7791426E-18,4.53278E-17
6492.219,9.055044E-17,2.7862173E-18,5.357823E-17
6496.433,9.300232E-17,2.8238203E-18,5.640672E-17
6500.647,1.000723E-16,2.8242688E-18,4.8125613E-17
6504.8604,9.621096E-17,2.738302E-18,4.047333E-17
6509.074,1.0073947E-16,2.7380586E-18,3.501286E-17
6513.288,1.0362064E-16,2.752856E-18,3.4275254E-17
6517.5015,1.0452035E-16,2.7811185E-18,3.7759088E-17
6521.7153,1.04077387E-16,2.8231858E-18,4.501301E-17
6525.929,1.10017754E-16,2.8608906E-18,4.439633E-17
6530.1426,1.0937227E-16,2.8720122E-18,4.677626E-17
6534.3564,1.10618546E-16,2.8814874E-18,4.6942308E-17
6538.57,1.1262871E-16,2.858481E-18,4.131151E-17
6542.7837,1.1648765E-16,2.923474E-18,4.733418E-17
6546.9976,1.1386931E-16,2.9234E-18,5.0939433E-17
6551.211,1.1701445E-16,2.9788569E-18,5.6190875E-17
6555.425,1.185704E-16,2.9923734E-18,5.6853275E-17
6559.6387,1.1895097E-16,2.9517948E-18,5.0035854E-17
6563.852,1.1872122E-16,2.9542208E-18,5.1154186E-17
6568.066,1.1881666E-16,2.9384406E-18,4.8924736E-17
6572.28,1.1867339E-16,2.9211602E-18,4.6535467E-17
6576.493,1.1409747E-16,2.8865284E-18,4.69046E-17
6580.707,1.2576467E-16,2.912468E-18,3.7298967E-17
6584.921,1.2165002E-16,2.8661122E-18,3.5125136E-17
