# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = ASASSN-18dj
# CHANNEL = B+R
# EXPNUM = 18_066_033_003
# MJD-OBS = 58184.354792
# DATE-OBS = 2018-03-07T08:31:40
# EXPTIME = 600.0s
# AIRMASS = 1.96
# FLUXCAL_RMS_B = 0.155 mag
# FLUXCAL_RMS_R = 0.097 mag
# RA = 06:00:58.92
# DEC = -17:59:31.98
# wl fl err
# [A] [erg/s/cm2/A]
5202.860000 4.442302e-16 1.455118e-16
5205.860000 4.056245e-16 1.460141e-16
5208.860000 6.107708e-16 1.483668e-16
5211.860000 4.641183e-16 1.493482e-16
5214.860000 5.248864e-16 1.531081e-16
5217.860000 4.567941e-16 1.547960e-16
5220.860000 3.301867e-16 1.575709e-16
5223.860000 3.467239e-16 1.585301e-16
5226.860000 3.043947e-16 1.589616e-16
5229.860000 4.511733e-16 1.623507e-16
5232.860000 4.770035e-16 1.648561e-16
5235.860000 4.639775e-16 1.701295e-16
5238.860000 6.341238e-16 1.687220e-16
5241.860000 1.364031e-16 1.563424e-16
5244.860000 4.057455e-17 1.490541e-16
5247.860000 2.540557e-16 1.456741e-16
5250.860000 3.459340e-16 1.398479e-16
5253.860000 3.318491e-16 1.343893e-16
5256.860000 3.139713e-16 1.284325e-16
5259.860000 5.621762e-16 1.239337e-16
5262.860000 4.335562e-16 1.179981e-16
5265.860000 4.485661e-16 1.132421e-16
5268.860000 5.414357e-16 1.084107e-16
5271.860000 5.680271e-16 1.028611e-16
5274.860000 5.242971e-16 9.768044e-17
5277.860000 2.888917e-16 9.298799e-17
5280.860000 2.717248e-16 8.922018e-17
5283.860000 2.631875e-16 8.583797e-17
5286.860000 3.273365e-16 8.300929e-17
5289.860000 4.013602e-16 8.050866e-17
5292.860000 4.121785e-16 7.739018e-17
5295.860000 3.145570e-16 7.458164e-17
5298.860000 1.838718e-16 7.147723e-17
5301.860000 1.689648e-16 6.957300e-17
5304.860000 2.864702e-16 6.931873e-17
5307.860000 2.884507e-16 6.895334e-17
5310.860000 2.595662e-16 6.808641e-17
5313.860000 2.811604e-16 6.722486e-17
5316.860000 2.912777e-16 6.682827e-17
5319.860000 3.306461e-16 6.729154e-17
5322.860000 4.759833e-16 6.855278e-17
5325.860000 4.678038e-16 6.808960e-17
5328.860000 3.437433e-16 6.723027e-17
5331.860000 1.807167e-16 6.673731e-17
5334.860000 2.700687e-16 6.845382e-17
5337.860000 3.357318e-16 6.887986e-17
5340.860000 2.421035e-16 6.827743e-17
5343.860000 2.280534e-16 6.881668e-17
5346.860000 3.016177e-16 7.000532e-17
5349.860000 3.359857e-16 7.146743e-17
5352.860000 2.526052e-16 7.211057e-17
5355.860000 3.139188e-16 7.451757e-17
5358.860000 3.700347e-16 7.594172e-17
5361.860000 5.042152e-16 7.908958e-17
5364.860000 3.818803e-16 7.669656e-17
5367.860000 4.018925e-16 7.441764e-17
5370.860000 3.444675e-16 7.115392e-17
5373.860000 3.685301e-16 6.888871e-17
5376.860000 4.154431e-16 6.716873e-17
5379.860000 3.841642e-16 6.572946e-17
5382.860000 3.101310e-16 6.335222e-17
5385.860000 3.113157e-16 6.102141e-17
5388.860000 3.348461e-16 5.954035e-17
5391.860000 3.349823e-16 5.793528e-17
5394.860000 3.147752e-16 5.629952e-17
5397.860000 3.569252e-16 5.553866e-17
5400.860000 3.618264e-16 5.441511e-17
5403.860000 3.183234e-16 5.294756e-17
5406.860000 3.409153e-16 5.155722e-17
5409.860000 3.750356e-16 5.113848e-17
5412.860000 3.921098e-16 5.017900e-17
5415.860000 3.711621e-16 4.915759e-17
5418.860000 3.092450e-16 4.789780e-17
5421.860000 2.910949e-16 4.733456e-17
5424.860000 3.000904e-16 4.727200e-17
5427.860000 3.518492e-16 4.721333e-17
5430.860000 3.547359e-16 4.682104e-17
5433.860000 3.292904e-16 4.664782e-17
5436.860000 3.577702e-16 4.704969e-17
5439.860000 3.696960e-16 4.750881e-17
5442.860000 3.188783e-16 4.742107e-17
5445.860000 2.562458e-16 4.698810e-17
5448.860000 2.460023e-16 4.739218e-17
5451.860000 2.734044e-16 4.825567e-17
5454.860000 3.385605e-16 4.900050e-17
5457.860000 3.948528e-16 4.987978e-17
5460.860000 3.441704e-16 5.031190e-17
5463.860000 2.887252e-16 5.078336e-17
5466.860000 3.608671e-16 5.230600e-17
5469.860000 3.574329e-16 5.334725e-17
5472.860000 3.480629e-16 5.438529e-17
5475.860000 3.159416e-16 5.528244e-17
5478.860000 3.189583e-16 5.606874e-17
5481.860000 2.941791e-16 5.719086e-17
5484.860000 2.813518e-16 5.777574e-17
5487.860000 3.125317e-16 5.914122e-17
5490.860000 3.547990e-16 5.901401e-17
5493.860000 3.300267e-16 5.790151e-17
5496.860000 3.269951e-16 5.606793e-17
5499.860000 3.327279e-16 5.462574e-17
5502.860000 3.937981e-16 5.376600e-17
5505.860000 3.983677e-16 5.265883e-17
5508.860000 3.286888e-16 5.029741e-17
5511.860000 3.164063e-16 4.901356e-17
5514.860000 2.806564e-16 4.768044e-17
5517.860000 3.192115e-16 4.716102e-17
5520.860000 4.242892e-16 4.695155e-17
5523.860000 4.231777e-16 4.599210e-17
