WAVE,FLUX,ERR,BGFLUX
3641.5295,7.2867756E-16,2.1239419E-17,9.806878E-17
3647.0493,7.232117E-16,2.1029229E-17,1.211406E-16
3652.569,7.7436017E-16,2.0865882E-17,6.550099E-17
3658.0889,7.901188E-16,2.0817691E-17,8.6780504E-17
3663.6086,8.275274E-16,2.0805422E-17,7.5262127E-17
3669.1284,8.951982E-16,2.1013337E-17,6.205099E-17
3674.6482,9.719483E-16,2.1355176E-17,6.784253E-17
3680.168,9.958134E-16,2.132397E-17,7.1313543E-17
3685.6877,1.0625618E-15,2.1705846E-17,9.927101E-17
3691.2075,1.1105465E-15,2.1823251E-17,1.0561562E-16
3696.7273,1.130795E-15,2.171505E-17,1.0370645E-16
3702.247,1.1851145E-15,2.1716616E-17,7.715332E-17
3707.7668,1.1705346E-15,2.1479727E-17,9.567746E-17
3713.2866,1.1358563E-15,2.1084475E-17,1.1204197E-16
3718.8064,1.1503262E-15,2.0890655E-17,9.641644E-17
3724.3262,1.0470691E-15,2.0011767E-17,1.0444419E-16
3729.846,1.0192299E-15,1.959868E-17,1.012233E-16
3735.3657,9.862254E-16,1.9220825E-17,1.1260482E-16
3740.8855,9.323112E-16,1.858508E-17,9.939322E-17
3746.4053,9.421631E-16,1.8402348E-17,8.502381E-17
3751.925,9.705819E-16,1.8349075E-17,6.881658E-17
3757.4448,9.410582E-16,1.804844E-17,8.706865E-17
3762.9646,9.810027E-16,1.8179208E-17,9.105133E-17
3768.4846,9.765263E-16,1.7916821E-17,7.854232E-17
3774.0044,9.983876E-16,1.7974777E-17,9.409981E-17
3779.5242,9.400388E-16,1.7411085E-17,9.1881945E-17
3785.044,9.006022E-16,1.6942019E-17,7.983387E-17
3790.5637,8.5969847E-16,1.6425378E-17,6.3609686E-17
3796.0835,7.94615E-16,1.5918217E-17,8.401526E-17
3801.6033,7.9292014E-16,1.5705867E-17,7.101706E-17
3807.123,7.677404E-16,1.548784E-17,9.280982E-17
3812.6428,7.4439336E-16,1.5038455E-17,5.8599844E-17
3818.1626,7.191877E-16,1.4852796E-17,8.565627E-17
3823.6824,6.415319E-16,1.4310028E-17,1.1394172E-16
3829.2021,6.518871E-16,1.4189137E-17,9.5788865E-17
3834.722,6.32296E-16,1.3928605E-17,9.650196E-17
