WAVE,FLUX,ERR,BGFLUX
3632.8413,7.7385745E-16,6.4593766E-17,-3.1598183E-16
3638.3618,8.039543E-16,6.5026355E-17,-2.5281263E-16
3643.8826,7.063821E-16,6.308884E-17,-2.1556458E-16
3649.403,7.7621813E-16,6.176825E-17,-3.3788287E-16
3654.9236,6.8584533E-16,6.061129E-17,-2.221625E-16
3660.4443,7.768448E-16,5.997841E-17,-2.937495E-16
3665.9648,7.735017E-16,5.914232E-17,-2.6550843E-16
3671.4854,7.381685E-16,5.8174984E-17,-1.9745807E-16
3677.0059,7.38472E-16,5.715415E-17,-2.2635613E-16
3682.5266,7.1073275E-16,5.579418E-17,-2.3974767E-16
3688.047,7.4777514E-16,5.567601E-17,-1.9914081E-16
3693.5676,6.9811376E-16,5.4012363E-17,-2.1487004E-16
3699.0884,7.551117E-16,5.3926938E-17,-2.1724021E-16
3704.609,6.618692E-16,5.2281206E-17,-1.8034622E-16
3710.1294,7.084484E-16,5.2000865E-17,-1.9456991E-16
3715.6501,7.219651E-16,5.0952625E-17,-2.3397514E-16
3721.1707,7.7773824E-16,5.151613E-17,-1.4542224E-16
3726.6912,7.308583E-16,5.0210125E-17,-1.7184144E-16
3732.2117,7.8744836E-16,4.9898205E-17,-2.109018E-16
3737.7324,6.8887093E-16,4.825875E-17,-1.791065E-16
3743.253,7.5450434E-16,4.8531785E-17,-1.5956019E-16
3748.7734,7.740422E-16,4.822606E-17,-1.4642332E-16
3754.2942,7.1268463E-16,4.6658277E-17,-1.8003692E-16
3759.8147,6.738932E-16,4.58052E-17,-1.510429E-16
3765.3352,6.6224196E-16,4.5234352E-17,-1.3209953E-16
3770.856,6.2697755E-16,4.3803948E-17,-1.947701E-16
3776.3765,6.254154E-16,4.3165616E-17,-1.9507136E-16
3781.897,5.546322E-16,4.1862152E-17,-1.8854493E-16
3787.4177,5.653847E-16,4.1762324E-17,-1.4903628E-16
3792.9382,5.211163E-16,4.113448E-17,-1.1341107E-16
3798.4587,5.6603374E-16,4.1359385E-17,-9.8957284E-17
3803.9792,7.4911795E-16,4.212944E-17,-1.9276506E-16
3809.5,6.450128E-16,4.1258952E-17,-1.1251843E-16
3815.0205,7.581836E-16,4.179352E-17,-1.6027219E-16
3820.541,7.1574586E-16,4.130387E-17,-1.1323294E-16
3826.0618,6.823428E-16,4.073594E-17,-8.298837E-17
3831.5823,6.284311E-16,4.045352E-17,2.8104698E-18
3837.1028,6.87233E-16,3.9834312E-17,-9.876714E-17
3842.6235,6.0277125E-16,3.8877188E-17,-5.1424512E-17
3848.144,6.1587623E-16,3.7894557E-17,-1.3174674E-16
3853.6646,5.404857E-16,3.7045843E-17,-8.640141E-17
3859.1853,6.3980814E-16,3.7707703E-17,-1.00381696E-16
3864.7058,5.790557E-16,3.6938088E-17,-7.220643E-17
3870.2263,5.900882E-16,3.6277587E-17,-1.1533677E-16
3875.7468,5.2743895E-16,3.532887E-17,-8.844678E-17
3881.2676,4.787682E-16,3.438312E-17,-1.0180701E-16
3886.788,5.295791E-16,3.4449445E-17,-1.3633787E-16
3892.3086,5.494116E-16,3.4569337E-17,-1.1247522E-16
3897.8293,5.799281E-16,3.4649497E-17,-1.1157176E-16
3903.3499,5.9131645E-16,3.4781383E-17,-8.000844E-17
3908.8704,6.318433E-16,3.471738E-17,-1.0853978E-16
3914.391,5.9657595E-16,3.4245195E-17,-7.6490814E-17
3919.9116,5.9433893E-16,3.3987346E-17,-8.0044647E-17
3925.4321,6.551917E-16,3.395028E-17,-1.2421826E-16
3930.9526,6.632328E-16,3.3946705E-17,-1.1183653E-16
3936.4734,6.4327213E-16,3.374457E-17,-8.344815E-17
3941.994,7.1538497E-16,3.4480597E-17,-5.862042E-17
3947.5144,7.056091E-16,3.4327337E-17,-3.5978045E-17
3953.0352,7.0467286E-16,3.3598144E-17,-7.733845E-17
3958.5557,7.28544E-16,3.3753684E-17,-7.01215E-17
3964.0762,7.625341E-16,3.3525842E-17,-1.1232107E-16
3969.597,7.4837966E-16,3.3368327E-17,-8.220867E-17
3975.1174,7.9970424E-16,3.3640787E-17,-8.869281E-17
3980.638,8.535603E-16,3.4357906E-17,-3.5395297E-17
3986.1587,8.854684E-16,3.490503E-17,1.8841934E-17
3991.6792,8.4789083E-16,3.37529E-17,-4.7863142E-17
3997.1997,9.026912E-16,3.419142E-17,-4.1134868E-17
4002.7202,9.523725E-16,3.430276E-17,-6.242951E-17
4008.241,8.865039E-16,3.343641E-17,-6.56261E-17
4013.7615,9.148093E-16,3.363544E-17,-4.5742128E-17
4019.282,8.8515356E-16,3.291128E-17,-6.2295025E-17
4024.8027,8.490232E-16,3.281642E-17,-1.0418311E-17
4030.3232,9.054936E-16,3.286209E-17,-5.2919224E-17
4035.8438,8.5130247E-16,3.2610828E-17,1.33535075E-17
4041.3645,8.184071E-16,3.172985E-17,-3.1429204E-17
4046.885,8.143033E-16,3.1836332E-17,8.5546564E-19
4052.4055,7.642707E-16,3.093707E-17,-2.185052E-17
4057.9263,7.9007273E-16,3.1206193E-17,3.3214064E-18
4063.4468,7.6086397E-16,3.046993E-17,-3.2582433E-17
4068.9673,8.149607E-16,3.1223957E-17,1.4844137E-17
4074.4878,8.238758E-16,3.0765957E-17,-3.581496E-17
4080.0085,8.0520694E-16,3.062715E-17,-4.992805E-18
4085.529,7.903657E-16,3.0306978E-17,-4.7249524E-18
4091.0496,7.788087E-16,2.9952392E-17,-2.3708834E-17
4096.5703,7.6588587E-16,3.0036447E-17,2.250293E-17
4102.091,8.240903E-16,2.991487E-17,-4.8480533E-17
4107.6113,8.3934004E-16,3.006663E-17,-2.7939858E-17
4113.132,8.090957E-16,2.991103E-17,9.60658E-18
4118.6523,8.539468E-16,3.0224372E-17,9.798276E-18
4124.1733,9.078646E-16,3.0610944E-17,1.1129894E-17
4129.694,9.447872E-16,3.1099384E-17,4.6985586E-17
4135.2144,8.326831E-16,2.9834565E-17,3.5549847E-17
4140.735,8.402855E-16,2.9557823E-17,7.027952E-18
4146.2554,8.8351074E-16,2.974205E-17,-5.2550884E-18
4151.776,8.728742E-16,2.9733325E-17,2.1199053E-17
4157.297,8.6463053E-16,2.938284E-17,2.076194E-18
4162.8174,1.0086242E-15,3.0352843E-17,-2.993949E-17
4168.338,8.586998E-16,2.9328784E-17,2.934833E-17
4173.8584,8.7526006E-16,2.9426262E-17,3.9305565E-17
4179.379,8.1899806E-16,2.879795E-17,3.653788E-17
4184.8994,8.013619E-16,2.852606E-17,3.7111124E-17
4190.42,8.0410204E-16,2.804497E-17,-1.7750973E-17
4195.941,8.1300536E-16,2.821694E-17,1.35453795E-17
4201.4614,8.272992E-16,2.7890836E-17,-3.6148782E-17
4206.982,7.5593927E-16,2.7420457E-17,-1.0683818E-18
4212.5024,7.985618E-16,2.7439396E-17,-2.862496E-17
4218.023,7.922686E-16,2.7188573E-17,-4.0092415E-17
4223.5435,7.390168E-16,2.6887054E-17,-1.9783821E-18
4229.064,7.3052065E-16,2.680852E-17,1.4005768E-17
4234.585,7.630273E-16,2.6805784E-17,-1.2692733E-17
4240.1055,7.262163E-16,2.6482065E-17,-1.0633381E-18
4245.626,7.373059E-16,2.6590371E-17,6.4838383E-18
4251.1465,7.5571665E-16,2.6405475E-17,-2.577819E-17
4256.667,7.294345E-16,2.6297006E-17,7.367116E-18
4262.1875,7.1886463E-16,2.590107E-17,-2.3088757E-17
4267.7085,7.168488E-16,2.5691366E-17,-4.210324E-17
4273.229,6.856674E-16,2.5675886E-17,6.684049E-18
4278.7495,6.8020965E-16,2.5435862E-17,-7.842165E-18
4284.27,6.2834937E-16,2.491009E-17,6.394738E-19
4289.7905,6.466278E-16,2.5038413E-17,3.138382E-18
4295.311,6.1573197E-16,2.4646219E-17,1.6033432E-18
4300.8315,6.1877297E-16,2.4434239E-17,-2.0183736E-17
4306.3525,6.0059173E-16,2.4374301E-17,6.940149E-18
4311.873,6.059518E-16,2.4180635E-17,-1.7179903E-17
4317.3936,6.136675E-16,2.4228952E-17,-6.1185735E-18
4322.914,6.230787E-16,2.4182041E-17,-1.6799886E-17
4328.4346,6.1637735E-16,2.4009328E-17,-2.2792065E-17
4333.955,5.55988E-16,2.3425141E-17,-1.0270967E-17
4339.476,5.483149E-16,2.328288E-17,-1.3284802E-17
4344.9966,5.13738E-16,2.289941E-17,-2.2455507E-18
4350.517,5.7418135E-16,2.3208086E-17,-3.265192E-17
4356.0376,5.07351E-16,2.2768074E-17,1.216652E-18
4361.558,5.540183E-16,2.3326114E-17,2.356473E-17
4367.0786,5.807284E-16,2.3253883E-17,-1.6996141E-17
4372.599,5.3028656E-16,2.2834538E-17,1.517805E-19
4378.12,5.494301E-16,2.3034361E-17,8.845713E-18
4383.6406,5.188879E-16,2.2788665E-17,2.2705358E-17
4389.161,5.061371E-16,2.2477904E-17,6.2953155E-18
4394.6816,5.236077E-16,2.2633129E-17,1.4280315E-17
4400.202,5.857911E-16,2.3175217E-17,6.880849E-18
4405.7227,5.711986E-16,2.2987258E-17,1.3442354E-17
4411.2437,5.737881E-16,2.26213E-17,-3.0253056E-17
4416.764,6.065227E-16,2.3198762E-17,5.568781E-18
4422.2847,5.531906E-16,2.2677664E-17,2.4442537E-17
4427.805,6.3249025E-16,2.3275694E-17,2.3844422E-18
4433.3257,5.7281053E-16,2.2604853E-17,-3.5991584E-18
4438.846,6.1496514E-16,2.3192733E-17,2.4972045E-17
4444.3667,6.6411105E-16,2.3317333E-17,-1.8862668E-17
4449.8877,6.387433E-16,2.297952E-17,-1.913973E-17
4455.408,6.4837423E-16,2.3207409E-17,1.1000445E-18
4460.9287,6.502412E-16,2.3350429E-17,2.026854E-17
4466.449,6.0193687E-16,2.2535474E-17,-1.450152E-17
4471.9697,5.661578E-16,2.25151E-17,2.7314359E-17
4477.49,5.928551E-16,2.2587715E-17,1.2087135E-17
4483.011,5.287647E-16,2.1824725E-17,3.0903945E-18
4488.5317,4.8624525E-16,2.158508E-17,3.284969E-17
4494.0522,5.00694E-16,2.1597858E-17,1.8186605E-17
4499.5728,4.7941715E-16,2.1317255E-17,1.6594423E-17
4505.0933,4.9119187E-16,2.147723E-17,2.8591548E-17
4510.614,5.056215E-16,2.1643254E-17,4.0386504E-17
4516.1343,5.4534385E-16,2.173858E-17,1.9151773E-18
4521.6553,5.4225694E-16,2.1817377E-17,2.353586E-17
