# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 21abzi
# CHANNEL = B+R
# EXPNUM = 21_304_051
# MJD-OBS = 59518.603293
# DATE-OBS = 2021-10-31T14:29:13
# EXPTIME = 1500.0s
# AIRMASS = 1.12
# FLUXCAL_RMS_B = 0.060 mag
# FLUXCAL_RMS_R = 0.048 mag
# RA = 08:28:51.74
# DEC = 12:32:18.17
# wl fl err
# [A] [erg/s/cm2/A]
3402.860000 1.094354e-19 5.093337e-20
3405.860000 8.447718e-20 5.213752e-20
3408.860000 1.444592e-19 4.847074e-20
3411.860000 7.462653e-20 4.427169e-20
3414.860000 1.399862e-19 4.934843e-20
3417.860000 1.666932e-19 4.991183e-20
3420.860000 1.380941e-19 4.472151e-20
3423.860000 1.130578e-19 4.310161e-20
3426.860000 8.816199e-20 4.839561e-20
3429.860000 1.331332e-20 4.781615e-20
3432.860000 3.823202e-20 4.176296e-20
3435.860000 5.992177e-20 4.198679e-20
3438.860000 1.310805e-19 4.743471e-20
3441.860000 1.641246e-19 4.669870e-20
3444.860000 1.301440e-19 4.070397e-20
3447.860000 4.606360e-20 4.049725e-20
3450.860000 8.555950e-20 4.449362e-20
3453.860000 9.731957e-20 4.302129e-20
3456.860000 6.164245e-20 3.801353e-20
3459.860000 8.138231e-20 4.042388e-20
3462.860000 1.088186e-19 4.431183e-20
3465.860000 3.296211e-20 4.064981e-20
3468.860000 1.638234e-20 3.728835e-20
3471.860000 8.990892e-20 4.060695e-20
3474.860000 6.992826e-20 4.213042e-20
3477.860000 5.040319e-20 3.897597e-20
3480.860000 2.624216e-20 3.666518e-20
3483.860000 1.135575e-19 4.135249e-20
3486.860000 1.118913e-19 4.234919e-20
3489.860000 7.620860e-20 3.764414e-20
3492.860000 7.039028e-20 3.626755e-20
3495.860000 2.776735e-20 4.040257e-20
3498.860000 6.665134e-20 4.062409e-20
3501.860000 5.511560e-20 3.548682e-20
3504.860000 3.763926e-20 3.483549e-20
3507.860000 5.137269e-20 3.883824e-20
3510.860000 6.430624e-20 3.866403e-20
3513.860000 7.600714e-20 3.423199e-20
3516.860000 1.323524e-19 3.539110e-20
3519.860000 9.095758e-20 3.844587e-20
3522.860000 4.633421e-20 3.629943e-20
3525.860000 1.288445e-20 3.216033e-20
3528.860000 4.473102e-20 3.389853e-20
3531.860000 5.698687e-20 3.688956e-20
3534.860000 8.480787e-20 3.514639e-20
3537.860000 9.448033e-20 3.271596e-20
3540.860000 7.018493e-20 3.512027e-20
3543.860000 5.776674e-20 3.675027e-20
3546.860000 9.845986e-20 3.461466e-20
3549.860000 8.757966e-20 3.251752e-20
3552.860000 6.190209e-20 3.575908e-20
3555.860000 6.929368e-20 3.706958e-20
3558.860000 6.650913e-20 3.348501e-20
3561.860000 9.794402e-20 3.275164e-20
3564.860000 1.232015e-19 3.693977e-20
3567.860000 1.115626e-19 3.697868e-20
3570.860000 8.514142e-20 3.245841e-20
3573.860000 9.046656e-20 3.217898e-20
3576.860000 8.891931e-20 3.612660e-20
3579.860000 1.123045e-19 3.575538e-20
3582.860000 1.251660e-19 3.124283e-20
3585.860000 8.910234e-20 3.126026e-20
3588.860000 1.039547e-19 3.457287e-20
3591.860000 9.166341e-20 3.362952e-20
3594.860000 7.362702e-20 2.964179e-20
3597.860000 8.363239e-20 3.083198e-20
3600.860000 9.158272e-20 3.324291e-20
3603.860000 5.447296e-20 3.104652e-20
3606.860000 1.064326e-19 2.909006e-20
3609.860000 1.004075e-19 3.110025e-20
3612.860000 7.929950e-20 3.262426e-20
3615.860000 7.721534e-20 3.058597e-20
3618.860000 5.960214e-20 2.835899e-20
3621.860000 1.012474e-19 3.160248e-20
3624.860000 1.167949e-19 3.293451e-20
3627.860000 6.971112e-20 2.962372e-20
3630.860000 6.324826e-20 2.809521e-20
3633.860000 1.074202e-19 3.211605e-20
3636.860000 1.474086e-19 3.303049e-20
3639.860000 1.695489e-19 2.942401e-20
3642.860000 1.546468e-19 2.873950e-20
3645.860000 1.017641e-19 3.221386e-20
3648.860000 1.134835e-19 3.179868e-20
3651.860000 1.347788e-19 2.827417e-20
3654.860000 1.279724e-19 2.837938e-20
3657.860000 9.773115e-20 3.127962e-20
3660.860000 1.217749e-19 3.065093e-20
3663.860000 1.283182e-19 2.739397e-20
3666.860000 1.644977e-19 2.892444e-20
3669.860000 1.655451e-19 3.118299e-20
3672.860000 1.834923e-19 2.989667e-20
3675.860000 1.117705e-19 2.644598e-20
3678.860000 1.090744e-19 2.803972e-20
3681.860000 1.250194e-19 3.014829e-20
3684.860000 1.246670e-19 2.795234e-20
3687.860000 1.660860e-19 2.652388e-20
3690.860000 1.602656e-19 2.878073e-20
3693.860000 1.505785e-19 2.998626e-20
3696.860000 1.504606e-19 2.732024e-20
3699.860000 1.437239e-19 2.622265e-20
3702.860000 1.515606e-19 2.925827e-20
3705.860000 1.178458e-19 2.938020e-20
3708.860000 1.090534e-19 2.630441e-20
3711.860000 1.290637e-19 2.605875e-20
3714.860000 1.489514e-19 2.984327e-20
3717.860000 1.487591e-19 2.990113e-20
3720.860000 1.841717e-19 2.639164e-20
3723.860000 1.866063e-19 2.651841e-20
3726.860000 1.767184e-19 2.979554e-20
3729.860000 1.619440e-19 2.897513e-20
3732.860000 1.824058e-19 2.615350e-20
3735.860000 1.696102e-19 2.695922e-20
3738.860000 1.562902e-19 2.929853e-20
3741.860000 1.875903e-19 2.839539e-20
3744.860000 1.893177e-19 2.583353e-20
3747.860000 1.858482e-19 2.707103e-20
3750.860000 1.806995e-19 2.876594e-20
3753.860000 1.793310e-19 2.729864e-20
3756.860000 1.637229e-19 2.513461e-20
3759.860000 1.512753e-19 2.713005e-20
3762.860000 1.887388e-19 2.855448e-20
3765.860000 2.113447e-19 2.648395e-20
3768.860000 1.937335e-19 2.498388e-20
3771.860000 1.629723e-19 2.733249e-20
3774.860000 1.666298e-19 2.813621e-20
3777.860000 1.679113e-19 2.533195e-20
3780.860000 1.567714e-19 2.448852e-20
3783.860000 1.780233e-19 2.806440e-20
3786.860000 2.041598e-19 2.830240e-20
3789.860000 2.448766e-19 2.533603e-20
3792.860000 2.810150e-19 2.533693e-20
3795.860000 2.438614e-19 2.789707e-20
3798.860000 2.310136e-19 2.720122e-20
3801.860000 2.167300e-19 2.399084e-20
3804.860000 2.135246e-19 2.449612e-20
3807.860000 2.363085e-19 2.701482e-20
3810.860000 2.351129e-19 2.617230e-20
3813.860000 1.971361e-19 2.312459e-20
3816.860000 1.883485e-19 2.429848e-20
3819.860000 2.041046e-19 2.626872e-20
3822.860000 2.174388e-19 2.489933e-20
3825.860000 2.209611e-19 2.284288e-20
3828.860000 1.933440e-19 2.447103e-20
3831.860000 2.014553e-19 2.554592e-20
3834.860000 2.267712e-19 2.398030e-20
3837.860000 2.182170e-19 2.269158e-20
3840.860000 2.113977e-19 2.498512e-20
3843.860000 2.068465e-19 2.567430e-20
3846.860000 2.036236e-19 2.306613e-20
3849.860000 1.732763e-19 2.222734e-20
3852.860000 1.812582e-19 2.527136e-20
3855.860000 1.742822e-19 2.535171e-20
3858.860000 1.673566e-19 2.253814e-20
3861.860000 2.126711e-19 2.295672e-20
3864.860000 2.009415e-19 2.583325e-20
3867.860000 1.968311e-19 2.515317e-20
3870.860000 1.956043e-19 2.216492e-20
3873.860000 1.765492e-19 2.248848e-20
3876.860000 1.854908e-19 2.487225e-20
3879.860000 1.817500e-19 2.396135e-20
3882.860000 1.881646e-19 2.172336e-20
3885.860000 2.009410e-19 2.271608e-20
3888.860000 2.018395e-19 2.423075e-20
3891.860000 2.028591e-19 2.295327e-20
3894.860000 2.152243e-19 2.133499e-20
3897.860000 2.326427e-19 2.296687e-20
3900.860000 2.116441e-19 2.384788e-20
3903.860000 1.940083e-19 2.164715e-20
3906.860000 1.877454e-19 2.046220e-20
3909.860000 1.731258e-19 2.242697e-20
3912.860000 1.796836e-19 2.318722e-20
3915.860000 1.839117e-19 2.106293e-20
3918.860000 1.799647e-19 2.025186e-20
3921.860000 1.926142e-19 2.293897e-20
3924.860000 1.784623e-19 2.310316e-20
3927.860000 1.683390e-19 2.020770e-20
3930.860000 1.726282e-19 2.008367e-20
3933.860000 1.556680e-19 2.255950e-20
3936.860000 1.351785e-19 2.240174e-20
3939.860000 1.180375e-19 1.938029e-20
3942.860000 1.421739e-19 2.004798e-20
3945.860000 1.485048e-19 2.225968e-20
3948.860000 1.313762e-19 2.147594e-20
3951.860000 1.145061e-19 1.926111e-20
3954.860000 1.047948e-19 2.036651e-20
3957.860000 1.177285e-19 2.218695e-20
3960.860000 1.146431e-19 2.089992e-20
3963.860000 1.021056e-19 1.916822e-20
3966.860000 1.247332e-19 2.080059e-20
3969.860000 1.300818e-19 2.212688e-20
3972.860000 1.396629e-19 2.067205e-20
3975.860000 1.571446e-19 1.986623e-20
3978.860000 1.315261e-19 2.191802e-20
3981.860000 1.157616e-19 2.305537e-20
3984.860000 1.053905e-19 2.119942e-20
3987.860000 1.048069e-19 2.066376e-20
3990.860000 1.040869e-19 2.311451e-20
3993.860000 1.101619e-19 2.319412e-20
3996.860000 1.290657e-19 2.082960e-20
3999.860000 9.306949e-20 1.977790e-20
4002.860000 1.306702e-19 2.264660e-20
4005.860000 1.091564e-19 2.206374e-20
4008.860000 7.361183e-20 1.868515e-20
4011.860000 9.093683e-20 1.876262e-20
4014.860000 8.329114e-20 2.039805e-20
4017.860000 6.504262e-20 1.964720e-20
4020.860000 6.387493e-20 1.729585e-20
