# OBJECT = AT2021jzw
# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# CHANNEL = R
# EXPNUM = 21_109_034
# MJD-OBS = 59323.301030
# DATE-OBS = 2021-04-19T07:13:29
# EXPTIME = 1800.0s
# AIRMASS = 1.37
# RA = 13:15:24.00
# DEC = 01:07:42.99
# wl fl err
# [A] [erg/s/cm2/A]
5101.130000 2.026964e-16 6.545693e-17
5104.060000 1.822916e-16 6.508344e-17
5106.990000 1.445985e-16 6.403522e-17
5109.920000 1.366194e-16 6.324623e-17
5112.850000 6.756538e-17 6.213511e-17
5115.780000 1.125151e-16 6.152877e-17
5118.710000 1.399683e-16 6.077619e-17
5121.640000 1.260351e-16 5.956017e-17
5124.570000 1.663270e-16 5.870792e-17
5127.500000 2.053350e-16 5.773938e-17
5130.430000 1.449440e-16 5.619494e-17
5133.360000 1.537652e-16 5.459105e-17
5136.290000 1.419567e-16 5.294685e-17
5139.220000 1.276438e-16 5.142096e-17
5142.150000 1.342609e-16 5.001618e-17
5145.080000 1.446755e-16 4.843315e-17
5148.010000 1.437471e-16 4.617629e-17
5150.940000 1.278027e-16 4.430557e-17
5153.870000 1.476590e-16 4.275911e-17
5156.800000 1.332401e-16 4.116022e-17
5159.730000 1.298678e-16 3.935753e-17
5162.660000 1.307045e-16 3.785949e-17
5165.590000 1.137167e-16 3.616396e-17
5168.520000 1.850766e-16 3.526778e-17
5171.450000 2.175221e-16 3.401986e-17
5174.380000 1.622623e-16 3.253982e-17
5177.310000 1.419602e-16 3.118529e-17
5180.240000 1.644124e-16 3.018629e-17
5183.170000 1.652315e-16 2.917261e-17
5186.100000 1.703341e-16 2.832187e-17
5189.030000 1.699920e-16 2.759316e-17
5191.960000 1.639079e-16 2.722772e-17
5194.890000 1.591294e-16 2.670755e-17
5197.820000 1.734535e-16 2.632824e-17
5200.750000 1.695545e-16 2.615323e-17
5203.680000 1.760757e-16 2.603140e-17
5206.610000 1.754057e-16 2.586673e-17
5209.540000 1.609086e-16 2.560437e-17
5212.470000 1.555986e-16 2.554702e-17
5215.400000 1.368670e-16 2.538143e-17
5218.330000 1.307958e-16 2.533090e-17
5221.260000 1.640618e-16 2.548367e-17
5224.190000 1.544880e-16 2.533319e-17
5227.120000 1.631366e-16 2.534368e-17
5230.050000 1.390727e-16 2.530255e-17
5232.980000 1.263128e-16 2.504252e-17
5235.910000 1.669404e-16 2.513025e-17
5238.840000 1.752268e-16 2.510512e-17
5241.770000 1.419709e-16 2.491194e-17
5244.700000 1.659252e-16 2.486272e-17
5247.630000 1.796225e-16 2.481575e-17
5250.560000 1.931792e-16 2.475494e-17
5253.490000 1.607108e-16 2.447168e-17
5256.420000 1.703330e-16 2.417667e-17
5259.350000 1.540438e-16 2.386138e-17
5262.280000 1.452349e-16 2.349519e-17
5265.210000 1.723424e-16 2.335040e-17
5268.140000 1.668936e-16 2.312693e-17
5271.070000 1.391025e-16 2.274967e-17
5274.000000 1.517902e-16 2.252806e-17
5276.930000 1.614295e-16 2.238182e-17
5279.860000 1.589915e-16 2.207301e-17
5282.790000 1.561435e-16 2.185781e-17
5285.720000 1.794962e-16 2.175303e-17
5288.650000 1.723101e-16 2.142458e-17
5291.580000 1.701061e-16 2.116420e-17
5294.510000 1.297818e-16 2.075672e-17
5297.440000 1.443603e-16 2.063283e-17
5300.370000 1.639256e-16 2.046065e-17
5303.300000 1.592427e-16 2.026173e-17
5306.230000 1.599861e-16 2.000322e-17
5309.160000 1.513289e-16 1.973909e-17
5312.090000 1.592748e-16 1.954144e-17
5315.020000 1.844438e-16 1.939469e-17
5317.950000 1.800030e-16 1.918985e-17
5320.880000 1.794363e-16 1.900207e-17
5323.810000 1.743038e-16 1.878470e-17
5326.740000 1.572783e-16 1.848496e-17
5329.670000 1.587560e-16 1.834491e-17
5332.600000 1.713843e-16 1.824100e-17
5335.530000 1.593722e-16 1.798517e-17
5338.460000 1.520356e-16 1.781557e-17
5341.390000 1.836640e-16 1.781363e-17
5344.320000 1.811009e-16 1.769465e-17
5347.250000 2.064439e-16 1.766053e-17
5350.180000 1.829323e-16 1.737776e-17
5353.110000 1.736829e-16 1.724626e-17
5356.040000 1.773365e-16 1.715058e-17
5358.970000 1.794980e-16 1.709480e-17
5361.900000 1.875698e-16 1.698697e-17
5364.830000 1.778745e-16 1.679559e-17
5367.760000 2.007332e-16 1.674506e-17
5370.690000 1.882327e-16 1.657943e-17
5373.620000 1.662937e-16 1.632844e-17
5376.550000 1.645445e-16 1.623683e-17
5379.480000 1.720443e-16 1.613477e-17
5382.410000 1.832138e-16 1.608199e-17
5385.340000 1.702242e-16 1.591884e-17
5388.270000 1.646972e-16 1.576827e-17
5391.200000 1.505814e-16 1.556451e-17
5394.130000 1.615484e-16 1.553033e-17
5397.060000 1.671708e-16 1.552367e-17
5399.990000 1.679920e-16 1.536149e-17
5402.920000 1.819189e-16 1.528513e-17
5405.850000 1.689216e-16 1.516264e-17
5408.780000 1.726869e-16 1.511079e-17
5411.710000 1.805431e-16 1.506772e-17
5414.640000 1.684493e-16 1.490565e-17
5417.570000 1.593120e-16 1.474081e-17
5420.500000 1.534729e-16 1.462325e-17
5423.430000 1.477718e-16 1.450692e-17
5426.360000 1.471910e-16 1.437546e-17
5429.290000 1.540918e-16 1.435633e-17
5432.220000 1.570338e-16 1.429824e-17
5435.150000 1.565566e-16 1.422463e-17
5438.080000 1.632363e-16 1.416263e-17
5441.010000 1.593084e-16 1.414203e-17
5443.940000 1.704214e-16 1.414879e-17
5446.870000 1.524589e-16 1.397627e-17
5449.800000 1.609273e-16 1.390858e-17
5452.730000 1.748901e-16 1.388711e-17
5455.660000 1.852607e-16 1.387543e-17
5458.590000 1.696401e-16 1.373291e-17
5461.520000 1.617288e-16 1.363081e-17
5464.450000 1.611291e-16 1.354219e-17
5467.380000 1.580564e-16 1.349047e-17
5470.310000 1.565600e-16 1.344435e-17
5473.240000 1.596620e-16 1.336514e-17
5476.170000 1.647930e-16 1.334799e-17
5479.100000 1.645123e-16 1.329901e-17
5482.030000 1.666338e-16 1.326215e-17
5484.960000 1.562994e-16 1.310060e-17
5487.890000 1.613824e-16 1.308772e-17
5490.820000 1.536356e-16 1.306373e-17
5493.750000 1.493462e-16 1.297220e-17
5496.680000 1.583107e-16 1.295157e-17
5499.610000 1.604747e-16 1.294992e-17
5502.540000 1.402811e-16 1.281225e-17
5505.470000 1.456981e-16 1.274538e-17
5508.400000 1.586930e-16 1.275652e-17
5511.330000 1.373542e-16 1.262785e-17
5514.260000 1.373293e-16 1.257688e-17
5517.190000 1.468288e-16 1.255774e-17
5520.120000 1.548588e-16 1.254141e-17
5523.050000 1.495452e-16 1.243854e-17
5525.980000 1.415094e-16 1.241127e-17
5528.910000 1.488939e-16 1.234867e-17
5531.840000 1.523911e-16 1.233021e-17
5534.770000 1.400914e-16 1.222510e-17
5537.700000 1.490740e-16 1.225399e-17
5540.630000 1.499153e-16 1.222107e-17
5543.560000 1.542711e-16 1.216845e-17
5546.490000 1.534754e-16 1.215552e-17
5549.420000 1.426376e-16 1.209530e-17
5552.350000 1.511275e-16 1.206795e-17
5555.280000 1.493155e-16 1.202210e-17
5558.210000 1.391263e-16 1.188696e-17
5561.140000 1.584627e-16 1.198399e-17
5564.070000 1.675888e-16 1.199905e-17
