# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 2021koo
# CHANNEL = B+R
# EXPNUM = 21_137_012
# MJD-OBS = 59351.259346
# DATE-OBS = 2021-05-17T06:14:50
# EXPTIME = 3000.0s
# AIRMASS = 1.30
# RA = 09:29:37.89
# DEC = -06:56:18.38
# wl fl err
# [A] [erg/s/cm2/A]
3402.860000 -3.759789e-23 2.856404e-23
3405.860000 -4.740431e-23 2.954862e-23
3408.860000 -2.203074e-23 2.672745e-23
3411.860000 3.844113e-23 2.574325e-23
3414.860000 3.062132e-23 2.817217e-23
3417.860000 -1.080415e-23 2.834523e-23
3420.860000 -8.342544e-24 2.532676e-23
3423.860000 5.482444e-23 2.502567e-23
3426.860000 6.061046e-23 2.815268e-23
3429.860000 5.614820e-23 2.820095e-23
3432.860000 2.433113e-23 2.414647e-23
3435.860000 2.740593e-23 2.396366e-23
3438.860000 2.208552e-23 2.729424e-23
3441.860000 -1.300188e-23 2.636182e-23
3444.860000 2.879192e-23 2.312883e-23
3447.860000 2.517202e-23 2.349388e-23
3450.860000 1.781984e-23 2.594704e-23
3453.860000 3.564346e-23 2.492180e-23
3456.860000 5.013205e-23 2.243723e-23
3459.860000 5.753019e-23 2.374966e-23
3462.860000 1.712210e-23 2.522729e-23
3465.860000 4.591815e-24 2.319028e-23
3468.860000 3.399470e-23 2.167176e-23
3471.860000 3.683616e-23 2.348727e-23
3474.860000 2.944171e-23 2.424309e-23
3477.860000 2.430525e-23 2.247492e-23
3480.860000 7.267202e-24 2.125346e-23
3483.860000 -1.715616e-24 2.376332e-23
3486.860000 -8.978096e-24 2.432863e-23
3489.860000 3.199308e-23 2.232429e-23
3492.860000 4.322103e-23 2.144849e-23
3495.860000 9.519886e-23 2.427141e-23
3498.860000 5.315395e-23 2.392935e-23
3501.860000 8.630620e-24 2.078510e-23
3504.860000 7.576705e-24 2.067195e-23
3507.860000 -7.640427e-24 2.279565e-23
3510.860000 1.393917e-23 2.249314e-23
3513.860000 2.327173e-23 1.969670e-23
3516.860000 -3.420768e-24 2.000890e-23
3519.860000 1.677288e-23 2.191580e-23
3522.860000 5.571171e-23 2.146310e-23
3525.860000 4.168846e-23 1.909440e-23
3528.860000 1.801903e-23 1.975585e-23
3531.860000 3.389416e-23 2.118005e-23
3534.860000 1.021173e-23 2.013731e-23
3537.860000 1.003655e-23 1.853714e-23
3540.860000 -6.542661e-24 1.986735e-23
3543.860000 -7.802898e-24 2.130744e-23
3546.860000 2.950579e-23 2.004283e-23
3549.860000 3.487222e-23 1.912620e-23
3552.860000 1.409657e-24 2.083864e-23
