# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = PS21hzb
# CHANNEL = B+R
# EXPNUM = 21_199_037
# MJD-OBS = 59413.557471
# DATE-OBS = 2021-07-18T13:23:43
# EXPTIME = 2000.0s
# AIRMASS = 1.11
# RA = 22:57:26.15
# DEC = -06:15:36.69
# wl fl err
# [A] [erg/s/cm2/A]
3402.860000 5.523822e-17 4.340221e-17
3405.860000 1.778800e-18 4.443515e-17
3408.860000 4.199115e-17 4.062717e-17
3411.860000 3.729117e-17 3.893055e-17
3414.860000 -2.258614e-18 4.265796e-17
3417.860000 5.298844e-17 4.381258e-17
3420.860000 1.909226e-17 3.862950e-17
3423.860000 2.960707e-17 3.747872e-17
3426.860000 4.138009e-18 4.241426e-17
3429.860000 2.482390e-17 4.193438e-17
3432.860000 -2.824306e-18 3.682679e-17
3435.860000 -1.471752e-17 3.660773e-17
3438.860000 1.715829e-17 4.163259e-17
3441.860000 7.416856e-17 4.085314e-17
3444.860000 4.879579e-17 3.585638e-17
3447.860000 3.682713e-17 3.649715e-17
3450.860000 -1.929659e-17 3.967532e-17
3453.860000 -3.453448e-17 3.761758e-17
3456.860000 1.964842e-17 3.425462e-17
3459.860000 4.019035e-17 3.650188e-17
3462.860000 7.056872e-17 3.944087e-17
3465.860000 2.951312e-17 3.645199e-17
3468.860000 1.111458e-17 3.329388e-17
3471.860000 1.118778e-17 3.605188e-17
3474.860000 -4.778499e-18 3.784256e-17
3477.860000 4.304355e-17 3.483168e-17
3480.860000 3.312201e-17 3.268392e-17
3483.860000 -7.312268e-18 3.626722e-17
3486.860000 -6.774899e-17 3.647048e-17
3489.860000 -4.764581e-17 3.286945e-17
3492.860000 -3.217458e-17 3.168029e-17
3495.860000 -2.574174e-17 3.533325e-17
3498.860000 -2.009988e-17 3.548938e-17
3501.860000 5.492223e-17 3.160570e-17
3504.860000 6.291666e-17 3.135576e-17
3507.860000 3.783275e-17 3.477961e-17
3510.860000 3.640107e-17 3.433834e-17
3513.860000 7.462194e-17 3.025787e-17
3516.860000 8.342458e-17 3.111062e-17
3519.860000 5.380376e-17 3.397670e-17
3522.860000 -2.615844e-17 3.229083e-17
3525.860000 -1.186881e-17 2.900461e-17
3528.860000 -1.964629e-17 3.038257e-17
3531.860000 6.843164e-18 3.299165e-17
3534.860000 1.982487e-17 3.159333e-17
3537.860000 3.899487e-17 2.911109e-17
3540.860000 5.727109e-17 3.140545e-17
3543.860000 4.888967e-17 3.286811e-17
3546.860000 5.152823e-17 3.078080e-17
3549.860000 -3.770334e-17 2.874399e-17
3552.860000 -5.590963e-17 3.145264e-17
3555.860000 -4.816509e-17 3.246888e-17
3558.860000 -6.180814e-18 2.962624e-17
3561.860000 1.094489e-17 2.861311e-17
3564.860000 -6.509302e-18 3.168998e-17
3567.860000 -4.265252e-17 3.166630e-17
3570.860000 -1.372268e-17 2.808224e-17
3573.860000 2.160548e-17 2.784328e-17
3576.860000 5.664244e-17 3.144837e-17
3579.860000 -1.133052e-17 3.059408e-17
3582.860000 -5.770425e-18 2.656384e-17
3585.860000 -1.465550e-17 2.691144e-17
3588.860000 -8.890805e-18 2.960438e-17
3591.860000 -8.191857e-18 2.870782e-17
3594.860000 -1.380285e-17 2.557587e-17
3597.860000 -3.082141e-17 2.684795e-17
3600.860000 -4.338255e-18 2.943591e-17
3603.860000 6.254011e-17 2.809944e-17
3606.860000 4.652396e-17 2.553535e-17
3609.860000 2.758409e-17 2.718511e-17
3612.860000 4.898327e-17 2.875183e-17
3615.860000 8.366424e-17 2.694085e-17
3618.860000 9.395265e-17 2.529250e-17
3621.860000 7.173286e-17 2.757031e-17
3624.860000 5.720879e-17 2.851633e-17
3627.860000 1.224515e-17 2.574000e-17
3630.860000 3.033456e-17 2.476401e-17
3633.860000 6.775437e-17 2.768739e-17
3636.860000 4.965385e-17 2.793909e-17
3639.860000 8.462689e-17 2.514327e-17
3642.860000 4.776349e-17 2.441282e-17
3645.860000 -3.224258e-18 2.751844e-17
3648.860000 -1.264545e-17 2.741365e-17
3651.860000 2.795560e-17 2.407904e-17
3654.860000 2.229779e-17 2.401264e-17
3657.860000 -3.271625e-17 2.627152e-17
3660.860000 1.245907e-17 2.594996e-17
3663.860000 2.740108e-17 2.336689e-17
3666.860000 3.658514e-17 2.437382e-17
3669.860000 5.536460e-17 2.673513e-17
3672.860000 4.727856e-17 2.527507e-17
3675.860000 5.644288e-18 2.253948e-17
3678.860000 1.792830e-18 2.400800e-17
3681.860000 -2.622181e-18 2.550908e-17
3684.860000 2.607138e-17 2.398827e-17
3687.860000 4.893529e-17 2.241879e-17
3690.860000 2.078148e-17 2.435173e-17
3693.860000 2.904767e-17 2.565757e-17
3696.860000 3.898632e-17 2.356962e-17
3699.860000 4.695029e-17 2.248766e-17
3702.860000 1.150770e-17 2.491950e-17
3705.860000 9.823264e-19 2.546871e-17
3708.860000 1.682771e-17 2.302686e-17
3711.860000 1.424212e-17 2.264732e-17
3714.860000 6.334112e-17 2.608596e-17
3717.860000 7.791644e-17 2.624706e-17
3720.860000 3.889953e-17 2.265298e-17
3723.860000 2.120864e-17 2.261023e-17
3726.860000 1.671634e-17 2.492725e-17
3729.860000 2.864484e-17 2.489330e-17
3732.860000 2.294127e-17 2.200949e-17
3735.860000 2.469085e-17 2.277217e-17
3738.860000 1.474469e-17 2.492914e-17
3741.860000 1.301608e-17 2.374666e-17
3744.860000 6.478236e-17 2.204582e-17
3747.860000 6.986221e-17 2.327611e-17
3750.860000 4.577665e-17 2.447016e-17
3753.860000 2.986125e-17 2.293668e-17
3756.860000 -7.837872e-18 2.124147e-17
3759.860000 3.217569e-18 2.308088e-17
3762.860000 1.121626e-17 2.410563e-17
3765.860000 2.110343e-17 2.214962e-17
3768.860000 1.717280e-17 2.113907e-17
3771.860000 3.419580e-17 2.329266e-17
3774.860000 5.976082e-17 2.395234e-17
3777.860000 6.770715e-17 2.160518e-17
3780.860000 5.926845e-17 2.107705e-17
3783.860000 2.478716e-17 2.339440e-17
3786.860000 1.691107e-17 2.315414e-17
3789.860000 3.802456e-17 2.049212e-17
3792.860000 5.217256e-17 2.063536e-17
3795.860000 5.771792e-17 2.294106e-17
3798.860000 3.152400e-17 2.258879e-17
3801.860000 3.564015e-17 1.991319e-17
3804.860000 5.930557e-17 2.046116e-17
3807.860000 7.329325e-17 2.251834e-17
3810.860000 5.988288e-17 2.152096e-17
3813.860000 2.375553e-18 1.897926e-17
3816.860000 -3.717469e-18 2.002795e-17
3819.860000 1.837416e-17 2.155729e-17
3822.860000 5.752965e-17 2.056382e-17
3825.860000 4.769353e-17 1.900524e-17
3828.860000 7.139937e-18 2.026180e-17
3831.860000 1.540184e-17 2.152635e-17
3834.860000 4.851843e-17 2.002409e-17
3837.860000 5.306264e-17 1.892809e-17
3840.860000 2.089170e-17 2.057345e-17
3843.860000 3.526173e-17 2.124488e-17
3846.860000 6.104574e-17 1.942973e-17
3849.860000 2.858810e-17 1.873505e-17
3852.860000 3.682651e-17 2.120439e-17
3855.860000 5.960355e-17 2.175988e-17
3858.860000 5.654740e-17 1.922677e-17
