# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 21vla
# CHANNEL = B+R
# EXPNUM = 21_222_050
# MJD-OBS = 59436.577951
# DATE-OBS = 2021-08-10T13:53:12
# EXPTIME = 2000.0s
# AIRMASS = 1.17
# RA = 02:09:37.93
# DEC = -02:47:08.23
# wl fl err
# [A] [erg/s/cm2/A]
3402.860000 2.202420e-17 5.280285e-17
3405.860000 2.984763e-18 5.443881e-17
3408.860000 6.226536e-17 4.960094e-17
3411.860000 4.446510e-17 4.640375e-17
3414.860000 2.714130e-17 5.126475e-17
3417.860000 7.511626e-18 5.177257e-17
3420.860000 3.585867e-17 4.601588e-17
3423.860000 1.057914e-16 4.508336e-17
3426.860000 3.148973e-17 5.029353e-17
3429.860000 -3.648257e-17 5.040492e-17
3432.860000 -2.469381e-17 4.386595e-17
3435.860000 -1.190781e-16 4.284065e-17
3438.860000 -1.191739e-16 4.829345e-17
3441.860000 -4.209973e-17 4.797644e-17
3444.860000 -1.705868e-17 4.197927e-17
3447.860000 4.153501e-17 4.290035e-17
3450.860000 5.380860e-17 4.711280e-17
3453.860000 -2.418115e-17 4.521082e-17
3456.860000 -2.448950e-17 4.002205e-17
3459.860000 -8.082181e-17 4.212037e-17
3462.860000 -4.967243e-17 4.529221e-17
3465.860000 -5.261418e-17 4.254800e-17
3468.860000 1.410790e-17 3.950752e-17
3471.860000 5.521989e-17 4.269676e-17
3474.860000 2.990933e-17 4.413429e-17
3477.860000 2.934271e-18 4.068592e-17
3480.860000 -1.514784e-17 3.831840e-17
3483.860000 -5.864516e-17 4.207111e-17
3486.860000 -2.626615e-17 4.322995e-17
3489.860000 1.626088e-18 3.937091e-17
3492.860000 3.520668e-17 3.799076e-17
3495.860000 2.668742e-19 4.186659e-17
3498.860000 2.545734e-17 4.218102e-17
3501.860000 2.941009e-17 3.725206e-17
3504.860000 7.223772e-17 3.737402e-17
3507.860000 2.909272e-17 4.113710e-17
3510.860000 8.361939e-17 4.096452e-17
3513.860000 2.333739e-17 3.556462e-17
3516.860000 1.371268e-17 3.603485e-17
3519.860000 2.975699e-17 3.971505e-17
3522.860000 2.846976e-17 3.836717e-17
3525.860000 -3.712729e-18 3.412389e-17
3528.860000 5.307267e-17 3.602745e-17
3531.860000 9.771921e-17 3.915143e-17
3534.860000 9.009762e-17 3.696239e-17
3537.860000 1.028332e-16 3.389108e-17
3540.860000 1.018878e-16 3.671735e-17
3543.860000 9.388482e-17 3.865030e-17
3546.860000 1.259190e-16 3.617558e-17
3549.860000 1.095437e-16 3.441602e-17
3552.860000 7.237860e-17 3.748588e-17
3555.860000 7.944340e-17 3.888258e-17
3558.860000 3.670574e-17 3.495511e-17
3561.860000 1.007236e-16 3.392774e-17
3564.860000 1.668995e-16 3.807418e-17
3567.860000 9.638525e-17 3.784332e-17
3570.860000 9.956141e-17 3.369688e-17
3573.860000 1.128684e-16 3.311735e-17
3576.860000 8.981064e-17 3.685484e-17
3579.860000 9.866397e-17 3.655636e-17
3582.860000 1.154059e-16 3.217490e-17
3585.860000 9.795183e-17 3.267637e-17
3588.860000 1.341538e-16 3.621698e-17
