# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 2021wyn
# CHANNEL = B+R
# EXPNUM = 21_243_041
# MJD-OBS = 59457.536829
# DATE-OBS = 2021-08-31T12:53:04
# EXPTIME = 1800.0s
# AIRMASS = 1.22
# RA = 00:41:12.09
# DEC = -14:42:02.49
# wl fl err
# [A] [erg/s/cm2/A]
3402.860000 9.021836e-17 4.994005e-17
3405.860000 4.257799e-18 5.128893e-17
3408.860000 4.626543e-17 4.669417e-17
3411.860000 3.384924e-17 4.394099e-17
3414.860000 8.836791e-18 4.780175e-17
3417.860000 5.634940e-17 4.818028e-17
3420.860000 1.227818e-16 4.382310e-17
3423.860000 5.886498e-17 4.202883e-17
3426.860000 7.908268e-17 4.739643e-17
3429.860000 1.237844e-16 4.755819e-17
3432.860000 5.457520e-17 4.122568e-17
3435.860000 4.698777e-17 4.116305e-17
3438.860000 9.826332e-17 4.595665e-17
3441.860000 1.623900e-17 4.432750e-17
3444.860000 4.373850e-17 3.911211e-17
3447.860000 3.012913e-17 3.970043e-17
3450.860000 2.156602e-17 4.349100e-17
3453.860000 4.711512e-17 4.221046e-17
3456.860000 7.976202e-17 3.852030e-17
3459.860000 3.487616e-17 4.030847e-17
3462.860000 5.795635e-17 4.323223e-17
3465.860000 2.123301e-17 4.023969e-17
3468.860000 8.839246e-18 3.676727e-17
3471.860000 4.039887e-17 3.957733e-17
3474.860000 4.293771e-17 4.159002e-17
3477.860000 -7.352929e-18 3.834793e-17
3480.860000 -5.177056e-17 3.584605e-17
3483.860000 4.801188e-17 4.018100e-17
3486.860000 -1.205385e-17 4.064445e-17
3489.860000 1.156919e-17 3.658813e-17
3492.860000 8.423170e-17 3.598974e-17
3495.860000 1.532608e-16 4.036668e-17
3498.860000 7.435868e-17 4.002900e-17
3501.860000 3.016485e-17 3.489709e-17
3504.860000 -3.296795e-18 3.439817e-17
3507.860000 4.985266e-17 3.933494e-17
3510.860000 7.781218e-17 3.890831e-17
3513.860000 5.671849e-17 3.390280e-17
3516.860000 6.033691e-17 3.443401e-17
3519.860000 1.461462e-17 3.739790e-17
3522.860000 5.369605e-17 3.617146e-17
3525.860000 6.274936e-17 3.260568e-17
3528.860000 4.474864e-17 3.399714e-17
3531.860000 9.576356e-17 3.702180e-17
3534.860000 6.731299e-17 3.488765e-17
3537.860000 3.771405e-17 3.195056e-17
3540.860000 2.769336e-17 3.456763e-17
3543.860000 2.586383e-17 3.649730e-17
3546.860000 -1.646811e-17 3.382341e-17
3549.860000 1.506718e-17 3.195672e-17
3552.860000 5.870747e-17 3.588094e-17
3555.860000 1.146011e-16 3.712960e-17
3558.860000 1.250955e-16 3.369476e-17
3561.860000 1.060650e-16 3.224132e-17
3564.860000 7.819855e-17 3.615932e-17
3567.860000 7.682776e-17 3.647526e-17
3570.860000 1.189243e-16 3.220947e-17
3573.860000 1.144496e-16 3.205768e-17
3576.860000 9.863298e-17 3.593515e-17
3579.860000 6.024581e-17 3.529426e-17
3582.860000 6.647071e-17 3.073342e-17
3585.860000 1.005440e-16 3.113435e-17
3588.860000 6.192798e-17 3.364380e-17
3591.860000 3.574218e-17 3.245743e-17
3594.860000 5.581543e-17 2.921928e-17
3597.860000 3.582588e-17 3.028125e-17
3600.860000 6.854705e-18 3.245592e-17
3603.860000 1.858801e-17 3.095323e-17
3606.860000 5.794673e-17 2.811131e-17
3609.860000 2.054099e-17 2.986475e-17
3612.860000 6.106612e-17 3.219114e-17
3615.860000 7.689128e-17 3.000805e-17
3618.860000 6.586315e-17 2.773692e-17
3621.860000 4.857683e-17 3.051964e-17
3624.860000 4.090280e-17 3.150109e-17
3627.860000 4.781658e-17 2.872433e-17
3630.860000 8.575079e-17 2.783482e-17
3633.860000 7.077187e-17 3.107182e-17
3636.860000 4.766571e-17 3.140998e-17
3639.860000 6.634749e-17 2.815247e-17
3642.860000 4.663351e-17 2.755433e-17
3645.860000 5.570040e-17 3.109635e-17
3648.860000 7.593877e-17 3.084003e-17
3651.860000 5.416904e-17 2.688657e-17
3654.860000 6.070510e-17 2.727723e-17
3657.860000 3.873979e-17 3.030163e-17
3660.860000 6.832159e-17 2.969131e-17
3663.860000 6.393104e-17 2.641214e-17
3666.860000 8.195302e-17 2.746143e-17
3669.860000 9.216157e-17 2.982953e-17
3672.860000 6.236053e-17 2.816527e-17
3675.860000 5.435338e-17 2.559535e-17
