# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = AT2021wyz
# CHANNEL = B+R
# EXPNUM = 21_246_012
# MJD-OBS = 59460.261343
# DATE-OBS = 2021-09-03T06:16:22
# EXPTIME = 1800.0s
# AIRMASS = 1.47
# RA = 15:18:49.60
# DEC = 27:12:55.64
# wl fl err
# [A] [erg/s/cm2/A]
3591.860000 1.807144e-16 3.130277e-17
3594.860000 1.647450e-16 2.759530e-17
3597.860000 1.570571e-16 2.876469e-17
3600.860000 8.528424e-17 3.113174e-17
3603.860000 1.490509e-16 2.941324e-17
3606.860000 2.028076e-16 2.736778e-17
3609.860000 1.813542e-16 2.907108e-17
3612.860000 1.414301e-16 3.020972e-17
3615.860000 1.267326e-16 2.787995e-17
3618.860000 1.487171e-16 2.631276e-17
3621.860000 1.752739e-16 2.911710e-17
3624.860000 1.928223e-16 3.042592e-17
3627.860000 2.179142e-16 2.807169e-17
3630.860000 1.836615e-16 2.664311e-17
3633.860000 1.913020e-16 2.992164e-17
3636.860000 2.013341e-16 3.050988e-17
3639.860000 1.555636e-16 2.687499e-17
3642.860000 1.856499e-16 2.664343e-17
3645.860000 2.203575e-16 3.054777e-17
3648.860000 1.854262e-16 2.986728e-17
3651.860000 1.645361e-16 2.580910e-17
3654.860000 1.413257e-16 2.589001e-17
3657.860000 1.855817e-16 2.914424e-17
3660.860000 2.214949e-16 2.848398e-17
3663.860000 2.609704e-16 2.557679e-17
3666.860000 2.565676e-16 2.652169e-17
3669.860000 2.380509e-16 2.856396e-17
3672.860000 1.934608e-16 2.680387e-17
3675.860000 2.221546e-16 2.454429e-17
3678.860000 2.412330e-16 2.622867e-17
3681.860000 2.016913e-16 2.743845e-17
3684.860000 2.204479e-16 2.604106e-17
3687.860000 2.313732e-16 2.418086e-17
3690.860000 2.173385e-16 2.602725e-17
3693.860000 2.751756e-16 2.758098e-17
3696.860000 2.208793e-16 2.496469e-17
3699.860000 1.883713e-16 2.355508e-17
3702.860000 2.059675e-16 2.626229e-17
3705.860000 1.972736e-16 2.679598e-17
3708.860000 2.708327e-16 2.475073e-17
3711.860000 2.710512e-16 2.441324e-17
3714.860000 2.474531e-16 2.724095e-17
3717.860000 2.396705e-16 2.723069e-17
3720.860000 2.295841e-16 2.385262e-17
3723.860000 2.444200e-16 2.413511e-17
3726.860000 2.358625e-16 2.676384e-17
3729.860000 2.277819e-16 2.638765e-17
3732.860000 1.921479e-16 2.316458e-17
3735.860000 1.759130e-16 2.383771e-17
3738.860000 2.197535e-16 2.640444e-17
3741.860000 2.656692e-16 2.596675e-17
3744.860000 2.391054e-16 2.344887e-17
3747.860000 2.274701e-16 2.489463e-17
3750.860000 2.147518e-16 2.650453e-17
3753.860000 1.898616e-16 2.451570e-17
3756.860000 1.677210e-16 2.268851e-17
3759.860000 1.864098e-16 2.469132e-17
3762.860000 2.279788e-16 2.592924e-17
3765.860000 2.072077e-16 2.362216e-17
3768.860000 2.276703e-16 2.259652e-17
3771.860000 2.419808e-16 2.510775e-17
3774.860000 2.251375e-16 2.544613e-17
3777.860000 2.359689e-16 2.297516e-17
3780.860000 2.510248e-16 2.257902e-17
3783.860000 2.355567e-16 2.536215e-17
3786.860000 2.417160e-16 2.563487e-17
3789.860000 1.977994e-16 2.214476e-17
3792.860000 1.897971e-16 2.206999e-17
3795.860000 2.052773e-16 2.455162e-17
3798.860000 2.023014e-16 2.399673e-17
3801.860000 1.885459e-16 2.103032e-17
3804.860000 1.816734e-16 2.159410e-17
3807.860000 1.915164e-16 2.388280e-17
3810.860000 2.030364e-16 2.315789e-17
3813.860000 1.723115e-16 2.043439e-17
3816.860000 1.725208e-16 2.158240e-17
3819.860000 1.774737e-16 2.322365e-17
3822.860000 1.616971e-16 2.177455e-17
3825.860000 1.488221e-16 1.990391e-17
3828.860000 1.646318e-16 2.133494e-17
3831.860000 1.224075e-16 2.207282e-17
3834.860000 1.209985e-16 2.041337e-17
3837.860000 1.732331e-16 1.973886e-17
3840.860000 1.984345e-16 2.186765e-17
3843.860000 1.593709e-16 2.230780e-17
3846.860000 1.449775e-16 2.004084e-17
3849.860000 1.496022e-16 1.954089e-17
3852.860000 1.793990e-16 2.220747e-17
3855.860000 1.467768e-16 2.206580e-17
3858.860000 1.423633e-16 1.942267e-17
3861.860000 1.348242e-16 1.928051e-17
3864.860000 1.301930e-16 2.168275e-17
3867.860000 1.527853e-16 2.149547e-17
3870.860000 1.414784e-16 1.910006e-17
3873.860000 1.323456e-16 1.930742e-17
3876.860000 1.053323e-16 2.130344e-17
3879.860000 1.175931e-16 2.059365e-17
3882.860000 1.284386e-16 1.878087e-17
3885.860000 1.176009e-16 1.950505e-17
3888.860000 8.837788e-17 2.073838e-17
3891.860000 7.122937e-17 1.947043e-17
3894.860000 6.718169e-17 1.775359e-17
3897.860000 6.031907e-17 1.898965e-17
3900.860000 6.431893e-17 2.014896e-17
3903.860000 4.112213e-17 1.842091e-17
3906.860000 7.697472e-17 1.756229e-17
3909.860000 8.181185e-17 1.939509e-17
3912.860000 7.437253e-17 2.000831e-17
3915.860000 7.695547e-17 1.793412e-17
3918.860000 9.967312e-17 1.761828e-17
3921.860000 8.323434e-17 1.946764e-17
3924.860000 6.852773e-17 1.928219e-17
3927.860000 9.381814e-17 1.734017e-17
3930.860000 7.722029e-17 1.717000e-17
3933.860000 8.133371e-17 1.938561e-17
3936.860000 6.983592e-17 1.927693e-17
3939.860000 8.021710e-17 1.696579e-17
3942.860000 8.095938e-17 1.731970e-17
3945.860000 7.819746e-17 1.940958e-17
3948.860000 1.059599e-16 1.908474e-17
3951.860000 1.011844e-16 1.713515e-17
3954.860000 9.178996e-17 1.784831e-17
3957.860000 9.825157e-17 1.930342e-17
3960.860000 5.358967e-17 1.804446e-17
3963.860000 7.362883e-17 1.670960e-17
3966.860000 7.687841e-17 1.803996e-17
3969.860000 8.684713e-17 1.918002e-17
3972.860000 9.066643e-17 1.774593e-17
3975.860000 1.036105e-16 1.691895e-17
3978.860000 1.421016e-16 1.910241e-17
3981.860000 1.545321e-16 2.005214e-17
3984.860000 1.580661e-16 1.863768e-17
3987.860000 1.485833e-16 1.796802e-17
3990.860000 1.557934e-16 2.044508e-17
3993.860000 1.479371e-16 2.075628e-17
3996.860000 1.398695e-16 1.849711e-17
3999.860000 1.405943e-16 1.814585e-17
4002.860000 1.207172e-16 2.036037e-17
4005.860000 9.734955e-17 2.016198e-17
