# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 21xtb
# CHANNEL = B+R
# EXPNUM = 21_257_028
# MJD-OBS = 59471.421105
# DATE-OBS = 2021-09-14T10:06:53
# EXPTIME = 2400.0s
# AIRMASS = 1.25
# RA = 01:41:28.98
# DEC = 37:32:09.94
# wl fl err
# [A] [erg/s/cm2/A]
3402.860000 2.477220e-17 3.543424e-17
3405.860000 2.306099e-17 3.655118e-17
3408.860000 -4.555356e-17 3.241049e-17
3411.860000 1.326511e-17 3.061391e-17
3414.860000 1.059411e-17 3.373726e-17
3417.860000 3.778717e-17 3.449869e-17
3420.860000 2.407924e-17 3.080730e-17
3423.860000 -5.471315e-18 2.966594e-17
3426.860000 -3.575461e-17 3.309706e-17
3429.860000 -1.576803e-17 3.316667e-17
3432.860000 4.771635e-17 2.955472e-17
3435.860000 5.308940e-17 2.988057e-17
3438.860000 5.005282e-17 3.306212e-17
3441.860000 3.780390e-17 3.202845e-17
3444.860000 2.555389e-17 2.815344e-17
3447.860000 9.067197e-18 2.885476e-17
3450.860000 -8.652679e-18 3.125072e-17
3453.860000 -2.320582e-18 3.012808e-17
3456.860000 4.559762e-17 2.774607e-17
3459.860000 1.864620e-17 2.888493e-17
3462.860000 -4.394876e-17 3.044984e-17
3465.860000 -2.363038e-17 2.878070e-17
3468.860000 -3.129535e-17 2.636950e-17
3471.860000 -2.183689e-17 2.831533e-17
3474.860000 -3.908955e-18 2.948086e-17
3477.860000 2.405752e-17 2.735592e-17
3480.860000 2.083124e-17 2.562688e-17
3483.860000 -2.173893e-17 2.836771e-17
3486.860000 -2.664443e-17 2.933758e-17
3489.860000 -1.390883e-17 2.611123e-17
3492.860000 -2.728582e-17 2.479508e-17
3495.860000 -6.512217e-17 2.726311e-17
3498.860000 -2.430470e-17 2.755453e-17
3501.860000 4.283471e-18 2.419988e-17
3504.860000 2.432477e-17 2.401501e-17
3507.860000 1.222518e-17 2.668088e-17
3510.860000 2.141186e-17 2.627995e-17
3513.860000 5.017887e-17 2.324329e-17
3516.860000 3.018333e-18 2.329535e-17
3519.860000 -3.592966e-17 2.546393e-17
3522.860000 -2.869761e-17 2.457630e-17
3525.860000 -9.793846e-18 2.212113e-17
3528.860000 3.937194e-18 2.335081e-17
3531.860000 2.861035e-17 2.548893e-17
3534.860000 6.153237e-17 2.447306e-17
3537.860000 4.518214e-17 2.240969e-17
3540.860000 4.650617e-17 2.434111e-17
3543.860000 2.582629e-17 2.567565e-17
3546.860000 1.379708e-17 2.397079e-17
3549.860000 4.413132e-17 2.305660e-17
3552.860000 5.689782e-17 2.549224e-17
3555.860000 1.915808e-17 2.593470e-17
3558.860000 4.257640e-17 2.353522e-17
3561.860000 6.765153e-17 2.250088e-17
