# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 21yal
# CHANNEL = B+R
# EXPNUM = 21_249_031
# MJD-OBS = 59463.506562
# DATE-OBS = 2021-09-06T12:09:29
# EXPTIME = 1500.0s
# AIRMASS = 1.36
# RA = 03:23:46.66
# DEC = 00:01:48.29
# wl fl err
# [A] [erg/s/cm2/A]
3402.860000 6.001071e-16 7.448649e-17
3405.860000 6.390245e-16 7.736334e-17
3408.860000 6.964915e-16 7.093091e-17
3411.860000 6.668129e-16 6.666233e-17
3414.860000 6.404600e-16 7.353988e-17
3417.860000 7.114541e-16 7.534081e-17
3420.860000 6.539519e-16 6.727924e-17
3423.860000 6.496225e-16 6.499133e-17
3426.860000 5.802731e-16 7.308264e-17
3429.860000 6.165531e-16 7.339602e-17
3432.860000 7.247256e-16 6.457133e-17
3435.860000 7.974054e-16 6.513389e-17
3438.860000 7.269804e-16 7.270738e-17
3441.860000 6.700903e-16 7.073505e-17
3444.860000 7.276722e-16 6.214876e-17
3447.860000 7.831223e-16 6.421725e-17
3450.860000 8.098777e-16 7.049944e-17
3453.860000 7.258150e-16 6.725453e-17
3456.860000 6.973751e-16 6.060685e-17
3459.860000 7.610609e-16 6.454849e-17
3462.860000 8.247487e-16 6.905760e-17
3465.860000 7.881476e-16 6.445731e-17
3468.860000 7.906909e-16 5.908444e-17
3471.860000 7.510319e-16 6.339211e-17
3474.860000 7.478488e-16 6.649978e-17
3477.860000 7.883060e-16 6.219967e-17
3480.860000 7.432102e-16 5.811567e-17
3483.860000 6.973722e-16 6.345304e-17
3486.860000 6.464545e-16 6.477800e-17
3489.860000 6.822536e-16 5.867915e-17
3492.860000 6.844478e-16 5.673239e-17
3495.860000 6.614338e-16 6.296191e-17
3498.860000 5.888531e-16 6.227706e-17
3501.860000 6.402830e-16 5.466011e-17
3504.860000 6.461900e-16 5.441295e-17
3507.860000 6.044125e-16 6.096718e-17
3510.860000 7.011224e-16 6.038362e-17
3513.860000 7.310204e-16 5.331138e-17
3516.860000 7.248996e-16 5.414182e-17
3519.860000 8.108115e-16 6.024233e-17
3522.860000 7.811489e-16 5.832658e-17
3525.860000 8.150423e-16 5.251273e-17
3528.860000 7.667698e-16 5.477076e-17
3531.860000 6.508535e-16 5.837270e-17
3534.860000 7.577283e-16 5.585931e-17
3537.860000 8.602418e-16 5.240120e-17
3540.860000 8.973003e-16 5.692612e-17
3543.860000 7.728739e-16 5.921460e-17
3546.860000 6.697022e-16 5.431452e-17
3549.860000 7.001217e-16 5.136513e-17
3552.860000 7.275898e-16 5.650358e-17
3555.860000 7.968046e-16 5.878656e-17
3558.860000 7.794542e-16 5.326156e-17
3561.860000 8.128133e-16 5.118272e-17
3564.860000 7.850635e-16 5.719515e-17
3567.860000 7.754419e-16 5.749237e-17
3570.860000 7.044271e-16 5.003502e-17
3573.860000 7.591415e-16 4.974859e-17
3576.860000 7.622440e-16 5.640194e-17
3579.860000 7.984119e-16 5.598398e-17
3582.860000 7.821436e-16 4.871225e-17
3585.860000 8.189897e-16 4.931948e-17
3588.860000 7.009060e-16 5.372157e-17
3591.860000 7.001906e-16 5.194202e-17
3594.860000 7.299163e-16 4.666606e-17
3597.860000 7.063381e-16 4.850838e-17
3600.860000 6.980076e-16 5.209354e-17
3603.860000 6.903684e-16 4.976097e-17
3606.860000 7.248538e-16 4.521235e-17
3609.860000 7.080471e-16 4.787329e-17
3612.860000 6.586218e-16 5.056566e-17
3615.860000 6.430160e-16 4.721455e-17
3618.860000 6.289397e-16 4.401308e-17
3621.860000 5.702768e-16 4.766823e-17
3624.860000 5.271965e-16 4.927069e-17
3627.860000 5.598126e-16 4.518383e-17
3630.860000 5.477160e-16 4.333764e-17
3633.860000 6.003231e-16 4.888896e-17
3636.860000 6.489762e-16 4.977810e-17
3639.860000 5.380565e-16 4.380155e-17
3642.860000 4.950462e-16 4.272727e-17
3645.860000 5.253809e-16 4.846133e-17
3648.860000 5.367797e-16 4.834859e-17
3651.860000 5.399799e-16 4.217395e-17
3654.860000 5.559135e-16 4.251786e-17
3657.860000 5.816299e-16 4.753020e-17
3660.860000 5.582396e-16 4.637707e-17
3663.860000 5.668491e-16 4.122435e-17
3666.860000 5.647626e-16 4.256648e-17
3669.860000 5.819524e-16 4.641212e-17
3672.860000 6.000717e-16 4.436547e-17
3675.860000 6.445131e-16 4.086121e-17
3678.860000 6.789752e-16 4.348723e-17
3681.860000 6.684150e-16 4.607463e-17
3684.860000 6.377807e-16 4.275916e-17
3687.860000 6.393045e-16 3.970565e-17
3690.860000 6.405538e-16 4.340976e-17
3693.860000 6.320514e-16 4.538442e-17
3696.860000 6.595177e-16 4.185512e-17
3699.860000 7.253140e-16 4.023394e-17
3702.860000 6.620804e-16 4.461954e-17
3705.860000 6.004598e-16 4.533666e-17
3708.860000 6.800185e-16 4.100442e-17
3711.860000 7.384092e-16 4.046205e-17
3714.860000 7.587324e-16 4.613180e-17
3717.860000 7.680331e-16 4.626209e-17
3720.860000 7.827157e-16 4.052186e-17
3723.860000 8.246442e-16 4.130369e-17
3726.860000 7.908722e-16 4.602502e-17
3729.860000 7.103408e-16 4.470388e-17
3732.860000 7.426171e-16 3.989347e-17
3735.860000 7.541078e-16 4.120221e-17
3738.860000 7.207382e-16 4.513079e-17
