# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 21ymf
# CHANNEL = B+R
# EXPNUM = 21_257_040
# MJD-OBS = 59471.586603
# DATE-OBS = 2021-09-14T14:05:12
# EXPTIME = 1200.0s
# AIRMASS = 1.87
# RA = 04:10:42.65
# DEC = -36:07:49.70
# wl fl err
# [A] [erg/s/cm2/A]
3402.860000 1.320864e-16 6.572140e-17
3405.860000 1.736639e-17 6.742494e-17
3408.860000 4.886099e-17 6.153073e-17
3411.860000 1.293219e-16 5.828242e-17
3414.860000 1.424757e-16 6.441345e-17
3417.860000 2.474701e-17 6.485156e-17
3420.860000 9.407471e-17 5.822526e-17
3423.860000 7.406807e-17 5.659600e-17
3426.860000 1.402092e-16 6.520137e-17
3429.860000 1.612319e-16 6.520877e-17
3432.860000 4.105659e-17 5.604252e-17
3435.860000 5.408561e-17 5.612957e-17
3438.860000 1.138357e-16 6.368730e-17
3441.860000 1.306314e-16 6.239427e-17
3444.860000 1.408577e-16 5.469199e-17
3447.860000 1.035114e-16 5.503766e-17
3450.860000 1.013599e-16 5.976380e-17
3453.860000 1.365023e-16 5.777891e-17
3456.860000 1.183669e-16 5.221534e-17
3459.860000 1.022872e-16 5.482368e-17
3462.860000 5.833507e-17 5.814946e-17
3465.860000 1.055709e-16 5.510869e-17
3468.860000 9.600393e-17 5.074323e-17
3471.860000 4.491530e-17 5.366822e-17
3474.860000 3.444165e-18 5.549940e-17
3477.860000 2.811301e-17 5.163788e-17
3480.860000 5.374431e-17 4.968651e-17
3483.860000 9.998154e-17 5.531950e-17
3486.860000 1.106243e-16 5.647777e-17
3489.860000 8.711511e-17 5.069631e-17
3492.860000 8.325492e-17 4.863906e-17
3495.860000 3.096165e-17 5.386149e-17
3498.860000 3.547511e-17 5.418325e-17
3501.860000 9.417996e-17 4.764157e-17
3504.860000 9.098952e-17 4.755014e-17
3507.860000 9.072774e-17 5.306622e-17
3510.860000 6.855218e-17 5.181495e-17
3513.860000 9.670485e-17 4.541170e-17
3516.860000 2.169602e-17 4.575123e-17
3519.860000 7.615345e-18 5.013735e-17
