# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 2021yyn
# CHANNEL = B+R
# EXPNUM = 21_260_042
# MJD-OBS = 59474.523519
# DATE-OBS = 2021-09-17T12:34:21
# EXPTIME = 1800.0s
# AIRMASS = 1.61
# RA = 05:01:17.39
# DEC = -02:36:26.10
# wl fl err
# [A] [erg/s/cm2/A]
3402.860000 1.114021e-16 4.808670e-17
3405.860000 1.046476e-16 4.949599e-17
3408.860000 1.669813e-17 4.407151e-17
3411.860000 2.101884e-17 4.146045e-17
3414.860000 9.130405e-17 4.655499e-17
3417.860000 4.390835e-17 4.729587e-17
3420.860000 -1.813203e-17 4.163193e-17
3423.860000 3.643494e-17 4.092418e-17
3426.860000 7.002190e-18 4.629930e-17
3429.860000 -9.922006e-18 4.602727e-17
3432.860000 -3.546307e-17 3.989724e-17
3435.860000 7.233542e-18 4.005918e-17
3438.860000 5.178404e-17 4.540890e-17
3441.860000 8.811103e-17 4.463135e-17
3444.860000 4.127963e-17 3.876419e-17
3447.860000 5.246602e-17 4.040612e-17
3450.860000 4.956491e-17 4.410816e-17
3453.860000 6.841891e-17 4.285123e-17
3456.860000 6.141866e-17 3.861946e-17
3459.860000 5.367493e-17 3.999363e-17
3462.860000 8.480607e-17 4.269324e-17
3465.860000 7.900394e-17 4.048642e-17
3468.860000 8.707782e-17 3.721430e-17
3471.860000 5.152528e-17 3.984104e-17
3474.860000 4.107479e-17 4.136404e-17
3477.860000 2.916060e-17 3.777529e-17
3480.860000 1.855761e-17 3.563069e-17
3483.860000 1.472142e-17 3.951974e-17
3486.860000 5.161003e-17 4.057956e-17
3489.860000 7.189105e-17 3.611791e-17
3492.860000 4.103280e-17 3.443554e-17
3495.860000 2.189333e-17 3.832297e-17
3498.860000 4.302820e-17 3.863856e-17
3501.860000 -6.766142e-18 3.362832e-17
3504.860000 4.375639e-18 3.334589e-17
3507.860000 -5.127761e-19 3.698333e-17
3510.860000 8.192834e-18 3.633021e-17
3513.860000 3.667556e-17 3.242265e-17
3516.860000 6.777282e-17 3.354758e-17
3519.860000 2.723554e-17 3.676883e-17
3522.860000 1.871887e-17 3.529323e-17
3525.860000 2.837890e-17 3.175111e-17
3528.860000 3.472610e-17 3.351649e-17
3531.860000 2.900944e-17 3.643434e-17
3534.860000 2.325155e-17 3.471657e-17
3537.860000 5.249325e-17 3.231027e-17
3540.860000 6.080211e-17 3.477005e-17
3543.860000 8.891935e-17 3.706974e-17
3546.860000 1.320376e-16 3.474736e-17
3549.860000 1.304551e-16 3.265813e-17
3552.860000 1.005927e-16 3.580939e-17
3555.860000 8.406973e-17 3.654349e-17
3558.860000 8.397971e-17 3.280736e-17
3561.860000 6.724460e-17 3.130586e-17
3564.860000 1.036713e-16 3.499558e-17
3567.860000 9.256342e-17 3.511775e-17
3570.860000 5.557066e-17 3.054908e-17
3573.860000 8.654217e-17 3.064996e-17
3576.860000 1.212509e-16 3.459301e-17
3579.860000 1.168052e-16 3.430235e-17
3582.860000 8.245873e-17 2.963077e-17
3585.860000 7.110812e-17 2.948532e-17
3588.860000 9.680324e-17 3.281807e-17
3591.860000 7.004980e-17 3.189589e-17
3594.860000 1.345769e-16 2.883021e-17
3597.860000 1.152063e-16 2.999075e-17
3600.860000 1.149001e-16 3.263373e-17
3603.860000 1.658475e-16 3.125823e-17
3606.860000 1.699817e-16 2.846600e-17
3609.860000 1.723458e-16 3.041898e-17
3612.860000 1.491981e-16 3.201041e-17
3615.860000 9.289147e-17 2.942216e-17
3618.860000 8.921361e-17 2.775989e-17
3621.860000 1.524081e-16 3.100272e-17
3624.860000 1.967910e-16 3.227495e-17
3627.860000 1.723091e-16 2.945804e-17
3630.860000 1.757914e-16 2.824032e-17
3633.860000 1.790464e-16 3.146076e-17
3636.860000 1.983567e-16 3.197122e-17
3639.860000 1.258990e-16 2.796846e-17
3642.860000 9.990716e-17 2.711866e-17
3645.860000 1.099826e-16 3.089407e-17
3648.860000 1.173157e-16 3.075513e-17
3651.860000 1.682159e-16 2.695775e-17
3654.860000 1.923337e-16 2.768256e-17
3657.860000 1.752718e-16 3.083792e-17
3660.860000 1.217042e-16 2.959819e-17
3663.860000 1.153239e-16 2.658757e-17
3666.860000 1.428183e-16 2.781258e-17
3669.860000 1.554429e-16 3.022458e-17
3672.860000 1.379981e-16 2.848576e-17
3675.860000 1.261092e-16 2.592835e-17
3678.860000 1.402229e-16 2.780816e-17
3681.860000 1.142768e-16 2.903716e-17
3684.860000 1.058760e-16 2.696393e-17
3687.860000 1.051176e-16 2.520608e-17
3690.860000 1.156739e-16 2.749604e-17
3693.860000 1.313019e-16 2.898139e-17
3696.860000 1.505783e-16 2.679594e-17
3699.860000 1.322642e-16 2.565494e-17
3702.860000 1.259939e-16 2.841349e-17
3705.860000 1.828922e-16 2.917643e-17
3708.860000 2.090334e-16 2.625938e-17
3711.860000 1.612110e-16 2.551809e-17
3714.860000 1.184463e-16 2.902547e-17
3717.860000 1.657448e-16 2.923094e-17
3720.860000 1.193200e-16 2.517210e-17
3723.860000 1.183750e-16 2.520252e-17
3726.860000 1.484294e-16 2.846694e-17
3729.860000 1.392805e-16 2.818206e-17
3732.860000 1.493009e-16 2.511117e-17
3735.860000 1.193718e-16 2.543837e-17
3738.860000 9.626306e-17 2.749055e-17
3741.860000 9.683031e-17 2.639629e-17
3744.860000 8.748928e-17 2.411387e-17
3747.860000 9.294077e-17 2.528087e-17
3750.860000 6.981099e-17 2.667591e-17
3753.860000 9.666102e-17 2.541925e-17
3756.860000 1.361390e-16 2.414939e-17
