# TELESCOPE = Liverpool Telescope
# INSTRUMENT = SPRAT
# PROPOSAL = PL22A20b
# OBJECT = 2022eaw
# RA = 14:21:24.352
# DEC = 61:38:21.52
# DATE-OBS = 2022-03-30T04:42:59.496
# MJD-OBS = 59668.196522
# EXPTIME-OBS = 1800.0s
# AIRMASS-OBS = 1.246098
# SEEING-OBS = 1.001509
# wl fl
# [A] [Normalised]
4020.000000 0.563188
4029.200000 0.226421
4038.400000 0.373524
4047.600000 0.375276
4056.800000 0.371401
4066.000000 0.487132
4075.200000 0.288506
4084.400000 0.347812
4093.600000 0.264
4102.800000 0.286677
4112.000000 0.168484
4121.200000 0.506354
4130.400000 0.220324
4139.600000 0.411034
4148.800000 0.595747
4158.000000 0.427529
4167.200000 0.527903
4176.400000 0.284047
4185.600000 0.567389
4194.800000 0.558264
4204.000000 0.540005
4213.200000 0.590527
4222.400000 0.305141
4231.600000 0.529068
4240.800000 0.504304
4250.000000 0.517735
4259.200000 0.484089
4268.400000 0.560317
4277.600000 0.540091
4286.800000 0.517316
4296.000000 0.538818
4305.200000 0.48165
4314.400000 0.579942
4323.600000 0.566983
4332.800000 0.499881
4342.000000 0.579187
4351.200000 0.482784
4360.400000 0.557543
4369.600000 0.603424
4378.800000 0.565016
4388.000000 0.549499
4397.200000 0.619678
4406.400000 0.526529
4415.600000 0.557688
4424.800000 0.584183
4434.000000 0.557776
4443.200000 0.560968
4452.400000 0.528434
4461.600000 0.481147
4470.800000 0.544281
4480.000000 0.565982
4489.200000 0.646824
4498.400000 0.588024
4507.600000 0.618546
4516.800000 0.649068
4526.000000 0.602835
4535.200000 0.642006
4544.400000 0.613391
4553.600000 0.579198
4562.800000 0.651627
4572.000000 0.614214
4581.200000 0.688541
4590.400000 0.784783
4599.600000 0.710472
4608.800000 0.720926
4618.000000 0.671022
4627.200000 0.685837
4636.400000 0.646179
4645.600000 0.716449
4654.800000 0.708459
4664.000000 0.810339
4673.200000 0.890398
4682.400000 0.762821
4691.600000 0.766904
4700.800000 0.775065
4710.000000 0.808457
4719.200000 0.857512
4728.400000 0.75212
4737.600000 0.936421
4746.800000 0.886362
4756.000000 0.876665
4765.200000 0.867883
4774.400000 0.966543
4783.600000 0.931404
4792.800000 0.993342
4802.000000 0.972133
4811.200000 0.916046
4820.400000 0.869687
4829.600000 0.942377
4838.800000 0.909522
4848.000000 0.853418
4857.200000 0.885682
4866.400000 0.8234
4875.600000 0.827019
4884.800000 0.837769
4894.000000 0.841985
4903.200000 0.802069
4912.400000 0.882085
4921.600000 0.88261
4930.800000 0.84301
4940.000000 0.824146
4949.200000 0.856003
4958.400000 0.832309
4967.600000 0.881741
4976.800000 0.925119
4986.000000 0.925452
4995.200000 0.909476
5004.400000 0.927029
5013.600000 0.898337
5022.800000 0.874284
5032.000000 0.837653
5041.200000 0.801022
5050.400000 0.801979
5059.600000 0.874222
5068.800000 0.899584
5078.000000 0.910069
5087.200000 0.991956
5096.400000 0.908371
5105.600000 0.959207
5114.800000 0.964293
5124.000000 0.976073
5133.200000 1.00463
5142.400000 0.97685
5151.600000 0.943393
5160.800000 0.895984
5170.000000 0.747723
5179.200000 0.915216
5188.400000 0.85591
5197.600000 0.847171
5206.800000 0.860998
5216.000000 0.866627
5225.200000 0.843392
5234.400000 0.866232
5243.600000 0.890547
5252.800000 0.890221
5262.000000 0.837001
5271.200000 0.860624
5280.400000 0.843517
5289.600000 0.806594
5298.800000 0.86637
5308.000000 0.819645
5317.200000 0.842866
5326.400000 0.840344
5335.600000 0.788713
5344.800000 0.832888
5354.000000 0.740203
5363.200000 0.758186
5372.400000 0.732964
5381.600000 0.84112
5390.800000 0.84142
5400.000000 0.926247
5409.200000 0.928453
5418.400000 0.922351
5427.600000 0.981967
5436.800000 1.00439
5446.000000 1.00195
5455.200000 0.98481
5464.400000 0.969317
5473.600000 1.01174
5482.800000 1.07392
5492.000000 1.08749
5501.200000 1.11328
5510.400000 1.07551
5519.600000 1.06743
5528.800000 1.05247
5538.000000 1.09709
5547.200000 1.09018
5556.400000 1.09785
5565.600000 1.02587
5574.800000 1.16858
5584.000000 1.13621
5593.200000 1.1128
5602.400000 1.07213
5611.600000 1.06295
5620.800000 1.15453
5630.000000 1.15496
5639.200000 1.20892
5648.400000 1.11269
