# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = ASASSN22bu
# CHANNEL = B+R
# EXPNUM = 22_041_045_003
# MJD-OBS = 59620.621406
# DATE-OBS = 2022-02-10T14:54:34
# EXPTIME = 2000.0s
# AIRMASS = 1.34
# FLUXCAL_RMS_B = 0.103 mag
# FLUXCAL_RMS_R = 0.067 mag
# RA = 16:53:27.96
# DEC = 33:03:51.69
# wl fl err
# [A] [erg/s/cm2/A]
3402.860000 2.214302e-16 4.993502e-17
3405.860000 2.052574e-16 5.123073e-17
3408.860000 1.069531e-16 4.531068e-17
3411.860000 1.408260e-16 4.303570e-17
3414.860000 1.524173e-16 4.725730e-17
3417.860000 9.183004e-17 4.716387e-17
3420.860000 1.903317e-16 4.343545e-17
3423.860000 1.722339e-16 4.167149e-17
3426.860000 1.524634e-16 4.702813e-17
3429.860000 7.239655e-17 4.541970e-17
3432.860000 1.210083e-16 4.030484e-17
3435.860000 1.226520e-16 4.027521e-17
3438.860000 1.492439e-16 4.549803e-17
3441.860000 1.805144e-16 4.540869e-17
3444.860000 1.753343e-16 3.976529e-17
3447.860000 1.267819e-16 3.929347e-17
3450.860000 1.589475e-16 4.368693e-17
3453.860000 1.553536e-16 4.176313e-17
3456.860000 1.184707e-16 3.745457e-17
3459.860000 1.280018e-16 3.973415e-17
3462.860000 1.412420e-16 4.232888e-17
3465.860000 1.770071e-16 4.022622e-17
3468.860000 1.164054e-16 3.623755e-17
3471.860000 1.028380e-16 3.895560e-17
3474.860000 1.022838e-16 4.089392e-17
3477.860000 8.802554e-17 3.714705e-17
3480.860000 1.112212e-16 3.561333e-17
3483.860000 1.772183e-16 4.055837e-17
3486.860000 1.777632e-16 4.175146e-17
3489.860000 1.484289e-16 3.719334e-17
3492.860000 1.129389e-16 3.514846e-17
3495.860000 1.706463e-16 3.991210e-17
3498.860000 1.501488e-16 3.964968e-17
3501.860000 1.170129e-16 3.401910e-17
3504.860000 1.417782e-16 3.401231e-17
3507.860000 1.921407e-16 3.870268e-17
3510.860000 1.618602e-16 3.746708e-17
3513.860000 1.951085e-16 3.329494e-17
