# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 22dwa
# CHANNEL = B+R
# EXPNUM = 22_067_006_003
# MJD-OBS = 59646.243767
# DATE-OBS = 2022-03-08T05:50:46
# EXPTIME = 1800.0s
# AIRMASS = 1.26
# FLUXCAL_RMS_B = 0.124 mag
# FLUXCAL_RMS_R = 0.074 mag
# RA = 03:57:39.26
# DEC = 36:47:11.66
# wl fl err
# [A] [erg/s/cm2/A]
3402.860000 1.799419e-16 6.982257e-17
3405.860000 2.313720e-16 7.347895e-17
3408.860000 2.347591e-16 6.667222e-17
3411.860000 3.046111e-16 6.325257e-17
3414.860000 2.902115e-16 6.883484e-17
3417.860000 1.836027e-16 6.975145e-17
3420.860000 1.915855e-16 6.266020e-17
3423.860000 2.417498e-16 6.135967e-17
3426.860000 3.201552e-16 6.940565e-17
3429.860000 4.166949e-16 6.993177e-17
3432.860000 2.806769e-16 6.039408e-17
3435.860000 2.980513e-16 5.998487e-17
3438.860000 3.756136e-16 6.781259e-17
3441.860000 2.782970e-16 6.557365e-17
3444.860000 2.818263e-16 5.731596e-17
3447.860000 2.898247e-16 5.882944e-17
3450.860000 1.664552e-16 6.274746e-17
3453.860000 2.891065e-16 6.189730e-17
3456.860000 3.092077e-16 5.594713e-17
3459.860000 2.247253e-16 5.830009e-17
3462.860000 2.518466e-16 6.208306e-17
3465.860000 2.644268e-16 5.872035e-17
3468.860000 2.593552e-16 5.321149e-17
3471.860000 2.888083e-16 5.749053e-17
3474.860000 2.737905e-16 6.001286e-17
3477.860000 3.155262e-16 5.565481e-17
3480.860000 2.163999e-16 5.148633e-17
3483.860000 2.779717e-16 5.843496e-17
3486.860000 3.075083e-16 6.055437e-17
3489.860000 3.245580e-16 5.386577e-17
3492.860000 3.743555e-16 5.280799e-17
3495.860000 3.650504e-16 5.884757e-17
3498.860000 2.947165e-16 5.783964e-17
3501.860000 3.791675e-16 5.192494e-17
3504.860000 4.125466e-16 5.216336e-17
3507.860000 4.111890e-16 5.826322e-17
3510.860000 3.152640e-16 5.613539e-17
3513.860000 3.276668e-16 4.934965e-17
3516.860000 3.089992e-16 4.984864e-17
3519.860000 3.526462e-16 5.507157e-17
3522.860000 4.332219e-16 5.365557e-17
3525.860000 3.397771e-16 4.752322e-17
3528.860000 3.012342e-16 4.891404e-17
3531.860000 3.457489e-16 5.329936e-17
3534.860000 2.815865e-16 5.020026e-17
3537.860000 3.307969e-16 4.675801e-17
3540.860000 3.141214e-16 5.031169e-17
3543.860000 3.380605e-16 5.344432e-17
3546.860000 2.793937e-16 4.936159e-17
3549.860000 3.505817e-16 4.728193e-17
3552.860000 3.891576e-16 5.237456e-17
3555.860000 3.938839e-16 5.426781e-17
3558.860000 3.939723e-16 4.887490e-17
3561.860000 3.721979e-16 4.707262e-17
3564.860000 3.621163e-16 5.289097e-17
3567.860000 3.302362e-16 5.252824e-17
3570.860000 3.557041e-16 4.644741e-17
3573.860000 3.324081e-16 4.555133e-17
3576.860000 3.957802e-16 5.217684e-17
3579.860000 3.858220e-16 5.148274e-17
3582.860000 3.459564e-16 4.482458e-17
3585.860000 3.351293e-16 4.508227e-17
3588.860000 3.029027e-16 4.904845e-17
3591.860000 2.760802e-16 4.750568e-17
3594.860000 2.806523e-16 4.216449e-17
3597.860000 3.527234e-16 4.479940e-17
3600.860000 3.849568e-16 4.897438e-17
3603.860000 3.090625e-16 4.569792e-17
3606.860000 3.326186e-16 4.183349e-17
3609.860000 3.275325e-16 4.450219e-17
3612.860000 2.661546e-16 4.578421e-17
3615.860000 3.428462e-16 4.350083e-17
3618.860000 3.446536e-16 4.092458e-17
3621.860000 3.949183e-16 4.543183e-17
3624.860000 3.795701e-16 4.686401e-17
3627.860000 3.669960e-16 4.261140e-17
3630.860000 4.041259e-16 4.129418e-17
3633.860000 4.391770e-16 4.654685e-17
3636.860000 3.716848e-16 4.677097e-17
3639.860000 3.385379e-16 4.116065e-17
3642.860000 3.277651e-16 4.050371e-17
3645.860000 3.476140e-16 4.611689e-17
3648.860000 3.555719e-16 4.588524e-17
3651.860000 3.986474e-16 4.027471e-17
3654.860000 3.560535e-16 4.037197e-17
3657.860000 2.424967e-16 4.396659e-17
3660.860000 2.127414e-16 4.239902e-17
3663.860000 2.446804e-16 3.826210e-17
3666.860000 3.055777e-16 4.011610e-17
3669.860000 3.285481e-16 4.359638e-17
3672.860000 2.423579e-16 4.079172e-17
3675.860000 2.514098e-16 3.687987e-17
3678.860000 2.866480e-16 3.953814e-17
3681.860000 2.606958e-16 4.162864e-17
3684.860000 3.248536e-16 3.929823e-17
3687.860000 2.946466e-16 3.635293e-17
3690.860000 2.804749e-16 3.943576e-17
3693.860000 1.804562e-16 4.027184e-17
3696.860000 1.576893e-16 3.678138e-17
3699.860000 2.008800e-16 3.553333e-17
3702.860000 2.385199e-16 3.999152e-17
3705.860000 2.646642e-16 4.128716e-17
3708.860000 2.425352e-16 3.660763e-17
3711.860000 2.431503e-16 3.581078e-17
3714.860000 2.011188e-16 4.035437e-17
3717.860000 1.976738e-16 4.066885e-17
3720.860000 2.271651e-16 3.589356e-17
3723.860000 2.376201e-16 3.604210e-17
3726.860000 1.297140e-16 4.022963e-17
3729.860000 8.105610e-17 4.166881e-17
3732.860000 1.631139e-16 4.076778e-17
3735.860000 3.777962e-16 4.291451e-17
3738.860000 4.064345e-16 4.348281e-17
3741.860000 2.661124e-16 3.892670e-17
3744.860000 2.257480e-16 3.454836e-17
3747.860000 2.428645e-16 3.652645e-17
3750.860000 2.224134e-16 3.862371e-17
3753.860000 2.111183e-16 3.630516e-17
3756.860000 1.916684e-16 3.358994e-17
3759.860000 2.178189e-16 3.720703e-17
3762.860000 2.509637e-16 3.900838e-17
3765.860000 2.615677e-16 3.562935e-17
3768.860000 1.904327e-16 3.308728e-17
3771.860000 1.860507e-16 3.678021e-17
3774.860000 2.105035e-16 3.821021e-17
3777.860000 2.071919e-16 3.423707e-17
3780.860000 2.102065e-16 3.318258e-17
3783.860000 2.293878e-16 3.770290e-17
3786.860000 2.097607e-16 3.737018e-17
3789.860000 2.469425e-16 3.299193e-17
3792.860000 2.804434e-16 3.332745e-17
3795.860000 2.490547e-16 3.684346e-17
3798.860000 1.833905e-16 3.547758e-17
3801.860000 1.827342e-16 3.138218e-17
