# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = AT2022eqs
# CHANNEL = B+R
# EXPNUM = 22_072_043_003
# MJD-OBS = 59651.621591
# DATE-OBS = 2022-03-13T14:54:50
# EXPTIME = 1800.0s
# AIRMASS = 1.08
# FLUXCAL_RMS_B = 0.124 mag
# FLUXCAL_RMS_R = 0.074 mag
# RA = 14:35:26.15
# DEC = 08:02:04.40
# wl fl err
# [A] [erg/s/cm2/A]
3402.860000 3.622470e-17 4.676195e-17
3405.860000 3.622968e-17 4.851956e-17
3408.860000 6.197445e-17 4.398382e-17
3411.860000 8.130095e-17 4.197899e-17
3414.860000 1.309734e-16 4.697983e-17
3417.860000 1.395036e-16 4.797112e-17
3420.860000 1.094349e-16 4.233258e-17
3423.860000 8.105476e-17 4.052072e-17
3426.860000 9.112237e-17 4.579599e-17
3429.860000 9.737448e-17 4.581253e-17
3432.860000 1.030177e-16 3.993567e-17
3435.860000 1.004985e-16 3.978236e-17
3438.860000 3.097450e-17 4.341484e-17
3441.860000 7.172337e-17 4.322261e-17
3444.860000 3.785938e-17 3.721564e-17
3447.860000 8.258194e-17 3.877291e-17
3450.860000 1.337151e-16 4.286095e-17
3453.860000 1.405067e-16 4.129437e-17
3456.860000 7.374477e-17 3.647178e-17
3459.860000 5.191002e-17 3.805669e-17
3462.860000 1.945265e-17 4.007439e-17
3465.860000 9.220648e-17 3.889026e-17
3468.860000 1.096352e-16 3.583546e-17
3471.860000 8.023557e-17 3.797364e-17
3474.860000 8.225924e-17 4.015908e-17
3477.860000 3.643178e-17 3.594044e-17
3480.860000 7.197032e-17 3.467471e-17
3483.860000 5.493339e-17 3.816818e-17
3486.860000 5.356963e-17 3.936154e-17
3489.860000 6.703885e-17 3.533936e-17
3492.860000 5.301523e-17 3.384995e-17
3495.860000 4.833956e-17 3.827150e-17
3498.860000 1.086228e-16 3.889467e-17
3501.860000 5.249975e-17 3.313379e-17
3504.860000 4.541821e-17 3.256965e-17
3507.860000 6.446973e-17 3.671116e-17
3510.860000 8.964765e-17 3.627149e-17
3513.860000 8.873642e-17 3.179388e-17
3516.860000 6.168386e-17 3.201949e-17
3519.860000 3.084190e-17 3.479646e-17
3522.860000 6.208699e-17 3.371331e-17
3525.860000 8.535579e-17 3.057875e-17
3528.860000 7.412257e-17 3.196062e-17
3531.860000 6.699474e-17 3.450442e-17
3534.860000 2.904659e-17 3.191413e-17
3537.860000 1.016046e-17 2.909855e-17
3540.860000 1.879933e-17 3.170792e-17
3543.860000 1.013974e-16 3.457979e-17
3546.860000 6.858998e-17 3.201047e-17
3549.860000 8.982984e-17 3.057660e-17
3552.860000 1.105934e-16 3.402100e-17
3555.860000 1.001447e-16 3.512036e-17
3558.860000 3.776992e-17 3.079549e-17
3561.860000 3.448426e-17 2.958997e-17
3564.860000 1.518440e-17 3.281739e-17
3567.860000 6.211828e-17 3.372721e-17
3570.860000 7.121905e-17 3.014500e-17
3573.860000 6.070828e-17 2.939336e-17
3576.860000 8.106986e-17 3.329400e-17
3579.860000 6.016088e-17 3.275534e-17
3582.860000 3.354943e-17 2.813487e-17
3585.860000 4.409039e-17 2.860719e-17
3588.860000 8.398337e-17 3.186816e-17
3591.860000 9.849598e-17 3.074781e-17
3594.860000 9.355649e-17 2.763735e-17
3597.860000 7.057229e-17 2.841348e-17
3600.860000 1.019181e-16 3.091858e-17
3603.860000 1.053773e-16 2.945300e-17
3606.860000 7.967221e-17 2.648275e-17
3609.860000 8.691804e-17 2.854451e-17
3612.860000 9.577629e-17 3.023998e-17
3615.860000 5.460845e-17 2.732713e-17
3618.860000 8.009331e-17 2.615087e-17
3621.860000 9.228680e-17 2.915404e-17
3624.860000 9.293659e-17 2.998478e-17
3627.860000 1.066586e-16 2.744378e-17
3630.860000 1.022944e-16 2.626668e-17
3633.860000 1.024150e-16 2.918854e-17
3636.860000 9.917787e-17 2.954202e-17
3639.860000 1.240981e-16 2.677396e-17
3642.860000 1.006344e-16 2.645854e-17
3645.860000 1.048315e-16 3.015686e-17
3648.860000 1.130012e-16 2.956130e-17
3651.860000 1.243849e-16 2.630665e-17
3654.860000 1.274388e-16 2.675852e-17
3657.860000 1.105186e-16 2.919424e-17
3660.860000 1.395965e-16 2.837205e-17
3663.860000 1.349335e-16 2.505150e-17
3666.860000 1.719663e-16 2.630613e-17
3669.860000 1.823832e-16 2.865688e-17
3672.860000 1.375417e-16 2.700676e-17
3675.860000 1.196815e-16 2.434348e-17
3678.860000 1.317493e-16 2.589339e-17
3681.860000 1.576789e-16 2.787570e-17
3684.860000 1.522145e-16 2.611217e-17
3687.860000 1.442903e-16 2.447338e-17
3690.860000 1.313537e-16 2.636002e-17
3693.860000 1.237681e-16 2.719493e-17
3696.860000 1.301517e-16 2.488686e-17
3699.860000 1.441690e-16 2.392834e-17
3702.860000 1.131072e-16 2.618677e-17
3705.860000 1.099196e-16 2.674787e-17
3708.860000 1.529996e-16 2.470655e-17
3711.860000 1.435314e-16 2.412110e-17
3714.860000 1.213976e-16 2.704846e-17
3717.860000 1.237738e-16 2.681382e-17
3720.860000 1.545946e-16 2.392050e-17
3723.860000 1.436124e-16 2.404020e-17
3726.860000 1.640328e-16 2.745038e-17
3729.860000 1.820295e-16 2.707232e-17
3732.860000 1.734000e-16 2.389518e-17
3735.860000 1.796135e-16 2.499789e-17
3738.860000 1.514759e-16 2.695996e-17
3741.860000 1.497844e-16 2.599613e-17
3744.860000 1.367416e-16 2.346477e-17
3747.860000 1.487947e-16 2.500269e-17
3750.860000 1.618944e-16 2.680581e-17
3753.860000 1.448862e-16 2.479588e-17
3756.860000 1.629831e-16 2.305530e-17
3759.860000 1.711215e-16 2.523548e-17
3762.860000 1.287554e-16 2.578855e-17
3765.860000 1.419035e-16 2.379237e-17
3768.860000 1.639128e-16 2.297700e-17
3771.860000 1.521757e-16 2.518023e-17
3774.860000 1.191953e-16 2.534314e-17
3777.860000 1.591125e-16 2.315142e-17
3780.860000 1.692930e-16 2.275613e-17
3783.860000 1.822064e-16 2.583470e-17
3786.860000 1.798287e-16 2.566351e-17
3789.860000 1.814253e-16 2.253602e-17
3792.860000 1.913957e-16 2.268883e-17
3795.860000 2.036340e-16 2.562941e-17
3798.860000 1.856828e-16 2.476716e-17
3801.860000 1.596868e-16 2.147529e-17
3804.860000 1.640199e-16 2.211049e-17
3807.860000 1.491884e-16 2.394745e-17
3810.860000 1.598749e-16 2.323050e-17
3813.860000 1.807584e-16 2.131356e-17
3816.860000 2.001344e-16 2.263931e-17
3819.860000 1.910245e-16 2.391048e-17
3822.860000 1.926949e-16 2.266497e-17
3825.860000 1.713859e-16 2.068883e-17
3828.860000 1.650780e-16 2.225633e-17
3831.860000 1.761899e-16 2.352617e-17
3834.860000 1.891950e-16 2.193575e-17
3837.860000 2.043862e-16 2.104199e-17
3840.860000 1.968132e-16 2.311022e-17
3843.860000 1.678287e-16 2.341552e-17
3846.860000 1.918747e-16 2.160065e-17
3849.860000 2.190061e-16 2.141210e-17
3852.860000 2.097827e-16 2.402593e-17
3855.860000 2.126829e-16 2.418512e-17
3858.860000 2.127310e-16 2.143252e-17
3861.860000 2.231644e-16 2.166841e-17
3864.860000 2.470813e-16 2.465198e-17
3867.860000 2.352421e-16 2.426520e-17
3870.860000 2.195477e-16 2.112428e-17
3873.860000 1.740259e-16 2.092499e-17
3876.860000 1.792627e-16 2.318481e-17
3879.860000 2.022265e-16 2.300339e-17
3882.860000 2.008475e-16 2.054324e-17
3885.860000 2.051749e-16 2.140025e-17
3888.860000 2.200680e-16 2.324301e-17
3891.860000 2.194253e-16 2.208770e-17
3894.860000 1.901933e-16 2.006722e-17
3897.860000 1.679617e-16 2.126889e-17
3900.860000 1.623103e-16 2.205865e-17
3903.860000 1.455512e-16 2.003746e-17
3906.860000 1.420461e-16 1.873971e-17
3909.860000 1.271986e-16 2.043584e-17
3912.860000 1.313544e-16 2.113955e-17
3915.860000 1.582888e-16 1.946602e-17
3918.860000 1.786633e-16 1.916060e-17
3921.860000 1.683421e-16 2.158354e-17
3924.860000 1.391324e-16 2.130300e-17
3927.860000 1.489910e-16 1.880728e-17
3930.860000 1.416052e-16 1.862308e-17
3933.860000 1.369369e-16 2.110002e-17
3936.860000 1.177903e-16 2.055408e-17
3939.860000 9.613062e-17 1.791296e-17
3942.860000 1.148301e-16 1.856659e-17
3945.860000 1.201617e-16 2.063478e-17
3948.860000 1.186028e-16 2.022379e-17
3951.860000 1.223069e-16 1.808341e-17
3954.860000 1.013211e-16 1.863109e-17
3957.860000 9.460481e-17 1.988393e-17
3960.860000 9.761663e-17 1.889961e-17
3963.860000 1.168896e-16 1.752629e-17
3966.860000 1.111039e-16 1.887569e-17
3969.860000 1.265364e-16 2.047025e-17
3972.860000 1.051763e-16 1.891751e-17
3975.860000 1.116253e-16 1.808979e-17
3978.860000 9.379159e-17 1.996531e-17
3981.860000 1.185831e-16 2.161461e-17
3984.860000 1.222958e-16 1.992369e-17
3987.860000 1.360361e-16 1.948982e-17
3990.860000 1.201718e-16 2.141399e-17
3993.860000 9.853978e-17 2.119163e-17
3996.860000 1.092157e-16 1.885757e-17
3999.860000 1.111671e-16 1.834637e-17
4002.860000 1.071601e-16 2.045863e-17
4005.860000 9.652786e-17 1.998494e-17
4008.860000 8.239652e-17 1.706467e-17
4011.860000 6.930546e-17 1.669926e-17
4014.860000 5.505962e-17 1.834823e-17
4017.860000 6.952851e-17 1.778348e-17
4020.860000 7.853022e-17 1.581670e-17
4023.860000 9.741705e-17 1.666695e-17
4026.860000 1.212425e-16 1.825207e-17
4029.860000 1.087422e-16 1.746194e-17
4032.860000 7.880038e-17 1.539811e-17
4035.860000 9.677886e-17 1.677799e-17
4038.860000 1.120186e-16 1.810249e-17
4041.860000 1.047116e-16 1.676330e-17
4044.860000 1.243296e-16 1.600448e-17
4047.860000 1.195840e-16 1.747239e-17
4050.860000 1.070106e-16 1.802110e-17
4053.860000 1.020351e-16 1.634951e-17
4056.860000 1.251626e-16 1.601932e-17
4059.860000 1.513843e-16 1.826219e-17
4062.860000 1.388679e-16 1.848706e-17
4065.860000 1.291953e-16 1.653896e-17
4068.860000 1.191772e-16 1.626651e-17
4071.860000 1.324012e-16 1.891116e-17
4074.860000 1.152114e-16 1.875040e-17
4077.860000 1.184104e-16 1.654938e-17
4080.860000 1.181204e-16 1.682849e-17
4083.860000 1.250608e-16 1.919825e-17
4086.860000 1.284801e-16 1.894975e-17
4089.860000 1.422068e-16 1.703795e-17
4092.860000 1.572353e-16 1.791012e-17
4095.860000 1.584025e-16 1.959179e-17
4098.860000 1.483050e-16 1.857643e-17
4101.860000 1.490580e-16 1.679254e-17
4104.860000 1.382379e-16 1.761098e-17
4107.860000 1.291603e-16 1.855549e-17
4110.860000 1.490284e-16 1.762438e-17
4113.860000 1.423095e-16 1.622803e-17
4116.860000 1.324173e-16 1.752515e-17
4119.860000 1.416739e-16 1.820972e-17
4122.860000 1.424000e-16 1.671294e-17
4125.860000 1.169129e-16 1.555367e-17
4128.860000 1.406737e-16 1.754562e-17
4131.860000 1.545220e-16 1.802393e-17
4134.860000 1.383623e-16 1.580392e-17
4137.860000 1.309639e-16 1.537130e-17
4140.860000 1.234037e-16 1.730318e-17
4143.860000 1.474099e-16 1.755677e-17
4146.860000 1.901900e-16 1.601138e-17
4149.860000 1.966867e-16 1.618928e-17
4152.860000 1.730078e-16 1.782390e-17
4155.860000 1.559355e-16 1.736648e-17
4158.860000 1.686334e-16 1.552487e-17
4161.860000 1.977906e-16 1.648624e-17
4164.860000 2.100153e-16 1.817670e-17
4167.860000 1.914118e-16 1.731829e-17
4170.860000 1.806756e-16 1.555519e-17
4173.860000 1.979795e-16 1.669770e-17
4176.860000 1.793689e-16 1.765911e-17
4179.860000 1.833422e-16 1.687826e-17
4182.860000 1.744903e-16 1.550875e-17
4185.860000 1.889255e-16 1.688732e-17
4188.860000 2.130063e-16 1.806214e-17
4191.860000 2.447712e-16 1.707411e-17
4194.860000 2.600535e-16 1.647289e-17
4197.860000 2.434812e-16 1.792638e-17
4200.860000 2.277779e-16 1.835578e-17
4203.860000 2.134424e-16 1.627026e-17
4206.860000 2.289075e-16 1.604069e-17
4209.860000 2.562798e-16 1.855523e-17
4212.860000 2.602361e-16 1.865119e-17
4215.860000 2.694607e-16 1.662564e-17
4218.860000 2.665754e-16 1.655062e-17
4221.860000 2.400579e-16 1.820893e-17
4224.860000 2.504314e-16 1.827546e-17
4227.860000 2.507739e-16 1.607197e-17
4230.860000 2.466570e-16 1.639961e-17
4233.860000 2.149351e-16 1.766230e-17
4236.860000 2.173063e-16 1.727447e-17
4239.860000 2.252740e-16 1.560430e-17
4242.860000 2.540593e-16 1.689076e-17
4245.860000 2.826304e-16 1.856250e-17
4248.860000 2.783119e-16 1.751365e-17
4251.860000 2.787503e-16 1.621288e-17
4254.860000 2.608129e-16 1.722176e-17
4257.860000 2.564212e-16 1.817970e-17
4260.860000 2.623273e-16 1.698089e-17
4263.860000 2.682501e-16 1.606170e-17
4266.860000 2.827179e-16 1.780808e-17
4269.860000 2.495807e-16 1.801591e-17
4272.860000 2.361660e-16 1.616984e-17
4275.860000 2.535509e-16 1.591553e-17
4278.860000 2.311011e-16 1.754556e-17
4281.860000 2.273143e-16 1.784540e-17
4284.860000 2.252723e-16 1.575999e-17
4287.860000 2.331081e-16 1.573105e-17
4290.860000 2.159983e-16 1.762259e-17
4293.860000 2.457897e-16 1.774351e-17
4296.860000 2.663841e-16 1.588653e-17
4299.860000 2.515851e-16 1.596276e-17
4302.860000 2.387868e-16 1.755014e-17
4305.860000 2.441269e-16 1.715612e-17
4308.860000 2.521830e-16 1.540426e-17
4311.860000 2.371039e-16 1.581441e-17
4314.860000 2.229403e-16 1.702122e-17
4317.860000 2.100428e-16 1.615129e-17
4320.860000 2.118845e-16 1.480251e-17
4323.860000 2.228322e-16 1.604739e-17
4326.860000 2.293786e-16 1.704967e-17
4329.860000 2.331338e-16 1.595749e-17
4332.860000 2.304795e-16 1.499054e-17
4335.860000 2.459728e-16 1.667307e-17
4338.860000 2.692580e-16 1.767719e-17
4341.860000 2.707653e-16 1.617566e-17
4344.860000 2.754112e-16 1.566829e-17
4347.860000 2.833824e-16 1.760127e-17
4350.860000 2.850906e-16 1.788806e-17
4353.860000 2.692363e-16 1.581749e-17
4356.860000 2.703194e-16 1.570905e-17
4359.860000 2.779165e-16 1.796186e-17
4362.860000 2.953199e-16 1.814639e-17
4365.860000 3.074367e-16 1.609520e-17
4368.860000 2.864162e-16 1.603852e-17
4371.860000 2.895860e-16 1.790864e-17
4374.860000 2.951252e-16 1.755467e-17
4377.860000 3.075195e-16 1.584073e-17
4380.860000 3.157375e-16 1.654819e-17
4383.860000 3.085964e-16 1.793472e-17
4386.860000 3.055269e-16 1.717385e-17
4389.860000 3.148929e-16 1.578401e-17
4392.860000 2.954149e-16 1.659092e-17
4395.860000 2.797145e-16 1.755298e-17
4398.860000 2.679625e-16 1.629014e-17
4401.860000 2.818733e-16 1.533930e-17
4404.860000 2.950214e-16 1.697119e-17
4407.860000 2.974236e-16 1.771903e-17
4410.860000 3.103018e-16 1.636365e-17
4413.860000 2.926110e-16 1.551108e-17
4416.860000 2.877293e-16 1.748282e-17
4419.860000 2.849362e-16 1.771724e-17
4422.860000 2.896008e-16 1.588140e-17
4425.860000 3.039432e-16 1.574995e-17
4428.860000 2.980920e-16 1.787115e-17
4431.860000 2.853840e-16 1.763788e-17
4434.860000 3.049480e-16 1.561095e-17
4437.860000 3.158732e-16 1.587039e-17
4440.860000 3.072454e-16 1.763937e-17
4443.860000 2.876251e-16 1.712694e-17
4446.860000 2.909877e-16 1.527755e-17
4449.860000 2.907776e-16 1.578396e-17
4452.860000 2.725314e-16 1.700990e-17
4455.860000 2.950291e-16 1.663381e-17
4458.860000 3.090172e-16 1.523452e-17
4461.860000 3.000488e-16 1.603953e-17
4464.860000 2.892668e-16 1.705191e-17
4467.860000 2.707656e-16 1.579714e-17
4470.860000 2.739212e-16 1.475193e-17
4473.860000 2.847947e-16 1.619730e-17
4476.860000 2.892195e-16 1.706099e-17
4479.860000 2.836853e-16 1.572227e-17
4482.860000 2.624201e-16 1.468399e-17
4485.860000 2.797890e-16 1.659677e-17
4488.860000 3.083483e-16 1.730295e-17
4491.860000 3.033101e-16 1.556018e-17
4494.860000 2.975510e-16 1.510814e-17
4497.860000 2.894691e-16 1.702769e-17
4500.860000 2.816554e-16 1.698144e-17
4503.860000 2.847179e-16 1.502375e-17
4506.860000 2.932370e-16 1.521822e-17
4509.860000 2.855663e-16 1.695069e-17
4512.860000 2.876882e-16 1.681321e-17
4515.860000 2.866107e-16 1.485439e-17
4518.860000 2.779716e-16 1.518359e-17
4521.860000 2.774095e-16 1.667517e-17
4524.860000 2.841703e-16 1.616400e-17
4527.860000 2.762405e-16 1.462027e-17
4530.860000 2.771582e-16 1.550007e-17
4533.860000 2.977237e-16 1.693645e-17
4536.860000 2.795221e-16 1.574692e-17
4539.860000 2.614090e-16 1.430524e-17
4542.860000 2.513964e-16 1.534898e-17
4545.860000 2.319894e-16 1.588171e-17
4548.860000 2.265441e-16 1.467123e-17
4551.860000 2.375902e-16 1.403340e-17
4554.860000 2.526388e-16 1.579615e-17
4557.860000 2.390293e-16 1.593840e-17
4560.860000 2.575381e-16 1.458420e-17
4563.860000 2.687638e-16 1.434327e-17
4566.860000 2.684164e-16 1.629967e-17
4569.860000 2.361834e-16 1.594107e-17
4572.860000 2.440883e-16 1.426314e-17
4575.860000 2.410394e-16 1.423528e-17
4578.860000 2.342059e-16 1.601063e-17
4581.860000 2.336549e-16 1.584125e-17
4584.860000 2.343891e-16 1.392307e-17
4587.860000 2.200549e-16 1.404453e-17
4590.860000 2.383147e-16 1.590577e-17
4593.860000 2.474054e-16 1.544493e-17
4596.860000 2.382954e-16 1.377567e-17
4599.860000 2.153093e-16 1.413373e-17
4602.860000 2.136695e-16 1.524261e-17
4605.860000 2.283800e-16 1.468447e-17
4608.860000 2.175825e-16 1.340048e-17
4611.860000 1.992668e-16 1.420976e-17
4614.860000 1.807513e-16 1.471829e-17
4617.860000 2.176841e-16 1.418154e-17
4620.860000 2.259154e-16 1.349258e-17
4623.860000 2.316049e-16 1.489193e-17
4626.860000 2.422075e-16 1.561026e-17
4629.860000 2.125783e-16 1.376839e-17
4632.860000 2.137558e-16 1.333590e-17
4635.860000 2.200902e-16 1.504465e-17
4638.860000 2.269440e-16 1.533590e-17
4641.860000 2.024158e-16 1.331965e-17
4644.860000 1.881173e-16 1.313366e-17
4647.860000 1.948477e-16 1.500098e-17
4650.860000 2.039601e-16 1.493140e-17
4653.860000 2.065017e-16 1.320482e-17
4656.860000 2.004244e-16 1.346091e-17
4659.860000 2.024748e-16 1.496660e-17
4662.860000 2.073874e-16 1.467207e-17
