# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 22exa
# CHANNEL = B+R
# EXPNUM = 22_080_015_003
# MJD-OBS = 59659.370804
# DATE-OBS = 2022-03-21T08:53:41
# EXPTIME = 1800.0s
# AIRMASS = 1.28
# FLUXCAL_RMS_B = 0.124 mag
# FLUXCAL_RMS_R = 0.074 mag
# RA = 08:30:25.77
# DEC = 51:53:26.01
# wl fl err
# [A] [erg/s/cm2/A]
3402.860000 1.849272e-16 7.750291e-17
3405.860000 2.223873e-16 8.153738e-17
3408.860000 1.933579e-16 7.365583e-17
3411.860000 1.651018e-16 6.915181e-17
3414.860000 1.662978e-16 7.636572e-17
3417.860000 2.771265e-17 7.515220e-17
3420.860000 3.275965e-17 6.647910e-17
3423.860000 4.990453e-17 6.479331e-17
3426.860000 1.125852e-18 7.182791e-17
3429.860000 1.193640e-16 7.283987e-17
3432.860000 6.625431e-17 6.332227e-17
3435.860000 1.935045e-16 6.437693e-17
3438.860000 2.622748e-16 7.252836e-17
3441.860000 1.643164e-16 6.942923e-17
3444.860000 1.279897e-16 5.946780e-17
3447.860000 1.652921e-16 6.096792e-17
3450.860000 5.187875e-17 6.546675e-17
3453.860000 1.787243e-17 6.354122e-17
3456.860000 1.358975e-16 5.883243e-17
3459.860000 1.375525e-16 6.203263e-17
3462.860000 1.877432e-16 6.658027e-17
3465.860000 1.514997e-16 6.208777e-17
3468.860000 1.087244e-16 5.626374e-17
3471.860000 1.116209e-16 6.139375e-17
3474.860000 1.481036e-16 6.501769e-17
3477.860000 1.556959e-16 5.924906e-17
3480.860000 2.021534e-16 5.674197e-17
3483.860000 9.584396e-17 6.131802e-17
3486.860000 1.647941e-16 6.424534e-17
3489.860000 1.372999e-16 5.776314e-17
3492.860000 2.216859e-16 5.623592e-17
3495.860000 2.662166e-16 6.358788e-17
3498.860000 1.843190e-16 6.263139e-17
3501.860000 1.314507e-16 5.478513e-17
3504.860000 1.171419e-16 5.470579e-17
3507.860000 2.034378e-16 6.203882e-17
3510.860000 2.680340e-16 6.129618e-17
3513.860000 2.492418e-16 5.336895e-17
3516.860000 2.210102e-16 5.371782e-17
3519.860000 2.240797e-16 5.911715e-17
3522.860000 2.397548e-16 5.725589e-17
3525.860000 2.005087e-16 5.065991e-17
3528.860000 1.480037e-16 5.206840e-17
3531.860000 1.458252e-16 5.644041e-17
3534.860000 2.055847e-16 5.434423e-17
3537.860000 1.885505e-16 5.007339e-17
3540.860000 1.576875e-16 5.438749e-17
3543.860000 7.690556e-17 5.735230e-17
3546.860000 1.459616e-16 5.354109e-17
3549.860000 3.147515e-16 5.209629e-17
3552.860000 3.432012e-16 5.784732e-17
3555.860000 3.335416e-16 5.961240e-17
3558.860000 2.554915e-16 5.340709e-17
3561.860000 2.722219e-16 5.135910e-17
3564.860000 3.135561e-16 5.735069e-17
3567.860000 1.980759e-16 5.665231e-17
3570.860000 2.777307e-16 5.016252e-17
3573.860000 3.075642e-16 4.893044e-17
3576.860000 2.431843e-16 5.421513e-17
3579.860000 2.266639e-16 5.386843e-17
3582.860000 2.731915e-16 4.760418e-17
3585.860000 2.416132e-16 4.768349e-17
3588.860000 2.844989e-16 5.260280e-17
3591.860000 2.474816e-16 5.072749e-17
3594.860000 2.227020e-16 4.583275e-17
3597.860000 2.116990e-16 4.812309e-17
3600.860000 2.104856e-16 5.154839e-17
3603.860000 2.181352e-16 4.947819e-17
3606.860000 2.769602e-16 4.532527e-17
3609.860000 2.537066e-16 4.696868e-17
3612.860000 2.216749e-16 4.890628e-17
3615.860000 2.459560e-16 4.580222e-17
3618.860000 2.519360e-16 4.306686e-17
3621.860000 2.102015e-16 4.734023e-17
3624.860000 2.100611e-16 4.910518e-17
3627.860000 2.079760e-16 4.493202e-17
3630.860000 2.423966e-16 4.422324e-17
3633.860000 3.484746e-16 5.056981e-17
3636.860000 3.140411e-16 5.025039e-17
3639.860000 2.885102e-16 4.439128e-17
3642.860000 2.985566e-16 4.411455e-17
3645.860000 2.823988e-16 5.015545e-17
3648.860000 3.670994e-16 5.029546e-17
3651.860000 3.568395e-16 4.363345e-17
3654.860000 3.580190e-16 4.402757e-17
3657.860000 2.760981e-16 4.884306e-17
3660.860000 1.927764e-16 4.774468e-17
3663.860000 1.985523e-16 4.262941e-17
3666.860000 2.328310e-16 4.457647e-17
3669.860000 2.771093e-16 4.873647e-17
3672.860000 2.494571e-16 4.604473e-17
3675.860000 1.786399e-16 4.139189e-17
3678.860000 2.319613e-16 4.442590e-17
3681.860000 2.501693e-16 4.708796e-17
3684.860000 2.894874e-16 4.381229e-17
3687.860000 3.286326e-16 4.115467e-17
