# TELESCOPE = Liverpool Telescope
# INSTRUMENT = SPRAT
# PROPOSAL = PL22A20b
# OBJECT = 2022jrq
# RA = 13:45:29.924
# DEC = 25:38:0.14
# DATE-OBS = 2022-05-18T23:21:16.165
# MJD-OBS = 59717.973104
# EXPTIME-OBS = 1800.0s
# AIRMASS-OBS = 1.002285
# SEEING-OBS = 0.770939
# wl fl
# [A] [Normalised]
4020.000000 1.00375
4038.400000 0.803585
4047.600000 0.935303
4056.800000 0.899365
4066.000000 1.50792
4075.200000 1.34165
4084.400000 1.24425
4093.600000 1.3065
4102.800000 1.26359
4112.000000 1.46587
4121.200000 1.62219
4130.400000 1.48508
4139.600000 1.57483
4148.800000 1.91336
4158.000000 1.60713
4167.200000 1.45138
4176.400000 1.56811
4185.600000 1.39076
4194.800000 1.49436
4204.000000 1.1843
4213.200000 1.40726
4222.400000 1.24486
4231.600000 1.48966
4240.800000 1.24325
4250.000000 1.48367
4259.200000 1.65954
4268.400000 1.6077
4277.600000 1.74592
4286.800000 1.68239
4296.000000 1.48214
4305.200000 1.68677
4314.400000 1.74188
4323.600000 1.6888
4332.800000 1.59658
4342.000000 1.58809
4351.200000 1.43531
4360.400000 1.59929
4369.600000 1.62584
4378.800000 1.57011
4388.000000 1.49548
4397.200000 1.58853
4406.400000 1.53624
4415.600000 1.49523
4424.800000 1.44345
4434.000000 1.40409
4443.200000 1.43155
4452.400000 1.32408
4461.600000 1.14141
4470.800000 1.17207
4480.000000 1.21279
4489.200000 1.16643
4498.400000 1.2636
4507.600000 1.12326
4516.800000 1.09655
4526.000000 1.00414
4535.200000 1.12253
4544.400000 1.04466
4553.600000 1.00164
4562.800000 1.03289
4572.000000 1.08523
4581.200000 1.14323
4590.400000 1.20427
4599.600000 1.12663
4608.800000 1.26687
4618.000000 1.20201
4627.200000 1.23802
4636.400000 1.19105
4645.600000 1.14806
4654.800000 1.02911
4664.000000 1.04096
4673.200000 1.14607
4682.400000 1.04372
4691.600000 1.13416
4700.800000 1.18539
4710.000000 1.29524
4719.200000 1.25017
4728.400000 1.2758
4737.600000 1.25971
4746.800000 1.33681
4756.000000 1.38738
4765.200000 1.41605
4774.400000 1.41917
4783.600000 1.46844
4792.800000 1.38076
4802.000000 1.35156
4811.200000 1.37987
4820.400000 1.38254
4829.600000 1.39866
4838.800000 1.38279
4848.000000 1.49275
4857.200000 1.35999
4866.400000 1.39665
4875.600000 1.29481
4884.800000 1.24407
4894.000000 1.32434
4903.200000 1.33398
4912.400000 1.22392
4921.600000 1.1777
4930.800000 1.14912
4940.000000 1.15528
4949.200000 1.2047
4958.400000 1.15124
4967.600000 1.10598
4976.800000 1.13173
4986.000000 1.12855
4995.200000 1.06807
5004.400000 1.04244
5013.600000 1.11557
5022.800000 1.01203
5032.000000 1.05399
5041.200000 1.12622
5050.400000 1.17714
5059.600000 1.06908
5068.800000 1.04137
5078.000000 1.01705
5087.200000 0.99802
5096.400000 0.940349
5105.600000 0.904877
5114.800000 0.868826
5124.000000 0.931469
5133.200000 0.85748
5142.400000 0.900584
5151.600000 0.931709
5160.800000 0.839024
5170.000000 0.986093
5179.200000 0.897574
5188.400000 0.928067
5197.600000 0.987358
5206.800000 0.991539
5216.000000 0.926886
5225.200000 0.914669
5234.400000 0.845252
5243.600000 0.892608
5252.800000 0.962421
5262.000000 0.912017
5271.200000 0.893221
