# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = AT2022klh
# CHANNEL = B+R
# EXPNUM = 22_143_015_003
# MJD-OBS = 59722.356661
# DATE-OBS = 2022-05-23T08:33:15
# EXPTIME = 1800.0s
# AIRMASS = 1.07
# FLUXCAL_RMS_B = 0.313 mag
# FLUXCAL_RMS_R = 0.289 mag
# RA = 15:21:19.26
# DEC = 34:17:47.12
# wl fl err
# [A] [erg/s/cm2/A]
3402.860000 2.162285e-16 6.759469e-17
3405.860000 2.580621e-16 7.064107e-17
3408.860000 2.384671e-16 6.437758e-17
3411.860000 2.310409e-16 5.990566e-17
3414.860000 2.854595e-16 6.612532e-17
3417.860000 2.992955e-16 6.769293e-17
3420.860000 2.071661e-16 5.939948e-17
3423.860000 2.322353e-16 5.805152e-17
3426.860000 2.868404e-16 6.578782e-17
3429.860000 3.343944e-16 6.551644e-17
3432.860000 4.107269e-16 5.852771e-17
3435.860000 2.770888e-16 5.716950e-17
3438.860000 2.401051e-16 6.379858e-17
3441.860000 3.208445e-16 6.271380e-17
3444.860000 3.885887e-16 5.540349e-17
3447.860000 3.488239e-16 5.635478e-17
3450.860000 2.688451e-16 6.050978e-17
3453.860000 3.257858e-16 5.909153e-17
3456.860000 3.673438e-16 5.362395e-17
3459.860000 3.080059e-16 5.598827e-17
3462.860000 3.566750e-16 6.039309e-17
3465.860000 3.348286e-16 5.655272e-17
3468.860000 3.533449e-16 5.213175e-17
3471.860000 3.779830e-16 5.594440e-17
3474.860000 3.260211e-16 5.803381e-17
3477.860000 3.134828e-16 5.364452e-17
3480.860000 2.867648e-16 5.030307e-17
3483.860000 2.802551e-16 5.639289e-17
3486.860000 4.133365e-16 5.977900e-17
3489.860000 4.524441e-16 5.407733e-17
3492.860000 4.473459e-16 5.202897e-17
3495.860000 3.969047e-16 5.730947e-17
3498.860000 4.765505e-16 5.886318e-17
3501.860000 4.606933e-16 5.144566e-17
3504.860000 3.375418e-16 4.936823e-17
3507.860000 3.381177e-16 5.514552e-17
3510.860000 4.166906e-16 5.544338e-17
3513.860000 3.821627e-16 4.807663e-17
3516.860000 3.888093e-16 4.883943e-17
3519.860000 3.790243e-16 5.385462e-17
3522.860000 4.352625e-16 5.176403e-17
3525.860000 3.809872e-16 4.576058e-17
3528.860000 3.743476e-16 4.797685e-17
3531.860000 3.044077e-16 5.048950e-17
3534.860000 4.161865e-16 4.920021e-17
3537.860000 4.630146e-16 4.565864e-17
3540.860000 4.108279e-16 4.862366e-17
