# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = PS22eox
# CHANNEL = B+R
# EXPNUM = 22_179_028_003
# MJD-OBS = 59758.557089
# DATE-OBS = 2022-06-28T13:22:14
# EXPTIME = 2400.0s
# AIRMASS = 1.36
# FLUXCAL_RMS_B = 0.100 mag
# FLUXCAL_RMS_R = 0.089 mag
# RA = 21:47:32.97
# DEC = -22:46:21.69
# wl fl err
# [A] [erg/s/cm2/A]
3402.860000 5.119334e-17 2.918142e-17
3405.860000 1.608450e-17 2.988043e-17
3408.860000 2.409055e-17 2.715245e-17
3411.860000 4.559464e-17 2.566791e-17
3414.860000 1.163120e-17 2.777446e-17
3417.860000 -1.863612e-17 2.806990e-17
3420.860000 -7.333227e-18 2.516276e-17
3423.860000 1.788748e-17 2.475027e-17
3426.860000 2.494799e-17 2.832436e-17
3429.860000 -2.808736e-17 2.744856e-17
3432.860000 2.319180e-18 2.414216e-17
3435.860000 4.730912e-17 2.470431e-17
3438.860000 -6.311897e-18 2.704240e-17
3441.860000 -2.707253e-18 2.604455e-17
3444.860000 5.969526e-19 2.292028e-17
3447.860000 4.237170e-17 2.406711e-17
3450.860000 3.084281e-17 2.684089e-17
3453.860000 2.043878e-17 2.575511e-17
3456.860000 4.512883e-17 2.339025e-17
3459.860000 1.209302e-17 2.432577e-17
3462.860000 -2.196730e-17 2.512352e-17
3465.860000 -6.896453e-18 2.388803e-17
3468.860000 1.813159e-17 2.213480e-17
3471.860000 1.556573e-17 2.376894e-17
3474.860000 1.768103e-17 2.452223e-17
3477.860000 -5.729391e-18 2.229870e-17
3480.860000 -2.736679e-17 2.115975e-17
3483.860000 -1.405830e-17 2.383991e-17
3486.860000 9.905662e-18 2.466930e-17
3489.860000 1.655546e-17 2.207957e-17
3492.860000 7.075618e-18 2.103215e-17
3495.860000 -2.885742e-18 2.355006e-17
3498.860000 -5.960771e-18 2.344349e-17
3501.860000 -7.606942e-18 2.037441e-17
3504.860000 1.322526e-17 2.030198e-17
3507.860000 2.359278e-17 2.321482e-17
3510.860000 -2.060651e-17 2.222616e-17
3513.860000 -2.684059e-17 1.939785e-17
3516.860000 -2.486709e-17 1.984269e-17
3519.860000 1.874132e-17 2.220850e-17
3522.860000 1.133372e-20 2.130521e-17
3525.860000 1.150298e-17 1.899839e-17
3528.860000 2.664802e-17 2.001151e-17
3531.860000 -8.212597e-19 2.139388e-17
3534.860000 1.791921e-17 2.029588e-17
3537.860000 4.132396e-17 1.885384e-17
3540.860000 3.972733e-17 2.037477e-17
3543.860000 1.682292e-17 2.176770e-17
3546.860000 -3.421827e-17 1.998770e-17
3549.860000 -2.143412e-17 1.887609e-17
3552.860000 1.835429e-17 2.104972e-17
3555.860000 1.918159e-18 2.153854e-17
3558.860000 -3.987166e-18 1.949621e-17
3561.860000 2.859235e-18 1.883314e-17
3564.860000 1.986525e-17 2.109994e-17
3567.860000 5.023593e-18 2.093415e-17
3570.860000 2.208111e-17 1.845780e-17
3573.860000 1.222826e-17 1.818785e-17
3576.860000 1.150015e-17 2.048823e-17
3579.860000 9.865069e-18 2.010938e-17
3582.860000 -1.341426e-17 1.759372e-17
3585.860000 -6.611803e-18 1.785357e-17
3588.860000 1.999773e-17 2.006739e-17
3591.860000 -1.263131e-17 1.894803e-17
3594.860000 -3.039285e-17 1.666658e-17
3597.860000 -5.425576e-18 1.743519e-17
3600.860000 7.377020e-18 1.896192e-17
3603.860000 5.515578e-18 1.788098e-17
3606.860000 6.161241e-19 1.623666e-17
3609.860000 -9.730307e-18 1.726146e-17
3612.860000 -2.446407e-17 1.806673e-17
3615.860000 -6.899538e-18 1.687029e-17
3618.860000 -1.186417e-17 1.586105e-17
3621.860000 -8.119519e-18 1.760686e-17
3624.860000 3.662672e-17 1.867144e-17
3627.860000 2.116690e-17 1.685921e-17
3630.860000 9.825674e-18 1.609363e-17
3633.860000 5.424818e-19 1.779622e-17
3636.860000 -1.120661e-17 1.816222e-17
3639.860000 -6.844942e-18 1.632852e-17
3642.860000 -7.418316e-18 1.599979e-17
3645.860000 2.530984e-17 1.834423e-17
3648.860000 2.596725e-17 1.809294e-17
3651.860000 2.268771e-17 1.567660e-17
3654.860000 6.989080e-18 1.569606e-17
3657.860000 6.195007e-18 1.751144e-17
3660.860000 1.720031e-17 1.706222e-17
3663.860000 1.493732e-17 1.517286e-17
3666.860000 1.951123e-17 1.568659e-17
3669.860000 6.070406e-18 1.698916e-17
3672.860000 7.016708e-18 1.608118e-17
3675.860000 6.305110e-18 1.447102e-17
3678.860000 6.268445e-18 1.550527e-17
3681.860000 1.211123e-17 1.660231e-17
3684.860000 2.654160e-17 1.555323e-17
3687.860000 1.718695e-17 1.426914e-17
3690.860000 2.424300e-18 1.550298e-17
3693.860000 -9.696024e-18 1.612241e-17
3696.860000 -8.110211e-18 1.478361e-17
3699.860000 -1.347811e-18 1.427263e-17
3702.860000 1.357501e-17 1.621024e-17
3705.860000 1.806309e-17 1.670826e-17
3708.860000 1.104270e-17 1.483918e-17
3711.860000 -1.583644e-18 1.439529e-17
3714.860000 7.354770e-19 1.655432e-17
3717.860000 3.512825e-17 1.680562e-17
3720.860000 3.325015e-17 1.465180e-17
3723.860000 2.870192e-17 1.463266e-17
3726.860000 1.202110e-17 1.610701e-17
3729.860000 1.533177e-17 1.598413e-17
3732.860000 1.025610e-17 1.426088e-17
3735.860000 -6.896868e-18 1.459424e-17
3738.860000 -7.777438e-18 1.594307e-17
3741.860000 1.140033e-17 1.562461e-17
3744.860000 1.335049e-17 1.416942e-17
3747.860000 8.527976e-18 1.481287e-17
3750.860000 1.350824e-17 1.581207e-17
3753.860000 1.658243e-17 1.488231e-17
3756.860000 3.281190e-18 1.366111e-17
3759.860000 7.111139e-18 1.485988e-17
3762.860000 2.546781e-17 1.567441e-17
3765.860000 1.746120e-17 1.420811e-17
3768.860000 1.337850e-18 1.338730e-17
3771.860000 3.620628e-18 1.487222e-17
3774.860000 -6.186563e-18 1.503158e-17
3777.860000 9.885365e-18 1.360274e-17
3780.860000 3.360976e-17 1.355814e-17
3783.860000 3.011970e-17 1.532703e-17
3786.860000 2.630251e-17 1.527195e-17
3789.860000 1.459205e-17 1.326265e-17
3792.860000 5.103367e-19 1.312973e-17
3795.860000 1.226804e-17 1.485333e-17
3798.860000 4.159876e-17 1.487277e-17
3801.860000 1.660956e-17 1.281072e-17
3804.860000 8.674968e-18 1.310061e-17
3807.860000 1.831687e-17 1.449278e-17
3810.860000 5.540775e-18 1.370221e-17
3813.860000 2.837277e-18 1.238046e-17
3816.860000 2.029230e-17 1.326084e-17
3819.860000 2.015199e-17 1.420605e-17
3822.860000 1.694515e-17 1.323463e-17
3825.860000 1.817179e-17 1.231359e-17
3828.860000 2.189676e-17 1.342715e-17
3831.860000 2.863613e-18 1.385109e-17
3834.860000 1.706085e-17 1.303838e-17
3837.860000 1.919266e-17 1.234623e-17
3840.860000 1.763917e-17 1.356510e-17
3843.860000 1.040076e-17 1.380006e-17
3846.860000 8.947673e-18 1.247232e-17
3849.860000 2.451360e-17 1.235795e-17
3852.860000 2.266635e-17 1.396791e-17
3855.860000 2.107048e-17 1.399055e-17
3858.860000 2.023983e-17 1.230562e-17
3861.860000 7.602259e-18 1.222422e-17
3864.860000 9.656716e-18 1.387311e-17
3867.860000 1.961203e-17 1.381114e-17
3870.860000 2.317205e-17 1.218653e-17
3873.860000 1.781667e-17 1.238730e-17
3876.860000 2.641434e-17 1.373883e-17
3879.860000 2.603163e-17 1.329154e-17
3882.860000 2.319800e-17 1.189311e-17
3885.860000 1.856455e-17 1.232014e-17
3888.860000 1.361502e-18 1.310294e-17
3891.860000 6.776976e-18 1.249702e-17
3894.860000 2.169061e-17 1.164115e-17
3897.860000 2.322179e-17 1.248088e-17
3900.860000 2.955711e-17 1.320777e-17
3903.860000 2.529849e-17 1.229672e-17
3906.860000 1.872558e-17 1.152698e-17
3909.860000 2.244750e-17 1.264546e-17
3912.860000 2.181438e-17 1.301593e-17
3915.860000 8.461822e-18 1.157348e-17
3918.860000 2.618392e-17 1.139622e-17
3921.860000 4.354965e-17 1.293252e-17
3924.860000 1.986450e-17 1.284682e-17
3927.860000 2.491944e-17 1.141508e-17
3930.860000 3.767540e-17 1.141270e-17
3933.860000 4.409319e-17 1.284494e-17
3936.860000 4.680486e-17 1.287290e-17
3939.860000 2.397305e-17 1.123843e-17
3942.860000 1.193620e-17 1.145609e-17
3945.860000 2.443101e-17 1.286368e-17
3948.860000 1.661331e-17 1.257498e-17
3951.860000 1.200575e-17 1.115549e-17
3954.860000 9.758951e-18 1.155805e-17
3957.860000 1.551814e-17 1.247683e-17
3960.860000 1.483722e-17 1.178489e-17
3963.860000 3.208936e-17 1.101141e-17
3966.860000 3.352064e-17 1.182390e-17
3969.860000 2.582812e-17 1.246252e-17
3972.860000 2.541305e-17 1.174403e-17
3975.860000 3.396854e-17 1.133926e-17
3978.860000 2.462104e-17 1.264280e-17
3981.860000 1.525441e-17 1.331721e-17
3984.860000 1.599512e-17 1.223430e-17
3987.860000 1.927584e-17 1.187388e-17
3990.860000 2.094366e-17 1.330526e-17
3993.860000 3.403018e-17 1.365814e-17
3996.860000 3.566682e-17 1.196230e-17
3999.860000 2.796092e-17 1.154545e-17
4002.860000 8.896442e-18 1.269790e-17
4005.860000 -2.876209e-18 1.250319e-17
4008.860000 9.981353e-18 1.084182e-17
4011.860000 2.845121e-17 1.113611e-17
4014.860000 3.237339e-17 1.234250e-17
4017.860000 2.349670e-17 1.186083e-17
4020.860000 2.656989e-17 1.046234e-17
4023.860000 2.766255e-17 1.082077e-17
4026.860000 4.177721e-17 1.176366e-17
4029.860000 3.023550e-17 1.103631e-17
4032.860000 3.733432e-17 1.013120e-17
4035.860000 5.005847e-17 1.083091e-17
4038.860000 3.447735e-17 1.140105e-17
4041.860000 4.406212e-17 1.087035e-17
4044.860000 2.937672e-17 1.003038e-17
4047.860000 2.214961e-17 1.087878e-17
4050.860000 1.736342e-17 1.130507e-17
4053.860000 1.308785e-17 1.046261e-17
4056.860000 2.047435e-17 1.005054e-17
4059.860000 1.213185e-17 1.101127e-17
4062.860000 2.288453e-17 1.154188e-17
4065.860000 2.632095e-17 1.049606e-17
4068.860000 3.010118e-17 1.045239e-17
4071.860000 4.223349e-17 1.205797e-17
4074.860000 2.912995e-17 1.203924e-17
4077.860000 3.088873e-17 1.057316e-17
4080.860000 1.783310e-17 1.057894e-17
4083.860000 1.978952e-17 1.185979e-17
4086.860000 1.654665e-17 1.155907e-17
4089.860000 2.539650e-17 1.044997e-17
4092.860000 4.196052e-17 1.104868e-17
4095.860000 3.567705e-17 1.194954e-17
4098.860000 4.430118e-17 1.154176e-17
4101.860000 4.245764e-17 1.054981e-17
4104.860000 3.811576e-17 1.104821e-17
4107.860000 4.569733e-17 1.194211e-17
4110.860000 2.785254e-17 1.092527e-17
4113.860000 2.117407e-17 1.008488e-17
4116.860000 2.763232e-17 1.090479e-17
4119.860000 3.299952e-17 1.140246e-17
4122.860000 3.272108e-17 1.037162e-17
4125.860000 1.790338e-17 9.650722e-18
4128.860000 1.772956e-17 1.075588e-17
4131.860000 1.615245e-17 1.094179e-17
4134.860000 1.974653e-17 9.807815e-18
4137.860000 2.009129e-17 9.512052e-18
4140.860000 9.863623e-18 1.064123e-17
4143.860000 1.339917e-17 1.073927e-17
4146.860000 1.869254e-17 9.496878e-18
4149.860000 1.066199e-17 9.355712e-18
4152.860000 1.689365e-17 1.056268e-17
4155.860000 1.439166e-17 1.041601e-17
4158.860000 7.372365e-18 9.217567e-18
4161.860000 3.747912e-18 9.464999e-18
4164.860000 2.780720e-18 1.039964e-17
4167.860000 2.493031e-17 1.022040e-17
4170.860000 3.100413e-17 9.356443e-18
4173.860000 1.897100e-17 9.753191e-18
4176.860000 1.916464e-17 1.048118e-17
4179.860000 4.242932e-17 1.011484e-17
4182.860000 3.132996e-17 9.259319e-18
4185.860000 2.002374e-17 9.827877e-18
4188.860000 2.530611e-17 1.044723e-17
4191.860000 2.258274e-17 9.551836e-18
4194.860000 2.373210e-17 9.128208e-18
4197.860000 2.669388e-17 1.012221e-17
4200.860000 3.197847e-17 1.040173e-17
4203.860000 3.339607e-17 9.415916e-18
4206.860000 3.322658e-17 9.172097e-18
4209.860000 2.938901e-17 1.037368e-17
4212.860000 2.254291e-17 1.042059e-17
4215.860000 1.882288e-17 9.176662e-18
4218.860000 2.596308e-17 9.216583e-18
4221.860000 3.494138e-17 1.047378e-17
4224.860000 1.434932e-17 1.008416e-17
4227.860000 3.200186e-17 9.057040e-18
4230.860000 3.347559e-17 9.303379e-18
4233.860000 2.955508e-17 1.022495e-17
4236.860000 3.862421e-17 1.007407e-17
4239.860000 4.057155e-17 9.047536e-18
4242.860000 4.347888e-17 9.488621e-18
4245.860000 3.304737e-17 1.013031e-17
4248.860000 3.495552e-17 9.712471e-18
4251.860000 2.505945e-17 8.860461e-18
4254.860000 3.128087e-17 9.655710e-18
4257.860000 3.880898e-17 1.030660e-17
4260.860000 3.394217e-17 9.449568e-18
4263.860000 4.018043e-17 8.947623e-18
4266.860000 2.872592e-17 9.705846e-18
4269.860000 5.139145e-17 1.031448e-17
4272.860000 4.057794e-17 9.243436e-18
4275.860000 2.998170e-17 8.848522e-18
4278.860000 3.240708e-17 1.011712e-17
4281.860000 4.180887e-17 1.031577e-17
4284.860000 3.124535e-17 9.019981e-18
4287.860000 3.471378e-17 8.954447e-18
4290.860000 4.468131e-17 1.030769e-17
4293.860000 4.648492e-17 1.017104e-17
4296.860000 5.024861e-17 9.001236e-18
4299.860000 5.080499e-17 9.197658e-18
4302.860000 4.062300e-17 1.007119e-17
4305.860000 3.791563e-17 9.697117e-18
4308.860000 4.111699e-17 8.729606e-18
4311.860000 2.557803e-17 9.012892e-18
4314.860000 4.972976e-17 1.008131e-17
4317.860000 5.879291e-17 9.778002e-18
4320.860000 3.933030e-17 8.763447e-18
4323.860000 2.999261e-17 9.419243e-18
4326.860000 3.938141e-17 1.000922e-17
4329.860000 4.656239e-17 9.373472e-18
4332.860000 4.804338e-17 8.844718e-18
4335.860000 4.255776e-17 9.540149e-18
4338.860000 4.117021e-17 9.957735e-18
4341.860000 3.572494e-17 9.104346e-18
4344.860000 3.032218e-17 8.717096e-18
4347.860000 3.652170e-17 9.903409e-18
4350.860000 3.985360e-17 9.989734e-18
4353.860000 4.463662e-17 8.930748e-18
4356.860000 3.994298e-17 8.845449e-18
4359.860000 4.994448e-17 1.019421e-17
4362.860000 5.225056e-17 1.011852e-17
