# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = PS22ggi
# CHANNEL = B+R
# EXPNUM = 22_207_029_003
# MJD-OBS = 59786.528594
# DATE-OBS = 2022-07-26T12:41:12
# EXPTIME = 2700.0s
# AIRMASS = 1.43
# FLUXCAL_RMS_B = 0.100 mag
# FLUXCAL_RMS_R = 0.089 mag
# RA = 22:52:42.79
# DEC = -25:38:13.49
# wl fl err
# [A] [erg/s/cm2/A]
3402.860000 2.355741e-16 2.939993e-17
3405.860000 1.869767e-16 3.012459e-17
3408.860000 2.030732e-16 2.772401e-17
3411.860000 2.308384e-16 2.625973e-17
3414.860000 2.206427e-16 2.863849e-17
3417.860000 1.476149e-16 2.858714e-17
3420.860000 1.664642e-16 2.580191e-17
3423.860000 1.804438e-16 2.525850e-17
3426.860000 1.577482e-16 2.838017e-17
3429.860000 1.671302e-16 2.825082e-17
3432.860000 1.437614e-16 2.433872e-17
3435.860000 1.757324e-16 2.495776e-17
3438.860000 2.073948e-16 2.821462e-17
3441.860000 2.232158e-16 2.791439e-17
3444.860000 1.583865e-16 2.389771e-17
3447.860000 1.579924e-16 2.443014e-17
3450.860000 1.802860e-16 2.695841e-17
3453.860000 1.561030e-16 2.589828e-17
3456.860000 1.599002e-16 2.359821e-17
3459.860000 1.899408e-16 2.466587e-17
3462.860000 1.730424e-16 2.592711e-17
3465.860000 1.927297e-16 2.458673e-17
3468.860000 1.945843e-16 2.255791e-17
3471.860000 2.144854e-16 2.430876e-17
3474.860000 1.835027e-16 2.508389e-17
3477.860000 1.567407e-16 2.321295e-17
3480.860000 1.517759e-16 2.215412e-17
3483.860000 1.912355e-16 2.520354e-17
3486.860000 1.887930e-16 2.557054e-17
3489.860000 1.775351e-16 2.270616e-17
3492.860000 1.584711e-16 2.176123e-17
3495.860000 1.910133e-16 2.457237e-17
3498.860000 1.891313e-16 2.450679e-17
3501.860000 1.582512e-16 2.107160e-17
3504.860000 1.529173e-16 2.068187e-17
3507.860000 1.698927e-16 2.341610e-17
3510.860000 1.840808e-16 2.333096e-17
3513.860000 1.747996e-16 2.037547e-17
3516.860000 1.722305e-16 2.070851e-17
3519.860000 1.894255e-16 2.298452e-17
3522.860000 1.930714e-16 2.212063e-17
3525.860000 1.629621e-16 1.954093e-17
3528.860000 1.865050e-16 2.074761e-17
3531.860000 2.148362e-16 2.247539e-17
3534.860000 2.024088e-16 2.109716e-17
3537.860000 2.278873e-16 1.965737e-17
3540.860000 1.898451e-16 2.113080e-17
3543.860000 1.905805e-16 2.278094e-17
3546.860000 2.061992e-16 2.150289e-17
3549.860000 1.975020e-16 2.006397e-17
3552.860000 2.159590e-16 2.231676e-17
3555.860000 2.426006e-16 2.329377e-17
3558.860000 2.369308e-16 2.117863e-17
3561.860000 2.221090e-16 2.015672e-17
3564.860000 1.989195e-16 2.213349e-17
3567.860000 2.030746e-16 2.211299e-17
3570.860000 2.410536e-16 1.988338e-17
3573.860000 2.664940e-16 1.982215e-17
3576.860000 2.448721e-16 2.206002e-17
