# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = PS22hgb
# CHANNEL = B+R
# EXPNUM = 22_241_029_003
# MJD-OBS = 59820.349184
# DATE-OBS = 2022-08-29T08:22:51
# EXPTIME = 2700.0s
# AIRMASS = 1.31
# FLUXCAL_RMS_B = 0.064 mag
# FLUXCAL_RMS_R = 0.048 mag
# RA = 19:31:23.27
# DEC = -18:03:34.09
# wl fl err
# [A] [erg/s/cm2/A]
3402.860000 1.967476e-17 3.021440e-17
3405.860000 4.601272e-17 3.111578e-17
3408.860000 3.473226e-17 2.779651e-17
3411.860000 2.581512e-17 2.589652e-17
3414.860000 2.180950e-17 2.834284e-17
3417.860000 -1.021867e-17 2.753413e-17
3420.860000 2.563266e-17 2.486057e-17
3423.860000 -3.323874e-17 2.362100e-17
3426.860000 1.927230e-18 2.719431e-17
3429.860000 1.117461e-17 2.686653e-17
3432.860000 1.779365e-17 2.353005e-17
3435.860000 4.939269e-17 2.382855e-17
3438.860000 2.580815e-17 2.639871e-17
3441.860000 2.597785e-18 2.588217e-17
3444.860000 9.084127e-18 2.252746e-17
3447.860000 -1.132069e-18 2.298006e-17
3450.860000 3.399780e-17 2.556731e-17
3453.860000 3.140415e-17 2.449096e-17
3456.860000 5.196220e-18 2.189263e-17
3459.860000 1.096972e-17 2.304083e-17
3462.860000 3.184026e-17 2.462147e-17
3465.860000 1.615796e-17 2.257917e-17
3468.860000 4.089210e-17 2.073224e-17
3471.860000 4.056934e-17 2.240582e-17
3474.860000 3.440326e-17 2.323675e-17
3477.860000 2.928541e-17 2.112093e-17
3480.860000 2.589507e-17 1.990071e-17
3483.860000 -4.589008e-18 2.207541e-17
3486.860000 1.334323e-17 2.288530e-17
3489.860000 4.767498e-18 2.085241e-17
3492.860000 3.430299e-17 2.030397e-17
3495.860000 3.414798e-17 2.267707e-17
3498.860000 3.117750e-17 2.262465e-17
3501.860000 1.622884e-17 1.964534e-17
3504.860000 4.393844e-18 1.935085e-17
3507.860000 6.375580e-18 2.195385e-17
3510.860000 2.824673e-17 2.148131e-17
3513.860000 6.554543e-17 1.923217e-17
3516.860000 7.243057e-17 1.980091e-17
3519.860000 4.031285e-17 2.127646e-17
3522.860000 7.634464e-17 2.093290e-17
3525.860000 3.313248e-17 1.803786e-17
3528.860000 3.943591e-17 1.917598e-17
3531.860000 2.106274e-18 2.029804e-17
3534.860000 1.724066e-17 1.940936e-17
3537.860000 3.442081e-17 1.828400e-17
3540.860000 3.730503e-17 1.979180e-17
3543.860000 2.825469e-17 2.093068e-17
3546.860000 -1.283594e-17 1.937153e-17
3549.860000 6.684880e-18 1.865495e-17
3552.860000 3.732715e-18 2.016072e-17
3555.860000 2.691068e-17 2.072276e-17
3558.860000 1.681022e-17 1.861637e-17
3561.860000 4.091883e-17 1.797663e-17
3564.860000 3.667296e-17 1.999598e-17
3567.860000 1.224992e-17 1.984594e-17
3570.860000 1.851471e-17 1.747240e-17
3573.860000 4.206859e-17 1.745566e-17
3576.860000 2.361511e-17 1.930849e-17
3579.860000 4.034955e-18 1.903727e-17
3582.860000 9.904480e-18 1.691531e-17
3585.860000 3.273387e-17 1.738371e-17
3588.860000 4.861364e-17 1.906921e-17
3591.860000 1.993477e-17 1.847426e-17
3594.860000 1.048414e-17 1.652193e-17
3597.860000 3.910518e-17 1.763105e-17
3600.860000 2.186934e-17 1.905398e-17
3603.860000 -7.066647e-18 1.761812e-17
3606.860000 1.249439e-17 1.633691e-17
3609.860000 -1.385306e-18 1.729863e-17
3612.860000 3.338848e-17 1.854548e-17
3615.860000 2.374208e-17 1.700388e-17
3618.860000 3.063020e-17 1.605496e-17
3621.860000 4.449113e-17 1.782326e-17
3624.860000 3.268228e-17 1.820229e-17
3627.860000 4.314891e-17 1.671362e-17
3630.860000 3.268715e-17 1.589404e-17
3633.860000 3.240443e-17 1.775248e-17
3636.860000 9.938004e-18 1.799819e-17
3639.860000 1.780712e-17 1.588469e-17
3642.860000 1.948446e-17 1.570293e-17
3645.860000 1.045426e-17 1.771251e-17
3648.860000 -1.796287e-17 1.715805e-17
3651.860000 -1.164943e-18 1.492144e-17
3654.860000 1.831322e-19 1.506411e-17
3657.860000 3.347697e-17 1.721068e-17
3660.860000 2.571610e-17 1.672158e-17
3663.860000 3.366347e-17 1.504155e-17
3666.860000 4.216617e-17 1.564533e-17
3669.860000 4.064528e-17 1.694876e-17
3672.860000 3.261922e-17 1.609735e-17
3675.860000 3.645205e-17 1.452333e-17
3678.860000 2.095205e-17 1.521220e-17
3681.860000 -1.554668e-17 1.565278e-17
3684.860000 2.850031e-17 1.498248e-17
