# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = PS22ibl
# CHANNEL = B+R
# EXPNUM = 22_262_037_003
# MJD-OBS = 59841.561707
# DATE-OBS = 2022-09-19T13:28:53
# EXPTIME = 2700.0s
# AIRMASS = 1.04
# FLUXCAL_RMS_B = 0.064 mag
# FLUXCAL_RMS_R = 0.048 mag
# RA = 01:50:40.22
# DEC = 25:49:02.89
# wl fl err
# [A] [erg/s/cm2/A]
3402.860000 -2.227888e-18 2.857981e-17
3405.860000 5.573427e-17 2.970300e-17
3408.860000 2.128147e-17 2.650216e-17
3411.860000 3.666973e-17 2.477545e-17
3414.860000 1.986380e-17 2.705808e-17
3417.860000 3.747659e-17 2.771678e-17
3420.860000 4.788943e-17 2.466974e-17
3423.860000 4.647353e-18 2.331872e-17
3426.860000 -3.999245e-17 2.576826e-17
3429.860000 -5.047103e-18 2.618243e-17
3432.860000 -6.167544e-18 2.292899e-17
3435.860000 -4.487134e-17 2.219731e-17
3438.860000 1.331352e-17 2.529943e-17
3441.860000 8.069324e-17 2.545980e-17
3444.860000 3.546958e-17 2.165060e-17
3447.860000 2.343454e-17 2.210212e-17
3450.860000 -9.911910e-19 2.382992e-17
3453.860000 -8.837352e-18 2.268843e-17
3456.860000 7.236975e-18 2.079791e-17
3459.860000 2.256696e-17 2.216279e-17
3462.860000 4.481731e-17 2.397177e-17
3465.860000 2.702692e-17 2.224526e-17
3468.860000 4.397687e-17 2.043226e-17
3471.860000 8.933483e-17 2.235978e-17
3474.860000 4.757021e-17 2.285631e-17
3477.860000 1.249236e-17 2.070425e-17
3480.860000 1.094392e-18 1.920588e-17
3483.860000 3.703424e-17 2.179615e-17
3486.860000 3.882298e-17 2.241513e-17
3489.860000 6.894354e-17 2.056824e-17
3492.860000 4.900930e-17 1.962509e-17
3495.860000 1.922491e-17 2.160565e-17
3498.860000 2.598796e-17 2.177140e-17
3501.860000 7.424518e-17 1.971307e-17
3504.860000 5.654229e-17 1.921753e-17
3507.860000 1.185044e-17 2.123081e-17
3510.860000 3.946645e-17 2.136876e-17
3513.860000 2.538906e-17 1.861766e-17
3516.860000 6.925648e-18 1.859660e-17
3519.860000 2.073306e-17 2.034385e-17
3522.860000 7.557192e-17 2.012131e-17
3525.860000 2.656113e-17 1.749050e-17
3528.860000 -6.521145e-19 1.807262e-17
3531.860000 1.328032e-17 1.960652e-17
3534.860000 1.560839e-17 1.862315e-17
3537.860000 1.965050e-17 1.716072e-17
3540.860000 3.392124e-17 1.868533e-17
3543.860000 3.184718e-18 1.952682e-17
3546.860000 3.820239e-17 1.894868e-17
3549.860000 2.883335e-17 1.806104e-17
3552.860000 1.507802e-17 1.974103e-17
3555.860000 2.638529e-17 2.062271e-17
3558.860000 1.805929e-17 1.859093e-17
3561.860000 3.264695e-18 1.754729e-17
3564.860000 6.677175e-18 1.951995e-17
3567.860000 4.498554e-17 2.000002e-17
3570.860000 4.276058e-17 1.757364e-17
3573.860000 3.149083e-17 1.717617e-17
3576.860000 1.683841e-17 1.903316e-17
3579.860000 -2.238791e-18 1.862971e-17
3582.860000 1.015395e-17 1.631400e-17
3585.860000 3.027839e-17 1.666924e-17
3588.860000 3.807680e-17 1.858655e-17
3591.860000 -3.757236e-18 1.769978e-17
3594.860000 -8.812728e-18 1.592465e-17
3597.860000 -3.519211e-18 1.669403e-17
3600.860000 3.710111e-18 1.859631e-17
3603.860000 2.379206e-17 1.759127e-17
3606.860000 3.718435e-17 1.633042e-17
3609.860000 2.951970e-17 1.731913e-17
3612.860000 1.123716e-17 1.815669e-17
3615.860000 6.514100e-19 1.675992e-17
3618.860000 -1.036233e-18 1.572363e-17
3621.860000 1.803817e-18 1.725012e-17
3624.860000 9.498458e-18 1.797991e-17
3627.860000 -4.063604e-18 1.632695e-17
3630.860000 1.649244e-17 1.569187e-17
3633.860000 4.056986e-17 1.780645e-17
3636.860000 4.159388e-17 1.811259e-17
3639.860000 -4.671728e-18 1.567987e-17
3642.860000 1.788967e-18 1.549333e-17
3645.860000 3.543877e-17 1.787014e-17
