# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = PS22ird
# CHANNEL = B+R
# EXPNUM = 22_262_039_003
# MJD-OBS = 59841.600052
# DATE-OBS = 2022-09-19T14:24:06
# EXPTIME = 2700.0s
# AIRMASS = 1.08
# FLUXCAL_RMS_B = 0.064 mag
# FLUXCAL_RMS_R = 0.048 mag
# RA = 02:46:36.14
# DEC = 04:55:19.89
# wl fl err
# [A] [erg/s/cm2/A]
3402.860000 5.605421e-17 2.817117e-17
3405.860000 9.360983e-17 2.953591e-17
3408.860000 5.702304e-17 2.654262e-17
3411.860000 5.391546e-17 2.492170e-17
3414.860000 6.640116e-17 2.730956e-17
3417.860000 6.809488e-17 2.760845e-17
3420.860000 4.949008e-17 2.403988e-17
3423.860000 2.238687e-17 2.309933e-17
3426.860000 3.480890e-17 2.596092e-17
3429.860000 2.349647e-17 2.578108e-17
3432.860000 2.040432e-17 2.277213e-17
3435.860000 4.470556e-17 2.283594e-17
3438.860000 9.486569e-17 2.574949e-17
3441.860000 8.458535e-17 2.526017e-17
3444.860000 5.011399e-17 2.168547e-17
3447.860000 -5.975625e-18 2.129990e-17
3450.860000 1.431128e-17 2.347624e-17
3453.860000 3.943374e-17 2.292923e-17
3456.860000 4.259201e-17 2.079669e-17
3459.860000 6.443541e-17 2.210930e-17
3462.860000 3.093719e-17 2.313617e-17
3465.860000 5.840282e-17 2.191522e-17
3468.860000 5.533136e-17 1.994506e-17
3471.860000 1.496734e-17 2.113157e-17
3474.860000 4.100718e-18 2.187497e-17
3477.860000 1.478392e-17 2.047642e-17
3480.860000 1.351863e-17 1.908678e-17
3483.860000 -4.644854e-18 2.124057e-17
3486.860000 1.380595e-17 2.233582e-17
3489.860000 1.134239e-17 2.000308e-17
3492.860000 2.968584e-17 1.946183e-17
3495.860000 4.057765e-18 2.143104e-17
3498.860000 6.554497e-17 2.194391e-17
3501.860000 4.499436e-17 1.928077e-17
3504.860000 4.052408e-17 1.909621e-17
3507.860000 2.508706e-17 2.128845e-17
3510.860000 2.458378e-17 2.084203e-17
3513.860000 2.746640e-17 1.810542e-17
3516.860000 1.602642e-17 1.823218e-17
3519.860000 3.773417e-17 2.015502e-17
3522.860000 -9.447345e-18 1.907374e-17
3525.860000 6.310171e-18 1.720974e-17
3528.860000 4.894206e-17 1.839229e-17
3531.860000 5.828476e-17 1.995748e-17
3534.860000 2.824801e-17 1.861635e-17
3537.860000 2.400164e-17 1.727547e-17
3540.860000 3.079874e-17 1.875097e-17
3543.860000 4.721708e-17 1.989472e-17
3546.860000 7.388446e-18 1.845701e-17
3549.860000 3.377355e-17 1.794409e-17
3552.860000 5.498468e-17 2.016126e-17
3555.860000 4.253699e-17 2.072876e-17
3558.860000 3.225827e-17 1.877308e-17
3561.860000 2.074752e-17 1.786640e-17
3564.860000 4.024517e-17 1.974245e-17
3567.860000 4.987638e-17 1.999867e-17
3570.860000 2.214752e-17 1.726222e-17
3573.860000 2.960036e-17 1.696893e-17
3576.860000 2.470087e-17 1.902375e-17
3579.860000 1.731722e-18 1.843453e-17
3582.860000 1.902832e-17 1.642594e-17
3585.860000 3.421874e-17 1.681483e-17
3588.860000 3.637164e-17 1.841343e-17
3591.860000 -8.422629e-18 1.758345e-17
3594.860000 1.616345e-17 1.601187e-17
3597.860000 3.804794e-17 1.706529e-17
3600.860000 4.210257e-17 1.859398e-17
3603.860000 5.305032e-17 1.778097e-17
3606.860000 5.006549e-17 1.625106e-17
3609.860000 3.221715e-17 1.705894e-17
3612.860000 4.351163e-17 1.818861e-17
3615.860000 2.091563e-17 1.664716e-17
3618.860000 1.683510e-17 1.566429e-17
3621.860000 4.680647e-17 1.743380e-17
3624.860000 5.443004e-17 1.820086e-17
3627.860000 2.744793e-17 1.644570e-17
3630.860000 3.207688e-17 1.580966e-17
3633.860000 2.390120e-17 1.753216e-17
3636.860000 2.049536e-17 1.760766e-17
3639.860000 5.098956e-17 1.585205e-17
3642.860000 6.363594e-17 1.581865e-17
3645.860000 5.852567e-17 1.796912e-17
3648.860000 3.221506e-17 1.755636e-17
3651.860000 1.686543e-17 1.496179e-17
3654.860000 2.057748e-17 1.513954e-17
3657.860000 2.146313e-17 1.697439e-17
3660.860000 9.659774e-18 1.638620e-17
3663.860000 2.870538e-17 1.476796e-17
3666.860000 2.948107e-17 1.545961e-17
3669.860000 3.476053e-17 1.673271e-17
3672.860000 1.933371e-17 1.607002e-17
3675.860000 2.995140e-17 1.461206e-17
3678.860000 3.469450e-17 1.581732e-17
3681.860000 3.277832e-17 1.664371e-17
3684.860000 3.893310e-17 1.535512e-17
3687.860000 6.108635e-17 1.432114e-17
3690.860000 8.236008e-17 1.578680e-17
3693.860000 4.849923e-17 1.614383e-17
3696.860000 5.955316e-17 1.487623e-17
3699.860000 7.987546e-17 1.437691e-17
3702.860000 5.128549e-17 1.585838e-17
3705.860000 6.797047e-17 1.629227e-17
3708.860000 7.170755e-17 1.450736e-17
3711.860000 6.098737e-17 1.403858e-17
3714.860000 6.276535e-17 1.606755e-17
3717.860000 7.355689e-17 1.621263e-17
3720.860000 8.257563e-17 1.434525e-17
3723.860000 6.714453e-17 1.417896e-17
3726.860000 7.468500e-17 1.592327e-17
3729.860000 1.057778e-16 1.610988e-17
3732.860000 1.065500e-16 1.443603e-17
3735.860000 9.392396e-17 1.484763e-17
3738.860000 8.973468e-17 1.617858e-17
3741.860000 9.009405e-17 1.560892e-17
3744.860000 1.154607e-16 1.451033e-17
3747.860000 1.259068e-16 1.553454e-17
3750.860000 1.243252e-16 1.637018e-17
3753.860000 1.014655e-16 1.518244e-17
3756.860000 1.222103e-16 1.446392e-17
3759.860000 1.253029e-16 1.583164e-17
3762.860000 1.093382e-16 1.643454e-17
3765.860000 1.091993e-16 1.493462e-17
3768.860000 1.055478e-16 1.420672e-17
3771.860000 1.138054e-16 1.598230e-17
3774.860000 1.134807e-16 1.628075e-17
3777.860000 1.342776e-16 1.490744e-17
3780.860000 1.456321e-16 1.464441e-17
3783.860000 1.456541e-16 1.663779e-17
3786.860000 1.329715e-16 1.654396e-17
3789.860000 1.201074e-16 1.433458e-17
3792.860000 1.300239e-16 1.432743e-17
3795.860000 1.376869e-16 1.611981e-17
3798.860000 1.311978e-16 1.566240e-17
3801.860000 1.401721e-16 1.386237e-17
3804.860000 1.276034e-16 1.417068e-17
3807.860000 1.246429e-16 1.550688e-17
3810.860000 1.203174e-16 1.481917e-17
3813.860000 1.256721e-16 1.335277e-17
3816.860000 1.193607e-16 1.402671e-17
3819.860000 1.221532e-16 1.513369e-17
3822.860000 1.113556e-16 1.412971e-17
3825.860000 1.222758e-16 1.307913e-17
3828.860000 8.925429e-17 1.367426e-17
3831.860000 8.946603e-17 1.430642e-17
3834.860000 1.076150e-16 1.328128e-17
3837.860000 1.117700e-16 1.249451e-17
3840.860000 1.131770e-16 1.373835e-17
3843.860000 1.242841e-16 1.422882e-17
3846.860000 1.202180e-16 1.288383e-17
3849.860000 1.090352e-16 1.257339e-17
3852.860000 1.097877e-16 1.418090e-17
3855.860000 1.079782e-16 1.422253e-17
3858.860000 1.209630e-16 1.251708e-17
3861.860000 1.373051e-16 1.258060e-17
3864.860000 1.309556e-16 1.409911e-17
