# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 22vrj
# CHANNEL = B+R
# EXPNUM = 22_270_031_003
# MJD-OBS = 59849.502471
# DATE-OBS = 2022-09-27T12:03:35
# EXPTIME = 1500.0s
# AIRMASS = 1.01
# FLUXCAL_RMS_B = 0.064 mag
# FLUXCAL_RMS_R = 0.048 mag
# RA = 01:32:58.72
# DEC = 18:04:33.98
# wl fl err
# [A] [erg/s/cm2/A]
3402.860000 2.736785e-17 4.724313e-17
3405.860000 4.936360e-17 4.898825e-17
3408.860000 1.377260e-16 4.486276e-17
3411.860000 7.896599e-17 4.126401e-17
3414.860000 5.368067e-17 4.472465e-17
3417.860000 -1.078528e-17 4.495819e-17
3420.860000 -1.665635e-17 4.014901e-17
3423.860000 4.872601e-17 3.951749e-17
3426.860000 7.083374e-17 4.458532e-17
3429.860000 1.012605e-16 4.498916e-17
3432.860000 4.342894e-17 3.864719e-17
3435.860000 5.082399e-17 3.880087e-17
3438.860000 1.560382e-17 4.308975e-17
3441.860000 5.998985e-17 4.228923e-17
3444.860000 7.976899e-17 3.717261e-17
3447.860000 5.379204e-17 3.742582e-17
3450.860000 9.819477e-17 4.079991e-17
3453.860000 7.966081e-17 3.864174e-17
3456.860000 1.018275e-16 3.448832e-17
3459.860000 8.104631e-17 3.623180e-17
3462.860000 7.970801e-17 3.874317e-17
3465.860000 1.416361e-16 3.712132e-17
3468.860000 8.870678e-17 3.322819e-17
3471.860000 3.821089e-17 3.504529e-17
3474.860000 1.079311e-16 3.791425e-17
3477.860000 5.446960e-17 3.406843e-17
3480.860000 7.061846e-17 3.270307e-17
3483.860000 7.427171e-17 3.648751e-17
3486.860000 1.011469e-16 3.800800e-17
3489.860000 7.924685e-17 3.363697e-17
3492.860000 9.839054e-17 3.268590e-17
3495.860000 1.342133e-16 3.665594e-17
3498.860000 1.302031e-16 3.634736e-17
3501.860000 9.405036e-17 3.170073e-17
3504.860000 1.146885e-16 3.170840e-17
3507.860000 9.650076e-17 3.552009e-17
3510.860000 9.811400e-17 3.505941e-17
3513.860000 1.146693e-16 3.086067e-17
3516.860000 1.220639e-16 3.157296e-17
3519.860000 1.458439e-16 3.517244e-17
3522.860000 1.784567e-16 3.462428e-17
3525.860000 1.340812e-16 3.060610e-17
3528.860000 1.559095e-16 3.224325e-17
3531.860000 1.229937e-16 3.413536e-17
3534.860000 1.195014e-16 3.200123e-17
3537.860000 1.248893e-16 2.936910e-17
3540.860000 1.107579e-16 3.142362e-17
3543.860000 8.941422e-17 3.262368e-17
3546.860000 1.106663e-16 3.055150e-17
3549.860000 1.222078e-16 2.901447e-17
3552.860000 1.550903e-16 3.264382e-17
3555.860000 2.020139e-16 3.381656e-17
3558.860000 1.823645e-16 3.067934e-17
3561.860000 1.644554e-16 2.966742e-17
3564.860000 1.282942e-16 3.277113e-17
3567.860000 1.081649e-16 3.291651e-17
3570.860000 9.394246e-17 2.939623e-17
3573.860000 9.582062e-17 2.913599e-17
3576.860000 1.514128e-16 3.352238e-17
3579.860000 1.782704e-16 3.320115e-17
3582.860000 1.561521e-16 2.878517e-17
3585.860000 1.601509e-16 2.961169e-17
3588.860000 1.013977e-16 3.188003e-17
3591.860000 1.555322e-16 3.152729e-17
3594.860000 1.799580e-16 2.840555e-17
3597.860000 1.528056e-16 2.943569e-17
3600.860000 9.741576e-17 3.085045e-17
3603.860000 1.730790e-16 3.005808e-17
3606.860000 1.575287e-16 2.718257e-17
3609.860000 1.433298e-16 2.865479e-17
3612.860000 1.568117e-16 3.042581e-17
3615.860000 1.803006e-16 2.827242e-17
3618.860000 1.835504e-16 2.636309e-17
3621.860000 1.771544e-16 2.874498e-17
3624.860000 1.771891e-16 3.022714e-17
3627.860000 1.583113e-16 2.740491e-17
3630.860000 1.635083e-16 2.620963e-17
3633.860000 1.777423e-16 2.928135e-17
3636.860000 1.549540e-16 2.954212e-17
3639.860000 1.589223e-16 2.640124e-17
3642.860000 1.743304e-16 2.642187e-17
3645.860000 1.724799e-16 3.006834e-17
3648.860000 1.588398e-16 2.959855e-17
3651.860000 1.337840e-16 2.567112e-17
3654.860000 1.834067e-16 2.621674e-17
3657.860000 1.902461e-16 2.904693e-17
3660.860000 2.169832e-16 2.891830e-17
3663.860000 2.104004e-16 2.568121e-17
3666.860000 1.531737e-16 2.591358e-17
3669.860000 1.569915e-16 2.825279e-17
3672.860000 1.581893e-16 2.690567e-17
3675.860000 1.232572e-16 2.403944e-17
